DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.017,-13.87275,1.148125,-0.858425,-1.01145,-0.05925,-121.286,-5.206375,-8.8152,-1.156775,-16.18625,-4.486525,-1.36825,23.18475,75.673,376.0731,0.13,-115.1375,0,-3.3926,0,-0.696975,148.7525,226.5975,1.03805,0
1,0.75,0.0222,-13.837,0.963175,-0.4338,-0.42575,-0.062725,-130.4684,-4.1566,-5.827225,-0.997475,-16.521,-4.74625,-1.5091,25.25375,75.6585,376.04675,0.04725,-114.33,0,-3.3341,0,-1.57885,148.305,224.95,1.00405,0
1,1.25,0.0243,-14.11425,1.006125,-0.7838,-0.7498,-0.0779,-118.67175,-3.5538,-9.02975,-1.2753,-16.864,-4.759825,-1.643,24.77425,75.62125,376.21745,0.16625,-115.0875,0,-3.2958,0,-0.404175,146.8425,222.8575,1.0524,0
1,1.75,0.0182,-14.29725,1.0252,-0.41685,-0.3921,-0.07295,-117.3338,-3.0044,-7.32575,-1.58875,-17.23275,-4.74465,-1.737975,24.20325,75.58675,376.6492,0.216,-114.655,0,-3.4563,0,-0.4604,145.9875,221.9675,1.0386,0
1,2.25,0.02235,-13.6115,1.0984,-0.6966,-0.6328,-0.109475,-129.046275,-3.91185,-4.66205,-1.233,-18.031,-4.883675,-1.8153,26.66725,75.573,377.36065,0.20575,-114.9775,0,-3.9595,0,-0.7259,146.0625,223.96,0.87345,0
1,2.75,0.023625,-14.5105,1.0313,-0.375775,-0.38175,-0.051,-116.939875,-3.57455,-5.551,-1.128,-18.2375,-5.12015,-1.976775,18.75425,75.5685,378.00895,0.142,-116.52,0,-3.26325,0,-0.552275,145.3175,220.97,0.8814,0
1,3.25,0.0183,-14.53275,0.9309,-0.784,-0.7764,-0.065,-107.9898,-3.5011,-6.578175,-1.261,-18.0515,-5.28185,-1.970425,14.898,75.5385,377.6856,0.161,-114.13,0,-2.97945,0,-0.4669,145.1075,223.965,0.58785,0
1,3.75,0.029,-14.6865,0.9541,-0.4396,-0.471325,-0.06295,-104.544,-3.89035,-6.5653,-1.229425,-18.38325,-5.2827,-2.037925,16.0845,75.52675,377.9836,0.1855,-115.27,0,-2.9179,0,-0.702375,146.3475,223.5925,1.09885,0
1,4.25,0.025375,-14.784,0.953,-0.511,-0.52565,-0.073,-123.220125,-2.809875,-8.9587,-0.874575,-18.65125,-5.634025,-2.080775,19.11725,75.5295,378.2621,0.1805,-120.23,0,-3.068625,0,-0.250425,144.1475,223.585,1.10845,0
1,4.75,0.027125,-15.16575,0.9856,-0.63,-0.635,-0.117,-113.9197,-4.5975,-6.465,-0.914,-19.48,-5.935925,-2.2431,17.9875,75.54775,378.300025,0.1155,-119.8125,0,-2.94935,0,-0.655125,143.775,222.4975,1.129575,0
1,5.25,0.024625,-15.60775,0.9935,-0.40205,-0.3739,-0.07195,-97.57375,-4.455125,-5.948425,-0.849775,-19.92225,-6.0975,-2.287125,18.20225,75.575,378.401425,0.078,-116.2275,0,-2.9257,0,-0.647175,143.885,221.925,1.011375,0
1,5.75,0.0236,-16.9875,1.0747,-0.3684,-0.401625,-0.082525,-97.612,-3.3841,-6.085375,-1.051775,-20.0485,-6.22005,-2.319425,18.287,75.605,378.515725,0.15625,-115.3,0,-3.097825,0,-0.510825,142.3425,213.0125,1.0824,0
1,6.25,0.0173,-16.356,0.8791,-0.66275,-0.66615,-0.0902,-112.9449,-3.8756,-5.5616,-0.914175,-20.318,-6.4405,-2.3652,18.7805,75.6305,378.582525,0.162,-114.195,0,-3.3451,0,-0.71355,143.0175,209.6325,1.085075,0
1,6.75,0.0216,-15.5505,0.8762,-0.24735,-0.23115,-0.0941,-103.6669,-3.4,-7.1119,-0.981125,-20.32275,-6.6574,-2.553625,19.75175,75.65425,378.334375,0.2165,-114.63,0,-2.8613,0,-0.3197,143.63,209.44,1.0432,0
1,7.25,0.014,-15.732,0.93405,-0.46645,-0.45995,-0.10805,-95.116375,-4.160475,-8.02595,-1.146325,-20.20575,-6.749425,-2.63705,20.35925,75.669,377.956175,0.20025,-113.34,0,-2.553525,0,0.073,145.9225,208.8175,0.966075,0
1,7.75,0.0161,-15.617,0.91155,-0.51565,-0.523025,-0.0906,-102.6818,-3.0491,-6.144025,-1.06735,-19.60375,-6.67945,-2.6373,19.659,75.67175,377.831375,0.14,-109.61,1.2571,3.930175,0,2.42395,142.9875,211.0475,0.982475,1.475325
