DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.234,0.09625,-0.2465,-41.9815,0.29725,-0.19175,398.7945,367.465,380.325,2.363,-72.7,-6.118,-3.299,-1.3115,220.1,273.7,0,0,0,-8.655,-8.91,-8.8325,73.8,78.17525,81.7,1.6735,98.5955,-0.023,-0.437,-0.29,0.416,1.961,3.64125,-0.645,-0.506,-0.16425,0.426,1.68925,3.7415,-3.8075,-3.823,0.3556,0.561425
1,0.75,0.19075,0.161,-0.3475,-39.81875,0.285,-0.24275,399.35325,367.89,380.1375,2.344,-70.8005,-6.485,-3.258,-1.3855,219.9,273.7,0,0,0,-8.615,-8.8,-8.895,74.415,78.475,82.2,1.68075,98.56,-0.042,-0.43675,-0.29,0.41625,1.948,3.63825,-0.643,-0.50725,-0.16475,0.4205,1.6915,3.7395,-3.828,-3.84,0.338,0.543875
1,1.25,-0.01775,0.006,-0.2595,-40.8175,0.31,-0.2385,399.121,368.3,379.555,2.241,-71.2425,-6.11,-3.352,-1.23275,217.2,273.131,0,0,0,-8.725,-8.875,-8.88,74.45,78.9,81.95,1.62125,98.55225,-0.022,-0.4415,-0.293,0.4185,1.959,3.63925,-0.645,-0.5085,-0.16475,0.4295,1.69525,3.737,-3.8695,-3.859,0.3722,0.595025
1,1.75,0.20425,0.077,-0.327,-42.34975,0.308,-0.192,399.26375,368.515,379.57,2.302,-73.75,-6.226,-3.155,-1.249,215.7,272.6,0,0,0,-8.78,-8.995,-8.92,75.6,79,81.425,1.60675,98.561,-0.045,-0.45375,-0.292,0.41975,1.949,3.6415,-0.656,-0.50575,-0.169,0.4275,1.6975,3.74825,-3.951,-3.8895,0.3654,0.595975
1,2.25,0.246,0.125,-0.37525,-41.85825,0.298,-0.1755,398.598,368.7,379.7,2.33125,-70.75,-6.215,-3.143,-1.3675,217.2,272.5,0,0,0,-8.765,-9.065,-9.04,75.5,79.3,81.2,1.626,98.562,-0.027,-0.462,-0.291,0.4205,1.9575,3.646,-0.658,-0.506,-0.169,0.43175,1.7025,3.749,-3.9515,-3.879,0.350675,0.5778
1,2.75,0.1965,0.114,-0.3045,-41.73325,0.292,-0.182,399.2045,368.865,379.2,2.2905,-68.814,-6.118,-3.095,-1.27175,216.3,271.8,0,0,0,-8.97,-9.165,-9.07,76.283,79.725,81.75,1.58975,98.56775,-0.03,-0.46,-0.3,0.4205,1.96025,3.6455,-0.684,-0.509,-0.167,0.44725,1.70175,3.747,-3.955,-3.8605,0.341575,0.5532
1,3.25,0.206,0.105,-0.24125,-40.437,0.2905,-0.2065,399.50875,368.5775,379.04,2.3595,-71.7305,-6.067,-3.213,-1.27,217.7,273.1,0,0,0,-9.12,-9.205,-9.11,76.275,79.8,81.85,1.607,98.5655,-0.044,-0.469,-0.314,0.422,1.959,3.641,-0.695,-0.51,-0.16875,0.448,1.701,3.748,-3.952,-3.92,0.362675,0.58815
1,3.75,0.167,0.09275,-0.2695,-39.911,0.285,-0.202,399.4035,368.55,379.6,2.313,-72.25,-6.054,-3.311,-1.321,215.6,272.1,0,0,0,-9.105,-9.235,-9.08,76.63775,79.9,81.3,1.612,98.561,-0.05,-0.46075,-0.311,0.42025,1.956,3.64325,-0.703,-0.50925,-0.1735,0.452,1.69775,3.74825,-3.927,-3.9225,0.365,0.5752
1,4.25,0.18325,0.111,-0.472,-41.28375,0.30225,-0.234,399.63025,368.2975,380.1,2.33175,-72.7845,-6.254,-3.141,-1.17575,214,271.9,0,0,0,-9.25,-9.33,-9.27,76.5,79.9,81.7,1.6505,98.57,-0.055,-0.4645,-0.308,0.41875,1.957,3.644,-0.704,-0.5095,-0.17575,0.446,1.69725,3.74825,-3.87,-3.9415,0.3666,0.5933
1,4.75,0.24575,0.139,-0.37475,-41.9055,0.322,-0.176,399.72075,368.235,381.53,2.32175,-70.5,-6.507,-3.234,-1.2035,213.475,271.68275,0,0,0,-9.245,-9.425,-9.13,76.9,80.2,81.5,1.61375,98.589,-0.06,-0.457,-0.31,0.421,1.94775,3.644,-0.709,-0.51125,-0.17475,0.4485,1.70075,3.74525,-3.8865,-3.9555,0.380275,0.5985
