DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,PPFD_BC_IN_2_1_1,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,4.24709608833542,-8.97230181712365,0.211545984660819,0.172966312836589,0.0167666414668627,0.173164035855767,-0.337583131640405,-0.179325218462703,0.190439734251862,-9.95197015663866,-0.587952358595168,0.538676564806428,3.29,2.595,1.04,-9.8172,-9.3775,-10.1673,-8.23085,-9.96525,94.65728,79.62,0.42315,-8.68,-7.605,-7.76,1.1,-1.685,3,0.07,238.9,264.8,241.95,274.25,0.11,0.03,0.14,0.09,0.145,0.12,0.08,-1.206,-0.7005,-0.284,0.1545,0.8385,2.331,3.9895,5.157,5.75,-1.9625,-1.565,-0.872,-0.2005,0.3735,1.6425,3.7045,5.201,5.6275,-1.629,-1.497,-0.6925,-0.267,0.1925,1.747,3.614,5.1265,6.171,-2.387,-1.9365,-1.0565,-0.262,1.961,3.649,5.0205,5.8075,-1.0065,-0.862,-0.3305,0.162,0.728,1.765,4.1795,5.345,5.876,-1.546,-2.994,-3.6235,-33.49,0.03,1.83177212687469,2.91631186332034,2.69428707445512,3.15491007033229,2.67863324570005,419.413432898057,422.478892490312,422.903623719025,422.472943954539,423.626614692444,422.581953950163,422.609205816503,422.874476396332,423.487977231286,2032.0841889875,2034.70293700479,2028.65706957638,2034.52185367381
1,0.75,4.34508598422666,-9.12024877416655,0.202112592776749,0.200849040853611,0.0221220924443731,0.180612772670751,-0.390666353434964,-0.108862768304603,0.191489956959345,-10.4843075939679,-0.488661020441258,0.548142197313868,3.33,2.655,1.09,-10.039,-9.3585,-10.12155,-8.15015,-10.2868,94.64192,80.07,0.4366,-8.43,-7.57,-7.795,1.1,-1.705,3.3,0.07,243.8,266.4,245.45,274.95,0.11,0.03,0.14,0.09,0.15,0.12,0.08,-1.2235,-0.698,-0.285,0.155,0.842,2.33,3.9885,5.157,5.75,-1.989,-1.5535,-0.8695,-0.2015,0.366,1.6415,3.7035,5.2,5.627,-1.6085,-1.4935,-0.706,-0.271,0.1905,1.7465,3.6135,5.1255,6.1705,-2.4015,-1.95,-1.061,-0.2605,1.9585,3.642,5.0205,5.8075,-1.0215,-0.8575,-0.328,0.163,0.7265,1.765,4.1785,5.3445,5.875,-1.592,-2.912,-3.609,-33.69,0.03,1.71657883001677,2.82633754708533,2.45094007967777,3.13705115589477,2.50365189599446,419.52682471276,422.409018054602,422.750271582495,422.327515523423,424.046258895101,422.303233223766,422.232884875764,422.73151609061,423.76770167071,2040.24259202615,2038.64842285464,2030.53860688909,2036.59822743524
1,1.25,4.11118009612659,-9.12466974774225,0.2170360159088,0.166939462220434,0.0145608707874999,0.163740600615351,-0.171562209505158,-0.086212014797184,0.19294909328416,-8.58573083986209,-0.227632666791864,0.539851221566609,3.255,2.46,0.94,-10.0969,-9.3475,-10.1596,-8.3631,-10.3159,94.63366,80.52,0.426,-8.645,-7.455,-8.245,1.1,-1.79,3.2,0.065,244.4,267.2,244.9,274.4,0.11,0.03,0.14,0.09,0.145,0.12,0.08,-1.2155,-0.7055,-0.2915,0.1545,0.842,2.3305,3.987,5.156,5.749,-2.005,-1.5515,-0.8685,-0.1995,0.3585,1.6415,3.702,5.199,5.626,-1.6105,-1.4955,-0.705,-0.272,0.1885,1.746,3.6115,5.125,6.17,-2.437,-1.972,-1.0565,-0.259,1.9575,3.638,5.019,5.8065,-1.0345,-0.853,-0.327,0.1665,0.727,1.764,4.178,5.344,5.8745,-1.595,-3.0225,-3.651,-32.95,0.065,1.66951892246109,2.87976912693108,2.74211773064808,3.23463978387301,2.66492189251831,419.434667709245,422.660982923062,423.126547375335,422.414857680802,424.221503140571,422.490020710354,423.669632731709,422.934878184879,424.172117074165,2037.90941052824,2042.32515755443,2033.94158569086,2041.06755072973
1,1.75,4.31573898259522,-9.23343955342452,0.212193195444437,0.165353572000722,0.009539726519637,0.207526267837082,-0.347460594160914,-0.0220796995323891,0.191507414126846,-8.46093522996853,-0.561040449946177,0.5968725560696,3.31,2.42,1.05,-9.7186,-9.464,-9.86705,-8.63845,-9.9149,94.6219,80.42,0.4166,-8.46,-7.395,-7.79,1.1,-1.595,3.3,0.05,243.5,267.7,244.25,275.3,0.11,0.03,0.14,0.09,0.15,0.12,0.08,-1.2425,-0.7295,-0.3055,0.155,0.842,2.331,3.9855,5.1555,5.7485,-2.0485,-1.578,-0.8685,-0.202,0.3505,1.6405,3.7005,5.198,5.625,-1.613,-1.503,-0.704,-0.289,0.1865,1.7455,3.6105,5.124,6.169,-2.518,-1.9825,-1.0615,-0.258,1.9565,3.6365,5.0185,5.8055,-1.042,-0.851,-0.3265,0.167,0.722,1.763,4.177,5.3435,5.874,-1.6025,-3.09,-3.528,-31.26,0.07,1.69962470054196,2.71027291465404,2.52087158766166,3.15630109191302,2.55923380971457,419.353285800779,422.571408930016,422.736540262444,422.541420480895,424.272174068379,422.661690008709,422.644115840863,422.738395894796,424.061576181487,2041.08682688206,2041.00909143347,2033.75229458999,2042.40631539957
1,2.25,4.3191161894399,-9.0761933417073,0.217655646359065,0.185932357122472,-0.0115980539948011,0.189169642342464,-0.366519702245436,-0.126357547479251,0.198549037189602,-9.10316133926106,-0.508371470844029,0.560876982262231,3.34,2.61,1.08,-9.58815,-9.4825,-9.674,-8.82805,-9.48025,94.62405,80.635,0.4306,-8.835,-7.51,-7.88,1,-1.4,3.25,0.055,247.4,268,245.95,275.85,0.11,0.03,0.14,0.09,0.15,0.12,0.08,-1.2605,-0.7465,-0.313,0.153,0.842,2.3315,3.9835,5.155,5.7475,-2.0495,-1.6015,-0.888,-0.2,0.349,1.6405,3.6995,5.197,5.625,-1.6315,-1.517,-0.7015,-0.29,0.1845,1.7445,3.6095,5.1235,6.168,-2.551,-2,-1.0655,-0.2565,1.955,3.636,5.0185,5.805,-1.062,-0.854,-0.3275,0.171,0.7265,1.762,4.177,5.3435,5.873,-1.6195,-3.068,-3.642,-28.36,0.045,1.79287531367543,2.70201671679917,2.58510557964809,3.12333797652331,2.62419187509119,419.865164551269,422.628826478658,423.497608093042,422.163346067609,424.28212668788,422.445864932292,423.653404369979,422.799037635119,423.932057263281,2038.12845706787,2038.95338486137,2032.92252513892,2039.59137630577
1,2.75,4.42503568918437,-9.09636004930692,0.201956590834878,0.201950208117665,0.0038720495450477,0.181922956627397,-0.695995104180192,0.00222552474706465,0.206315159481159,-9.8891796308296,-0.100113318261677,0.576836976487368,3.41,2.58,1.06,-9.37025,-9.4055,-9.53645,-8.34445,-9.5276,94.63683,80.72,0.4198,-8.335,-7.29,-8.065,1.1,-1.45,3.8,0.1,245,269.8,248,276.5,0.11,0.03,0.14,0.09,0.15,0.12,0.075,-1.28,-0.749,-0.314,0.1495,0.8365,2.332,3.9825,5.154,5.7475,-2.0505,-1.6345,-0.8855,-0.198,0.3475,1.64,3.699,5.196,5.624,-1.6505,-1.5425,-0.7,-0.291,0.182,1.744,3.608,5.1225,6.167,-2.573,-2.021,-1.069,-0.2625,1.9535,3.6405,5.0175,5.8045,-1.0795,-0.857,-0.328,0.164,0.726,1.768,4.176,5.3445,5.872,-1.584,-3.049,-3.686,-27.96,0.04,1.88771500805284,2.7028612526761,2.65296701449974,2.98262808364982,2.6805352067825,419.259314004643,422.576924876238,423.127105715328,422.31217468666,424.24900674579,422.591779860284,422.823946830339,422.677136041645,423.955891289726,2037.19737746447,2039.22382291409,2033.75222082841,2036.7774744989
1,3.25,4.30639755132496,-9.14032748576562,0.231134094580998,0.20188541362697,0.00330482702332856,0.194193432979861,-0.46643933778626,-0.0182102208320779,0.210859970102949,-10.540581197167,-0.23259139948689,0.575997959225107,3.42,2.555,1.04,-9.5831,-9.464,-9.5512,-8.6354,-9.50715,94.59188,81.31,0.4092,-8.125,-7.305,-7.97,1.1,-1.54,3.5,0.065,245.4,269.4,247.7,276.65,0.11,0.03,0.14,0.09,0.15,0.12,0.08,-1.347,-0.7495,-0.3125,0.14,0.836,2.332,3.9805,5.154,5.7465,-2.05,-1.672,-0.8775,-0.194,0.346,1.6395,3.698,5.195,5.6225,-1.6655,-1.576,-0.6985,-0.2925,0.18,1.7435,3.6075,5.122,6.1665,-2.5885,-2.0585,-1.072,-0.256,1.9525,3.6385,5.016,5.8035,-1.093,-0.861,-0.326,0.165,0.7265,1.76,4.1755,5.3335,5.8715,-1.586,-3.048,-3.716,-27.36,0.035,1.98117679328019,2.8171774083104,2.71408366732831,2.93723294930674,2.72082201754795,419.526566233288,422.765856898082,422.878488047437,422.352174286037,423.971070200132,422.548573977978,423.0479032045,423.098875705014,423.81436613798,2040.21104850376,2040.80593731472,2033.86652400458,2039.92155915683
1,3.75,4.28035201851153,-8.81034216460273,0.221037618759641,0.219440258671014,0.00692866833428012,0.193078758474565,-0.651705533414781,-0.0614904347984471,0.208326230755605,-9.93780278795004,-0.0369351685317296,0.546799592909679,3.33,2.54,1.055,-9.1007,-9.258,-9.1778,-8.7123,-9.3306,94.59955,81.3,0.4325,-8.03,-6.95,-7.52,1.15,-1.505,3.5,0.085,247.6,268,247.35,276.4,0.11,0.03,0.14,0.09,0.15,0.12,0.08,-1.366,-0.748,-0.311,0.134,0.834,2.333,3.9795,5.1535,5.746,-2.066,-1.688,-0.871,-0.1925,0.3445,1.639,3.6975,5.194,5.6225,-1.6925,-1.6135,-0.6965,-0.294,0.178,1.743,3.606,5.122,6.1655,-2.6755,-2.0815,-1.084,-0.254,1.9505,3.637,5.015,5.803,-1.076,-0.855,-0.325,0.158,0.725,1.76,4.174,5.3345,5.8705,-1.582,-3.019,-3.757,-27.6,0.05,1.9119802014354,2.88718923450608,2.82759308845875,2.90258028099877,2.82354418219641,419.540017133054,422.848842291487,423.012056394441,422.802060181737,424.406799698713,423.01753834207,422.694091329811,423.621139866512,423.581787712803,2041.51142580406,2043.95557465049,2038.27831224598,2044.9080634344
1,4.25,4.47557173053586,-9.0301941099047,0.206628003549741,0.179744114442855,-0.0138724407040687,0.207677731875619,-0.27750783721506,-0.147124259038733,0.229807659357531,-11.1516881473888,-0.0692750816382137,0.571968777139688,3.475,2.57,1.1,-8.9785,-9.2945,-9.2478,-8.556,-9.6688,94.60605,80.85,0.4391,-8.21,-7.1,-7.3,1.05,-1.69,3,0.08,246.6,267.6,247.7,278.3,0.11,0.03,0.14,0.09,0.145,0.12,0.075,-1.3865,-0.758,-0.3095,0.132,0.8355,2.3335,3.978,5.1525,5.745,-2.0855,-1.701,-0.8655,-0.191,0.343,1.6385,3.6975,5.193,5.6215,-1.7135,-1.624,-0.6955,-0.296,0.1755,1.742,3.6045,5.121,6.1645,-2.7365,-2.1015,-1.102,-0.253,1.9495,3.6355,5.0145,5.802,-1.079,-0.8685,-0.3245,0.1615,0.723,1.761,4.1735,5.3425,5.869,-1.604,-3.0935,-3.8185,-29.53,0.05,2.06401192467149,2.86982824491221,2.86746893092261,3.02302079139212,2.82339145718769,419.417485384432,422.775620930209,423.004956270566,422.53008258964,424.064073262503,422.580303057226,423.309199140199,423.596419705261,423.637339843627,2040.48779350599,2042.3541499013,2039.01640312357,2042.95160463521
1,4.75,4.42485848657133,-8.806103394101,0.195476098442964,0.212484503718071,0.00978824505579948,0.210371979823348,-0.339257388052777,-0.0459538349686198,0.221573921280063,-9.69207694988033,-0.296466990953394,0.599526389289173,3.52,2.585,1.07,-9.09595,-8.98,-9.09345,-8.6923,-9.3719,94.627,80.975,0.4321,-8.005,-7.035,-7.055,1,-1.49,2.6,0.085,248,267.4,248.3,277.4,0.11,0.03,0.14,0.09,0.15,0.12,0.07,-1.405,-0.758,-0.3075,0.1295,0.8355,2.334,3.9765,5.152,5.7445,-2.078,-1.704,-0.866,-0.19,0.341,1.638,3.6965,5.192,5.6205,-1.7205,-1.6315,-0.697,-0.2975,0.1735,1.7415,3.6035,5.1205,6.163,-2.7295,-2.124,-1.1275,-0.276,1.947,3.634,5.0135,5.8015,-1.0735,-0.879,-0.3245,0.171,0.7205,1.764,4.172,5.339,5.8685,-1.616,-3.246,-3.8185,-28.9,0.03,2.168635213582,2.88857883656582,2.8104469382135,3.05638748840473,2.84274169796624,419.670229057939,422.799665379096,423.070179359942,422.233148756723,424.294593324248,422.595764058744,422.829612675344,423.310931739552,423.391189893887,2038.44491895853,2039.07418893398,2038.36848954077,2038.75700587897
