DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-15.3385,-19.62325,-11.824,-19.96125,99.4085755,73.12725,-31.27625,-63.439275,0,0,-10.534,-9.77725,124.49,167.8125
1,0.75,-15.38275,-19.60225,-11.8055,-19.804,99.43258625,73.27575,-31.139,-64.1927,0,0,-10.3385,-9.46,124.2575,167.96
1,1.25,-15.37625,-19.57525,-11.72225,-20.0985,99.45728875,73.11325,-30.84925,-64.083,0,0,-10.5105,-9.61925,124.2475,167.595
1,1.75,-15.45875,-19.57525,-11.72225,-19.7125,99.467997,73.2695,-30.7875,-64.445125,0,0,-10.42325,-9.63125,123.81,167.9725
1,2.25,-15.45875,-19.58125,-11.6205,-19.36275,99.498885,73.0195,-30.6945,-64.669975,0,0,-10.3275,-9.274,124.075,167.9025
1,2.75,-15.55125,-19.619,-11.60725,-19.02375,99.5303305,73.32375,-30.8545,-64.055575,0,0,-10.24775,-9.221,124.66,168.7525
1,3.25,-15.5605,-19.69125,-11.527,-19.0275,99.54004075,73.2295,-30.7695,-63.7283,0,0,-10.6735,-9.24775,124.4575,169.6225
1,3.75,-15.6345,-19.692,-11.44375,-19.05075,99.5673565,72.85,-30.64575,-64.071025,0,0,-10.461,-9.29375,121.825,168.975
1,4.25,-15.663,-19.718,-11.36975,-19.06575,99.60865925,72.9255,-30.66675,-61.94715,0,0,-10.72825,-9.714,121.8025,169.8075
1,4.75,-15.6975,-19.80125,-11.27725,-19.04175,99.66847875,73.31075,-30.964,-61.4817,0,0,-10.62725,-9.73925,122.095,169.3525
1,5.25,-15.763,-19.903,-11.18475,-18.98475,99.64186,72.97375,-31.382,-61.01655,0,0,-10.71175,-9.91375,122.735,169.2225
1,5.75,-15.749,-19.935,-11.1185,-18.87975,99.57965975,73.10925,-31.734,-60.2046,0,0,-10.6635,-9.65625,123.5275,167.7125
1,6.25,-15.641,-19.78725,-11.19475,-19.049,99.53462125,73.438,-32.082,-62.214325,0,0,-10.45875,-9.36575,124.5525,167.02
