DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,0.25,-0.008812632,-5.858697844,0.915943337,0.42124673075,346.570719075,6.897989646,6.173720227,92.2287766,100,2.556906026,3.044536402,0.282233139,0.950666315,0.822604039,0.311858864,0.623150732,-46.4271788975,-22.326403265,7.730593,-0.0217656925
1,0.75,-0.010358283,-5.524969052,0.723369329,0.3251676905,347.24235625,6.934612181,6.321989964,92.2456359275,100,2.4351877765,2.781340133,0.255168302,0.87666162,0.847030197,0.30083233,0.731586275,-45.282624705,-22.3934895,7.617471875,-0.023045255
1,1.25,-0.009098958,-6.131765174,0.490886875,0.2228606625,348.02429885,6.54827596,5.907247909,92.24141031,100,2.337696734,3.181541075,0.272982819,0.919635356,0.803286284,0.310525906,0.735024749,-42.71014941,-22.232629515,7.493587625,-0.019313825
1,1.75,-0.008508513,-5.399494674,1.505633968,0.310789819,347.22985175,6.516217207,5.691061251,92.23693419,100,2.575393383,3.031462689,0.258370445,0.952117396,0.848768437,0.287847676,0.73462411,-42.5211058925,-23.178041725,7.434509125,-0.0153929625
1,2.25,-0.009383713,-6.16138953,1.135627061,0.8905694425,347.7782393,6.255988977,5.181390277,92.2225273675,100,2.137137708,2.758756868,0.2687787,0.984230213,0.858946582,0.286959325,0.777705455,-40.1945563675,-22.9117098625,7.348315875,-0.0166421025
1,2.75,-0.010211182,-6.211332195,1.6135952625,0.40332761025,350.2975045,5.908211212,5.19838084,92.21660151,100,2.371911725,2.607867256,0.266388366,0.936721296,0.753095552,0.281482662,0.742927351,-40.558858825,-22.0538056,7.05485175,-0.0177397925
1,3.25,-0.008723788,-5.289161429,1.7052432665,0.1149503285,350.064730925,6.01999009,5.221935865,92.2429715625,100,2.268005891,2.791455989,0.265150949,0.897228975,0.795608589,0.297116814,0.797562123,-38.8317588675,-21.8140801325,6.879134125,-0.0154744025
1,3.75,-0.008717201,-5.875978461,1.15046914,0.32945722525,350.326027325,5.920691838,5.13509706,92.2640246975,100,2.10269165425,2.609732596,0.238799412,0.859796719,0.855416584,0.277214241,0.767474155,-39.1061068775,-20.448664005,6.635585,-0.0160906175
1,4.25,-0.008105518,-5.156954599,1.219102025,0.26032375,350.60027185,5.706457715,4.796411856,92.26510772,100,2.14560294575,2.474417629,0.234708032,1.002432795,0.885743242,0.271632347,0.869630409,-41.102740045,-20.9562548325,6.441163875,-0.010306675
1,4.75,-0.007607829,-4.367436861,1.48212384725,0.4451109055,350.014027975,5.131357474,4.25245348,92.281627415,100,2.2854501205,2.210999597,0.213430652,0.878444424,0.820972363,0.240484357,0.850514043,-43.9847531425,-22.0131916275,6.193631375,-0.0136393425
1,5.25,-0.008320729,-3.736080863,1.29816294575,0.47116754825,350.7664394,5.539471554,4.759719156,92.30646652,100,2.0878305265,2.394145113,0.238522273,0.842803074,0.883084631,0.242745054,0.824570576,-43.6757301875,-23.2108451725,5.903449125,-0.01046492
1,5.75,-0.008145008,-4.269577264,1.2785398045,0.42040786275,352.419852375,5.127432018,4.440238312,92.34808176,100,1.913720145,2.509769909,0.237804948,0.804284069,0.879670437,0.259979686,0.747137651,-40.52068905,-22.108624095,5.67795575,-0.00912292
1,6.25,-0.011321876,-2.71256439,2.70049845525,0.45448979925,352.8319602,5.42297855,4.734608751,92.37368903,100,2.607517839,2.20538891,0.237541666,1.006691367,0.851591752,0.253636488,0.802858063,-41.6514809775,-22.1404524075,5.695434,-0.00095116775
1,6.75,-0.011027709,2.077712754,3.07216611275,0.64957209725,352.277501575,6.962641305,6.016592859,92.3982879475,100,2.68934070325,2.264246747,0.228036589,0.951264503,0.804868859,0.244197752,0.834592484,-36.24222398,-21.40142019,5.463524125,4.189969
1,7.25,-0.013934596,16.07459255,5.2468282935,0.4787316625,348.149335625,7.949616164,7.247791278,92.44582807,98.922499395,3.1566284115,2.323318703,0.243450877,0.93944461,0.820781957,0.263181301,0.754098643,-19.7659488925,-21.43865798,5.30683175,59.3480325
1,7.75,-0.014648644,35.08841292,11.809415225,0.72424098875,347.44068965,9.361435641,8.722304924,92.4785317075,92.2054450675,4.236328893,2.619418763,0.306822182,1.067995063,0.976374124,0.311183934,0.649085636,20.39418679,-14.309793695,5.287147375,217.968725
1,8.25,-0.018866362,57.87979384,15.084919225,0.67281536775,347.184872175,10.63929335,9.791841551,92.5134816175,82.7300027275,5.95221298975,2.77577755,0.32240618,1.201418826,1.00704299,0.311835254,0.618604298,73.21736214,7.42674206975,5.6379405,397.944025
1,8.75,-0.014596138,75.38351888,18.7802368675,1.05713257775,344.48992725,11.93508487,10.96556953,92.520584335,78.37414301,6.925264044,3.499508766,0.342445395,1.096216064,1.054719896,0.358293238,0.663668218,125.0382278,39.9064173,6.25087125,571.40785
1,9.25,-0.02086474175,101.2321362425,24.03303471,1.021813521,343.14625785,12.887113515,12.0880574925,92.5160266525,75.05149088,8.34426877875,3.504974534,0.36737311225,1.22045023,1.15398471425,0.3569342825,0.66281120725,175.1335047,63.9053789825,7.046600625,732.099075
1,9.75,-0.0219010255,117.49986435,23.905811315,0.9742667265,343.07809735,13.933396255,13.09060833,92.4988583825,70.77549096,9.320025879,3.747370281,0.38887607775,1.26271096725,1.2302659275,0.40940407875,0.717787722,213.1298362,83.27903057,8.092037875,869.860275
1,10.25,-0.024918994,142.161679175,21.301552565,1.467290959,342.48495895,14.644296725,13.96023223,92.41559631,68.70730447,10.6513551,3.987444234,0.382389,1.3894861555,1.2371451655,0.3976629115,0.748098288,245.96157365,99.908595125,9.108477375,991.2366
1,10.75,-0.029375378,141.3055524,20.43344744,1.48380464375,338.795369975,15.19023771,14.60438661,92.35762464,65.2754996375,10.83345843,4.085501516,0.416586479,1.276057659,1.281391847,0.431419264,0.75932432,268.48793895,118.200566625,10.563881,1085.894
