DOY2,HR2,FC_1_1_1,LE_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_2,LE_1_1_2,CO2_1_1_2,H2O_1_1_2,H,USTAR,TA,RH,PA,VPD,WS,NETRAD,PPFD_IN,SW_IN,LW_IN,SW_OUT,LW_OUT
1,10.75,0.41782,25.387442,415.6094975,6.9204141,0.2149625,19.0081635,427.52028,5.1649595,150.6329525,0.33666,5.982165,52.466,84.878,5.89672605,3.64061595,314.2536,1058.0273,562.7536,260.3515625,125.1374,372.13585
1,11.25,0.42906,26.319041,415.43889,6.821559825,0.294595,22.02372025,427.2681675,5.0552352,159.803285,0.3501228,6.79578,49.71797,84.8413875,6.58846695,3.672500275,341.990385,1143.47635,610.310235,263.09394,135.55025,383.94215
1,11.75,0.41751,28.046312,415.26195,6.710761325,0.2417525,23.1890195,427.35304,4.9810053,174.9432475,0.362580395,7.61555,46.34641,84.7926975,7.34107995,3.83645805,359.406685,1185.88495,635.49015,264.23838,140.47719,393.85524
1,12.25,0.36176,29.083927,414.70362,6.75930175,0.2411425,21.176794,427.344825,5.010918225,176.193215,0.355727315,8.354785,43.97609,84.7396,7.87948925,3.796924675,361.51287,1205.58495,647.978615,267.88484,141.684875,401.41141
1,12.75,0.3602975,26.989852,414.3811325,6.76802345,0.318725,21.67366775,426.877415,4.97416725,178.22178,0.38107891,9.17695,42.299115,84.68679,8.4005718,3.9683213,353.41004,1197.8883,639.436565,269.08064,140.097815,406.11935
1,13.25,0.38776,26.817373,414.26887,6.6890936,0.263725,20.883697,426.66239,4.96689775,172.754505,0.381641595,9.7714925,41.053655,84.63025,8.96667505,4.0476929,338.562,1157.44675,619.7848325,270.53865,136.556955,407.69566
1,13.75,0.326615,26.2067145,414.01063,6.66800495,0.25668,18.04002625,426.84988,4.862510225,161.25428,0.37561613,10.34008,39.1862225,84.5961675,9.47417305,4.0530475,308.0847225,1085.9319,580.3502,271.23842,127.14537,406.36275
1,14.25,0.336765,22.79143975,414.1166175,6.6155062,0.28457,17.6452365,426.9440825,4.81144175,147.09918,0.38670788,10.84691,38.515585,84.568745,9.914563,4.17035165,264.70669,977.5886475,520.8105625,273.1698225,115.52185,402.83421
1,14.75,0.31037,20.2773075,414.25719,6.59537215,0.3011675,14.815485,427.14783,4.88535615,119.629445,0.39264,11.19233,38.230095,84.5439525,10.193493,4.2085296,214.672485,853.787845,451.73215,272.87287,101.713945,396.285155
1,15.25,0.2843,18.0443925,414.10684,6.6015196,0.30577,12.35492475,427.27466,4.88146725,93.75348875,0.4090409325,11.455605,38.3497375,84.53892,10.5499735,4.477594475,156.4523675,709.145105,370.346785,273.467975,87.37204175,387.43281
