DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,G_2_2_1
1,0.25,0.183963329,-1.047165,1.679004155,0.7111645115,0.6795582655,0.005907,-5.7536,-0.368008871,1.655725,-0.0209,-5.6861,-5.91515,5.692295,2.25513,70.751,97.61143307,403.7327597,1.31376,-45.2992387515,11.53269009,-1.4775,0.652951982,281.84139185,319.36,5.685155,-5.917025,0.343985,0.71685825,-0.68169994
1,0.75,0.18716,-0.90142,1.781273504,0.771271631,0.6550243425,0.0043,-3.7213,-0.348520583,1.1917986415,-0.0344,-5.873,-5.99,5.53163,2.18654,71.165,97.594743405,404.19000765,1.2254,-45.261,11.5633028,-1.230908549,0.6405800235,279.9554478,316.49321455,5.819705,-5.943209,0.33815,0.68925185,-0.4010668875
1,1.25,0.1967359905,-1.2267,1.860983548,0.7599871985,0.613275172,0.0095925,-5.25528,-0.209785,1.53118,-0.0350655,-6.19005,-6.0875,5.346065,2.12148,71.772,97.5942957,404.6,1.14448,-46.30636943,11.70015478,-1.087085,0.644975126,279.3687188,318.75,5.86184,-5.9765445,0.347575,0.66258545,-0.2822030965
1,1.75,0.190408939,-1.0777,1.92943845,0.81796,0.637520827,0.0185,-4.53862,-0.2676163445,1.7097,-0.020861,-6.3944,-6.1116,5.188045,2.05863,72.111718665,97.59848585,405.7472001,1.119,-45.946271469,11.636493035,-1.1477,0.5852527,279.0649936,318.1038792,5.979618108,-5.9936245,0.34383,0.64065775,0.723988423
1,2.25,0.20063,-1.3865,1.974649563,0.7392096135,0.64126455,-0.001725,-1.55875,-0.2004370275,1.10957,-0.0492,-6.3741,-6.1538,5.051805,1.99761,74.402,97.63425946,405.10487105,1.0239,-45.2496071485,11.50965186,-1.0870172065,0.587687801,279.6057298,317.6343296,5.834664394,-6.036545,0.3347,0.62307175,0.65428786
1,2.75,0.206991911,-1.78785,2.000185675,0.699231203,0.609574731,0.00882,-2.473155,-0.192183023,0.96523,-0.06043,-6.38975,-6.19925,4.91685,1.93955,73.697775,97.68201638,404.9104991,1.0324,-45.0455030465,11.65241933,-1.002,0.6086905,280.0196551,318.9756,5.78392,-6.059543,0.3444,0.6056216,0.501881759
1,3.25,0.1932630785,-1.62213,2.033636959,0.79415,0.72904,0.0048083,-2.18525,-0.239597511,1.47661,-0.0448599895,-6.4221,-6.23635,4.78877,1.88809,75.365,97.67713311,404.84,0.99759,-42.8497951,11.68230921,-0.9766484915,0.5904836665,280.3086168,317.46716335,5.7642223025,-6.1455365,0.34089,0.5926122,1.3901499365
1,3.75,0.197617488,-1.90158,1.937179376,0.806339619,0.648316102,0.00941,0.17601,-0.168906969,0.985388689,0.0020721745,-6.65385,-6.15,4.7161,1.84213,76.167,97.62604967,404.7,0.975,-43.06992298,11.36150049,-1.071563352,0.55270097,280.3920968,317.73654915,5.7618988375,-6.2228535,0.31851,0.57548005,1.022860325
1,4.25,0.1960038535,-1.91753,1.895045021,0.781972435,0.764610061,-0.002265,-2.11965,-0.26835492,0.996580862,-0.009819,-7.04915,-6.11605,4.64208,1.80307,76.943997355,97.63530667,404.04,0.97157,-43.2059933,10.91737763,-1.158420149,0.5523329,280.4996791,316.40997925,5.531381663,-6.433025,0.307115,0.56001085,0.155138538
1,4.75,0.199052789,-1.97982,1.87015,0.62362,0.561179393,0.00060335,-1.3144,-0.1870741,1.44588,0.004405,-7.08025,-6.085,4.55725,1.77261,77.2735,97.589703355,404.5270921,0.95167,-42.558133319,10.81024113,-0.814919914,0.6381314,279.6244384,316.08679875,5.616505549,-6.6266595,0.295375,0.546863,0.3986268125
