DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
10,19.75,0.018795,11.4378,45.95075,7.26935,5.78996075,0.563674225,28.4035125,26.0742875,101.510625,98.40205,15.959475,441.7948,24.2161,1.5855055,1.2685005,0.67832985,0.855177649999999,0.0164655402,1.08089688,43.2
10,20.25,0.02193,13.1614749999999,45.313325,12.3275,5.785889,0.5054239,27.52915,25.43875,101.56315,99.88966,14.03776,455.3185,24.34984,1.577715,1.258191,0.655626,0.853048,0.0271084352,2.84816896,2
10,20.75,0.01979,11.8875,53.2015,13.357375,6.345589,0.5723095,26.80478,24.71566,101.609,100,13.53764,468.8842,24.21753,1.550801,1.49907,0.7299056,0.8606068,0.021887688975,2.45104047999999,0
10,21.25,0.01708,7.8296,71.9677,9.466875,6.45189000000001,0.565648,26.51206,24.4268,101.6411,100,12.641325,470.117225,24.94008,1.567483,1.402097,0.6921454,0.7997063,0.0295130416,2.135763672,0
10,21.75,0.0212,15.4037,43.0243999999999,8.5225,6.6616875,0.714208,26.1128375,23.9059,101.682,100,11.5963675,462.412475,24.8298,1.786345,1.74053375,0.78783675,0.88597525,0.0242238472,2.250773952,0
10,22.25,0.02039,8.97470000000002,106.123499999999,9.81207499999999,6.285186,0.6481031,25.65356,23.33179,101.701,100,10.8515875,479.74375,25.89034,1.782563,1.374565,0.7773184,0.9617158,0.027249376,2.99163648,0
10,22.75,0.01305,5.01117499999998,53.5696,13.240925,5.880448,0.5914541,25.51586,23.22969,101.703375,100,10.586356,482.0266,24.979375,1.756777,1.406809,0.6985631,0.7476634,0.0311161536,2.48723299999999,0
10,23.25,0.02212,2.07719999999999,52.5942,22.9691,6.275461,0.5446953,25.33328,23.08434,101.72675,100,10.77072,481.015,24.97542,1.612353,1.228702,0.6750115,0.959186200000001,0.0283366664,1.618931776,0
10,23.75,0.02265,1.9954,82.710075,8.5316,6.133805,0.54317,25.04368,23.52817,101.7365,100,10.9911225,486.5274,24.4169925,1.681808,1.286944,0.6581358,0.8531093,0.0315072072,1.879994368,0
11,0.25,0.01752,7.04067499999997,63.0979,15.055225,5.956534,0.582949325,26.176605,24.3301475,101.37585,100,14.367425,501.113425,23.207745,1.675698,1.3169515,0.732553099999999,0.82384805,0.0315103341500001,2.75602432,0
