DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,12.25,-0.058,0.038,23.871,11.307,0.302,0.006,428.496,6.1195,67.232,400.85,168.4525,73.265,290.7175,317.1935,-0.8,82.6,2.9675,99.071,0.374,0.266,0.963,2.751,-3.8885,0.93445,0.4104,1.0204
1,12.75,0.0955,0.186,25.7825,11.914,0.3025,0.0035,428.7895,6.066,66.6355,393.25,184.127,58.6775,287.725,317.396,-0.8255,80.4,2.9175,99.0645,0.383,0.267,0.9865,2.749,-3.3835,0.9351,0.44935,0.99935
1,13.25,0.139,0.1095,26.267,11.081,0.299,0.001,428.657,6.017,55.373,382.05,160.269,51.171,289.262,316.7325,-0.5695,80.75,3.0235,99.096,0.3935,0.2685,1.03,2.747,-3.0295,0.9227,0.4194,0.99905
1,13.75,0.125,0.1585,24.368,12.8505,0.307,-0.001,428.817,5.854,47.552,343.95,150.3005,54.3735,290.088,316.1865,-0.6775,80.95,2.8725,99.087,0.4025,0.2705,1.054,2.745,-2.8545,0.92755,0.41935,0.96295
1,14.25,0.175,0.162,24.686,9.218,0.2785,-0.0135,428.76,6.17,34.3025,332.45,131.941,46.342,288.4835,317.091,-0.552,79.7,2.9455,99.0625,0.421,0.2735,1.069,2.743,-2.682,0.8858,0.37995,0.9643
1,14.75,0.118,0.008,26.491,7.0805,0.275,-0.013,428.441,6.141,24.933,320.35,109.9725,43.2045,283.4895,316.4435,-0.5995,78.04,2.7875,99.006,0.439,0.279,1.083,2.741,-2.8265,0.8948,0.3886,0.9629
1,15.25,0.264,0.256,21.995,5.048,0.28,-0.007,428.584,5.8835,11.89,219.95,88.7945,30.2465,283.652,314.217,-0.466,79.175,2.738,99.026,0.428,0.278,1.104,2.739,-2.985,0.86185,0.4017,0.95255
1,15.75,0.189,0.137,17.732,1.928,0.2815,-0.002,428.665,5.931,2.7485,173.25,56.546,19.91,276.3185,311.8505,-0.4405,80.6,2.5335,99.064,0.434,0.278,1.1345,2.738,-3.2565,0.80115,0.3703,0.8481
1,16.25,0.235,0.255,12.874,-2.312,0.256,-0.005,428.428,5.752,-11.8765,91.6,29.667,10.3775,279.1575,309.674,-0.5315,82.05,2.66,99.0825,0.4565,0.2885,1.1715,2.737,-3.473,0.785,0.3783,0.7903
1,16.75,0.23,0.271,10.548,-4.96,0.2325,-0.01,428.212,5.892,-19.4085,38.38,6.8445,3.0085,279.347,309.826,-0.6335,82.5,2.417,99.0985,0.4725,0.292,1.182,2.736,-3.769,0.688,0.3497,0.7596
1,17.25,0.318,0.361,8.1725,-5.3195,0.2245,-0.0085,428.345,5.997,-26.4505,0,-0.217,0.294,281.3385,308.788,-0.875,84.2,2.0335,99.0735,0.471,0.2935,1.175,2.7355,-3.936,0.5953,0.3032,0.6276
1,17.75,0.208,0.192,7.976,-5.9155,0.223,-0.0125,428.533,5.8035,-22.416,0,-0.915,0.026,284.8705,307.8405,-1.0255,84.9,2.161,99.095,0.461,0.292,1.1635,2.723,-4.82,0.62085,0.29725,0.62325
1,18.25,0.288,0.2865,8.2125,-5.136,0.2255,0,428.107,5.742,-17.9985,0,-0.647,0.039,288.6955,307.4795,-0.9585,85.15,2.066,99.1005,0.46,0.29,1.1505,2.7165,-5.189,0.5883,0.2923,0.6545
1,18.75,0.323,0.377,8.451,-5.098,0.226,0.015,428.1795,5.606,-16.8365,0,-0.636,0.03,288.255,306.599,-0.9685,86.25,2.059,99.123,0.466,0.2885,1.1375,2.712,-5.365,0.6382,0.3068,0.6242
1,19.25,0.1715,0.226,5.9905,-5.6885,0.211,0.0045,428.438,5.722,-15.7245,0,-0.636,0.052,285.1735,303.7335,-1.255,85.3,2.185,99.183,0.471,0.2865,1.1255,2.709,-5.6615,0.6316,0.32395,0.6759
1,19.75,0.2745,0.252,5.6405,-6.7395,0.234,0.004,428.784,5.7205,-15.409,0,-0.62,0.0505,287.887,305.192,-1.104,86,2.244,99.195,0.4665,0.2865,1.114,2.7055,-5.776,0.67265,0.3174,0.70795
1,20.25,0.287,0.353,6.3885,-6.0185,0.222,-0.002,428.631,5.8175,-15.2895,0,-0.651,0.0485,287.5635,302.8355,-1.5645,85.2,1.982,99.2,0.45,0.287,1.1035,2.7035,-5.803,0.619,0.33,0.6582
1,20.75,0.398,0.361,4.9785,-5.734,0.22,0.0155,428.8535,5.5965,-14.7685,0,-0.7225,0.054,285.8,301.7785,-1.8125,85.75,2.307,99.196,0.4365,0.2895,1.1005,2.702,-5.926,0.6483,0.3262,0.6663
1,21.25,0.214,0.267,4.028,-6.778,0.212,-5e-04,428.346,5.623,-14.5485,0,-0.594,0.0675,283.6805,301.724,-1.97,86.8,2.005,99.189,0.423,0.2925,1.099,2.701,-5.865,0.62085,0.3195,0.6804
1,21.75,0.279,0.307,5.0785,-6.833,0.224,0.011,428.273,5.464,-17.22,0,-0.738,0.057,283.951,301.115,-1.962,85,2.078,99.1365,0.379,0.295,1.061,2.686,-6.165,0.67265,0.32375,0.6732
1,22.25,0.298,0.271,4.95,-7.035,0.227,0.008,428.623,5.618,-17.2965,0,-0.6825,0.037,286.739,302.9215,-1.862,85.5,2.129,99.109,0.397,0.2985,1.0975,2.699,-6.199,0.6586,0.3256,0.675
1,22.75,0.249,0.1955,4.846,-6.9125,0.234,0.007,428.987,5.604,-17.902,0,-0.715,0.0425,288.1325,302.188,-1.892,85.65,2.388,99.0985,0.3835,0.301,1.0965,2.7,-6.218,0.6652,0.3559,0.68895
1,23.25,0.257,0.32,3.869,-6.264,0.232,0.013,429.608,5.569,-16.647,0,-0.625,0.0545,283.6995,302.696,-1.9965,85.9,2.2255,99.11,0.37,0.303,1.096,2.7015,-6.2255,0.67165,0.33865,0.72115
1,23.75,0.1795,0.136,3.913,-7.847,0.244,0,429.608,5.512,-16.0235,0,-0.8075,0.0415,283.182,301.5865,-1.9975,86.25,2.433,99.104,0.3615,0.3055,1.0955,2.704,-6.323,0.6891,0.3501,0.7133
2,0.25,-0.0575,-0.132,0.7865,-9.834,0.217,0.0055,429.199,4.919,-29.9905,0,-1.184,0.0035,261.7745,299.779,-3.3365,83.95,2.234,99.318,-0.0935,-0.1065,0.1255,1.2555,-5.174,0.544,0.31205,0.5923
2,0.75,0.12,0.099,4.7505,-7.294,0.228,0.021,429.906,4.915,-21.1255,0,-1.012,-0.005,263.618,299.1305,-3.3425,83.05,2.093,99.345,-0.0935,-0.1065,0.1265,1.2555,-5.1395,0.5884,0.2992,0.6564
2,1.25,0.187,0.1425,3.976,-8,0.237,0.01,430.021,4.926,-21.033,0,-0.938,0.0175,267.383,297.096,-3.519,83,2.0095,99.254,-0.093,-0.106,0.128,1.2545,-5.0965,0.6149,0.344,0.6084
2,1.75,0.129,0.033,4.33,-6.2465,0.204,0.011,430.871,4.875,-18.0295,0,-1.013,0.0185,269.086,296.7025,-3.7445,82.8,2.121,99.195,-0.093,-0.1065,0.1285,1.254,-5.3185,0.6098,0.3043,0.5982
2,2.25,0.128,0.068,3.94,-6.371,0.197,0.016,430.677,4.757,-17.391,0,-0.877,0.027,267.998,298.025,-3.6615,83.85,2.323,99.198,-0.0925,-0.106,0.128,1.254,-5.3235,0.5883,0.29695,0.6557
