DOY2,HR2,FC_1_1_1,LE_1_1_1,H_1_1_1,SW_IN_1_1_1,VPD_1_1_A,RH_1_1_A,TA_1_1_A,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_A,WS_1_1_1,PA,LW_IN_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,TA_1_1_1
1,0.25,-2.854515,-1.8283835,-15.488824,-4.321083875,0.008002186,57.03254525,-19.49723725,0.07045012,344.406575,0.559480725,0.798085385,95.7083555,152.009465,59.6795635,0.029898119,0.556973485,-19.4313565
1,0.75,-2.414525,-3.1943949,-14.8296079,-4.340750575,0.0093547825,57.6523595,-19.76604925,0.06711267,344.3906275,0.53181451,0.6245407,95.68826,151.2061425,60.4918535,0.030981426,0.54928824,-19.705247
1,1.25,-3.1270675,1.56500575,-1.8364156,-4.364917725,0.013906516,57.60956125,-19.88757925,0.03673806,344.53782,0.525496395,0.6377263025,95.6811865,151.096765,60.5911385,0.032102082,0.54020848,-19.99842825
1,1.75,-3.12433375,-1.7918498,-14.53316785,-4.31191785,0.01554513115,58.7210735,-20.029752,0.053685275,344.67927,0.5197051675,0.642657115,95.7005375,150.4861075,59.49886125,0.03213017875,0.5272371,-20.27668
1,2.25,-3.1216,4.9552695,-14.62270555,-4.064250575,0.018164444,58.30379825,-20.0618225,0.0604012675,342.000185,0.5174975975,0.63949269,95.7161925,151.614485,57.631213,0.032701326,0.51782737,-20.3786835
1,2.75,-2.4553,0.64299255,-4.9087399,-3.95683415,0.0104698209,57.730027,-20.203685,0.06328214,345.1884625,0.5111381825,0.611236235,95.71239125,151.453235,57.5197395,0.032902547,0.50426908,-20.5496
1,3.25,-2.97728,-1.31996058125,-10.449136925,-4.158500275,0.0082907678,58.717862,-20.3197425,0.055651365,346.7747475,0.5036976475,0.57841037,95.71369625,151.51895,63.860117,0.039161418,0.494234505,-20.61525
1,3.75,-3.49926,-3.2829137125,-15.98953395,-4.27191785,0.0247024097,59.25136825,-20.42765325,0.0594439175,341.818785,0.5016676775,0.3362190625,95.71663975,150.601485,64.6713895,0.031642483,0.481450765,-20.8539555
1,4.25,-2.94142,-3.849953,-18.73975044,-4.11958385,0.01167708375,59.23602,-20.6721155,0.0375744,344.501225,0.49316004,0.1705131325,95.7338945,151.173235,65.00271225,0.0422664285,0.5899492925,-19.22103
1,4.75,-2.157225,-1.75743605,-15.40410625,-3.929334425,0.0230323955,59.57993975,-20.69550175,0.0854439,344.32278,0.49697201,0.503258485,95.713874,151.7206925,65.0084335,0.03995794975,0.5832803225,-19.418175
1,5.25,-2.3132875,3.170688725,-13.785032675,-3.911001,0.0390325615,60.25464525,-20.737057,0.054091225,344.73442,0.5026140675,0.3965932075,95.72356525,152.399765,64.82513775,0.040249002,0.5772615525,-19.54885725
1,5.75,-2.05495,-0.7963086,-22.41706375,-3.94858415,0.026716914,61.091539,-20.9321395,0.08497288,344.921465,0.505249735,0.4931996225,95.71735825,152.3354075,63.330103,0.040873681,0.56765145,-19.77184425
