DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,7.9442,457.73841935,57.3767035999995,32.6338249999999,12.40787845,6.57562017499995,6.887435,16.55,0.892411024999999,3.248,0.387766,0.505162399999999,1.3157634,1.1197516,12.85575,6.196895,100,101.022,12.279,12.38425,12.5675,12.91775,13.161,-0.318787999999988,-0.462571999999996,0,0,0,0,0,374.411,378.19125,0
1,0.75,10.859,458.711714,53.19813095,23.1879,12.550450125,5.922277475,7.64495249999999,16.2354,0.947571399999999,3.3938725,0.39304325,0.494961749999999,1.2559635,1.205821775,13.008375,6.260325,100,101.022,12.2161,12.322575,12.533175,12.89175,13.168875,-0.0423035249999994,-0.71886750000001,0,0,0,0,0,374.981,376.658,0
1,1.25,9.065,452.919674075,39.3597338,20.5318,12.17032155,4.49365077500001,6.459325,16.0445,0.8836645,3.27898999999999,0.460545,0.58290765,1.297308525,1.328328675,12.7155,5.94794,100,101.031,12.15845,12.272575,12.464,12.853175,13.171625,-0.0168375249999945,-0.672297,0,0,0,0,0,374.5745,376.81425,0
1,1.75,6.6125,457.7467116,33.4377018,23.74025,11.96013585,3.063926,8.33436,16.01275,0.8692985,3.26465,0.433885,0.5319205,1.2511755,1.097964,12.70625,5.97976749999999,100,101.05,12.1003,12.2435,12.4395,12.827225,13.17845,-0.103588124999992,-0.415774750000004,0,0,0,0,0,372.7525,376.1475,0
1,2.25,9.34565999999997,462.070019,37.839822875,21.01685,12.519958475,3.4589865,7.3639,16.0404,0.771938,3.2904325,0.41998925,0.529204075,1.1582571,1.141507675,12.345,5.88243999999999,100,101.061,12.100725,12.194075,12.41485,12.80725,13.17935,-0.258010749999993,0,0,0,0,0,0,371.722,374.707,0
1,2.75,9.55237999999994,467.776492875,55.9761540499999,26.1425,12.5150861,4.94506164999998,9.12502499999998,16.04005,0.90245305,2.91369,0.3424045,0.46843335,1.052013,1.0973351,12.241625,5.46312,100,101.06125,12.0798,12.1728,12.3778,12.775,13.1626,-0.797917000000004,-0.457580250000009,0,0,0,0,0,371.07525,373.9865,0
1,3.25,10.3754,465.29321575,49.81261365,27.7127999999999,12.2027355,5.82333094999999,7.28728499999999,16.093,0.859860375,2.9286875,0.3755125,0.472983125,1.1226885,1.0574655,12.1804,5.9469,100,101.0625,12.087225,12.149475,12.348775,12.752275,13.1565,-0.977045500000001,-0.155074249999999,0,0,0,0,0,370.34875,374.46825,0
1,3.75,12.89975,458.4178414,52.3115083,27.942,12.5465287,4.54172495,8.00532000000001,16.0074,0.889467375,2.94208,0.358264,0.4624769,1.2292373,0.999445099999999,12.13685,5.8494,100,101.06125,12.048,12.14,12.3404,12.719,13.149,-1.0012025,-0.0215038499999996,0,0,0,0,0,370.2825,374.2305,0
1,4.25,7.20497999999999,468.701485825,52.0726176,50.4773999999998,12.586318,6.43659400000001,8.43723,16.016,0.864414675,3.0204275,0.40958325,0.47641085,1.17510975,1.03555355,12.17995,5.54928,100,101.06,12.0484,12.117,12.343,12.6962,13.1334,-0.59857225,-0.1874,0,0,0,0,0,370.562,373.934,0
1,4.75,6.32591999999999,461.83854625,52.2500934750001,23.7183,12.365760825,5.812573325,10.0865975,15.9964,0.938621449999999,3.0603125,0.402945,0.49641005,1.244498275,1.0392825,12.23005,5.57958,100,101.06125,11.9954,12.061,12.3276,12.6704,13.126,-0.6462,-0.151515249999999,0,0,0,0,0,371.364,373.868,0
1,5.25,6.7722375,460.6526272,54.656836375,33.01625,12.3540205,4.72896,9.3164275,16.026625,1.03042005,2.957955,0.396913499999999,0.5036541,1.11039595,1.07998105,12.2316,5.41834999999999,100,101.0425,11.97845,12.077725,12.31475,12.66125,13.131075,-0.87143,-0.177992999999996,0,0,0,0,0,371.48325,373.8125,0
1,5.75,8.644915,465.0571396,62.36421255,23.751,12.6635192,3.9472625,9.0624675,15.83425,0.910160799999999,2.99639,0.3949435,0.50351515,1.18194835,1.12973725,12.20755,5.37114,100,101.0725,11.954425,12.0493,12.27455,12.653725,13.112475,-0.96578,0,0,0,0,0,0,371.441,373.75175,0
1,6.25,9.02024000000001,466.748395775,49.556095,30.351,12.223825275,5.467871,9.02773999999999,15.9429,0.94486315,2.948665,0.3922145,0.497173475,1.160240375,1.0284627,12.007675,5.8388975,100,101.09,11.8994,12.053,12.2504,12.6382,13.108,-0.828342500000005,0,0.697958125,1.54955,0.032128,0.697958125,3.4137,370.6375,373.1695,1.0095
1,6.75,8.08593999999999,460.1005112,55.822051625,38.135725,11.8847073,4.9986255,9.5075625,16.09295,0.911435,3.26484,0.40024,0.500121,1.2084706,1.1024122,11.869875,5.7601,100,101.1115,11.852825,11.9903,12.229475,12.627025,13.09165,-0.815012500000009,-1.34761400000001,4.14938924999995,7.679285,10.7285,4.14938924999995,3.4137,370.147,372.14725,1.158
1,7.25,9.01807499999996,466.48064945,59.527605625,34.10085,11.71347235,4.795820125,8.0573,16.3497,0.8917544,3.4930075,0.45008925,0.54651935,1.37370965,1.16737455,11.971125,5.68013499999998,100,101.123,11.87115,11.95845,12.230725,12.62455,13.0829,-0.856846250000004,8.28306,41.3254999999999,28.4517499999999,5.1455,50.706,10.0259099999999,370.005,372.38875,16.948
1,7.75,12.9411,474.18926255,46.950557175,43.386775,11.7190065,6.29352772499996,17.97095,16.25675,0.9364286,3.663925,0.4617215,0.5780332,1.36868845,1.155194,11.9815,5.719075,100,101.15,11.8789,11.95045,12.20955,12.6161,13.0767,-0.251728999999998,25.7975499999999,76.00675,129.572,15.2555,75.81865,24.23695,369.84,372.54125,76.58
1,8.25,4.678585,471.8443468,40.43732875,42.734325,12.662502,4.87790475,16.48965,16.3462,0.729398775,3.43159,0.416211,0.56213785,1.276691,1.1450153,12.22,6.418625,100,101.17525,11.89275,12.036,12.19175,12.609,13.07875,0.147270000000001,83.092575,167.2585,310.7505,36.7401,164.453,40.99725,370.53375,375.849,159.51
1,8.75,11.3276,459.319489,59.1347250999999,62.0069999999999,13.4785859,5.63869489999999,36.448575,16.517,0.789576,3.4701125,0.479309,0.554979550000001,1.3087832,1.08391445,13.12775,7.61024249999999,100,101.21175,11.96355,12.077,12.1864,12.63745,13.07625,3.6803935,128.78775,262.31675,522.315,67.9501999999999,262.004,63.957,370.7625,382.89125,247.21
1,9.25,7.081775,455.6156969,44.4988837,74.8888,14.13843695,4.4746005,62.1243,16.898,0.8409335,3.45652,0.487241,0.589338799999999,1.2882043,1.1899485,13.8048,9.19269999999999,100,101.23175,12.1316,12.157,12.274,12.70205,13.094,11.05944,188.47925,343.353,682.65225,91.59545,343.353,75.348725,372.4675,391.27125,342.28
1,9.75,10.3374999999999,450.9243495,43.8074451999999,92.5125999999999,14.5672565,5.6089328,83.8806,17.6255,0.79748695,3.467805,0.48807375,0.595231825,1.306268075,1.24280315,14.7488,11.0924,100,101.24175,12.4365,12.26445,12.31105,12.71255,13.05655,19.28076,232.72675,415.87275,846.69025,113.57625,419.11825,88.06695,374.29875,411.11125,410.97
