DOY2,HR2,T_CANOPY,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,-12.25859,398.242,19.95599496,0.2185405,1.188765,1.090869632,-5.421309,-5.93685,1.1325,98.452605,70.489,-8.5685,0.152970585,-9.61305,3.1440639,243.25995,267.57425,-21.23895,0.000638873,-1.093504,0.19559295,-1.840797,-0.0389,0.6285343175,0.1716515,0.455924859,0.2040788675,3.512404
1,0.75,-12.11565,398.126,19.953095,0.236553,1.220195,1.1037205905,-4.945049,-4.6306,1.9471,98.42066,69.07,-8.772,0.167032931,-9.84925,2.934,242.84625,268.8914,-20.949355,0.000658291,-1.159027,0.16304315,-1.834777,-0.042297,0.612772388,0.182548,0.463346523,0.200812101,3.43722
1,1.25,-11.785085,397.8855,19.94706676,0.298747,1.14367,1.0694957045,-4.8269495,-4.8758,2.1534,98.41212,68.2665,-8.756,0.168994608,-9.71415,3.4698711,242.8187,268.1355,-22.438985,0.0006388755,-1.125603,0.15380585,-1.8387685,-0.0401,0.620409039,0.1769965,0.4633270765,0.2113708055,3.710934
1,1.75,-11.50086,396.465,19.91142866,0.240915,1.08586,1.042612104,-5.1114975,-6.5374,2.608,98.39405,69.6635,-9.2325,0.162884157,-9.91625,3.309474,247.3169,268.02955,-22.21331,0.0006653465,-1.0925405,0.19401,-1.85475575,-0.0407,0.6462201885,0.1724855,0.4474824305,0.218370667,3.758527
1,2.25,-11.60786,396.61,19.91506878,0.209215,1.091215,1.0451841935,-5.054481,-8.13285,1.6983,98.413225,69.533,-9.299,0.160312195,-10.02395,3.4051757,246.24415,268.429,-18.296565,0.0007112335,-1.049822,0.16543825,-1.85721975,-0.040238,0.595847296,0.175267,0.471889818,0.206935497,3.752713
1,2.75,-11.95328,398.016,19.95033834,0.304126,1.065625,1.032446991,-5.2907205,-7.1912,2.5072,98.40574,69.26565,-9.482,0.151009602,-10.1859,3.27909711,238.25365,267.5367,-22.48985,0.000705937,-1.229181,0.19508795,-1.8623375,-0.0469,0.606627563,0.184989,0.476299276,0.221133444,3.96409
1,3.25,-11.73767,397.35,19.95161648,0.27746,1.22238,1.106291101,-4.817501,-8.1498,2.1421,98.413325,69.3815,-9.538,0.15318714,-10.5995,2.7491,237.05135,267.50525,-24.66545,0.000667114,-1.3724115,0.18225185,-1.875897,-0.0458,0.605893555,0.190145,0.438373129,0.217189088,4.063102
1,3.75,-12.373385,399.596,19.98989745,0.249908,1.294435,1.1384244515,-5.6531185,-7.5948,1.4658,98.409215,68.5746,-9.952,0.153297097,-10.785,2.733,237.34765,265.0796,-25.105645,0.000702411,-1.38431,0.17039225,-1.8961345,-0.0436,0.605809376,0.184268,0.469604089,0.210475652,4.0850315
1,4.25,-12.158265,398.9865,19.974637145,0.2974005,1.31968,1.1495293595,-5.551679,-7.55175,2.1267,98.4265,63.953,-9.775,0.16643317,-10.794,2.80765,241.1355,266.77325,-23.796165,0.000621226,-1.189578,0.1776287,-1.91754175,-0.044254,0.654874034,0.182938,0.43835602,0.206592836,3.889356
1,4.75,-12.26921,396.123,19.907498255,0.262499,1.32929,1.1537133355,-5.8933365,-7.9326,1.4558,98.38019,69.26995,-9.978,0.1565166085,-10.99,3.37234825,241.7429,265.19135,-21.31866,0.000688291,-1.1436255,0.1842083,-1.93922025,-0.03755,0.6215238755,0.1750345,0.437780104,0.1988555355,3.9899525
