DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,H,LE,G,TS_1_1_1,TS_2_2_1,RH_1_1_1,PA,CO2,VPD_1_1_1,NETRAD,SW_IN,SW_OUT
1,0.5,0.1585,-0.36,1.4475,0.068,0.068,-0.8975,0.954,-4.3425,2.288,1.3325,90.8,85.937,397.3225,1.65,-27.7275,0,0
1,1.5,0.162,-0.4325,1.4125,0.0815,0.0815,0.165,1.351,-4.445,1.84125,1.1625,90.025,85.9415,397.1,1.5225,-26.755,0,0
1,2.5,0.15925,-1.0625,1.405,0.105,0.105,-1.248,1.489,-4.724,1.41475,1.01,92.45,85.9845,397.71,1.37,-26.0875,0,0
1,3.5,0.156,-0.935,1.2875,0.072,0.072,-0.161,1.51675,-5.253,1.085,0.7975,93.75,86,396.55,1.3225,-26.605,0,0
1,4.5,0.14725,-1.3375,1.3075,0.07325,0.07325,-1.05325,1.478,-6.31,0.9075,0.6775,93,86,397.545,1.1675,-28.76,0,0
1,5.5,0.15075,-1.2725,1.2175,0.044,0.044,-0.493,1.132,-6.67625,0.7305,0.5775,93.3,86.052,396.87,1.265,-26.7225,0,0
1,6.5,0.157,-1.49,1.185,0.0585,0.0585,-0.9555,1.2985,-7.06375,0.58575,0.5,93.3,86.071,397.8,1.25,-26.11,0,0
1,7.5,0.146,-1.1825,1.1775,0.0705,0.0705,-1.53525,1.02425,-7.235,0.40175,0.395,90.75,86.0745,397.315,1.1575,-19.805,8.675,3.2
1,8.5,0.1535,1.4525,1.1425,0.05475,0.05475,10.43875,8.77175,-7.84775,0.33825,0.345,81.475,86.1165,397.85,2.1275,16.5455,142.4,42.25
1,9.5,0.195,3.425,1.545,0.061,0.061,46.57725,15.42225,-5.435,0.21725,0.3275,72.55,86.1,396.63,3.3725,85.1925,308.525,81.3
1,10.5,0.22425,4.6525,1.8975,0.0415,0.0415,88.587,20.89,0.591,0.578,0.355,67.79,86.1,396.67,4.1,198.66,453.925,114.75
1,11.5,0.253,5.4225,2.29,0.0315,0.0315,124.99,26.18925,11.15125,1.828,0.9,63.97,86.05525,396.235,4.6975,250.77,547.025,133.95
1,12.5,0.2735,6.1525,2.595,0.0295,0.0295,140.6525,27.4275,21.0345,4.6845,2.5175,61.4075,85.924,396.0625,5.25,275.455,577.8,137.3
1,13.5,0.27475,7.2675,2.625,0.02075,0.02075,136.1725,31.6065,26.4515,7.008,4.0075,58.05,85.8415,396.27,5.865,252.8075,547.45,129.95025
1,14.5,0.273,7.56,2.535,0.0275,0.0275,108.44,25.07325,30.65,8.46,5.075,56.975,85.79925,395.9975,6.1725,195.02,450.8,111.25
1,15.5,0.247,7.145,2.34,0.01325,0.01325,64.552,17.74675,30.885,9.285,5.675,56.18,85.8,395.27,6.135,108.9625,317.95,79.55
1,16.5,0.17825,5.8825,2.0225,0.026,0.026,14.40225,6.8915,24.87,9.20375,5.645,62.45,85.8,395.4525,5.3925,16.09375,145.35,37.8
1,17.5,0.13375,3.955,1.8475,0.035,0.035,-1.255,2.913,13.10875,8,4.715,71.3,85.81775,394.795,3.95,-32.185,11.3,3
1,18.5,0.14325,2.7575,1.75,0.056,0.056,-1.98,1.358,3.6875,6.9165,3.8675,78.8,85.84075,395.19,3.2675,-34.75475,0,0
1,19.5,0.14425,1.6725,1.6175,0.0925,0.0925,-1.601,2.1245,-1.0075,5.606,3.21,84.275,85.9,395.425,2.6625,-34.2575,0,0
1,20.5,0.149,1.19,1.5475,0.0915,0.0915,-1.84325,1.794,-3.45075,4.5915,2.65,86.1,85.94025,396.04,2.4525,-30.779,0,0
1,21.5,0.151,1.1525,1.5025,0.076,0.076,-1.776,1.72075,-3.91725,3.7885,2.205,88.3,85.9,395.82,2.1275,-30.265,0,0
1,22.5,0.169,0.945,1.445,0.083,0.083,-0.782,1.4965,-3.92575,3.2115,1.8325,89.9,85.925,397.1175,2.1625,-25.821,0,0
1,23.5,0.149,0.455,1.4075,0.078,0.078,-0.79475,1.31025,-3.853,2.79,1.6025,89.5,85.9775,396.14,1.9225,-28.073,0,0
2,0.5,0.16075,2.845,1.93,0.0625,0.0625,-0.04525,1.9685,-6.97725,6.40675,5.19,81.35,85.489,390.3175,3.19,-31.8255,0,0
2,1.5,0.1545,2.995,1.7,0.032,0.032,-0.604,2.339,-7.486,5.91425,4.82,82.675,85.5025,389.21,2.985,-29.28,0,0
2,2.5,0.1585,2.88,1.59,0.05375,0.05375,-0.05025,1.3825,-7.5175,5.27,4.455,81.7,85.5035,390.415,2.995,-27.9475,0,0
2,3.5,0.1605,3.005,1.605,0.049,0.049,-1.31,1.80575,-7.3035,4.976,4.195,83.1,85.5,389.93,2.78,-27.2355,0,0
2,4.5,0.1825,2.42,1.585,0.064,0.064,-0.32375,1.796,-6.87675,4.751,3.9,83.8,85.509,390.675,2.64,-27.1865,0,0
2,5.5,0.167,2.415,1.58,0.051,0.051,-0.79,1.82,-7.359,4.492,3.76,82.95,85.514,389.78,2.42,-25.296,0,0
