DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,-0.128535,409.8175,-0.17795275,-76.648575,-3.1473775,0.7140385,-1.43355975,-0.19225675,-9.0026925,-9.4953275,0,0.0349425,95.51470125,35.92586175,0.310826,-42.678792,-31.24864125,-27.5462925,-6.8151443,-5.923057875,-4.562243325,-2.18886765,-2.20935535,-0.1209054825,0.7240741,2.38730895,-4.2665379,-0.37623914,157.7929775,154.1648325,-0.1682975
1,0.75,-0.366333,409.68875,-0.0159125,-84.323925,-0.21747475,0.68684225,-3.900685,-0.7021695,-9.0389975,-9.5404325,0,0.0111525,95.537805,37.8088105,0.30021975,-42.76321775,-30.99561925,-28.6960465,-6.779036025,-5.906782225,-4.573720525,-2.18567535,-2.22454325,-0.13093672,0.763807975,2.400067475,-4.04972325,-0.3816507525,157.3070125,154.564225,-0.1767325
1,1.25,-0.301904,409.69025,-0.01342175,-90.963275,-0.3910855,0.67491975,-4.88669,-1.4443495,-9.084475,-9.59032,0,0.0111155,95.560765,36.8053625,0.29017075,-42.86453,-30.622113,-29.16062825,-6.73726525,-5.8883075,-4.59406475,-2.21747965,-2.2560594,-0.118458875,0.74471975,2.417011,-3.9298308,-0.6553458875,157.1275,154.497325,-0.2485825
1,1.75,-0.2814935,407.13375,-0.45258825,-83.6894,-4.00886,0.66866975,-3.019065,-0.487436,-9.1332075,-9.640115,0,0.02984,95.5763635,35.4942225,0.2744415,-42.894218,-30.465077,-27.9374875,-6.69048425,-5.860138625,-4.59468605,-2.2186524,-2.2740332,-0.1450930725,0.83014535,2.472710775,-3.889163125,-0.3131350225,157.2764225,156.0244475,0.052757
1,2.25,-0.1663745,410.35025,-0.00554745,-102.2751,-1.382095,0.65937625,-1.8072075,-0.29328,-9.18354,-9.69363,0,0.0140275,95.75535,35.246896,0.29662375,-42.8240845,-30.321954,-27.791399,-6.6660936,-5.8544218,-4.6031814,-2.23162435,-2.2324986,-0.18741366,0.83228,2.4881824,-4.22267,-0.92551288,158.08828,156.0991,-0.179442
1,2.75,-0.2500965,409.51225,-0.28748425,-11.836725,-1.6462675,0.26484675,-3.2360875,-0.66901275,-9.23946,-9.725855,0,0.0205725,95.93225,37.22136,0.17158475,-42.63766625,-28.125478,-26.57567575,-6.6763884,-5.8756038,-4.6387442,-2.278905725,-2.2491805,-0.21612782,0.808026,2.4884296,-4.404779,-0.462025195,160.2859,155.74698,-0.11653025
1,3.25,-0.267312,410.03425,-0.46778125,-87.29815,-1.46471275,0.64465775,-2.5201875,-0.55398275,-9.301055,-9.805825,0,0.01228,95.96145,41.0718295,0.28970825,-38.42678175,-25.07078,-26.796551,-6.5965389,-5.765514,-4.533577,-2.294439125,-2.443202375,-0.15812216,0.80454925,2.47998565,-4.09024,-0.9700743,183.53857,177.14243,-0.3276155
1,3.75,-0.308814,410.3335,-0.08217075,-78.098175,-1.20518875,0.661284,-0.765795,-0.243583,-9.3534625,-9.8375625,0.0087112,0.0125575,95.9682,40.18064875,0.27690775,-31.489868,-25.4211575,-27.70791,-6.663422375,-5.831681375,-4.593015625,-2.210455425,-2.43871925,-0.1504788875,0.815901,2.4959465,-4.00851455,-0.63713291,185.0052875,192.1735875,0.01919075
1,4.25,-0.30005,403.61475,-0.5975785,-80.260125,-5.8973975,0.6544475,-0.45474475,-0.09147,-9.39511,-9.7996504,0.038655,0.0238125,95.96,39.897588,0.28669525,-31.708375,-25.97804,-28.11886,-6.6203151,-5.7931644,-4.5494785,-2.19447615,-2.341520875,-0.16402872,0.8093892,2.5163107,-3.8382265,-0.82310013,184.6968,190.95998,-0.1975
1,4.75,-0.212504,404.8595,-0.009666,-67.426,-1.60326,0.63887625,-0.57633025,-0.2775905,-9.430175,-9.82175,0.027335,0.019135,95.9611,39.7175675,0.2940765,-31.7562285,-25.89236375,-28.42723125,-6.6265617,-5.80427005,-4.56626655,-2.226162825,-2.32973115,-0.197292885,0.76314427,2.5171657,-3.7138317,-0.757747155,184.61849,192.99511,-0.27785425
