DOY2,HR2,USTAR,H,LE,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,G_1_1_7,G_1_1_8,G_1_1_9,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,0.25,0.226475164,-12.14083586,1.968943032,0.520359,0.411898,0.176604,0.229105,1.161115,-19.215835,-19.856165,80.13879,81.356005,97.971188,-5.679795207,-4.3979622665,-3.572069915,-0.4851667085,-7.335860904,-4.9803459795,-6.176068971,-7.9597944485,-4.2756232135,-2.649731204,-0.9010119145,-14.76111628,-0.03922923,0.6153898,-6.8180515,-6.5117765,-5.4857825,-5.302391,-4.482414
1,0.75,0.303403517,-5.77507619,1.613432463,0.4740885,0.4293255,0.190434,0.281018,1.552527,-19.51288,-20.213725,80.173955,82.132095,97.963928,-5.734747614,-4.396057856,-3.613491055,-0.497152917,-7.434810216,-4.966600264,-6.2272457445,-7.9705885885,-4.2765336775,-2.371006986,-0.9099313885,-11.21887597,-0.04145321,0.6137873,-6.783811,-6.4746255,-5.440041,-5.2621795,-4.433583
1,1.25,0.228591338,-2.823850609,-0.4449509775,0.444445,0.39462,0.1607535,0.26429,1.416282,-18.71994,-19.73846,79.573865,82.205465,97.95716,-5.789089413,-4.418691911,-3.635017497,-0.51370766,-7.534257487,-4.9823379235,-6.286659098,-8.019122168,-4.287593559,-1.7800242845,-0.9536614625,-9.743875968,-0.03586865,0.6120472,-6.7443855,-6.436038,-5.390877,-5.218932,-4.3396015
1,1.75,0.20483652,-2.2764882615,2.281064655,0.4839715,0.415081,0.1673585,0.342437,1.581953,-18.533385,-19.325505,79.803665,82.103775,97.980308,-5.8215565925,-4.4289819585,-3.6392934305,-0.5290621375,-7.592478905,-4.9669997695,-6.3116329205,-8.060647292,-4.2906454695,-2.087520293,-0.9776721445,-7.091731783,-0.03808596,0.6232442,-6.7226835,-6.4067175,-5.365125,-5.161134,-4.286244
1,2.25,0.2185191825,-7.768205636,1.906294538,0.4858035,0.4250685,0.164772,0.262201,1.265717,-18.62456,-19.212355,80.58273,81.13481,97.994456,-5.8459801475,-4.4643370085,-3.6568771775,-0.5354646995,-7.6287363405,-4.9541721725,-6.377684914,-8.075948043,-4.286074195,-2.018097472,-0.951983155,-7.4454112405,-0.03866993,0.6227152,-6.710669,-6.3216395,-5.3364235,-5.0443125,-4.2642515
1,2.75,0.1891417735,-6.864562777,-0.421559098,0.455643,0.492561,0.207878,0.235507,1.1757055,-18.622425,-19.52054,78.262245,80.45813,97.97774,-5.879374285,-4.4835649345,-3.6637718395,-0.524781151,-7.669210716,-4.952527004,-6.423268143,-8.046709387,-4.283028876,-2.127359614,-0.997358669,-8.245337209,-0.03640559,0.6198402,-6.63691,-6.307243,-5.2911205,-4.9983505,-4.250024
1,3.25,0.139459672,-9.346585358,2.282033872,0.557765,0.4996415,0.204377,0.246526,1.127433,-18.540205,-19.973835,79.293435,78.33991,97.984112,-5.903819929,-4.518985412,-3.657538412,-0.5052496575,-7.731185335,-4.9901692215,-6.459898111,-7.99928847,-4.277575975,-2.589901863,-1.010592851,-12.57168605,-0.03923943,0.6226714,-6.610436,-6.2866425,-5.2795745,-5.0345995,-4.2337495
1,3.75,0.141092168,-3.311150305,0.8496096425,0.569195,0.469693,0.179251,0.242921,1.073263,-18.558215,-19.87047,78.61942,78.16932,97.986704,-5.91941806,-4.5745256555,-3.6502932885,-0.4882929945,-7.77282953,-4.9776908815,-6.514777979,-7.9082026945,-4.2648352355,-2.3358952095,-0.8748833195,-10.5109651155,-0.03756134,0.6344112,-6.603445,-6.2701725,-5.317667,-5.0753715,-4.2019165
1,4.25,0.206398846,-20.6162000225,0.724849366,0.520361,0.470971,0.223365,0.2242315,1.125532,-18.473025,-19.588305,78.429965,79.408725,97.969256,-5.937805741,-4.558877554,-3.635815771,-0.493223276,-7.830336485,-4.9764942265,-6.5264258965,-7.8098363335,-4.255158767,-2.017629408,-0.8351036975,-8.3442527145,-0.03808523,0.6321331,-6.613435,-6.2380195,-5.3089615,-5.0546275,-4.190129
1,4.75,0.142699983,-5.429820081,0.5857239735,0.536914,0.442727,0.1979475,0.209688,1.100867,-18.364705,-19.3555,78.483005,79.10562,97.94924,-5.960005387,-4.5475648105,-3.648755899,-0.4956631685,-7.9153841445,-4.9976611885,-6.481875045,-7.7497602555,-4.2477547525,-2.1375578845,-0.872872227,-7.414448837,-0.03979115,0.6377141,-6.586083,-6.2027335,-5.280269,-5.024014,-4.1493995
