DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
1,8.75,1.022195724,-23.4705793425,-0.10671455,-9.955896,-14.259925,-4.20106855775,-17.175,-13.35282,-13.5289825,44.201570165,0.32266363575,65.353835,0.526492475,6.6514395,394.7601927,1.783569512,-9.811878,124.389249975,-8.8125,-8.2475,-6.87,-8.2275,-7.4745,-6.45325
1,9.25,2.63759576425,-16.110573985,-0.032145824,-5.98801,-8.579201,-3.75027311325,0.622518975,-13.2369875,-13.3271825,43.29380754,0.328912774,65.38544,0.49968665,6.737037,394.62570005,1.8642414795,-9.71456825,164.464299975,-8.845,-8.245,-6.89525,-8.2425,-7.487,-6.462
1,9.75,4.567328914,-10.87765805,-0.081550447,-3.9215105,-5.07963225,-2.47748731675,10.7270325,-13.0918625,-13.2708175,42.2508048,0.35553470275,65.39683,0.5128267,6.5110035,394.8361122,1.898440293,-9.63386,210.86375835,-8.8075,-8.23,-6.8685,-8.24375,-7.48075,-6.42625
1,10.25,5.92870393425,-4.83891855675,-0.028547443,-1.65983225,-1.4688265,-1.22278319075,18.90944,-12.9033775,-12.74835,40.769457995,0.352724634,65.391225,0.4792553,5.9024545,394.61708765,1.917516281,-9.53360325,244.5708,-8.78,-8.21,-6.92175,-8.215,-7.479,-6.419
1,10.75,8.612010653,-1.191492449,-0.0039591945,-1.0186405,-0.112589045,-0.414054183,30.61398,-12.82708,-12.54045,42.36907883,0.3695830535,65.373055,0.4855671,5.906153,394.78163825,1.961183917,-9.285997,277.971041675,-8.7075,-8.19,-6.917,-8.112,-7.482,-6.44525
1,11.25,9.612506859,3.93255461925,-0.019403903,1.175905825,2.816797,0.2702557945,41.7992925,-12.67202,-12.600845,44.2341101175,0.390176611,65.37382,0.464822175,6.14719775,394.81307565,2.00144069475,-9.10864,307.82700945,-8.66,-8.1925,-6.91975,-7.98525,-7.4955,-6.455
1,11.75,9.89058181775,6.8660073765,0.074877299,2.42071,2.9454675,0.79953723225,49.66515,-12.43701,-12.338965,45.320855305,0.4125901375,65.36679,0.483434,6.119322,395.083925425,2.0456650085,-8.968899,309.5405644,-8.6225,-8.185,-6.91025,-7.86925,-7.48925,-6.44075
1,12.25,9.756024958,12.2558502825,0.144868237,2.8208655,2.90601075,1.7472477365,55.97292,-12.459535,-12.48974,43.759369545,0.421984561,65.32242,0.486410325,6.47796625,394.8823524,2.04228787075,-8.847835,360.7501382,-8.6275,-8.195,-6.943,-7.76375,-7.50125,-6.419
1,12.75,9.88328871425,10.27471546,0.14546254625,1.59582825,1.952166,2.2269971495,54.20365,-12.4614225,-12.2940475,43.42207042,0.4187049265,65.306625,0.493250075,6.691636,395.038348875,2.049313688,-8.585748,350.972475025,-8.6,-8.1875,-6.912,-7.65975,-7.484,-6.43225
1,13.25,10.093789945,10.10394877,0.117870478,0.59876755,-0.8037567,1.93362834625,51.76072,-12.4839375,-12.49134,44.6258421075,0.424555516,65.30428,0.49126805,6.804354,394.9980363,2.141756884,-8.32576525,316.038075025,-8.54825,-8.1975,-6.91075,-7.639,-7.45875,-6.43525
