DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1
1,0.25,0.234851,-0.562,1.49892,0.473072833,0.4649485,0.0023347225,-25.6834,4.0196,0.0068380895,-2.3908005345,-0.15,-0.162,-0.156,74.27214712,85.8994,399.4343496,-47.32,0.1695,0,0.46,259.6,304.6,5.062786168,-0.0169769,0.670941875,0.629732483,0.254208182,-0.98,0.4216882495,-0.3,-0.3,0.6,2.35,4.1,7.5,-0.2,0,0.8,2.5,4.45,8
1,0.75,0.224362,-0.747,1.60228,0.490052,0.492477,0.004555556,-25.6162,4.07586,-0.052571052,-4.408948665,-0.1795,-0.171,-0.191,74.17312143,85.8952,399.5485494,-47.016,0.158,0,0.420645,258.65,304.45,5.0907330015,-0.0121754305,0.70576625,0.602593561,0.251010159,-1.179,0.4152987285,-0.3,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.45,8
1,1.25,0.233914,-0.757,1.5835,0.506833,0.507571,0.004327778,-23.3016,4.154225,-0.034871058,-4.162714375,-0.2,-0.2,-0.1855,73.700030365,85.8826,399.8510915,-46.1565,0.156,0,0.384,256.31435,304.05,5.03719813,-0.010200955,0.701798404,0.593520851,0.265106394,-1.196,0.416203775,-0.3,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.45,8
1,1.75,0.2149945,-0.948,1.52195,0.5234690555,0.505684,0.0041569445,-23.30495,4.325595,-0.024706405,-4.518478127,-0.2,-0.2075,-0.215,74.85701796,85.87055,399.8692923,-48.585,0.1585,0,0.46,256.6542,303.8,4.9791035095,-0.0178907,0.724245992,0.6265993955,0.2592397595,-1.31,0.4113668745,-0.3,-0.3,0.6,2.35,4.1,7.5,-0.2,0,0.8,2.5,4.425,8
1,2.25,0.2243085,-0.984,1.633555,0.483347444,0.478628,0.001252778,-23.52425,4.6869,-0.047334819,-3.535124422,-0.2,-0.2105,-0.222,74.70357752,85.89295,399.6049066,-49.392,0.1805,0,0.462,256.7593,303.6,4.984046382,-0.013776,0.676878725,0.618141977,0.25713535,-1.2375,0.4073042785,-0.3,-0.275,0.6,2.325,4.1,7.5,-0.2,0,0.8,2.5,4.4,8
1,2.75,0.233314,-1.1135,1.57188,0.534055,0.535024,0.006263889,-24.45535,3.8437,-0.026316317,-4.732839415,-0.203,-0.273,-0.2455,75.13080419,85.8893,399.1792902,-43.596,0.159,0,0.4525,258.45,302.85,4.8454953735,-0.0164895,0.686527494,0.625437447,0.26858332,-1.4055,0.393319034,-0.3,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.4,7.95
1,3.25,0.235465,-1.024,1.46668,0.394472889,0.411948,0.0064347225,-24.1106,3.36438,-0.0122374895,-3.856276803,-0.208,-0.292,-0.2275,75.524223935,85.9041,399.0297529,-43.1695,0.132,0,0.5145,261.45,301.85,4.868565051,-0.0176648,0.6762873945,0.6520943415,0.257547944,-1.371,0.4033948835,-0.325,-0.3,0.6,2.325,4.1,7.5,-0.2,0,0.8,2.5,4.425,8
1,3.75,0.219185,-1.082,1.56833,0.535252111,0.531534,0.001936111,-23.4496,3.45921,-0.011048039,-4.2025314715,-0.217,-0.3,-0.2465,74.660348615,85.89235,399.0586033,-47.929,0.152,0,0.496,257.45,301.5,4.888347323,-0.0134891,0.710411852,0.636824937,0.261888908,-1.501106,0.414558248,-0.325,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.45,7.95
1,4.25,0.22985,-1.245,1.561615,0.5145752225,0.5137465,0.0031319445,-24.1324,3.721045,-0.0105046145,-4.225613546,-0.25,-0.3,-0.269,74.58616642,85.903,399.0371947,-44.164,0.157,0,0.438,258.1,301.9,4.825903599,-0.01171505,0.69642085,0.638433239,0.25570569,-1.472,0.3892895485,-0.325,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.4,8
1,4.75,0.2170875,-1.285,1.51453,0.521580667,0.5190805,0.000683333,-21.1964,4.44495,-0.02935107,-4.549795262,-0.2445,-0.3275,-0.309,74.7690473,85.8898,399.27514415,-44.197,0.152,0,0.401,261.7,301.9,4.820965752,-0.01512725,0.709754183,0.662117814,0.257099203,-1.578,0.421181671,-0.325,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.45,7.95
1,5.25,0.229166,-1.41,1.48308,0.508845333,0.501195,0.001138889,-22.8974,3.96274,-0.042849062,-4.14601994,-0.244,-0.317,-0.367,74.67869634,85.8733,399.07608665,-44.489,0.172,0,0.437,262.0143,301.5,4.8484790455,-0.011419,0.694763409,0.6300704825,0.2508047475,-1.7416475,0.4136163515,-0.3,-0.3,0.6,2.35,4.1,7.5,-0.2,0,0.8,2.5,4.4,7.95
1,5.75,0.245212,-1.463,1.49333,0.5191148885,0.5229965,0.0051819445,-22.9043,4.474525,-0.010374667,-4.235532407,-0.2585,-0.3075,-0.37,74.5010875,85.8724,399.16807275,-45.142,0.161,0,0.444,260.1225,301.1,4.8532900945,-0.0164522,0.7047647185,0.647585464,0.280902296,-1.9225,0.430215063,-0.35,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.4,7.95
1,6.25,0.2463205,-1.402,1.581186416,0.5405416115,0.520559,0.000683333,-25.984,3.698315,-0.0238338685,-4.940344671,-0.27,-0.3445,-0.448,74.29546182,85.8886,399.0375159,-50.297,0.141,0,0.458,261.8,301.6,4.890341457,-0.01844856,0.710404017,0.647543419,0.2799412135,-1.98,0.404060962,-0.4,-0.3,0.6,2.35,4.1,7.5,-0.2,0,0.8,2.5,4.45,7.95
1,6.75,0.2678265,-1.528,1.673625,0.585851833,0.579558,0.006377778,-25.10375,4.532565,-0.0368128005,-4.5608172385,-0.293,-0.35,-0.454,73.4910452,85.8789,398.97993515,-51.148,0.156,0,0.456,256.4,301.4,4.8598294985,-0.0281039,0.7187634805,0.648907388,0.2771693505,-1.829,0.4140903985,-0.4,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.4,7.9
1,7.25,0.237812,-1.43,1.472495,0.616971778,0.59902,0.004327778,-23.5933,4.33087,-0.018555023,-4.9727644635,-0.266,-0.4305,-0.4625,74.023394445,85.90095,399.2705822,-44.122,0.151,0,0.4575,253.8,300.45,4.867942977,-0.0162377,0.720619872,0.635413251,0.269065977,-1.832,0.401677234,-0.4,-0.3,0.6,2.3,4.1,7.5,-0.2,0,0.8,2.5,4.4,7.9
1,7.75,0.237023,-1.448,1.471375,0.471354333,0.460067,0.0015375,-24.3397,4.42749,-0.032936329,-4.739387985,-0.268,-0.4,-0.437,74.2058497,85.9018,399.1299265,-47.639,0.562,0,0.527,253.7,300.1,4.845979044,-0.0216137,0.721103321,0.655739278,0.282829277,-1.8195,0.3982122955,-0.45,-0.3,0.6,2.3,4.1,7.5,-0.2,-0.025,0.8,2.5,4.4,7.85
1,8.25,0.231879551,-1.41,1.48456,0.439814389,0.467614,0.0014236115,-23.4322,4.9933,-0.028396457,-4.069051286,-0.292,-0.4065,-0.4465,73.48333899,85.9344,398.972959,-38.987,11.02,2.438,1.757,254.9,300.4326,4.836650653,-0.0214977,0.746069032,0.702025641,0.289309523,-1.853,0.391637588,-0.475,-0.3,0.6,2.3,4.1,7.5,-0.2,-0.1,0.775,2.5,4.4,7.8
1,8.75,0.2264875,-1.3145,1.54326,0.298475111,0.286918,-0.006833333,-20.6187,6.12031,0.019219724,-3.416953006,-0.274,-0.438,-0.448,73.87294041,85.9519,398.8956724,-24.414,53.14,19.02,5.8645,257.85,302.2,4.907979959,-0.02764225,0.705088647,0.719055631,0.273802666,-1.73,0.377507954,-0.5,-0.3,0.6,2.3,4.075,7.5,-0.2,-0.1,0.8,2.5,4.4,7.8
1,9.25,0.226656,-0.8,1.39617,0.140306778,0.183252,-0.020955556,-16.7416,10.5528,0.134268688,-2.46511244,-0.2805,-0.467,-0.455,72.13091747,85.9519,399.4258696,2.61,165.7,69.85,17.18,255.1,304.7,4.940915071,-0.0340593,0.792096839,0.689522221,0.2780167965,-1.115,0.3680718465,-0.5,-0.3,0.6,2.325,4.1,7.5,-0.2,-0.075,0.8,2.5,4.4,7.9
1,9.75,0.2180093065,0.151,1.328135592,-0.216261444,-0.16211,-0.0252263885,3.994505,13.6971,0.146645486,-0.3768555805,-0.2565,-0.5015,-0.478,70.14297248,85.980085,399.5282668,35.28,273.4,116.511,28.15,253,309.6,5.103183717,-0.0345499,0.7466051555,0.6885003855,0.264715205,-0.46,0.304101056,-0.5,-0.3,0.6,2.3,4.05,7.5,-0.2,-0.1,0.75,2.5,4.4,7.9
1,10.25,0.221235,0.3795,1.56663,-0.247302222,-0.2299895,-0.015375,14.8579,16.851,0.111935261,2.7713346595,-0.2,-0.47,-0.4295,68.6409285,85.9777,400.2041165,65.935,401.55,168.8645,36.06,253.85825,313.95,5.023354181,-0.0460751,0.855734444,0.780542996,0.28164639,-0.124,0.302784772,-0.5,-0.3,0.6,2.3,4.075,7.5,-0.2,-0.1,0.725,2.5,4.4,7.8
1,10.75,0.254752,0.519,1.845625,-0.390465222,-0.383881,-0.011730556,24.73425,19.392895355,0.13816542,6.409213097,-0.2,-0.413,-0.338,67.894784275,85.96455,400.5495179,94.625,508.5,216.6,44.025,252.61235,316.7,5.169712655,-0.0645786,0.901081279,0.771494177,0.311556817,0.062,0.3366029665,-0.5,-0.3,0.6,2.3,4,7.5,-0.2,-0.1,0.7,2.5,4.4,7.85
1,11.25,0.252319,0.9655,1.808306683,-0.6106713885,-0.5691125,-0.0205,30.9042,22.2226,0.100329927,6.4842423765,-0.172,-0.331,-0.175,66.878511495,85.9516,400.3741232,126.2,683.1,280.95,51.44,251.4,318.85,5.240400921,-0.07122075,0.918295704,0.785600407,0.299153138,0.49385475,0.369062182,-0.5,-0.3,0.6,2.3,4.025,7.5,-0.2,-0.1,0.7,2.5,4.4,7.8
1,11.75,0.268965,1.0605,1.905,-0.646792667,-0.619551,-0.017538889,38.09855,24.3737,0.073228376,5.149489594,-0.078,-0.279,-0.1205,66.953419475,85.94635,400.3985529,147.552905,725.5,311.05,54.48,249.5,320.75,5.239080702,-0.0696114,1.0071908405,0.86837067,0.3325156865,0.612,0.3972689275,-0.5,-0.3,0.6,2.3,4.1,7.5,-0.2,-0.1,0.7,2.5,4.4,7.8
1,12.25,0.2956305,1.245,2.255345,-0.671149556,-0.665667,-0.017311111,42.70385,24.93415,0.1009195245,5.7844373695,-0.015,-0.206,-0.069,65.728223915,85.9168,400.2763238,165.15,765.8,327.3,58.07,250.9,322.4,5.331047769,-0.0828966,0.947140961,0.857329575,0.34134733,0.853,0.387774419,-0.45,-0.3,0.6,2.3,4.05,7.5,-0.2,-0.1,0.7,2.475,4.4,7.8
1,12.75,0.310083,1.432,2.49946,-0.740983778,-0.72676,-0.0165708335,42.8821,24.37055,0.079075424,8.281151824,0.0765,-0.175,-0.0095,65.91080855,85.9013,400.20810445,168.055,749.7,322.05,58.885,255.6,324.1,5.3750681355,-0.0991377,1.00454965,0.837692664,0.365581728,0.924,0.409423978,-0.45,-0.3,0.6,2.3,4.05,7.475,-0.2,-0.1,0.7,2.45,4.4,7.8
1,13.25,0.320625,1.422,2.45276,-0.6024675555,-0.610418,-0.011730556,41.85755,24.169,0.060755572,8.0968684935,0.208,-0.087,0.067,65.54613493,85.88162,400.3706431,159.5,731.3,326.5,56.65,258.8,323.9,5.476795654,-0.104002,0.979714244,0.834239774,0.36947801,1.026,0.387272514,-0.4,-0.3,0.6,2.3,4.05,7.475,-0.2,-0.1,0.7,2.425,4.4,7.8
