DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
5,18.25,391.04330805,2.10867999675,23.515,19.25982,-11.403367965,19.56339318,119.02974145,389.9,435.4,0.62,98.9,131.625,8.75,73.13,0.115587505,-0.7030860145,0.4379684165,76.01,27.54,-0.06273665,24.905,21.645,21.7025,18.9625,16.685,14.4625,21.7225,20.8675,17.15,16.935,16.8,24.57,26.4182929,0.444819073,1.2118842597377,17.2073749,0.919549246642071,4.663966534,0.475788626387811,25.585,24.977235,15.3275
5,18.75,392.8360015,4.46455126375,18.97685,14.41991,-13.698914235,19.32901456,85.2425101725,387.25,427.55,-13.955,98.91148905,35.595,2.5885,79.24,0.1928399065,-0.898892908,0.66203272,20.235,7.162,-0.039202407,23.87,21.305,21.475,19,16.685,14.475,21.5825,20.7525,17,16.9925,16.8,23.265,25.81035144,0.40985064,1.15057743937555,15.21889944,0.838373180630201,4.263571158,0.439451016610498,24.5275,23.90004,15.2975
5,19.25,396.0751532,6.18890351,14.32467,9.6094,-11.3771462,19.15821284,55.09906953,386.2,421,-23.6475,98.91473914,3.8655,0.291,83.2,0.279042228,-0.864194339,0.6311825745,0.4695,1.731,-0.022596517,22.92,20.9525,21.2525,18.9625,16.7125,14.475,21.33,20.615,17,17,16.8,21.78,24.93492237,0.385055912,0.998071492992455,13.237509545,0.71458505791823,3.926198719,0.408784796684025,23.2075,23.029595,15.2525
5,19.75,400.745505,6.8606367735,10.39924,6.778645,-8.616900172,19.21880087,41.0658693725,384.4,416.65,-19.9225,98.93785149,0.0615,0.082,83.75,0.34098345525,-0.655140608,0.686419156,-0.711,1.338,-0.012037832,22.12,20.745,20.9525,18.9475,16.7,14.475,21.145,20.36,17.135,17,16.8,20.985,23.85475065,0.355322865,0.997842669462476,11.1718225,0.689710641501202,3.575660008,0.390806601786613,22.315,21.95789,15.2975
5,20.25,401.7878497,7.77210048225,7.4095,4.213995,-7.880947214,19.0086920775,35.75882208,382.15,412.5,-20.145,98.96277521,0.0295,0.0755,85.35,0.30000918825,-0.35741325,0.825649679,-0.5405,1.3865,-0.01059386,21.42,20.5,20.745,18.905,16.7425,14.475,20.86,20.13,17.055,17,16.8,20.56,23.27904617,0.334614341,0.93393485265301,9.563854983,0.679381966937598,3.58390567,0.37579872937518,21.7475,21.38343,15.2
5,20.75,404.0515166,7.33422836,5.7315,3.1325,-7.2333354725,19.14649099,37.23652917,380.55,410.75,-21.26,98.9975911,0.03175,0.093,85.75,0.29648286025,-0.266425579,0.6539804635,-0.512,1.503,-0.012182104,21.065,20.3,20.49,18.8575,16.7425,14.475,20.56,20.0525,17.225,17,16.845,20.185,22.78116724,0.32719928,0.85616398604473,8.6919748505,0.611865193486278,3.35671579,0.354081045807312,21.4275,21.16444,15.35
5,21.25,404.4151932,7.0863985225,3.404,1.8605,-6.272331331,19.15378361,34.8197367875,379.7,409.5,-19.125,99.00020578,0.03125,0.1115,87.2,0.214310145,-0.131384929,0.6679067705,-0.529,1.4605,-0.010308137,20.81,20.1975,20.2825,18.835,16.7625,14.4625,20.3225,19.8825,17.15,17,16.885,19.66,22.41089032,0.326461792,0.897257968479523,7.8491160985,0.617007163653713,3.284140141,0.352763298827982,21.115,20.601885,15.2525
5,21.75,409.780057,7.1026631305,2.276135,1.177115,-8.181486029,19.3397813475,30.7287358,382.05,408.35,-16.685,99.029969655,0.0325,0.0945,87.95,0.2428988835,-0.0865973325,0.949203979,-0.449,1.469,-0.01283051325,20.42,19.99,20.1,18.835,16.8,14.475,20.06,19.7525,17.065,17,16.975,19.205,21.9315179775,0.31456071825,0.838200961332285,7.101149292,0.621414641039527,3.226929042,0.350840784212338,20.6975,20.42233,15.2525
5,22.25,410.4014739,7.047965278,1.08996,0.52774,-7.672565923,19.47113867,30.31933359,378.75,406.65,-17.99,99.0362280875,0.0325,0.081,88.85,0.1918820905,-0.034782317,0.67853162425,-0.442,1.543,-0.0135911715,20.17,19.8525,19.9525,18.8,16.785,14.5275,19.8125,19.6525,17.1775,17,16.9225,19.115,21.53006876,0.314656242,0.810529824519645,6.78088706725,0.632164160038598,3.2214153825,0.357255045743318,20.3425,20.52253,15.305
5,22.75,412.538377725,7.298499696,-0.58891,-0.314,-7.71532892,19.57385729,31.50131069,375.9,405.2,-19.93,99.04197537,0.021,0.094,89.7,0.1989763805,-0.01211922775,0.6582175935,-0.511,1.563,-0.011698115,19.9,19.605,19.8475,18.7925,16.8,14.55,19.6,19.445,17.2225,17.0375,16.9825,18.71,21.43688848,0.328832135,0.825322745960633,6.30927661225,0.620980932074408,3.163633563,0.356414048544667,20.1525,20.16717,15.24
