DOY2,HR2,TS_1_1_1
1,0.25,-2.01975
1,0.75,-2.02275
1,1.25,-2.01975
1,1.75,-2.02
1,2.25,-2.02975
1,2.75,-2.0385
1,3.25,-2.0465
1,3.75,-2.05175
1,4.25,-2.05575
1,4.75,-2.0615
1,5.25,-2.0675
1,5.75,-2.0725
1,6.25,-2.0875
1,6.75,-2.10975
1,7.25,-2.1205
1,7.75,-2.12975
1,8.25,-2.15475
1,8.75,-2.18175
1,9.25,-2.19525
1,9.75,-2.1835
1,10.25,-2.17275
1,10.75,-2.164
1,11.25,-2.13375
1,11.75,-2.08075
1,12.25,-2.01375
1,12.75,-1.94925
1,13.25,-1.9055
1,13.75,-1.8535
1,14.25,-1.797
1,14.75,-1.73975
1,15.25,-1.68775
1,15.75,-1.67025
1,16.25,-1.6845
1,16.75,-1.70775
1,17.25,-1.7335
1,17.75,-1.76325
1,18.25,-1.7985
1,18.75,-1.85525
1,19.25,-1.8575
1,19.75,-1.871
1,20.25,-1.882
1,20.75,-1.8905
1,21.25,-1.90075
1,21.75,-1.9085
1,22.25,-1.91575
1,22.75,-1.9485
1,23.25,-1.97725
1,23.75,-1.98325
2,0.25,-1.287
2,0.75,-1.28625
2,1.25,-1.28425
2,1.75,-1.28325
2,2.25,-1.2825
2,2.75,-1.28175
2,3.25,-1.27975
2,3.75,-1.2785
2,4.25,-1.2755
2,4.75,-1.275
2,5.25,-1.2725
2,5.75,-1.27025
2,6.25,-1.2715
2,6.75,-1.27675
2,7.25,-1.2785
2,7.75,-1.279
2,8.25,-1.2795
2,8.75,-1.27675
2,9.25,-1.27525
2,9.75,-1.2715
2,10.25,-1.271
2,10.75,-1.271
2,11.25,-1.267
2,11.75,-1.26375
2,12.25,-1.26975
2,12.75,-1.2705
2,13.25,-1.272
2,13.75,-1.27025
2,14.25,-1.27625
2,14.75,-1.27375
2,15.25,-1.27475
2,15.75,-1.2805
2,16.25,-1.292
2,16.75,-1.30225
2,17.25,-1.31175
2,17.75,-1.30925
2,18.25,-1.31
2,18.75,-1.3065
2,19.25,-1.30425
2,19.75,-1.303
