DOY2,HR2,CO2,H2O,CH4,FC,NEE,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1,TS_2
1,0.25,407.361,2.4615,2086.8,-1.90163325,-2.2969875,-20.26505,-43.571825,-8.26974,0.25505025,0.03649345,98.4542,60.589825,-8.850035,0.001205696,-0.1,-78.530775,-3.69893,-1.0914075,232.4945,297.752,4.6891,4.2545
1,0.75,406.984,2.4326225,2089.6125,-2.678625,-1.81445,-21.3045,-48.150875,-9.450195,0.404239,0.0600011,98.4434,59.5881,-9.45668,0.00599387,-0.1,-78.719225,-3.62576,-0.906069,232.16625,298.007,4.66574,4.25014
1,1.25,406.61675,2.403965,2086.3,-3.1628425,-1.9433725,-15.19975,-48.9641,-17.008455,0.34583325,0.0487528,98.4028,57.0779,-9.54528,0.011415075,-0.1,-75.09485,-3.4223625,-1.0361015,233.13625,297.971,4.64904,4.24178
1,1.75,406.5655,2.715395,2084.35,-1.7213,-0.73309675,-23.75,-41.8076,-18.3645925,0.40432725,0.0476206,98.3976,57.266375,-9.08477,0.025216425,-0.1,-76.442075,-3.4691375,-1.07349,233.7045,297.896,4.61158,4.22004
1,2.25,406.24925,2.6968825,2084.1475,-1.1689,-0.98141,-20.99225,-39.374,-4.378905,0.196066,0.05639675,98.4329,59.207225,-9.052685,0.027235225,-0.1,-78.948425,-3.46614,-0.884332,230.93775,297.96,4.55848,4.19318
1,2.75,406.271,2.6601375,2084.75,-2.3454675,-2.3264925,-21.09635,-73.499375,-7.67526,0.24916275,0.0345628,98.4802,57.032775,-9.2253325,0.0172785,-0.1,-79.703675,-3.6235375,-0.680452,229.8235,297.892,4.55704,4.18806
1,3.25,406.6745,2.672945,2090.975,-0.79157,-0.7444775,-21.443375,-49.078,-28.1706775,0.281764,0.0585974,98.5234,56.544625,-9.628285,0.034425225,-0.1,-77.864625,-3.8555875,-0.551799,231.98425,298.067,4.58084,4.19208
1,3.75,403.127,2.50055,2091.22,-0.9957955,-0.9051125,-16.339175,-41.0459,-14.119365,0.23050425,0.0597274,98.51435,58.78335,-10.0945425,0.027840475,-0.1,-77.448225,-3.42121,-0.327914,235.4965,298.178,4.60142,4.191
1,4.25,403.039,2.49406,2088.25,-2.7816025,-2.3580975,-30.86365,-36.6206,-3.85465,0.285963,0.0383136,98.477775,59.709025,-10.52598,0.028254275,-0.1,-76.830675,-3.44087,-0.5101305,234.982,298.416,4.60488,4.19142
1,4.75,403.40225,2.6134125,2084.97,-1.403795,-1.5184025,-15.0922,-39.1033,-6.06644,0.288974,0.0411806,98.432725,60.5545,-10.375325,0.00338265,-0.1,-75.354625,-3.640745,-0.7000135,235.03825,298.6255,4.59988,4.19052
