DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,PPFD_OUT,PPFD_IN,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_1,TS_1_5_A,TS_1_6_A,TS_1_7_A,TS_1_8_A,TS_1_4_A
1,0.25,-4.45295000000001,-7.2281,22.13663,26.50118985,1.1483375,0.877575,425.352426225,11.953663817,17.4751725,89.784695,15.826,92.65357,4.7098,15.989,91.819745,6.3702465739,0,3.22295,356.3625,380.55,12.965,11.73375,0.2216947817,0.17948,15.24704375,15.7846,16.970625,16.5676,16.3076625,16.755825,17.7116875,17.5515,12.6409875
1,0.75,-3.4875,-7.075475,30.808125,22.1799555495,0.938491887102499,0.84679,425.351852575,12.226515,17.06055625,89.75128,15.7,92.79994267725,4.239,15.866,91.1868325,6.160465,0.0414999999999998,3.40147499999999,356.88,379.7975,13.29275,11.5645,0.22044900866,0.2316325,15.1283,15.5968625,16.844575,16.5977125,16.335825,16.7590875,17.70845,17.55075,12.6425625
1,1.25,-4.21330000000001,-7.28403400125,28.9837174999999,18.04595,1.400501981725,0.867328535,425.05869652,11.9560198475,17.0675975,89.74600625,15.51075,92.9471225,4.011125,15.69425,90.7759349999999,6.07357921397499,0,3.139,354.34,378.7275,13,11.8415,0.21978263152,0.2580175,14.979425,15.4340375,16.7021375,16.6124625,16.336575,16.759575,17.7082875,17.5515,12.646625
1,1.75,-3.33980000000001,-8.27312052174999,31.7449269225,21.03049500525,1.449755,0.8834325,425.17945726,11.7421,16.79227,89.754275,15.41225,92.95948,4.32625,15.46525,90.64100990175,6.1127175,0.0155999999999976,3.2202,355.76,379.865,13.1445,11.9545,0.22192,0.229439999999999,14.79791,15.316175,16.548,16.6163,16.353075,16.766075,17.7020125,17.5515,12.6397375
1,2.25,-3.41750000000001,-4.46694896709999,36.5854744382501,20.4836944559999,1.32514,0.89311,425.9415025425,11.62126238425,16.9170675,89.7586,15.65375,93.89101,4.122,15.9015,92.1723425,6.30370809045,0,3.19189999999999,355.94,380.665,13.04225,11.862,0.21427551414,0.216541749999999,14.6232375,15.1591375,16.416025,16.6284875,16.360325,16.7758125,17.7020125,17.5515,12.6474125
1,2.75,-3.27274999999999,-6.45717,41.6080229210001,24.393352265,1.40947,0.831456935,425.177195205,11.5481571325,16.766995,89.7385625,15.74075,93.81929576725,4.11775,15.89375,92.60634777525,6.29175198259998,0,2.9994,355.18,379.5625,13.01725,11.694,0.22680555326,0.2381479,14.338625,14.964475,16.281,16.62185,16.37425,16.7763,17.7020125,17.55075,12.6312375
1,3.25,-3.00907500000003,-5.54576999999999,30.7934779985,25.568445,1.23402468805,0.8804957125,424.88980105,11.48088,16.40034975,89.73446875,15.3205,93.542775,4.55175,15.41675,91.6039374999999,6.045867786725,0,3.15855,352.38,378.96,13.00025,11.7915,0.21671906096,0.2247825,14.075695,14.8735,16.1363875,16.621325,16.37425,16.78295,17.7081625,17.55075,12.6260125
1,3.75,-3.47332500000002,-6.20207175654999,26.1993657435,21.5310175000001,1.3795325,0.91715497,424.78932459,11.301711362,16.42866,89.730075,15.483,93.36831,4.6465,15.38875,91.699770954,6.462631107775,0,3.22895,352.7,377.3625,12.77525,11.855,0.20582367784,0.234725799999996,13.89897,14.6946625,16.0201375,16.6070625,16.3733375,16.7858375,17.7020375,17.5515,12.6028375
1,4.25,-3.66452500000004,-6.03320499999997,32.8372941225,20.30709636,1.5223075,0.9181077375,425.12889209,11.601385,16.6198825,89.72529,15.3,94.021317048,4.569375,15.2965,91.27287359425,6.48782351495,0.409999999999998,3.26415,352.8,377.8325,12.88,11.732,0.19828942718,0.203300549999999,13.7614,14.58745,15.92,16.608075,16.3736,16.792225,17.7029375,17.56,12.5783375
1,4.75,-3.50965000000006,-3.11689999999999,31.4756072212499,25.92148653775,1.21647223144999,0.9146228775,424.146720275,11.5965125,16.31183325,89.7019125,15.069,94.204695,4.747125,15.302,91.8294410009999,6.461808888325,0.288699999999998,3.4788,349.5,377.165,12.6675,11.6705,0.20977006544,0.20464495,13.59885,14.435775,15.816675,16.587725,16.3760875,16.80425,17.70805,17.55075,12.55555
