DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,0.645725,-1.9511,4.76895,-4.4112,1.078575,89.6765,99.2,415.1,4.5355,1.648175,1.725,-6.4541,-0.24886,0.80882,289.2775,303.035,0.71307,0.35049,0.87283,1.0317,0.921,1.192,1.533,2.404,3.1,5.07515,6.63315
1,0.75,0.643135,-2.0479,4.6846,-3.7251,1.0906,89.772,99.2,414.99,4.494725,1.658,1.7316,-5.8056,-0.23779,0.77253,289.63,303.2,0.72742,0.26258,0.88839,1.04125,0.92075,1.2,1.525,2.4,3.1,5.05,6.617
1,1.25,0.6363875,-2.1723,4.602025,-3.1718,1.0693,89.776,99.2,415.21,4.4163,1.655675,1.729475,-5.81925,-0.22045,0.79746,289.7,303.0175,0.7542625,0.31827,0.896215,1.033325,0.925,1.208,1.534,2.408,3.1,5.1,6.65
1,1.75,0.62901,-2.2573,4.7033,-4.18275,0.8953525,90.25625,99.2,415.3275,4.3944,1.658125,1.7254,-5.4536,-0.22186,0.82057,289.57,302.92,0.6765,0.29896,0.84752,1.0374,0.927,1.2,1.52925,2.416775,3.1,5.07125,6.633075
1,2.25,0.67148,-2.3857,4.8096,-3.76845,0.7635625,90.2665,99.2,415.2425,4.47855,1.6582,1.7304,-5.624675,-0.19902,0.84719,289.33,302.41,0.713705,0.30715,0.85789,1.0323,0.925,1.2083,1.5417,2.409,3.1,5.083,6.633
1,2.75,0.64886,-2.3763,4.670275,-3.89765,0.818335,90.742,99.2,415.1175,4.443425,1.654925,1.731675,-6.0212,-0.22898,0.84516,288.75,302.13,0.7294975,0.28726,0.9338775,1.04715,0.95,1.2,1.5333,2.4,3.1,5.083,6.6333
1,3.25,0.66518,-2.3623,4.7871,-3.29685,0.960285,90.793,99.2,415.1625,4.4465,1.654075,1.727225,-5.76795,-0.20268,0.83858,289.1975,301.9625,0.7269625,0.2980725,0.9542,1.045225,0.933,1.208,1.525,2.408,3.1,5.067,6.633
1,3.75,0.656005,-2.346,4.757225,-3.8147,0.762775,90.6875,99.2035,415.36,4.412725,1.64375,1.7246,-5.92805,-0.21081,0.86277,289.7825,302.015,0.713605,0.2849175,0.868405,1.03715,0.933,1.208,1.55,2.408,3.1,5.067,6.65
1,4.25,0.63712,-2.4132,4.6907,-3.24955,1.00435,90.20375,99.2,415.26,4.4275,1.654075,1.7312,-5.908,-0.23971,0.88226,288.04,301.71,0.705245,0.332975,0.866255,1.02785,0.933165,1.2,1.521,2.4125,3.1,5.06685,6.61685
1,4.75,0.623865,-2.5177,4.6827,-3.6237,0.6651,90.5835,99.2,415.155,4.397825,1.65155,1.722975,-5.885075,-0.2261,0.88619,287.68,301.4625,0.727875,0.31623,0.924905,1.030775,0.93333,1.2,1.5333,2.408,3.1,5.067,6.6333
1,5.25,0.61111,-2.4799,4.5531,-3.127,0.7829925,90.55425,99.2,415.05,4.387675,1.653325,1.72205,-5.689575,-0.18515,0.8388,286.86,301.2625,0.67856,0.2954775,0.8006025,1.032025,0.9270825,1.2,1.523175,2.4,3.1,5.083075,6.633
1,5.75,0.5976475,-2.4372,4.585075,-3.4724,0.79722,91.112,99.2,414.79,4.363275,1.652025,1.720475,-5.5357,-0.20509,0.77776,288.29,301.61,0.69113,0.3442275,0.86471,1.022325,0.925,1.2,1.5415,2.392,3.1,5.067,6.6165
1,6.25,0.6328775,-2.461775,4.6836,-3.57295,0.898735,90.9915,99.2,414.6675,4.417425,1.6541,1.7157,-5.20485,-0.22493,0.78919,288.05,301.865,0.62537,0.28423,0.8015825,1.022025,0.917,1.183,1.517,2.383,3.1,5.083,6.6
1,6.75,0.623465,-2.5651,4.52175,-3.217375,0.9039175,90.26925,99.245,414.45,4.3937,1.65245,1.7209,-4.9291,-0.19804,0.80994,288.11,301.06,0.69208,0.296625,0.87178,1.0207,0.9354975,1.2,1.516775,2.402,3.1,5.071075,6.621
1,7.25,0.620375,-2.5378,4.5777,-3.3029,0.818105,90.60175,99.2935,414.3625,4.381525,1.6476,1.71725,-4.6796,-0.22365,0.79893,288.43,301.315,0.773055,0.2670825,0.99588,1.019,0.933,1.2,1.525,2.408,3.1,5.0667,6.617
