DOY2,HR2,USTAR,WS,TA_1_1_1,RH_1_1_1,VPD_1_1_1,PA_1_1_1,TA_1_2_1,RH_1_2_1,NEE,FC,H,LE,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,CO2,H2O,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,CO2_SIGMA,H2O_SIGMA,G,SG,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,NETRAD,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,0.25,0.0797710825,1.844314,-2.96313275,15.56156,2.3582688275,81.394825,-5.12669275,40.8163075,-0.0307189625,-0.06617876,-27.3317625,-0.73168,0,0.6140013,212.33535,281.36295,0,-0.03756,399.99,1.105468,-1.544057,-0.3645,-0.222,1.096,3.213,0.28927005,0.019518405,-32.057305,-11.937135,-0.0599701725,0.332459275,0.315755875,0.0906465275,-3.162342,0.2966038,-93.34085,-6.3091615,42.979405,-5.8989835,-1.746408
1,0.75,0.07942015,1.8221855,-2.93354555,16.80786,2.367191375,81.3583825,-5.44575,40.164935,0.0470717925,-0.04107686,-26.31587,-0.8982549,0,0.5400929,212.392225,280.51,0,-0.03756,401.235,1.17248625,-1.776021,-0.4765,-0.227,1.106,3.21475,0.297932925,0.020005735,-34.673015,-12.134135,-0.05141123,0.334454575,0.3297552,0.0821814375,-2.97661275,0.31966245,-90.9721675,-6.647016,43.76223,-5.8567,-1.819069
1,1.25,0.094972175,1.6561985,-2.918978275,18.56735,2.359778345,81.34049,-5.8425,42.52819,-0.04783644,-0.07478363,-26.2324794,-0.9321205275,0,0.541527175,211.29625,281.1325,0,-0.03756,402.6193,1.364421,-1.9595,-0.583,-0.223,1.099,3.206,0.31510415,0.02007851,-33.666675,-10.32158,-0.05999398,0.35189225,0.39630645,0.0823874375,-3.0527425,0.281765925,-93.089595,-7.41577725,43.869845,-5.9923845,-1.88965
1,1.75,0.0700723,1.683923,-3.4437413,18.86159,2.274996,81.35109,-5.8395,42.8317,-0.1797964,-0.1228848,-28.211945,-1.08063475,0,0.65718935,209.7573,278.9848,0,-0.03756,403.25,1.3473585,-2.229,-0.5545,-0.2165,1.11125,3.2095,0.302116375,0.017861485,-32.9513375,-11.9400525,-0.0632969675,0.326144,0.353742775,0.0839018825,-3.46790825,0.297781375,-91.5798,-6.689808,44.54031,-5.4064005,-2.08600575
1,2.25,0.07329555,1.664142,-3.2725876,18.2688525,2.2602319525,81.3676,-6.187,43.6671275,-0.07613141,-0.05995898,-25.6312975,-0.81615133,0,0.6006518,210.2032,279.58595,0,-0.03756,402.0175,1.3883995,-2.3815,-0.759,-0.212,1.1105,3.2065,0.3083936,0.018178765,-34.611565,-12.33521,-0.05033887,0.326920775,0.304948475,0.087113405,-3.316982,0.34824285,-90.4371,-7.14296425,45.936935,-5.4311945,-2.1231605
1,2.75,0.0796279,1.626375,-3.513957,19.4244375,2.1750826925,81.366095,-6.5099255,45.5025,-0.19472172,-0.092031855,-21.28812,-0.7202504925,0,0.5492741,209.54,278.30335,0,-0.03756,401.68,1.3926265,-2.43616925,-0.934,-0.2015,1.119,3.207,0.3319387,0.0178753425,-37.3786225,-12.31642,-0.068994885,0.33194,0.31651555,0.07962458,-3.46282225,0.320045725,-90.2703625,-7.24587475,44.804225,-6.21461475,-2.1914155
1,3.25,0.0823148,1.455568,-3.7588121,20.4975225,2.138842,81.36989,-6.397,43.64021,-0.06662959,-0.051155095,-26.83874925,-0.5494269775,0,0.7904212,208.47585,278.21255,0,-0.03756,401.363725,1.45107575,-2.507957,-1.1745,-0.239,1.122,3.209,0.320652625,0.0200770375,-34.05867,-9.21572025,-0.050940385,0.3085283,0.320718475,0.08245535,-3.77633125,0.275721675,-88.36899,-7.36802025,46.76421,-6.74916175,-2.3423095
1,3.75,0.0821507,1.574637,-3.864366,21.83906,2.16646837,81.383065,-6.2255,44.6272875,-0.0612133825,-0.052015645,-22.304395,-1.239777605,0,0.667105975,209.14675,279.6463,0,-0.03756,401.7063,1.330395,-2.53475,-1.31825,-0.25075,1.14025,3.20725,0.312206775,0.0183602075,-36.32192,-10.651275,-0.039629345,0.33007545,0.302024825,0.0783520075,-3.65059625,0.283478875,-89.787995,-7.47612175,46.30105,-7.25807925,-2.5251155
1,4.25,0.07794247,1.5959155,-4.18327155,23.9867225,2.1031728375,81.3561825,-6.41225,46.85802,-0.062543645,-0.06886499,-22.3533537,-0.7512672,0,0.65502645,208.425,276.6243,0,-0.03756,403.835,1.621317,-2.696232,-1.4905,-0.277,1.1385,3.20675,0.295920525,0.0167095075,-35.8404075,-10.86507,-0.053793295,0.328868975,0.28095945,0.0711733875,-3.90160975,0.28786835,-89.256555,-6.993782,47.0607,-6.55522225,-2.69674775
1,4.75,0.07910471,1.490631,-4.15548,22.74293,2.1281291525,81.36,-6.9525,46.450905,-0.09596057,-0.0483914675,-26.70833905,-1.50186792,0,0.6743148,208.300825,276.03375,0,-0.03756,400.876825,1.3676655,-2.78803825,-1.582,-0.262,1.171,3.217,0.307009025,0.01585621,-32.999665,-10.00136775,-0.052131375,0.35883695,0.3195975,0.077343535,-3.5703125,0.24881865,-88.94771,-6.4373095,46.70749,-6.4337555,-2.7526815
