DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,G_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,VPD_1_1_1,VPD_1_2_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS_1_1_1,WS_2_1_1
1,0.25,1991.43242797852,408.080194091797,-1.1836199760437,-31.5740129947663,1.53178598880768,-0.504406242072582,-8.11747403144837,-13.4588916540145,-42.6556491851807,-4.20783332586289,-1.93486200273037,-1.04503769874573,99.482168006897,68.8204071044922,78.8666454315186,-9.66574058532715,-7.62375741004944,-7.66678406000137,0,0,222.078147888184,280.724041748047,-72.8764282226563,0,0,0,0,1.47969645261765,1.83790882229805,4.50352560281754,-0.162257004529238,0.138665972650051,0.0310914956964553,0.0951346080750227,0.0225717455148697,0,0.0875997390598058
1,0.75,1973.10751342773,416.531945800781,-1.50557005405426,-21.7783751487732,1.15794543921948,-0.388329957425594,-3.09048926234246,-13.4625199556351,-47.2693872451782,-3.56623601913452,-2.00532605051994,-2.06011082530022,99.468978881836,67.9679328918457,76.7277154922485,-9.71249961853028,-7.0982032418251,-7.86338235139846,0,0,226.475275039673,278.773902130127,-71.808317565918,0,0,0,0,1.45077371001243,1.79461053907871,4.58396047353744,-0.186823600530624,0.116279684752225,0.0243354907259345,0.0937695629894733,0.021208175830543,0,0.08346948325634
1,1.25,1978.87979736328,414.211694335938,-0.2980947047472,-48.6174164772034,1.95710050463677,-0.279881182312965,-11.3029123544693,-13.5480332136154,-50.5177640914917,-2.52410500049591,-2.11423099040985,-1.81546353697777,99.6312921524048,68.7501113891601,78.7889387130738,-9.73087501525879,-6.76914823055267,-7.85453461408615,0,0,216.569361114502,281.054595947266,-73.6776733398438,0,0,0,0,1.39474661052227,1.84240646064282,4.43805114030838,-0.208021803200245,0.112316949293017,0.0267504255753011,0.124809929169714,0.0211481286678463,0,0.0691347760148346
1,1.75,1979.84822998047,417.658404541015,-1.35518099069595,-57.8333534240723,0.479475599527359,-0.553899458050728,-40.9701217651367,-13.7992567539215,-51.6210306167603,-2.83184003829956,-2.18942904472351,-1.79236079454422,99.6791883468628,68.8635019302368,79.2230443954467,-10.0042110443115,-6.81708699464798,-7.86337139606476,0,0,214.367969894409,279.916683959961,-75.0335472106933,0,0,0,0,1.40774025022983,1.83881080150604,4.4534173488617,-0.228330597281456,0.149963465332985,0.0259329397231341,0.148069952428341,0.0227053884416818,0,0.0911457897163928
1,2.25,1979.90252685547,417.100543212891,-1.89186046719551,-120.256052446365,1.38549902439118,-0.511752209067345,-21.2489204406738,-13.6969281673431,-55.540249824524,-5.76890888214112,-1.82226298451423,-1.40431047379971,99.6764533996582,69.3168334960938,79.1928636550903,-10.5183406829834,-6.55847791433334,-7.86547632217407,0,0,213.604446792603,279.713342285156,-73.2242446899414,0,0,0,0,1.39211605191231,1.85821716785431,4.49771243333817,-0.218098801374435,0.104641123861075,0.0242299995385111,0.131354891508818,0.0172301655635238,0,0.0539032621309161
1,2.75,1974.28956604004,416.472204589844,-0.784364157915114,-27.4868350505829,1.40595400333405,-0.322448436170816,-18.6170499801636,-13.6415684938431,-53.6008193969726,-3.72189998626709,-1.94577996432781,-1.68797076642513,99.6715925216675,67.9506355285644,78.4958263397217,-10.7794971466064,-7.06261016130447,-8.17561972141266,0,0,213.309323883057,277.52484588623,-72.5094833374023,0,0,0,0,1.36411218047142,1.70971989631653,4.39619853496552,-0.287296910583973,0.106972360052169,0.0254240254871547,0.129897417500615,0.0231854689773172,0,0.0983070014044642
1,3.25,2009.97049255371,411.388095092773,-1.0375274002552,-53.6644748210907,1.95711995065212,-0.736646156013012,-13.3758900165558,-13.9193019628525,-59.1786211967468,-5.65072790384293,-1.35066003799439,-0.848223310709,99.6423112869263,67.9910078048706,79.5600069046021,-10.6696811676025,-7.23916871547699,-8.29868922233582,0,0,221.756413269043,278.195602416992,-73.1816711425781,0,0,0,0,1.37905432581901,1.81559396386147,4.43630623817444,-0.275155843794346,0.112583494000137,0.0219908166211098,0.113593402691185,0.0240180831868202,0,0.0782156601548195
1,3.75,1985.37697753907,420.455805969238,-2.92218654155731,-71.5691246032715,1.99717448353767,-0.752188666164875,-9.13876855373382,-14.1760667800903,-55.1026695251465,-1.78155900239944,-1.90010604858399,-1.78562178313732,99.6277671813965,68.8692914962769,80.644522857666,-10.2004962921142,-7.62361727952957,-8.32337243556976,0,0,227.126875686645,275.614557647705,-74.2890300750732,0,0,0,0,1.36000039577484,1.81429469585419,4.38935585021973,-0.309496650844812,0.123655267804861,0.0231361877638847,0.136006628163159,0.0226199492346496,0,0.102613282948732
1,4.25,1996.88967285156,419.003352355957,-1.99402325153351,-29.4393005371094,1.92929504811764,-0.642591506242752,-10.8994404792786,-14.4555303573608,-54.4778137207032,-4.01422234773636,-1.12417004108429,-1.21186000108718,99.5977441787719,69.9837972640991,81.7216850280762,-10.7714992523193,-7.41579766273499,-8.36062638759613,0,0,226.123860931396,278.1256149292,-73.4212953567505,0,0,0,0,1.38483523130416,1.81501302719116,4.46700077056884,-0.322558002173901,0.170288470387459,0.0272166645620018,0.146681081876158,0.0193647312466055,0,0.095136041380465
1,4.75,1984.05654296875,414.181199645996,-1.20316677987575,-17.0267457485199,1.93670956194401,-0.54900449514389,-19.4784903526306,-14.4523061752319,-52.4691194534301,-2.8557577252388,-2.05390949249268,-1.8369500041008,99.5557153701782,69.8818138122559,77.7098302841186,-10.2421932220459,-7.71179974079132,-8.65791556835175,0,0,227.602479934692,279.159958648681,-75.1079416275025,0,0,0,0,1.3932254076004,1.79626919329167,4.50878000259399,-0.295734651386738,0.103956343233585,0.0249205004423857,0.124331972002983,0.0212341398000717,0,0.0733606498688459
