DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
8,17.75,1.0919,31.5455325,63.528825,0.875,-15.160895,6,404.00697,13.145855,90.1397375,28.6784168975,0.32643756525,27.6379,27.4166675,28.145,36.954,447.7515565,215.1500025,34.3314175,368.885,475.85,65.1915,30.8,30.0825,26.55,22.17,19.025,17.1475,0.74,1.7019325,1.500525,0.90797,3.794987577
8,18.25,1.49,21.177705,14.52236827,-8.15,-17.10915,6,404.68413,13.6753075,90.15,27.94352,0.320852409,26.19719,26.745,27.265,39.62,266.2925,129.415,25.78,363.2499975,465.1575,-2.03592066675,28.15,28.21,26.29,22.28,19.03,17.13,0.69851607975,1.5138852725,1.30556,0.8304736925,3.601
8,18.75,1.970879675,13.15,-12.2928525,-15.60908,-18.608,5.993775,406.61450255,13.76532,90.167,27.093935,0.3538475,24.96506,25.8025,26.035,43.407,114.647601725,56.5925,16.03,359.72,454.33,-52.487,26.37,26.92,25.825,22.36,19.06,17.11,0.6444625,1.4275675,1.207465,0.7806075,3.4201547385
8,19.25,2.639825,7.38525,-18.38803,-22,-21.04,5.990975,409.5123025,13.875,90.18,25.8222025,0.40104329675,23.43836,24.4775,24.644,47.20667,29.085075,9.497085,3.0967525,358.3,441.77,-76.19,24.93,25.73,25.42,22.43,19.08,17.13,0.629155,1.388257915,1.1526,0.7593263755,3.376679748
8,19.75,3.02,5.0985,-20.8788525,-24.39534,-23.4625,5.2808,412.969762625,13.8,90.20625,24.63027432,0.4655775,22.25475,23.1107475,23.36,50.611,2.2565825,0,0,356.7,433.28,-73.93,23.62,24.78,24.92,22.46,19.11,17.12,0.6258,1.39777,1.145395,0.7561875,3.381
8,20.25,3.237786,3.876090142,-19.480275,-25.692265,-24.8721,4.995655,416,13.8,90.2308575,23.48,0.53997,21.61075,22.1441675,22.3135,53.83,0,0,0,353.67,427.9,-71.8,22.44,23.85,24.35,22.46,19.1,17.11,0.59985,1.32132768475,1.138585,0.73403836275,3.357741126
8,20.75,3.03475,3.1163,-14.93,-26.5273,-24.96682,4.097185,419.87167,13.898355,90.2455,22.7835025,0.595395,20.75026,21.39,21.5075,55.56667,0,0,0,351.37,422.9,-69.54,21.57,23.03,23.99,22.36,19.12,17.1,0.5733,1.2703775,1.0717477755,0.68,3.105275
8,21.25,3.1522,3.618,-10.715,-26.228075,-24.6,3.99715,425.523856,14.05,90.24875,22.16632,0.659505,20.07025,20.706,20.7375,57.647,0,0,0,347.1,417.53333,-66.83,20.83,22.283,23.55,22.29,19.14,17.08,0.5322575,1.1676675,1.013295,0.6569475,2.8526219115
8,21.75,3.16,2.87400299675,-7.87,-26.212365,-24.4825,3.26502,431.297825,13.8,90.26,21.4595825,0.74037,19.66514,20.0032525,20.2325,59.16,0,0,0,343.6,413.83,-65.2,20.12,21.67,23.13,22.24,19.18,17.08,0.507690908,1.1487523165,0.95797,0.62003310825,2.7250029755
8,22.25,3.574491325,2.4010625,-5.1881475,-26.31237,-24.34782,2.99895,437.81183,13.53681,90.26,20.89069,0.7867775,18.93717,19.2743325,19.46975,61.247,0,0,0,342.66667,409.43333,-63.08333,19.42,20.96,22.74,22.14,19.2,17.08,0.44407,1.0470525,0.882670957,0.5559925,2.4457332625
8,22.75,3.115,2.2375,-3.277754787,-25.609,-24.534,2.9,440.86493,13.42835,90.274,20.1575977475,0.7943,18.42274,18.5876675,18.822525,63.87333,0,0,0,341.03333,406.1,-60.694,18.8,20.42,22.37,22.05,19.23,17.06,0.372465389,0.91035,0.844555,0.46911819575,2.12
