DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.287,0.166,1.12,-20.88,0.445,0.0345,418.618,396.55,3.896,-21.33,0,0,-3.357,86,2.001,99,0.084,0.664,0.965,1.019,2.122,4.376,0.01,-0.1465,0.1865,0.5595,2.668,3.61,-2.9395,-3.263,0.5199,0.8218
1,0.75,0.461,0.45,0.881,-20.7525,0.455,0.02,419.4265,396.7,4.0095,-20.51,0,0,-3.5225,86.4,2.011,99,0.116,0.725,0.915,0.967,2.116,4.35,0.012,-0.151,0.196,0.523,2.749,3.59,-2.9405,-3.263,0.5302,0.8382
1,1.25,0.501,0.41,0.949,-21.983,0.474,0.011,419.325,397,3.9855,-21.545,0,0,-3.504,86.4415,2.0085,99,0.09,0.662,0.955,0.9845,2.118,4.347,0.0125,-0.1615,0.187,0.5315,2.686,3.581,-2.941,-3.263,0.539,0.8824
1,1.75,0.508,0.419,1.19,-21.18,0.456,0.0155,419.431,396.659,3.956,-21.305,0,0,-3.444,86.6,1.9615,99,0.0965,0.6985,0.9365,0.979,2.151,4.379,0.016,-0.16,0.177,0.579,2.7225,3.614,-2.944,-3.263,0.53545,0.8762
1,2.25,0.491,0.416,0.99,-21.35,0.4625,0.029,419.512,396.7,3.9575,-20.845,0,0,-3.364,86.65,1.986,99,0.0735,0.6915,0.945,1.037,2.137,4.38,-0.0055,-0.16,0.181,0.515,2.702,3.587,-2.942,-3.263,0.53145,0.86785
1,2.75,0.453,0.402,0.9155,-20.702,0.4475,0.0275,419.44,397.209,4.0125,-19.89,0,0,-3.395,86.7,1.9535,99,0.059,0.6855,0.92,0.9855,2.156,4.371,0.008,-0.1615,0.1815,0.558,2.71,3.606,-2.943,-3.263,0.52205,0.84545
1,3.25,0.4755,0.433,0.816,-20.4905,0.4625,0.0235,419.5965,397.3,3.964,-20.9,0,0,-3.575,86.65,1.9695,99,0.062,0.7215,0.9295,1.003,2.1595,4.385,0.0185,-0.152,0.1725,0.5555,2.706,3.5985,-2.944,-3.263,0.5446,0.8557
1,3.75,0.452,0.431,0.964,-20.888,0.4705,0.0295,419.6645,396.971,3.941,-20.81,0,0,-3.671,86.4,1.992,99,0.074,0.683,0.934,1.0295,2.16,4.37,0.0045,-0.158,0.1745,0.504,2.7205,3.6115,-2.946,-3.263,0.5375,0.88945
1,4.25,0.454,0.4,0.958,-22.419,0.458,0.02,419.7845,396.8,3.947,-21.355,0,0,-3.709,86.65,2.027,99,0.066,0.644,0.916,1.0625,2.17,4.391,0.01,-0.155,0.1685,0.573,2.701,3.589,-3.072,-3.263,0.53395,0.8567
1,4.75,0.466,0.402,0.9395,-22.287,0.472,0.059,419.808,397.1325,3.966,-22.27,0,0,-3.784,87.1,2.0295,99,0.0835,0.7,0.9405,1.038,2.173,4.354,0.0025,-0.141,0.1805,0.561,2.695,3.5945,-3.062,-3.263,0.5578,0.87755
