DOY2,HR2,USTAR,FC,H,LE,CO2,H2O,TA,G,TS,NETRAD,RH,VPD,WS,SW_IN,PA,PPFD_IN
1,0.25,0.1769052,0.1117812225,-7.1036122,0.3092444,386.2087026,3.053911311,-7.6585,-7.07208675,-1.61805,-20.39,83.9805,0.782882439,2.8514056,0,98.362,0
1,0.75,0.1738217,0.1739874815,-4.5360651,1.1428792,385.4911159,2.955401499,-7.84495,-7.11506875,-1.659225,-19.9600825,84.24,0.777975139,2.6986455,0,98.241478,0
1,1.25,0.1740329,0.210427373,-4.4066272,1.1993746,384.0563203,2.97240003,-8.4932,-6.924704,-1.696975,-21.015204285,84.606,0.750646995,2.959218,0,98.364,0
1,1.75,0.1707396,0.116922168,-4.7479429,0.8335255,384.8650232,2.990777174,-8.6578368,-6.46865,-1.74625,-20.052924575,84.475,0.7295954935,2.950089,0,98.295,0
1,2.25,0.1778994,0.1095396305,-5.7656722,0.87185215,384.99718335,2.890656701,-8.3209,-7.4398,-1.7879,-23.123,84.3495,0.7528183955,2.8943651,0,98.286,0
1,2.75,0.1627372,0.065882753,-5.6078705,1.2704189,384.52298135,2.917331295,-8.0396852,-7.8915,-1.8315,-22.7445,84.6315,0.747990999,2.880015,0,98.266,0
1,3.25,0.1565918,0.113922213,-5.28213525,1.3323116,384.2691626,3.033502225,-8.12845,-7.885,-1.891152,-23,84.4675,0.6962410265,2.6235195,0,98.314,0
1,3.75,0.1630477,0.1652317155,-7.1318297,1.0005748,384.2265531,2.9878703065,-8.7945,-8.3638753335,-1.914275,-25.4573545,84.953,0.751748018,2.5565399,0,98.343,0
1,4.25,0.1592391,0.151722871,-8.02157785,0.2009479,382.6480467,3.033913167,-8.8804,-8.90645,-1.9598,-26.1256574,84.01,0.680591187,2.5830067,0,98.3615,0
1,4.75,0.1631303,0.132564849,-7.61093355,1.17932235,384.0237089,3.00957369,-8.4592,-9.434574,-2.0044,-24.28056818,83.7925,0.722402389,2.6983868,0,98.28042415,0
1,5.25,0.1562801,0.197246853,-7.160481,0.4557741,385.0734691,3.173343135,-8.5079861,-9.0767048335,-2.0545153335,-24.233456325,84.216,0.7010019195,2.5267216,0,98.3721251,0
1,5.75,0.1506533,0.1016827305,-6.1313119,0.841805,385.8442745,3.123584488,-8.4538746,-9.06805,-2.09978175,-21.618,84.4345,0.711609322,2.44382445,0,98.3354721,0
1,6.25,0.1455414,0.14884234,-5.6973705,0.82694195,385.4308161,3.050020721,-8.44075,-8.6727,-2.1255146665,-20.37909435,84.5915,0.740480012,2.5406692,0,98.3616333,0
1,6.75,0.150108,0.191082889,-6.8019261,0.681942,385.8597492,2.8713331765,-8.44130195,-8.2492873335,-2.1099297085,-22.36898985,84.3265,0.7284838495,2.4698658,0,98.4460859,0
1,7.25,0.1440779,0.211586348,-6.9795003,0.2218941,387.41667315,2.698611257,-8.37619445,-8.506403,-2.1510879665,-19.131,84.307,0.7334099565,2.382771,0,98.44794465,0.37776
1,7.75,0.1612647,0.177074498,-5.4587445,0.4980321,388.4104071,2.870378942,-8.4232,-8.62749275,-2.2168198585,-20.4651505,83.9235,0.736508416,2.700577,4.8194911655,98.4522834,13.396
1,8.25,0.14699715,0.123685225,-5.34461155,0.6383948,388.8392873,2.937642218,-8.2337,-8.13028625,-2.2621468335,-10.5583,82.852,0.708241167,2.55770125,30.6835,98.38620755,65.2095
1,8.75,0.14228905,0.238101939,-4.50541115,0.7633804,387.3220818,2.985883854,-7.9666523,-6.8407333335,-2.23863385,-1.27735,82.5655,0.787923997,2.5947477,73.299,98.4190511,148.195
1,9.25,0.1649406,0.214368976,-3.24968445,1.98896,389.1526194,3.129182825,-7.91005,-4.8652512,-2.18763875,10.75235753,81.817,0.766909066,2.9144211,125.0595205,98.4466324,254.92
