DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0,-0.0894,-67.7233,0,-28.75,-1.27075,62.0325,0.13136,91,0.15493525,-50.74865,0,-0.87125,0,-3.004,-4.22125,-2.2175,-7.8955,-4.187625,-4.4615,405.5
1,0.75,0,-0.274366,-72.6625,0,-27.8,-1.275,61.48,0.1184995,91,0.0573057,-50.039925,0,-0.88025,0,-3.1335,-4.23,-1.8715,-7.7685,-4.356875,-4.68825,405.75
1,1.25,0,-0.30158875,-70.0335,0,-27.52,-1.26875,60.8925,0.103557,91,0.17335575,-49.99555,0,-0.87475,0,-3.15625,-4.20625,-1.75225,-7.683,-4.45,-4.81575,405.75
1,1.75,0,-0.4292455,-56.15115,0,-27.7175,-1.2775,61.235,0.140078,91,0.25022125,-46.56045,0,-0.886,0,-3.2075,-4.188,-1.884,-7.52325,-4.46075,-4.73775,405.625
1,2.25,0,0.24082,-68.43475,0,-27.475,-1.2825,60.885,0.11313275,91,0.112125325,-44.463,0,-0.87775,0,-3.173,-4.1655,-1.92175,-7.748,-4.438,-4.762375,406.15
1,2.75,0,-0.576464,-75.136825,0,-27.52,-1.28975,60.915,0.13328725,91,0,-47.5974,0,-0.89075,0,-3.18525,-4.17,-2.0125,-7.7525,-4.426125,-4.76425,405.65
1,3.25,0,-0.547249,-62.644875,0,-27.565,-1.28,62.08,0.14733875,91,0,-47.656125,0,-0.8815,0,-3.17925,-4.19525,-2.04275,-7.593,-4.443125,-4.569375,406.7
1,3.75,0,-0.513592,-65.378225,0,-27.945,-1.30225,61.875,0.14277925,91,0.1177878,-43.9792,0,-0.8905,0,-3.17425,-4.2155,-2.21775,-7.62,-4.4535,-4.403875,406.125
1,4.25,0,-0.046383,-71.77785,0,-28,-1.30625,61.6425,0.1424625,91,0.0101625,-40.6349,0,-0.8815,0,-3.1475,-4.208,-2.1725,-7.5335,-4.436625,-4.583625,406.725
1,4.75,0,-0.210952,-64.4851,0,-27.9,-1.32075,63.02,0.176956,91,0.18097125,-40.42115,0,-0.88925,0,-3.035,-4.244,-2.324,-7.667,-4.4065,-4.5555,405.525
1,5.25,0,-0.5067955,-69.8767,0,-27.6375,-1.32,63.04,0.1512555,91,0.0754065,-42.107825,0,-0.87725,0,-2.987,-4.258,-2.376,-7.992,-4.396,-4.723,406.3
1,5.75,0,-0.209211,-72.025225,0,-27.7,-1.3375,62.71,0.1263715,91,0.20464425,-45.7009,0,-0.88425,0,-3.317,-4.296,-2.368,-8.089,-4.1735,-4.854,407.125
1,6.25,0,0.5354055,-69.71955,0,-27.1,-1.35,62.87,0.131786,91,0.115722225,-42.596875,0,-0.89275,0,-3.229,-4.282,-2.366,-8.13,-4.181,-4.7125,406.25
1,6.75,0,-0.3921465,-71.298725,0,-26.915,-1.3615,62.82,0.15005475,91,0.1636445,-45.3445,0,-0.8995,0,-3.303,-4.245,-2.38,-8.05,-4.3445,-4.7425,406.5
1,7.25,0,0.393123,-68.4425,0,-26.8525,-1.3605,62.57,0.13840425,91,0.186852,-42.802175,0,-0.889,0,-3.372,-4.238,-2.372,-8.05,-4.344,-4.877,406.5
1,7.75,0,0.27161425,-71.2044,0.3365245,-27.2775,-1.3715,63.7825,0.1066845,91,1.36486225,-47.382375,0,-0.90275,0,-3.07175,-4.20125,-2.3735,-8.0045,-4.4155,-4.669875,407.45
1,8.25,0,-0.01295,-65.711425,4.46538,-27.71,-1.37925,64.39,0.125632,91,5.64753,-49.2795,0,-0.9,0,-3.001,-4.20275,-2.36675,-8.065,-4.4115,-4.714,407.2
1,8.75,0,-0.935426,-71.653275,5.09424,-27.52,-1.3755,64.71,0.118491,91,1.76755875,-45.8405,0,-0.922,0,-3.06025,-4.2155,-2.2985,-8.03375,-4.400625,-4.855,406.1
1,9.25,0,-0.422995,-69.37755,9.10767,-27.89,-1.35225,65.85,0.139049,91,8.717335,-48.9959,0,-0.91,0,-3.02625,-4.21925,-2.28,-8.2,-4.462125,-4.934625,406.5
1,9.75,0,-0.933433,-61.2729,9.20316,-27.91,-1.3435,66.0125,0.140788,91,10.24579,-48.9524,0.0022211975,-0.91775,0,-3.0465,-4.2285,-2.30575,-8.02,-4.4675,-4.957375,405.825
1,10.25,0,-0.820565,-64.6922,10.258615,-27.6325,-1.33975,65.57,0.1321525,91,16.96851,-49.6755,0.15138475,-0.90675,0,-3.09125,-4.21175,-2.356,-7.5655,-4.46875,-4.742625,405.7
1,10.75,0,-1.112765,-70.77775,17.192565,-28.29,-1.34175,64.77,0.12875,91,31.7548,-48.3602,0.851692,-0.90675,0,-3.11425,-4.22725,-2.337,-7.8065,-4.46375,-4.546125,405
1,11.25,0,-0.6363885,-64.9027,0,-28.375,-1.3095,65.03,0.131458,91.05,0,-49.128025,2.8651625,-0.9165,0,-3.202,-4.59,-2.384,-8.0475,-4.521,-4.8085,407.5
1,11.75,0,-0.57784525,-67.62275,0,-28.11,-1.27825,65.89,0.126553,91.075,0,-49.2649,5.67074,-0.92,0,-3.277,-4.573,-2.23,-8.065,-4.5715,-4.8565,407.2
1,12.25,0,-0.348453,-66.7262,0,-28.01,-1.23825,65.6825,0.11185325,91.1,0.073130475,-50.45375,8.6342175,-0.9015,0,-3.134,-4.8255,-1.978,-8.04,-4.5235,-4.799,407.4
1,12.75,0,-0.438258,-65.3352,0,-28.375,-1.2255,65.87,0.1143475,91.1,0.99430375,-50.2798,10.6237,-0.9045,0,-3.199,-5.1065,-2.243,-7.89375,-4.61925,-4.801,407.15
1,13.25,0,-1.193065,-76.70905,0,-28.3075,-1.204,63.6675,0.12454425,91.1,0,-50.866,9.721345,-0.88675,0,-3.2195,-5.21725,-2.0845,-7.77375,-4.64425,-4.794,407.25
1,13.75,0,-0.609346,-67.00685,0.07781375,-27.5575,-1.19375,63.77,0.12723325,91.05,0,-49.007525,7.98336725,-0.892,0,-3.222,-5.1775,-2.03475,-7.77,-4.506375,-4.752375,406.55
1,14.25,0,-0.8184755,-60.832,0,-26.87,-1.18125,63.73,0.14857725,91.1,0.041303475,-43.93195,4.584955,-0.88525,0,-3.19,-5.122,-2.161,-8.09475,-4.6595,-4.7705,406
1,14.75,0,-0.798269,-64.7425,0,-28.93,-1.19,65.205,0.137737,91.025,0,-47.2785,2.022344,-0.90275,0,-3.5055,-5.66075,-2.24125,-7.77625,-4.75325,-4.848125,405.6
1,15.25,0,-1.035655,-69.187425,29.9894,-27.52,-1.18025,64.505,0.134087,91,0,-48.73802,0.532510425,-0.894,0,-3.4515,-5.73325,-2.34525,-8.09425,-4.657375,-4.973625,406.25
1,15.75,0,-1.171625,-64.6743,14.9965,-27.62,-1.17325,64.8175,0.140514,91,19.429325,-43.28035,0.06732385,-0.88575,0,-3.47525,-5.7415,-2.38525,-8.1825,-4.734375,-4.9165,405.95
1,16.25,0,-0.7001025,-68.9754,13.9676,-27.64,-1.16575,65.045,0.1240235,91,14.810275,-40.489315,0,-0.858,0,-3.528,-5.7565,-2.3845,-8.1975,-4.9247600345,-4.879,406.25
1,16.75,0,-1.461095,-57.09095,4.57457625,-28.28,-1.17025,64.6925,0.114452,91,5.5481475,-44.00235,0,-0.84925,0,-3.3635,-5.50975,-2.4405,-8.09,-4.664875,-4.730875,406.35
1,17.25,0,-1.03598,-68.733925,0,-28.52,-1.16325,63.8575,0.124889,91.1,0.4091,-44.283075,0,-0.83225,0,-3.34075,-5.49125,-2.40125,-7.84125,-4.6905,-4.8525,406.5
1,17.75,0,-1.001858,-60.92285,0.07199737,-28.28,-1.17675,62.075,0.1301415,91.1,1.03928075,-42.45735,0,-0.8345,0,-3.3465,-5.485,-2.39625,-8.16,-4.676625,-4.9205,406.45
1,18.25,0,-0.715802,-67.92435,0,-28.375,-1.192,64.19,0.125099,91,0.24179675,-43.43745,0,-0.82975,0,-3.348,-5.46525,-2.337,-8.25,-4.68425,-4.999625,406.225
1,18.75,0,-0.47600025,-58.6106,0,-27.395,-1.2185,64.7725,0.148437,91,0.200183,-44.953975,0,-0.843,0,-3.36175,-5.4645,-2.296,-8.215,-4.719,-5.02825,406.15
1,19.25,0,-0.307723,-52.883,0,-27.59,-1.24575,64.98,0.118563,91,0.20355475,-43.7785,0,-0.8375,0,-3.367,-5.45325,-2.3685,-7.942,-4.66275,-4.92775,406.275
1,19.75,0,-0.606557,-59.080475,0,-27.1225,-1.305,64.66,0.126846,91.1,0.21042525,-43.86435,0,-0.846,0,-3.411,-5.022,-2.388,-8.8075,-4.633,-5.044,407.45
1,20.25,0,-0.671656,-62.68465,0,-26.83,-1.318,62.94,0.13750075,91.1,0.236647,-47.8292,0,-0.8355,0,-3.399,-5.016,-2.391,-8.1675,-4.59,-4.9435,407.4
1,20.75,0,-0.6051575,-60.0819,0,-27.245,-1.30625,64.16,0.12123375,91.1,0.1923005,-52.9379,0,-0.846,0,-3.395,-4.978,-2.398,-8.28,-4.5475,-4.959,407.225
1,21.25,0,-1.10383,-60.6889,0,-27.8,-1.2985,62.88,0.11921725,91.1,0.328803,-46.580625,0,-0.849,0,-3.4,-4.964,-2.403,-8.26,-4.4985,-4.8925,406.4
1,21.75,0,0.104915,-60.1213,0,-27.46,-1.2885,64.8,0.13184925,91.1,0.21035575,-49.269225,0,-0.858,0,-3.306,-4.926,-2.431,-8.2275,-4.452,-4.987,406
1,22.25,0,-0.2684145,-63.4861,0,-27.83,-1.281,61.56,0.132646,91.1,0.34759,-49.794075,0,-0.84475,0,-3.086,-4.859,-2.501,-8.26,-4.431,-4.892,406.75
1,22.75,0,-1.167805,-56.34305,0,-28.605,-1.301,63.15,0.131185,91.075,0.0690908,-50.4858,0,-0.8615,0,-3.1115,-4.704,-2.4185,-8.145,-4.51825,-4.8695,405.6
1,23.25,0,-0.425074,-65.9789,0,-27.69,-1.29425,62.2525,0.12890025,91.1,0.043224525,-50.43665,0,-0.85525,0,-3.15275,-4.67275,-2.47025,-8.15,-4.563875,-5.040375,404.5
1,23.75,0,-0.3657055,-60.041525,0,-28.5425,-1.288,60.89,0.1366615,91.1,0.336045,-51.3216,0,-0.881,0,-3.15,-4.518,-2.481,-7.9565,-4.335,-4.857,405.825
2,0.25,0,-1.01975,-52.28265,0,-29.79,-1.27075,65.2925,0.10697025,91.4,0.15493525,-39.3291,0,-0.87125,0.54425,-3.93925,-3.102,-3.7825,-6.7485,-3.368375,-4.9085,403.8
2,0.75,0,-0.6998145,-56.7536,0,-29.935,-1.275,64.8525,0.09585,91.4,0.0573057,-38.3236,0,-0.88025,0.53075,-4.01825,-3.12325,-3.9415,-6.5215,-3.38675,-4.8685,403.9
2,1.25,0,-0.800612,-55.32085,0,-30.05,-1.26875,63.945,0.1018655,91.325,0.17335575,-38.46005,0,-0.87475,0.654,-4.122,-3.1095,-4.47425,-6.83875,-3.382125,-5.071875,403.95
2,1.75,0,-0.5674655,-49.2853,0,-29.965,-1.2775,64.52,0.1055315,91.4,0.25022125,-40.9784,0,-0.886,0.45375,-4.14325,-3.11625,-4.47075,-6.8225,-3.40625,-5.042,403.925
2,2.25,0,-0.85702,-55.1799,0,-30.165,-1.2825,64.715,0.11159625,91.3,0.112125325,-38.316375,0,-0.87775,0.52825,-4.147,-3.118,-4.5635,-6.919,-3.405125,-5.082,404.05
2,2.75,0,-1.3270875,-50.1602,0,-29.9675,-1.28975,64.1125,0.108249,91.3,0,-38.956475,0,-0.89075,0.50325,-4.135,-3.1235,-4.56975,-6.9115,-3.36925,-5.151625,404.1
2,3.25,0,-0.996137,-50.87425,0,-30.49,-1.28,65.33,0.106879,91.3,0,-33.9896,0,-0.8815,0.66375,-4.1615,-3.10075,-4.60225,-6.9275,-3.401875,-5.126375,404.1
2,3.75,0,-1.01992225,-52.65745,0,-30.64,-1.30225,65.3,0.09934475,91.375,0.1177878,-32.689075,0,-0.8905,0.55475,-4.124,-3.13025,-4.46625,-7.06175,-3.42725,-5.3135,404.125
2,4.25,0,-1.223995,-50.57945,0,-30.46,-1.30625,64.9975,0.110548,91.4,0.0101625,-32.69325,0,-0.8815,0.5615,-4.1355,-3.13,-4.46125,-7.13475,-3.46975,-5.41425,404.75
2,4.75,0,-1.024635,-51.4375,0,-30.4575,-1.32075,64.9725,0.104536,91.375,0.18097125,-32.029,0,-0.88925,0.6015,-4.11675,-3.154,-4.48025,-7.065,-3.478,-5.43275,404.5
2,5.25,0,-0.892095,-47.554325,0,-30.7375,-1.32,65.7175,0.1106815,91.375,0.0754065,-33.030475,0,-0.87725,0.38275,-4.153,-3.1255,-4.48575,-6.95575,-3.476375,-5.2475,404.275
2,5.75,0,-1.163645,-44.2378,0,-30.66,-1.3375,65.5725,0.1019025,91.3,0.20464425,-33.18535,0,-0.88425,0.50525,-4.1425,-3.133,-4.502,-6.95825,-3.5135,-5.262,404.375
2,6.25,0,-1.24553,-42.2434,0,-30.52,-1.35,66.1,0.096025,91.3,0.115722225,-33.2029,0,-0.89275,0.65425,-4.14825,-3.11525,-4.613,-6.765,-3.506,-5.260375,404.9
2,6.75,0,-1.56821,-48.7158,0,-30.91,-1.3615,66.1425,0.102176,91.3,0.1636445,-34.80725,0,-0.8995,0.59025,-4.14725,-3.0775,-4.64875,-6.67775,-3.485,-5.1695,405
2,7.25,0,-1.526945,-45.64795,0,-30.945,-1.3605,66.2,0.098825,91.3,0.186852,-34.5164,0,-0.889,0.554,-4.134,-3.051,-4.62,-6.69675,-3.442,-5.1935,405.6
2,7.75,0,-1.122895,-39.2896,0.3365245,-30.93,-1.3715,66.6675,0.102308,91.3,1.36486225,-33.1082,0,-0.90275,0.57425,-4.1475,-3.05725,-4.42275,-6.639,-3.36425,-5.2015,405.3
2,8.25,0,-1.47173,-46.2466,4.46538,-30.9025,-1.37925,66.05,0.09705,91.3,5.64753,-32.734925,0,-0.9,0.562,-4.16625,-3.04075,-4.4285,-6.61,-3.376125,-5.1885,405.05
2,8.75,0,-1.34912,-44.65555,5.09424,-30.905,-1.3755,66.215,0.0993,91.3,1.76755875,-31.7338425,0.104283205,-0.922,0.638,-4.14925,-3.0375,-4.4375,-6.7,-3.335375,-5.17325,404.8
2,9.25,0,-1.10817,-44.9422,9.10767,-30.945,-1.35225,66.1175,0.1139405,91.3,8.717335,-32.4806,2.121255,-0.91,0.70975,-4.175,-2.9305,-4.41975,-6.6815,-3.328,-5.186625,405.375
2,9.75,0,-1.2870025,-45.088725,9.20316,-30.615,-1.3435,64.9875,0.101903,91.3,10.24579,-37.44179,8.901595,-0.91775,0.6865,-4.161,-2.92325,-4.43725,-6.504,-3.3505,-5.13375,405.4
2,10.25,0,-1.325785,-42.8328,10.258615,-30.6175,-1.33975,64.4675,0.099275,91.3,16.96851,-41.1689,24.4137,-0.90675,0.688,-4,-2.87025,-4.15925,-6.79675,-3.2825,-4.81575,405.3
