DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1,TAU_1_1_1,TAU_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,PA_1_2_1,PPFD_IN_1_1_2,PA_1_1_1,LW_IN_1_2_1,LW_OUT_1_2_1,NETRAD_1_2_1
4,13.75,-19.94625,358.6072859,0,-2.09669335,62.24535,4.9847574,0.1320456,-12.02385,12.697925,0.206754125,0.991725,0.193525,0.38645685,0.675278,0.65551405,9.706,1.271,18.612,98.4,13.14085,13.195225,12.8229,12.66075,13.0855,-1.67092,31.3524,90.457,232.946,11.9468,104.51385,11.2536175,272.27935,372.7492,182.1425,-6.80373475,361.37506165,0.60223475,12.8483,5.38961425,0.22021115,1.196,12.170065,0.190965525,0.33494355,0.06641725,0.15481775,0.3723114,0.37997895,10.357,1.4530875,17.28125,-0.885208,-0.077307295,11.982,11.824,11.648,11.766,12.138,13.12,12.888,12.35,11.66,11.934,12.306,12.144,11.864,11.69,12.04,13.926,13.462,12.882,12.592,12.692,-4.163496,-2.8750515,-3.052962,-0.554943000000002,0.615246,10.42636875,10.17513875,98.39,457.68,98.248,277.854,393.008,135.024
4,14.25,-18.1882825,359.091796825,0,-2.11714265,51.0709,4.720262,0.10348575,-6.07085,12.8106,0.148324,0.854125,0.17891,0.36605275,0.655689,0.57662375,9.614,1.193,17.616,98.4,13.183,13.26065,12.95035,12.7314,13.0891,-4.58388,19.6975,86.083,206.977,9.796925,91.7181,13.34123,268.2237,369.87,199.55,-6.69749875,360.5299402,0.602771675,16.6457,5.32296445,0.2245076,-2.39828,12.1684,0.154844675,0.317992,0.0609573,0.14558145,0.3499412,0.3851152,10.068,1.2931375,16.10375,-0.70419175,-0.08292517,12.158,11.96,11.71,11.774,12.144,13.038,12.888,12.614,11.804,11.974,12.49,12.326,12.044,11.756,12.052,14.036,13.628,13.074,12.676,12.722,-2.6043075,-0.873767999999997,0.710226000000001,-0.597505,-1.432212,9.73565625,2.40322,98.354,349.14,98.22,277.982,389.032,117.404
4,14.75,-17.4871125,358.4740647,0,-1.8213264,43.537344,4.480394,0.118644975,-7.75225,12.597925,0.160818725,0.9814,0.199375,0.3504587,0.6233371,0.590147925,9.46,1.0206,16.922,98.360225,13.13525,13.24705,13.05575,12.8001,13.10335,-6.037718,24.6476,80.517,209.3792,9.66935,88.98674625,11.61269,268.0485,364.9831,178.69,-6.3685875,360.410529275,0.55009465,13.667,5.220733825,0.19637925,-1.8580425,12.02825,0.1463701,0.335775,0.056468125,0.14001175,0.3344375,0.360588375,9.866,1.18575,15.8925,-0.7221678,-0.07791684,12.278,12.052,11.77,11.788,12.138,13.102,13.024,12.794,11.958,12.026,12.6,12.494,12.224,11.834,12.06,14.056,13.686,13.194,12.752,12.73,-1.6661625,-1.8086565,0.686664000000001,-1.85594875,-0.154652,7.01094375,5.82710125,98.356,268.66,98.232,277.816,389.986,87.912
4,15.25,-17.475425,357.8963538,0,-1.4082044,41.317375,4.6385227,0.129972325,-4.8901,12.7915,0.1410629,0.91850425,0.1975,0.3553165,0.6290855,0.582798,9.202,0.973,16.094,98.32445,13.124225,13.24575,13.16075,12.86435,13.1179,-8.2652,9.3956,63.419,170.39,8.527,70.91096875,10.3346,267.21005,366.1044,146.65,-6.100825,360.4028136,0.546867225,15.718,5.1073954,0.2042715,-3.63388,11.84465,0.1350591,0.298643,0.06157535,0.14072965,0.3253825,0.3345736,9.517,1.1280625,15.2775,-0.82782555,-0.0720704,12.36,12.116,11.822,11.788,12.134,13.072,13.13,12.96,12.082,12.042,12.694,12.532,12.334,11.872,12.056,14.184,13.842,13.332,12.828,12.762,-1.6661625,-1.3028565,1.568556,-1.645185,-0.20172,3.68026875,10.95038,98.33,193.8,98.22,278.856,386.682,55.75
4,15.75,-15.47768,358.47815715,0,-1.163261,35.6271,4.4933624,0.1094325,-14.50681265,13.145,0.119198,0.801264,0.1743,0.2842127,0.5738299,0.5602665,9.353,1.1174,15.828,98.3,13.020625,13.20675,13.19765,12.9064,13.13,-8.37724,13.6111,63.221,167.248,7.79275,67.10115375,10.4308,264.3238,363.414,152.7,-4.7774875,359.7048168,0.515341125,11.3507725,5.1951743,0.20117835,-6.652905,11.8425,0.10388145,0.24311625,0.053080375,0.119179875,0.311382375,0.307349375,9.537,1.2067625,15.69375,-0.85521075,-0.0744618625,12.442,12.196,11.89,11.802,12.118,13.072,13.15,13.068,12.162,12.052,12.694,12.606,12.45,11.928,12.052,14.292,13.948,13.462,12.888,12.772,-2.5661025,-0.5643885,0.0841500000000003,-1.4364675,-0.971618,0.77758125,8.4851,98.318,261.28,98.208,280.424,386.532,88.16
4,16.25,-12.2212,357.70065385,0,-1.6118642,28.19185,4.53185025,0.102595775,-18.554125,12.961625,0.089443,0.699,0.1668,0.2821298,0.5071454,0.473286,9.579,0.9723,15.44,98.3,12.98415,13.1491,13.26255,12.97615,13.130175,-7.23639,3.5466,50.895,133.915,6.5071,58.7321825,9.2754,262.2191,365.5364,117.28,-4.164575,358.56385,0.4260656,10.6606,4.964742,0.206331225,-10.333675,11.85031,0.08895175,0.2509375,0.057216375,0.1125985,0.27349425,0.27820925,9.69,1.3184,15.6325,-0.78077615,-0.087827,12.496,12.26,11.92,11.824,12.102,13.072,13.17,13.128,12.29,12.07,12.712,12.624,12.53,11.99,12.052,14.336,13.974,13.56,12.956,12.786,-3.0585225,-1.4604975,-1.157904,-1.9766775,-1.425488,-2.478155,5.86788,98.316,240.08,98.214,271.94,382.518,57.344
4,16.75,-10.09005,357.857256675,0,-1.1318963,21.20465,4.645578825,0.097541,-14.53255,13.0966,0.071458405,0.66014075,0.147072225,0.253523475,0.466421775,0.40687685,9.318,1.128,15.07,98.3,12.965375,13.151,13.2729,13.0435,13.125,-8.82991,-6.4655,32.604,84.345,4.1779,32.9868,6.69198875,259.4199,364.7015,85.6,-3.58639,358.935060825,0.404870025,8.283755,4.9170793,0.17836325,-14.28555,11.6845,0.078988,0.210498,0.04670245,0.097412,0.2297878,0.23657985,9.525,1.3305375,15.60375,-0.851729725,-0.073023975,12.536,12.302,11.964,11.838,12.078,12.99,13.17,13.14,12.382,12.074,12.65,12.656,12.574,12.032,12.042,14.31,13.974,13.622,12.994,12.786,-4.7055825,-3.775797,-1.83447,-1.8129775,-1.536434,-6.449475,3.1719575,98.314,140.92,98.204,274.148,378.564,-19.98
4,17.25,-7.568,359.43230115,0,-1.2603552,14.572025,4.671361425,0.086188325,-26.972225,13.2373,0.063246,0.671025,0.122825,0.184391,0.34258705,0.345757925,9.128,1.031,15.816,98.3,12.94875,13.16885,13.26585,13.07175,13.1233,-10.897,-16.0502,22.068,66.085,2.88325,28.10820375,5.231,261.1525,361.8163,59.432,-2.380105,358.6405765,0.366429,0.22980175,5.161913,0.14314325,-19.862075,11.6572,0.0744181,0.1705945,0.04061655,0.07188175,0.185407,0.18556485,9.239,1.186225,16.4275,-0.8096196,-0.03604385,12.564,12.352,12.024,11.864,12.076,12.998,13.132,13.112,12.48,12.08,12.686,12.682,12.618,12.074,12.04,14.234,13.95,13.646,13.042,12.792,-6.3611325,-5.995416,-3.82041,-1.86004125,-1.072478,-15.18645,-3.87534875,98.324,93.76,98.202,284.384,373.724,-5.756
4,17.75,-4.9714,358.8562286,0,-0.663541,-3.82995,4.8327404,0.0544311,-36.7133253,12.80364,0.063246,0.5622,0.0806,0.1,0.2555372,0.240832,8.738,0.996,16.569,98.293525,12.992275,13.1404375,13.254025,13.1231875,13.120875,-16.174405,-62.8701,11.337,30.233,1.323,12.8378475,2.915,256.833,355.3423,19.545,-1.8435,359.603438225,0.3789978,-5.8700525,5.031596975,0.1416774,-27.883125,11.7522,0.082115225,0.088733375,0.028886375,0.04828325,0.119242,0.1120595,9.151,1.1768625,18.17875,-0.546872725,-0.035804,12.588,12.392,12.076,11.892,12.074,13.012,13.094,13.082,12.57,12.104,12.712,12.72,12.672,12.132,12.042,14.134,13.922,13.662,13.084,12.8,-11.30019,-10.2137525,-8.310654,-2.3286325,-3.415792,-20.9038,-16.755125,98.332,33.416,98.22,277.492,358.236,-59.378
4,18.25,-2.48765,357.7513175,0,-0.4914025,-5.34707685,4.470290075,0.03846725,-50.99,12.2899,0.065155075,0.50175,0.04125,0.044721,0.15571775,0.1466,8.673,0.922,17.737,98.3,12.838125,13.1050625,13.24195,13.1778875,13.140375,-20.086045,-91.315,4.1,11.714,0.189,4.45987125,1.5613875,256.131625,350.933775,6.8557,-3.80866,365.4268245,0.70405365,-4.088369,5.17732475,0.09891935,-27.0295,11.4995,0.0950855,0.0620233,0.017245935,0.03114855,0.07142525,0.06129825,8.462,1.0943875,21.92875,-0.50567755,-0.020097105,12.61,12.432,12.136,11.926,12.058,12.976,13.022,13.03,12.648,12.132,12.668,12.7,12.682,12.168,12.058,13.978,13.856,13.64,13.116,12.802,-12.5566875,-14.605815,-11.111158,-5.69676,-5.120326,-25.62857,-27.1473,98.342,9.67,98.232,272.74,348.148,-74.694
4,18.75,-1.226,358.4937382,0,-0.36098365,-30.1123352,4.95496305,0.024398,-59.0214,12.1315,0.070711,0.5359903,0.024275,0.023301925,0.126491,0.10593475,8.1475,0.7555,19.178,98.3,12.7225,13.0425,13.22,13.2175,13.158,-23.833755,-105.86275,-2.1,0,0,0,0,253.704075,346.45525,0,-1.536345,370.031665075,0.823565,-5.11072,5.5211141,0.0605561,-21.25324215,10.9332,0.1013137,0.06873325,0.015061375,0.02865925,0.066013875,0.050737875,7.74875,0.930724,25.8175,-0.468012,-0.01332646,12.614,12.448,12.176,11.948,12.048,12.85,12.92,12.976,12.7,12.156,12.61,12.672,12.69,12.194,12.056,13.802,13.78,13.614,13.144,12.806,-18.079425,-17.7383675,-13.67944,-8.1481675,-6.4054505,-30.2203,-32.3540125,98.352,0.749,98.226,276.302,346.126,-83.49
