DOY2,HR2,USTAR,FC,H,LE,CO2,H2O,TA,G,TS,NETRAD,RH,VPD,WS,SW_IN,PA,PPFD_IN
1,0.25,0.2293014,0.359938202,-0.092348875,6.71302625,392.9051222,4.153571003,-2.5725603,-3.84875,-0.136712281,-7.01185,89.476,1.256568274,3.936482475,0,98.94118425,0
1,0.75,0.2240775,0.39396167375,0.419725,5.95046625,393.357869,4.154361964,-2.9084244,-3.86625,-0.13391375,-6.537,89.7215,1.115819108,3.92747835,0,98.9211566,0
1,1.25,0.2291139,0.40174056,0.15156035,6.183739,392.99672095,4.406340966,-3.82235,-3.6065,-0.1309755175,-6.508425,89.46675,1.028621344,3.955224,0,98.89025,0
1,1.75,0.2454648,0.3287600635,-0.86892935,6.617899175,392.7903537,4.4442715985,-3.7108,-3.812,-0.14001,-6.41635,89.46125,0.907442376,3.969987725,0,98.882,0
1,2.25,0.2360873,0.3715669575,-0.8533578,6.017264575,392.41548385,4.274680502,-4.0747,-4.01869425025,-0.1207787085,-6.5646,90.35,0.98379653825,3.78059895,0,98.8845978,0
1,2.75,0.2283629,0.44128926175,-1.386081175,7.53841235,392.68652675,4.183090578,-2.877,-3.9045,-0.13231625,-6.99605,90.15875,0.98222586,3.917567475,0,98.8816392,0
1,3.25,0.2558576,0.302959519,-0.174662425,7.030580425,392.2247066,4.1254401355,-2.71835,-3.9785,-0.14306,-7.621825,90.52125,1.00995899825,4.01305005,0,98.89018145,0
1,3.75,0.2364939,0.424066788,-1.4269435,6.71667245,392.19840805,4.1044459305,-4.16725,-3.8715,-0.15673125,-6.7745976225,89.81225,1.026414624,4.191098925,0,98.903525125,0
1,4.25,0.2307438,0.4410261935,-0.7263625,6.8312433,390.9929125,4.010670771,-4.073425,-4.01575,-0.14655125,-7.0361,89.23375,0.9874539,4.28102325,0,98.95425,0
1,4.75,0.249076,0.475586801,-0.87017275,6.50492515,391.846542225,4.086601109,-3.98505,-4.0335,-0.15906875,-6.5788514275,89.67325,1.01238575075,4.11394325,0,98.95775,0
