DOY2,HR2,WS,T_SONIC,H2O_1_1_1,LE_1_1_1,FC_1_1_1,CO2_1_1_1,TAU,USTAR,SC,H,NETRAD,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_DIF,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TS_1_1_A,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_1_2,TS_6_2_1,TS_6_3_1,PA,FC_1_1_2,CO2_1_1_2,H2O_1_1_2,LE_1_1_2,PPFD_OUT_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TS_7_1_1,TS_7_2_1,TS_7_3_1,TS_7_4_1,TS_8_1_1,TS_8_2_1,TS_8_3_1,TS_8_4_1
1,0.5,0.7,-18.3,0.7,-5.71900268027,-0.5,368.7,-2.0712,0.0754055,-1.4,-80.05,-75,0,-1.545,10,46.28,44.5275,45.8775,48.3875,56.5,-17.9675,-19.1075,-19,-19.95,-20.66,-2.2525,1.1,0.6,-0.1,0.3,1,2.4175,-0.3,1.6,3,-0.5875,-0.29,1.2,2.8,96.6745,-0.55802,411.1,1.047225,-2.550525,-0.782692307692307,0.321285,0.3029,0.156225,0.050598,1.5,2.8,3.5725,4.7,1.2,2.3,3,4.2
1,1.5,0.8,-18.685,0.7,-6.30885734322,-0.7675,368.8,-2.0867,0.0863,-1.45,-91.5825,-75,0,-1.585,9,46.67,46.1,48.085,46.3875,56.51,-17.5176923076923,-19.6125,-19.5175,-20.3,-20.8625,-2.2,1.1,0.6,-0.1,0.3,1,2.5,-0.3,1.6175,3,-0.675,-0.29,1.22,2.8,96.7171,-0.3593275,410.08,0.762695,-6.9237030523875,-1.06769230769231,0.39897,0.271005,0.161555,0.0353335,1.5,2.8,3.5725,4.7,1.1,2.3,2.9,4.2
1,2.5,0.74,-18.9375,0.7,-7.551626091675,-0.6,368.69,-1.9097,0.0697955,-1.475,-89.1075,-75.9,0,-1.36,9.175,48.24,47.26,48.46,47.3275,56.025,-17.5525,-19.6525,-19.875,-20.695,-21.3079545454546,-2.25,1.1,0.6,-0.2,0.3,1,2.4175,-0.3825,1.6,3,-0.6875,-0.29,1.22,2.8,96.78775,-0.7276425,410.22,0.98082,-9.70226120287,-1.00363636363636,0.3233625,0.235575,0.138625,0.03177125,1.5725,2.8,3.5725,4.7,1.1725,2.3,2.9725,4.2
1,3.5,0.6925,-19.31,0.7,-6.4831242532644,-0.825,368.1275,-1.976,0.067314,-1.3,-95.73,-76,0,-1.4725,10,49.365,47.925,49.985,50.215,57.67,-17.418125,-19.9175,-19.75,-20.6,-21.525,-2.2,1.1,0.6,-0.2,0.3,1,2.5,-0.4,1.6,3,-0.6875,-0.3,1.22,2.8,96.81715,-0.4912,410.12,1.0133,-7.8854045365815,-1.13854166666667,0.31566,0.21586,0.12585,0.041542,1.5,2.8,3.6,4.7725,1.1725,2.3,2.9725,4.2
1,4.5,0.6,-19.525,0.7,-5.85830679483,-0.3,368.3225,-2.0982,0.07,-1.76,-89.26,-79,0,-1.65,9,51.465,49.79,52.5775,52.0825,58.2,-17.5392307692308,-20.2048076923077,-20.075,-21.1975,-21.8942307692308,-2.22,1.1,0.6,-0.1825,0.3,0.9175,2.5,-0.4,1.6,3,-0.6875,-0.3,1.2,2.7175,96.795725,-0.24375,409.9575,0.9644825,-6.2655905578355,-1.35961538461538,0.36052,0.15676,0.18635,0.050366,1.5,2.8,3.5725,4.7,1.2,2.3,2.9725,4.2
1,5.5,0.6045,-19.5,0.7,-6.43454982442312,-0.3,368.235,-2.1767,0.06455,-1.1,-92.0375,-78,0,-1.5,10,51.9775,51.42,51.985,52.7625,58.55,-18.0313636363636,-20.3,-20.0925,-21.0395454545454,-22.1,-2.3,1.095,0.6,-0.1825,0.3,0.9175,2.5,-0.4,1.6,3,-0.7,-0.3,1.2,2.7175,96.728325,-0.501325,409.925,0.9327,-9.27526728117575,-1.71704545454545,0.29155,0.111223,0.11007175,0.05004175,1.5,2.8,3.5725,4.7,1.2,2.3,2.9725,4.1725
1,6.5,0.59,-19.7,0.7,-6.4708703424,-0.4,368.15,-2.289725,0.067,-1.3625,-94.21,-77.075,0,-1.7925,10,51.9,51.035,52.5825,54.29,59.94,-18.51,-19.9225,-20.2025,-21.2,-21.7875,-2.375,1.1,0.6,-0.2,0.3,0.9175,2.5,-0.4,1.6,3,-0.785,-0.3,1.2,2.7175,96.77225,-0.0561325,409.95,0.9075,-6.895357788244,-1.19791666666667,0.27915,0.111385,0.151125,0.0468225,1.5725,2.7725,3.6,4.7725,1.2,2.3,2.9725,4.2
1,7.5,0.5,-19.6,0.7,-7.042450196106,-0.6,368.7,-2.1803,0.057183,-1.3925,-82.125,-56.8955,2.79,0,11,50.89,50.3,51.8,53.9775,59.7525,-18.9086538461538,-19.81,-19.9,-21.1225,-21.9125,-2.5,1.0875,0.6,-0.2,0.3,0.9175,2.5,-0.4,1.6,3,-0.87,-0.3,1.2,2.7175,96.82095,-0.4888625,409.815,0.8672225,-10.281839557135,0,0.23024,0.16413,0.11306925,0.026724,1.5,2.8,3.5725,4.7725,1.2,2.3,2.9,4.2
1,8.5,0.6,-19.2975,0.7,-6.086085847385,-0.6,369.0425,-2.31565,0.07985,-1.5675,-67.5875,-20,17.192,4.56,20,48.395,47.8,49.42,48.8825,56.44,-18.2954545454546,-19.3675,-18.995,-19.4325,-20.765,-2.3,1.085,0.6,-0.2,0.3,0.9175,2.5,-0.4,1.6,3,-0.8,-0.3,1.2,2.7,96.792,-0.3660375,410.2,0.84847,-3.3228252747485,0.625,0.348445,0.18208,0.2104125,0.02350475,1.5,2.8,3.5725,4.7,1.2,2.3,2.9,4.1725
1,9.5,0.8,-18.875,0.7,-4.92943166072,-0.5,368.4,-2.397275,0.152725,-1.6,-38.5875,-9.1,37.16,12.8475,38,43.05,42.8225,43.8825,39.745,50.61,-17.745,-18.2,-18.065,-17.9,-18.965,-2.32,1.1,0.6,-0.2825,0.3,0.9175,2.5,-0.4,1.6,3,-0.785,-0.3,1.2,2.7175,96.750625,-0.72792,409.92,0.6636925,-0.468856238998388,2.965625,0.565585,0.5054575,0.4185275,0.0494935,1.6,2.8,3.5725,4.7,1.1725,2.3,2.9,4.2
