DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN
1,0.25,410.2977835,7.261042,2161.1386215,0.36554825,2.671913,-10.79310525,-7.5260255,2.202664,0.63843225,0.06731675,-0.0332575,0.25373425,0.07087175,101.7275,84.452,2.944025,0.40049175,7.87368825,0.182014,8.529067,8.87325025,9.052275,9.2348,9.6673335,-70.79049275,-0.147664,-0.08476225,-2.75
1,0.75,407.93038075,6.970675,2173.63021525,0.369246,-9.60341525,-11.28719775,-5.5573355,0.14775125,0.6440985,0.062894,-0.034116,0.238327,0.068578,101.7175,85.082,2.70275,0.3859055,7.8118595,0.18119875,8.5119335,8.828592,9.04716675,9.2397585,9.66981675,-70.403169,-0.13878525,-0.08047625,-2.79
1,1.25,409.80030525,7.309237,2282.659916,0.605455,1.861999,-11.47077975,-5.116887,1.65353875,0.6371575,0.0726565,-0.0280955,0.2634955,0.06228525,101.7075,86.512,2.6387,0.4009655,7.74221175,0.1813655,8.42329975,8.79498325,9.024858,9.256208,9.660492,-69.546655,-0.13551375,-0.07619,-2.73
1,1.75,408.497342,6.973023,2229.994564,0.164467,-5.14376775,-12.26755,-4.83347275,0.844096,0.6338105,0.06464075,-0.024308,0.24076075,0.06165225,101.7175,86.945,2.137,0.4002445,7.184011,0.16916825,8.318842,8.71715025,8.9897165,9.263542,9.67152525,-68.9088025,-0.107944,-0.07285725,-2.7
1,2.25,406.77457475,6.86638025,2210.14129725,0.4239085,1.09268075,-12.50802425,-5.137172,-0.41132275,0.5989985,0.0629355,-0.033669,0.25678375,0.06654325,101.71,87.209,2.14755,0.35899,6.86618,0.169104,8.24645825,8.69092925,8.928008,9.264283,9.67697525,-68.644366,-0.08785,-0.07333325,-2.7
1,2.75,405.7291025,6.850996,2147.3319935,0.447289,-10.825809,-12.755309,-4.7852765,0.83258075,0.6067295,0.067217,-0.02285625,0.26344,0.06587575,101.73,87.394,1.9277,0.330269,6.6266685,0.16898,8.171267,8.620633,8.8956,9.268167,9.6655,-69.06496475,-0.085981,-0.070476,-2.68
1,3.25,407.6864685,6.896224,2141.176399,0.4636685,-4.327704,-13.086832,-5.0582595,0.2858265,0.65401475,0.072477,-0.03009625,0.25046425,0.0656015,101.75,87.5025,1.6756,0.326988,6.4481695,0.167415,8.037067,8.528133,8.886267,9.2606,9.662333,-67.969014,-0.080374,-0.057143,-2.56
1,3.75,407.77985925,6.822334,2206.95871,0.516603,0.672701,-13.20562,-4.655926,1.093196,0.6769885,0.06916225,-0.025242,0.2548625,0.0666385,101.74,87.727,1.4929,0.3131585,6.11992125,0.172577,7.904267,8.4131,8.82505,9.2432165,9.674667,-65.9580985,-0.1056075,-0.0638095,-2.59
1,4.25,408.7891255,6.7883515,2280.313159,-0.343836,-12.84884825,-13.3990435,-5.50640075,1.4275285,0.592322,0.063764,-0.02678,0.247073,0.068134,101.725,88.596,1.3842,0.270793,6.0903915,0.18109275,7.83965,8.299617,8.7768665,9.2372835,9.66685,-65.053521,-0.0943925,-0.070476,-2.515
1,4.75,407.298294,6.690739,2240.2341625,0.19240475,0.23576425,-13.66113625,-6.474861,1.81605525,0.61030025,0.06715925,-0.024813,0.24218,0.06622,101.725,88.445,1.348275,0.2628945,5.60808775,0.171829,7.764025,8.2163165,8.69607475,9.21705025,9.664458,-64.95792225,-0.085981,-0.0709525,-2.585
1,5.25,409.8646515,6.593429,2255.144311,-0.034892,6.86266275,-13.815018,-5.651693,-0.516498,0.6703705,0.06623325,-0.026172,0.29615,0.07230875,101.7325,88.48175,1.058725,0.2594245,5.4555415,0.1683035,7.694225,8.1217085,8.63189175,9.213208,9.669567,-64.901232,-0.0738315,-0.05857175,-2.53
1,5.75,408.0925615,6.58438975,2221.831045,0.124272,-2.87396475,-13.898068,-3.316584,0.3696455,0.64535275,0.06814125,-0.024401,0.269088,0.063402,101.75,88.8935,0.91823,0.249397,5.38382225,0.16701975,7.6176,8.044,8.585767,9.183367,9.664867,-63.940493,-0.074766,-0.053333,-2.51
1,6.25,409.40386525,6.16082575,2193.329707,0.368127,-3.362842,-13.81411125,-6.5562705,0.18308475,0.674995,0.072215,-0.022453,0.245715,0.069537,101.75,88.46,0.6426,0.268835,5.109265,0.17000675,7.5758085,8.003892,8.5254165,9.15377525,9.65102525,-63.540845,-0.078505,-0.04904775,-2.4775
1,6.75,407.94499575,6.15220825,2193.860733,0.33492075,-4.50163375,-13.90981725,-5.2576695,-0.3998215,0.66527825,0.0672285,-0.021647,0.2637675,0.07135475,101.76,88.18275,0.77881,0.2563025,4.69463475,0.168897,7.5412085,7.94708325,8.4859165,9.13505,9.65839975,-62.53591525,0,-0.028571,-2.4
1,7.25,407.4548115,6.2423145,2170.5372125,0.211428,4.750155,-14.028737,-5.356938,-0.955475,0.6563055,0.0709535,-0.0220145,0.264666,0.058628,101.76,89.005,0.56473,0.277795,4.7377135,0.17067475,7.467542,7.89142525,8.44993325,9.112992,9.6663335,-58.70281675,4.88457975,0.31619,0.7925
1,7.75,407.08157225,6.07730725,2177.083961,-0.10740375,0.33222625,-13.91925975,-3.540741,-0.7759095,0.66699225,0.072821,-0.020504,0.26281875,0.06677175,101.785,88.278,0.81364,0.2805965,4.28048925,0.1558925,7.43544975,7.83018325,8.39531675,9.070875,9.66706675,-37.1176055,31.48130875,1.9109525,12.795
1,8.25,407.481941,6.642226,2219.9275,-0.022827,-3.7930835,-13.47106025,-4.504409,2.280011,0.692441,0.0788705,-0.026009,0.276732,0.0867375,101.8325,87.3525,1.75295,0.346761,4.715485,0.164657,7.4411165,7.826608,8.34645825,9.033425,9.6277835,2.46549325,77.228505,4.733333,32.505
