DOY2,HR2,CO2,H2O,CH4,FC,SC,FCH4,SCH4,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN_1_1_1,SW_OUT,SW_IN_2_1_1,TS_1_1_1,TS_3_1_1,G_1_1_1,G_3_1_1,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,0.25,413.384,1.8431125,1906.07,-0.402304,-0.189775582979343,-4.51742,-2.10921437302625,-18.395525,-5.30647198601619,-0.0913203,-2.09292332748174,97.9973,59.87625,-9.5355375,-9.44274,0.78288175,217.51375,257.47325,-51.70955325,-2.6886025,0.13955825,0.038866425,-0.4416665,-0.508,-6.62,-5.6102025,-0.220263,0.49331925,0.13610425,0.126533,0.364693288347901,2.3237875
1,0.75,413.696,1.8310075,1907.38,-0.288306,-0.197522433246186,-3.30211,-2.63576700183487,-17.18922,-8.48575226979921,-0.2959695,-1.84280354847287,97.983,60.64355,-9.5622425,-9.7340375,0.730183,216.87425,259.2005,-50.64474,-2.5946525,0.16484675,0.0428358,-0.45,-0.52425,-6.6536525,-5.62403,-0.2787115,0.43503825,0.12685,0.14020575,0.360790048685107,2.481905
1,1.25,413.8,1.8386725,1905.93,-0.369919125,-0.402263548321427,-4.295494,-2.38533311819893,-14.2099,-6.29193345760907,-0.17310125,-2.03605677530242,97.983,59.343375,-9.8842075,-9.844425,0.6767175,225.72075,259.98125,-49.3655425,-2.3729925,0.162037,0.043166525,-0.45,-0.501667,-6.79675,-5.624875,-0.23312625,0.46973275,0.13249075,0.15804375,0.36194,2.2449425
1,1.75,413.617,1.754445,1904.2975,-0.18691125,-0.333848371285316,-3.02289,-2.56847524225381,-16.854075,-6.07803478073109,-0.258355475,-1.75993299241732,97.9878,60.978775,-10.2709,-10.2342825,0.6715015,221.3115,259.82725,-48.30594525,-2.186605,0.1978635,0.036551025,-0.425,-0.550833,-6.89599,-5.62419,-0.20421875,0.45241625,0.143783,0.1498565,0.3603875,2.35718
1,2.25,413.8415,1.770885,1905.05,-0.201281,-0.168780394972314,-3.84494,-1.4322117217984,-16.00259,-5.6354878436373,-0.1053155,-1.23612186964537,98.0093,60.457,-10.4766,-10.5032,0.63862125,210.7435,260.63975,-48.393641,-2.47591,0.1952875,0.040355,-0.424375,-0.573125,-6.9843225,-5.77647,-0.20945125,0.460012691456001,0.137852,0.14614025,0.3447775,2.0491775
1,2.75,413.33,1.763015,1903.83,-0.305009,-0.199742879336096,-2.174966,-0.948989442985342,-15.95117,-6.09925089173804,-0.34031125,-2.06788981334185,98.0093,60.980925,-10.8222,-10.882425,0.63155975,210.6755,258.24875,-48.95322125,-2.4288725,0.211561,0.034731725,-0.45304175,-0.57875025,-7.0255875,-5.8229025,-0.199085,0.4135525,0.13486,0.129884,0.37979889506165,1.8375375
1,3.25,413.7935,1.746295,1899.17,-0.3460675,-0.151364684511635,-3.8826955,-2.67952254880503,-14.0866,-6.99253305686941,-0.08656935,-1.39796872633658,98.0083,63.8689,-11.011,-10.9988,0.597435,209.8125,255.88125,-48.6613165,-2.378815,0.21273225,0.0350625,-0.4408335,-0.59729175,-6.9483725,-5.826495,-0.221131,0.421291,0.126134,0.135517,0.355813,2.00454
1,3.75,414.11225,1.7710075,1902.745,-0.2563985,-0.234286649657447,-3.2563725,-1.91949115872076,-16.65518,-5.98870902295731,-0.45349265,-1.98127167704375,98.0057,63.6806,-11.3826,-11.2853,0.5865545,203.1005,254.58225,-53.14579675,-2.5569375,0.188614,0.0357241,-0.46874975,-0.6,-6.943915,-5.831655,-0.231896,0.451375,0.131437,0.154506,0.371838674696433,2.00056
1,4.25,413.362,1.7170225,1902.2,-0.3430894,-0.286764299373261,-1.828125,-2.36181955733273,-14.48087,-6.03014623750417,-0.52698,-1.58289016067465,98.0176,63.049825,-11.405375,-11.607925,0.556377,205.02225,253.4655,-53.22923,-2.7094475,0.2149565,0.0317547,-0.4716665,-0.6,-7.034305,-5.8344275,-0.201085,0.439906,0.1325945,0.134383,0.377518,2.122075
1,4.75,413.456,1.80579,1903.76,-0.38834775,-0.181146483358567,-4.18442,-2.16642764692936,-16.2867,-6.34384339568991,-0.35907375,-1.78689221983856,98.035,61.71975,-11.4096,-11.641,0.5450115,203.9395,253.5355,-50.85755,-2.66905,0.176789,0.04333195,-0.49,-0.6,-7.053625,-5.863495,-0.228712,0.44575,0.132948,0.125002,0.373215,2.02708
