DOY2,HR2,USTAR,TA,WS,FC_1_1_1,H,LE,G,TS,RH,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.158,6.86,1.83,-0.101,-18.178,0.817,-32.6,8.2,49.3585,90.6,383,4.855,-69.2,-1.86,2.18,268,333,6.44
1,0.75,0.1585,6.57,1.85,-0.099,-18.5,0.634,-33.1,7.93,50.7525,90.61,383,4.71,-68.7,-1.83,2.126,268,331.724,6.58
1,1.25,0.151,6.496,1.858,-0.109,-16.7,0.765,-33.5,7.61,50.0245,90.603,382,4.56,-67.407,-1.83,2.145,268,330.851,6.31
1,1.75,0.1525,6.13,1.815,-0.1095,-16.6,0.711,-33.7,7.3,51.781,90.6,383,4.48,-66.66,-1.76,2.08,268,329.515,6.307
1,2.25,0.159,5.899,1.86,-0.111,-17.5,0.727,-34.4,7.049,52.3745,90.6,383,4.6,-66,-1.6,2.2,266,327.988,6.41
1,2.75,0.1585,5.551,1.81,-0.095,-16.4,0.655,-35.4,6.83,51.459,90.6,383,4.355,-66.4,-1.71,2.12,265,327,6.368
1,3.25,0.153,5.73,1.8085,-0.1095,-16.5,0.9495,-35.5,6.61,53.8,90.6,382.5,4.22,-66.074,-1.73,2.09,265,327,6.425
1,3.75,0.146,5.14,1.8,-0.101,-16.7,0.758,-35.3,6.33,53.2975,90.6,382,4.135,-64.9,-1.6195,2.14,266,326,6.4
1,4.25,0.149,5.18,1.775,-0.1045,-15.6,0.5335,-35.1,6.1,54.726,90.6,382.5,4.06,-64.5,-1.71,2.1,267,324,6.45
1,4.75,0.141,5.46,1.755,-0.105,-15.55,0.6215,-35.2,5.87,54.857,90.6,382.5,4.07,-64.4,-1.585,2.15,266,324,6.215
1,5.25,0.146,4.74,1.715,-0.094,-15,0.775,-35.6,5.77,54.574,90.6,382,4.08,-63.875,-1.65,2.08,264,324,6.32
1,5.75,0.1505,4.75,1.82,-0.0925,-16.65,0.4685,-36,5.6,54.601,90.6,382,4.03,-64,-1.61,2.08,264,323,6.33
1,6.25,0.149,4.69,1.782,-0.101,-16.2,0.669,-35.9,5.36,57.238,90.6,382,3.82,-63.6,-1.7,2.115,263,322,6.41
1,6.75,0.14,4.48,1.7355,-0.098,-15.501,0.445,-36.3,5.2,58.6045,90.623,382,3.745,-63.8,-1.6195,2.145,263,321,6.384
1,7.25,0.1455,4.19,1.75,-0.122,-14.6,0.577,-36.5,5.05,60.675,90.7,382,3.52,-61.4,1.07,2.553,262,320.074,6.41
1,7.75,0.148,5.013,1.6495,-0.162,-12.6,1.06,-36.3,4.944,57.662,90.7,382,3.71,-38,30.6,9.51,262,322,6.38
1,8.25,0.143,7,1.2,-0.317,0.748,3.79,-35.1,5.07,52.08,90.7,382,5.3,26.6,123,25.9,264,332,6.592
1,8.75,0.141,9.972,0.904,-0.4985,23.443,9.015,-31.5,5.47,46.6905,90.7,382,6.675,102.728,218,35.504,269,346,6.655
1,9.25,0.159,11.8,1.1,-0.771,53.45,14.45,-22.3,6.53,39,90.7,384,8.32,181,316,45.8,274,359,6.445
1,9.75,0.188,12.7,1.21,-0.742,75.716,20.8,-10,7.803,37.594,90.7,384,9.66,247.335,404,59.2,276,372,6.66
1,10.25,0.197,13.8,1.354,-0.705,103,24.5,5.775,9.44,32.5875,90.7,384,10.52,303.528,487,74.3,280.352,386,6.42
1,10.75,0.205,14.6,1.406,-0.636,122,25.8,22.6,11.333,29.931,90.7,384,11.64,347,554,88.6,283,399,6.46
1,11.25,0.212,15.4,1.44,-0.636,137,29.1,38.4,13,29.632,90.6,384,12.44,379.931,607,100.06,286,410.897,6.53
1,11.75,0.225,16.4,1.51,-0.5755,155,29.95,50.899,14.6,28.187,90.6,385,13.32,399,641,110,289.227,421.602,6.21
1,12.25,0.218,17.1,1.59,-0.527,161.122,31.9,63,16.101,25.962,90.587,384,14.5,407,661,116,294,430.366,6.3
1,12.75,0.244,17.7,1.72,-0.5275,170,29.85,69.4,17.5,24.214,90.5,384,15.49,403,669,119,297,437.846,6.1185
1,13.25,0.259,18.2,1.84,-0.5505,167.321,27.95,76,18.412,24,90.495,384,16.24,386,651,118,299,443,6.051
1,13.75,0.279,18.7,1.94,-0.579,162.894,27.25,79.1,19.3,22.4,90.4,384,17.39,357,617.069,112.952,301,444,5.8615
1,14.25,0.296,18.8,2.24,-0.458,150.572,25.05,77.7,19.9,21.8205,90.4,384,18.095,317,572,105,301,441,5.8
1,14.75,0.31,18.9,2.22,-0.3765,131.9545,24.1635,74.1,20,21.7775,90.4,383,18,271,509,93.6,301,438.609,5.845
1,15.25,0.33,19.1,2.33,-0.282,112,20,66.5,19.93,21.584,90.4,384,17.925,208.116,427,79.4,299,431,5.7
1,15.75,0.348,18.865,2.528,-0.259,85.4,17.1,57.5,19.6,20.6335,90.4,383,17.92,142.108,337.505,64.825,299,422,5.68
1,16.25,0.346,18.759,2.53,-0.208,54.8,14.05,47.7,19,22.468,90.4,383,17.45,68.9,239.735,49.1585,297,413,5.89
1,16.75,0.319,18.2,2.32,-0.131,18.2,10.4,36.7,18,23,90.4,383,16.43,-0.022,136,33.446,294,400,5.97
1,17.25,0.242,17.4,1.85,-0.09,-3.44,4.28,23.646,17,25.013,90.4,383,14.585,-58.6,48.589,16,293,388,6.14
1,17.75,0.126,15.3,1.23,-0.009,-8.4015,1.06,11.4,15.9,29.198,90.423,384,12.36,-86.4,1.23,2.3,289,374,6.093
1,18.25,0.1,13,1.34,-0.005,-8.69,0.444,-0.637,14.8,37.09,90.5,383,9.81,-83.7,-3.89,1.518,285.068,362,6.38
1,18.75,0.137,11.8,1.61,-0.0245,-13.65,0.54,-9.24,13.705,39.375,90.5,383,8.54,-81,-3.11,2,282,357,6.27
1,19.25,0.1545,10.8,1.8,-0.025,-17.4425,0.8645,-14.7,12.9,40.8335,90.6,383,7.655,-79.4,-2.59,2.32,278,354,6.1395
1,19.75,0.17,9.87,1.875,-0.041,-18.4,0.864,-18.977,12.2,41.962,90.6,383,7.125,-78,-2.424,2.4,277,351,6.16
1,20.25,0.171,9.722,1.904,-0.045,-19.9,1.125,-21.8,11.7,42.237,90.6,383,6.825,-77.4,-2.33,2.38,276,348,6.195
1,20.75,0.181,9.52,1.85,-0.0395,-21,1.065,-24.3,11.1,43.4,90.6,383,6.84,-75.9,-2.16,2.4,274,347,6.33
1,21.25,0.172,8.79,1.85,-0.0585,-21.2165,1.11,-26.1,10.6,45.673,90.6,383,6.22,-74.157,-2.15,2.355,275,344,6.39
1,21.75,0.166,8.7,1.85,-0.062,-20.8,1.02,-28.2,10.2,46.3095,90.6,383,5.935,-73.2,-2.01,2.38,273,342,6.4
1,22.25,0.163,8.24,1.878,-0.067,-20,1.12,-29.5,9.74,46.3,90.657,383,5.72,-72.9,-2.04,2.29,272,340,6.35
1,22.75,0.169,7.94,1.907,-0.0655,-20.336,1.1,-30.6,9.32,46.5435,90.7,383,5.605,-71.6,-1.98,2.23,271,338,6.485
1,23.25,0.158,7.505,1.87,-0.085,-19.4,0.858,-31.1,8.94,47.527,90.644,383,5.34,-70.4,-1.94,2.24,270,335,6.43
1,23.75,0.1625,7.25,1.865,-0.109,-18.1,0.637,-32.4,8.56,47.455,90.632,383,5.04,-69.7,-1.83,2.24,270,334.33,6.48
2,0.25,0.186,7.9,1.9,-0.038,-21.35,1.9365,-35.3,9.76,53.498,90.4,381,4.8,-75.8,-2.02,2.4,272,341,6.975
2,0.75,0.183,7.56,1.93,-0.0665,-21.35,1.839,-36,9.4,54.6285,90.4,380.5,4.905,-74.9,-2.01,2.39,271,338,7.01
2,1.25,0.182,7.59,1.92,-0.055,-20.3,1.69,-36.566,9.15,55.488,90.4,380,4.6,-74,-1.98,2.31,271,337,7
2,1.75,0.17,7.34,1.89,-0.059,-19.6,1.76,-37.2,8.84,57.28,90.4,380,4.39,-73.4,-1.9,2.34,271,337,6.97
2,2.25,0.173,7.12,1.893,-0.068,-18.6,1.56,-36.9,8.54,60.009,90.4,380,4.17,-72.1,-1.87,2.3,272,337,7.04
2,2.75,0.175,6.883,1.803,-0.0635,-17.8,1.295,-37,8.36,60.351,90.4,381,4.03,-71.7,-1.88,2.26,270,336,7.06
2,3.25,0.164,6.62,1.84,-0.052,-17.3,1.135,-37.3,8.04,60.7535,90.4,381,4.02,-71.5,-1.916,2.25,268,334,7.135
2,3.75,0.165,6.48,1.84,-0.062,-17.706,1.41,-37,7.85,63.6,90.4,381,3.96,-69.17,-1.85,2.21,268,333,7.12
2,4.25,0.158,6.202,1.835,-0.0675,-17.5465,1.545,-37.6,7.644,63.1565,90.4,381,3.565,-69.9,-1.79,2.21,268,333,7.182
2,4.75,0.153,5.99,1.76,-0.0815,-16.2,1.1065,-37.6,7.468,63.9095,90.4,381,3.425,-69,-1.85,2.23,268.646,332,7.1455
2,5.25,0.149,5.88,1.754,-0.0735,-16.45,0.7575,-37.2,7.18,62.409,90.4,381,3.675,-70,-1.8,2.27,266,329.604,7.106
2,5.75,0.155,5.68,1.725,-0.049,-17,1.074,-38,6.96,64.059,90.494,381,3.48,-68.876,-1.78,2.22,267,329,6.95
2,6.25,0.154,5.38,1.78,-0.057,-16.74,0.916,-39.404,6.75,66.332,90.464,380,3.21,-68.5,-1.75,2.24,266,329,7.05
2,6.75,0.155,5.52,1.7625,-0.064,-16,1.01,-39.337,6.57,64.448,90.5,380,3.09,-68.1,-0.999,2.37,267,328,7.09
2,7.25,0.148,5.38,1.7,-0.122,-15,1.4,-39.8,6.42,64,90.5,380,3.29,-54.9,10.5,4.753,265,328,7.025
2,7.75,0.1535,6.62,1.48,-0.301,-7.03,3.75,-38.8,6.3,60.158,90.5,380,3.71,-3.31,79.2,19.3,265,334,7.12
2,8.25,0.152,8.86,1.08,-0.746,12.45,9.8765,-36.4,6.56,50.18,90.5,380,5.81,72.6,180,31.6,269,343.448,7.185
2,8.75,0.16,11.1,1.08,-0.986,42.5,19.251,-30,7.06,42.6,90.5,381,7.71,159,287,43,273,357,7.09
2,9.25,0.186,12.1,1.16,-1.079,74.1,25.8,-19.3,8.24,38.512,90.5,382,8.38,239,397,57.5,279,370,7.11
2,9.75,0.204,12.9,1.395,-1.1195,102,30.7865,-4.21,9.71,36.1095,90.5,383,10.02,305,490.9825,73.7,281,383.5,6.94
2,10.25,0.223,13.8,1.44,-1.1,126.876,35.65,14.2,11.5,32.708,90.5,383,10.925,362,579,91.149,285,398,6.89
2,10.75,0.226,14.7,1.61,-1.16,145.009,40.2,32.16,13.5,29.851,90.5,383,12.22,408,654,108,289,410,6.66
2,11.25,0.258,15.938,1.8,-1.035,171,41.5345,49,15.3,28.208,90.451,383,13.36,448,715,123,293,425,6.51
2,11.75,0.265,16.7,1.79,-0.885,187,43.2,63.05,16.851,26.639,90.4,383,14.41,470.5,757.5,133.4295,295,436,6.52
2,12.25,0.292,17.4,2.043,-0.9,200,43.9635,71.65,18.31,24.63,90.399,383,15.93,480.5,782.5,139.2035,296,445,6.33
2,12.75,0.3005,18.1,2.16,-0.787,206,43.524,80.7,19.747,22.524,90.33,383,17.42,477.1435,792.5,143.2825,298,450,6.08
2,13.25,0.316,18.5,2.33,-0.7985,210.9895,42.9,86.7,21,22.0035,90.3,383,17.95,465,779,143.5,301,455,6.13
2,13.75,0.3325,18.7235,2.41,-0.748,208,39.8,89.5,21.8,21.272,90.2835,382,18.37,437,747.5,138.635,300.081,457,5.87
2,14.25,0.3755,18.95,2.65,-0.647,193,37.35,88.65,22.45,21.272,90.2265,382,18.86,393.5,694.5,130.137,303.5,456,5.9365
2,14.75,0.389,19.2,2.741,-0.534,177,33.981,85.1,22.609,20.7,90.2,382,19.31,347,631,119,306,453,5.71
2,15.25,0.395,19.1,2.83,-0.512,157,31.4,76.9,22.4,21.155,90.2,382,19.115,288,546,103,305,446,5.698
2,15.75,0.411,19.1,2.86,-0.4525,133,28.0345,68.4,21.9,21.5185,90.2,382,18.475,217,457,85.45,301,437,5.73
2,16.25,0.406,18.8,2.88,-0.471,101.44,24.9,57.5,21.3,21.35,90.2,382,18.93,146,353,68.65,302,426,5.85
2,16.75,0.389,18.4,2.78,-0.389,62.9,22.12,45.6,20.3,22.369,90.2,382,17.53,70,245,49.8,300,414,5.92
2,17.25,0.376,18.2,2.62,-0.3095,25.8,16.255,31.9,19.03,22.794,90.2,381,17.2,-3.96,134,32.5,296,402,5.94
