DOY2,HR2,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
1,16.75,-19.71725,6.581325,6.550725,234.6617,285.857775,-74.544375,15.64075,13.156,2.6534,0.076592,-3.91955,-3.493075,-22.06525,-8.468825,-13.4625,455.397075
1,17.25,-19.76775,0,0.803325,232.45985,275.19375,-71.680075,0.7294925,0.595125,2.7516,0.01,-3.9232,-3.544125,-22.7485,-8.315675,-13.196,455.0834
1,17.75,-20.073,0,0.08898675,230.3081,273.882875,-66.500625,0.0245415,-0.00172535,2.6132,0.01,-3.921925,-3.56955,-22.377,-8.350675,-13.06875,454.80905
1,18.25,-20.297,0,0.03110575,230.096025,268.695375,-67.179075,0.00557795,-0.0728915,2.251875,0.0578545,-3.92435,-3.562625,-23.22375,-8.448275,-12.861,455.641025
1,18.75,-20.16425,0,0.03050375,232.2993,259.655175,-65.4574,-0.001139855,-0.06909525,2.48055,0.01,-3.93265,-3.5515,-17.309,-8.468,-12.80975,455.32275
1,19.25,-20.4255,0,0.01229405,231.667375,258.725925,-58.580075,-0.000582475,-0.088417,2.48935,0.01,-3.92955,-3.544725,-17.706,-8.3582,-12.62425,456.7075
1,19.75,-20.60975,0,0.079373,230.187575,258.492625,-60.7436,-0.001415925,-0.08391725,2.67,0.01,-3.932925,-3.547075,-18.045,-8.40425,-12.7955,457.1397
1,20.25,-20.99425,0,0.134305,229.854975,256.7016,-59.73645,-0.00333065,-0.0589915,1.9116,0.01,-3.921475,-3.54455,-18.116,-8.472625,-12.90725,457.477
1,20.75,-21.16725,0,0.117599,229.516975,256.113975,-60.880575,-0.001406775,-0.055873,2.8253,0.01,-3.9261,-3.53955,-20.204,-8.542125,-12.988,456.8871
1,21.25,-21.34725,0,0.00037386,227.773875,253.515725,-60.92275,-0.001998725,-0.04680875,4.024,0.01,-3.93895,-3.537275,-20.9015,-8.5168,-12.65375,456.2779
1,21.75,-21.589,0,0.006101175,227.3121,251.4458,-57.1158,0.0012490475,-0.051038,3.144775,0.01,-3.953775,-3.53495,-20.6275,-8.4176,-12.65475,455.7684
1,22.25,-21.59825,0,0.00484755,227.4376,249.952675,-49.254075,0.0003330175,-0.06949925,0.72308,0.01,-3.95975,-3.546,-17.3205,-8.6707,-12.62025,455.7684
1,22.75,-21.66675,0,0.032578725,229.516475,249.536875,-47.740125,-0.00583045,-0.06095975,2.55775,0.01,-3.96045,-3.541075,-18.8545,-8.814175,-12.39725,455.7684
1,23.25,-21.6,0,0.000498145,231.177625,251.110125,-50.06635,-0.00266575,-0.06217875,0.567345,0.01,-3.94045,-3.543825,-19.183,-8.82335,-12.3445,455.7684
1,23.75,-21.9715,0,0.0020745825,232.980975,249.825075,-47.58055,-0.0003079175,-0.07317525,0.4388125,0.01,-3.935675,-3.5431,-19.183,-8.7814,-12.329,455.7684
2,0.25,-21.81175,0,0.22614,227.1285,245.41845,-49.9686,-2.553825,-0.025126,0.60078,0.0283885,-4.37535,-3.8904,-21.8365,-10.4435,-11.198,446.1422
2,0.75,-21.83475,0,0.2881675,226.77635,245.747025,-48.9702,-2.52475,-0.021557,0.53527,0.0283885,-4.35215,-3.8934,-21.8365,-10.544,-10.8105,446.1422
2,1.25,-22.10225,0,0.20666,228.07525,244.627775,-44.41455,-2.329625,-0.015614,0.8748425,0.0283885,-4.35245,-3.89745,-21.8365,-10.6185,-10.7915,446.1422
2,1.75,-21.927,0,0.1485625,229.4567,242.515775,-42.3488,-1.963225,-0.0211845,0.824036875,0.0283885,-4.3409,-3.89325,-21.8365,-10.697,-10.758,446.1422
2,2.25,-21.357,0,0.12953,228.224725,242.542225,-41.13675,-2.61565,-0.02496,0.77323125,0.0283885,-4.34085,-3.8952,-21.8365,-10.6965,-10.7515,446.1422
2,2.75,-21.366,0,0.01814275,227.91585,243.451075,-36.877275,-2.639225,-0.020703,0.722425625,0.0283885,-4.3325,-3.899,-21.8365,-10.6845,-10.7305,446.1422
2,3.25,-21.14075,0,0.083448,226.761475,241.706275,-37.027525,-2.21015,-0.024861,0.67162,0.0283885,-4.33615,-3.90115,-21.8365,-10.6485,-10.786,446.1422
2,3.75,-20.8005,0,0.185525,226.3553,239.79755,-34.25115,-2.382525,-0.0332905,0.738930833333333,0.0283885,-4.32765,-3.9023,-21.8365,-10.602,-11.2595,446.1422
2,4.25,-21.412,0,0.1914675,225.091525,237.264625,-37.935575,-2.16585,-0.0272835,0.806241666666667,0.0283885,-4.34245,-3.8926,-21.8365,-10.5925,-11.123,446.1422
2,4.75,-21.6615,0,0.03585025,224.1624,236.290725,-34.6225,-2.334425,-0.044894,0.8735525,0.0283885,-4.3367,-3.87645,-21.8365,-10.588,-11.0225,446.1422
2,5.25,-22.14125,0,0.119465,223.781975,240.775275,-36.302075,-3.0196,-0.0488135,0.940863333333333,0.0283885,-4.33855,-3.8656,-21.8365,-10.615,-10.874,446.1422
2,5.75,-21.95975,0,0.094073,222.120175,241.963175,-39.73305,-2.339775,-0.0519375,1.00817416666667,0.0283885,-4.33815,-3.86555,-21.8365,-10.6955,-10.776,446.1422
2,6.25,-22.189,0,0.145335,223.228575,241.434425,-34.10615,-1.9661,-0.0567275,1.075485,0.0283885,-4.34255,-3.8647,-21.8365,-10.7745,-10.852,446.1422
2,6.75,-22.37825,0,0.09268475,224.402275,238.995425,-34.733875,-1.983375,-0.023184,1.14279583333333,0.0283885,-4.34035,-3.85635,-21.8365,-10.887,-10.9765,446.1422
2,7.25,-22.449,0,0.4274225,224.62,240.121425,-33.154575,0.00349935,0.000164215,1.21010666666667,0.0283885,-4.33885,-3.849,-21.8365,-11.017,-11.143,446.1422
2,7.75,-22.0255,1.725575,2.7019,224.31665,242.968175,-28.801575,4.019875,3.3392,1.2774175,0.0283885,-4.3315,-3.83995,-21.8365,-11.035,-11.158,446.1422
2,8.25,-21.3615,22.9855,19.28625,224.54885,247.4594,-17.626025,51.53625,32.373,1.34472833333333,0.0283885,-4.33195,-3.8328,-21.8365,-11.06,-11.348,446.1422
2,8.75,-20.875,61.65325,50.775,227.10595,254.170875,-9.108425,138.9575,106.295,1.41203916666667,0.0283885,-4.3294,-3.8284,-21.8365,-11.079,-11.438,446.1422
2,9.25,-20.0755,108.4075,91.6725,230.8275,264.781725,-10.867575,244.065,203.81,1.47935,0.0283885,-4.3187,-3.81225,-21.8365,-11.0875,-11.247,446.1422
2,9.75,-19.1135,148.6,131.815,235.441225,272.6616,-4.355825,353.815,295.385,1.2041,0.0283885,-4.2977,-3.80545,-21.8365,-11.124,-11.273,446.1422
