DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
6,10.25,1.1731475,26.7058,6.29156,373.7665,384.1325,98.246,99.4883,419.19,23.392475,1776.8,959.55,648.84525,879.3245,136.1865,412.89125,462.5565,-0.50392625,1.1139,-0.473696,18.45325,17.8968,17.56,16.2984,15.0634,13.6732,10.5798,8.7968,27.4395,98.1532
6,10.75,1.182785,27.400125,6.79009,392.971,458.811,97.474875,99.5,417.575,23.455,1893.6925,1002.01525,690.403,919.658,143.0495,412.77325,465.366,-0.68968,1.2561375,-2.2822,18.736475,17.983,17.572,16.2882,15.075,13.6932,10.59,8.807,27.93435,97.8598
6,11.25,1.24501,27.8661,6.873205,464.8005,456.347,96.8955,99.4901,417.299,23.54555,1954.775,1070.35,719.29,958.2365,145.674,413.75725,469.015,0.622276000000002,1.355165,-0.0205700000000242,18.86505,18.107,17.5848,16.2916,15.0852,13.663,10.59,8.7866,28.4615,99.700275
6,11.75,1.25212,28.21495,7.0716125,434.39875,510.28625,97.5578,99.4369,416.0925,23.733875,2027.99,1054.5,743.955,987.388,147.6,417.155,472.015,-2.31739,1.23685,-2.63841,19.07505,18.2018,17.61,16.2766,15.092,13.68,10.6032,8.80019999999999,29.1925,99.571525
6,12.25,1.24688,28.74535,6.89812,440.20925,478.783,97.397,99.40025,416.6055,23.320775,2049.06,1095.8725,762.936,1006.65,147.89625,416.8745,474.6785,-1.79814999999999,1.23718,-2.94674,19.219225,18.30125,17.631125,16.263625,15.072,13.68125,10.604375,8.81425,28.93985,97.05995
6,12.75,1.24178,29.1355,7.357935,436.781,485.1655,96.306825,99.4,416.18,23.4805,2058.92,1098.5725,756.107,1005.6,147.468,417.7765,477.5255,-3.1938,1.91826499999999,-3.56431,19.569875,18.401875,17.6355,16.25825,15.097,13.68125,10.59375,8.81675,29.48485,98.44315
6,13.25,1.21556,29.4631,7.37057,436.75525,463.9835,96.9075,99.4,414.7915,23.4325,2048.92,1119.5175,756.246,1002.55,146.212,414.799,476.9525,-1.33399200000002,2.3542125,-2.02728,19.687,18.50575,17.66575,16.2825,15.06905,13.6825,10.6145,8.8376,29.60135,97.60685
6,13.75,1.28445,29.782575,7.179475,432.279,485.165,97.07355,99.4,415.34675,23.382325,2008.73,1058.2,733.749,979.917,145.33175,416.236,478.40025,-1.18534,1.936965,-1.2854,19.71875,18.46905,17.66865,16.28885,15.02095,13.6825,10.60855,8.8249,29.6392,88.6942499999999
6,14.25,1.2076825,29.800525,7.116485,402.482,463.4445,96.630425,99.348625,414.93325,23.300425,1924.2,1055.2675,699.915,946.29975,143.9425,415.685,478.565,-0.443539000000009,1.750285,-1.89546,19.70705,18.66125,17.738625,16.32625,15.08,13.687625,10.61675,8.837625,29.97015,80.705
6,14.75,1.27457,30.00385,7.38786,409.8215,420.6805,98.3672,99.305775,414.0605,23.261225,1828.45,951.34825,664.6095,902.0005,139.772,416.1855,478.815,1.069025,2.1368,1.1056,19.76945,18.75,17.81105,16.31625,15.092,13.6825,10.6201,8.84355,30.187275,80.89675
6,15.25,1.18489,29.6597,7.17569,352.827,416.31625,96.85465,99.3,414.065,23.348,1710.9025,910.5,619.55,848.11,134.52175,413.27,477.92,1.263625,3.1566,1.32965,19.91375,19.02145,17.90825,16.36575,15.0802,13.6825,10.6325,8.8424,30.069725,82.8125
6,15.75,1.17853,29.79355,6.932825,312.15125,368.4965,97.1825,99.3,413.8755,23.583225,1573.2975,821.348,561.58575,780.174,125.605,409.999,476.0145,-0.5343325,1.880515,-0.424917999999999,19.8691,19.12655,17.99405,16.3849,15.07425,13.6825,10.64355,8.83645,29.311975,85.65
6,16.25,1.15298,29.81145,6.98978,311.388,362.04,95.66955,99.3,413.25025,23.430675,1430.415,709.9465,496.25525,702.23625,116.875,410.981,474.45125,0.7342,2.50638,0.8800125,19.88455,19.139275,18.0554,16.4028,15.0528,13.68375,10.639275,8.823025,28.834275,87.541875
6,16.75,1.1764,29.26235,6.65348,243.9025,296.5435,97.4296,99.3,413.558,23.5094,1241.6,626.402,428.668,621.383,105.81275,409.7515,472.1715,0.079614,2.71590749999999,0.475069,19.85,19.194475,18.0724,16.447275,15.0804,13.68375,10.623025,8.88375,28.722475,88.09575
6,17.25,1.10768,29.08435,6.46136999999999,175.662,291.601,96.16975,99.3,413.6685,23.5271,1071.865,560.986,347.7505,529.98175,94.000425,411.0425,469.7665,0.680665000000003,2.77716,1.55939,19.7905,19.167,18.10595,16.467,15.06675,13.68375,10.645225,8.8675,28.61355,88.250125
6,17.75,1.1193625,28.7562,6.4164275,140.616,206.27,96.7628,99.3,414.65,23.529,896.4385,475.47825,264.3655,438.0915,80.99195,411.7895,465.6105,2.42385000000001,3.56931,3.01755,19.69155,19.19405,18.183,16.4905,15.04645,13.7,10.63375,8.8397,28.425725,90.05
6,18.25,1.04016,28.1136,6.3704,111.795,189.1385,97.2085,99.3,414.512,23.49045,708.409,376.58925,188.062,339.4615,67.1529,411.4945,461.1135,3.125795,5.358165,3.696435,19.657,19.2,18.23655,16.514275,15.041875,13.68375,10.645225,8.8345,28.356025,88.983
6,18.75,1.014895,27.579175,5.7809225,65.701575,134.71875,98.412125,99.3,415.07,23.195,512.28625,306.4015,119.75725,251.77,55.3725,409.695,457.10125,3.91192,5.48437749999999,5.57515,19.56,19.206025,18.28115,16.55335,15.044675,13.7,10.645225,8.8278,28.26775,89.225125
6,19.25,0.86697525,27.10835,5.2926975,34.36875,96.6715499999999,98.41395,99.3,415.995,23.3305,328.12475,199.6125,48.29,163.46,42.57265,406.315,451.53,5.51949,5.79555499999999,7.13972,19.41805,19.195225,18.291875,16.566875,15.01675,13.68375,10.673025,8.856025,27.663025,94.9534
6,19.75,0.792136,26.54285,5.16166,14.23865,70.0072999999999,97.8795,99.2703,417.46,23.515,159.681,106.12,11.8669,82.64055,27.469275,406.57175,446.884,6.78001,6.952385,8.75365,19.3265,19.137625,18.325,16.61425,15.013625,13.7,10.63125,8.856125,27.00275,96.547
6,20.25,0.766082,25.88985,5.02014,8.153325,51.798725,99.156,99.268925,418.855,23.681,45.102425,37.840675,0.268125,21.86725,10.2533,406.67,443.738,9.37336,8.32879750000001,11.3204,19.273975,19.133,18.318625,16.643875,15.040625,13.693625,10.641875,8.88125,26.228025,95.133125
6,20.75,0.828728999999999,25.622125,4.89904,10.09224,43.8796,98.7644,99.29175,420.52,23.334,4.473995,4.05062,-1.62125,1.17754,3.1315,406.375,441.905,7.6780775,6.56802,10.0357,19.167475,19.10425,18.352,16.669875,15.02325,13.7,10.641875,8.841875,25.59725,95.523
6,21.25,0.776312,25.2987,5.19938,7.46449499999999,43.7282,98.06875,99.3,422.15425,23.286325,2.08472,2.276075,-1.7504375,0.624846749999999,3.2974625,402.91525,436.2985,8.5407475,8.5795625,11.321125,19.0696,19.05,18.3284,16.6866,15.0232,13.7,10.677,8.8698,24.1605,97.15145
6,21.75,0.8387045,24.6782,5.33152,7.8266,51.2755999999999,99.5917,99.305775,424.19225,23.184675,2.09135,2.286535,-1.2369,0.554665,3.28585,402.36,433.825,9.1997,6.591455,12.362,18.97,19.0034,18.2902,16.6982,15.015,13.7,10.66,8.8834,23.622275,98.22645
6,22.25,0.83073875,24.258675,5.6113475,6.4345,35.29395,99.2661,99.3,424.765,23.131,2.093095,2.29478,-1.52012,0.697360500000002,3.25762,402.4575,434.28925,9.4171375,6.78034,11.13175,18.8661,18.9,18.263,16.7048,15.0434,13.7,10.6834,8.81,23.47775,98.893
