DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,0.25,-23.59828775,-20.1976515,0.02131122275,0.01773189,0.1010869785,0,-3.634837406675,-3.43458495,391.8392546175,-0.46766669,169.448735,193.80188,-46.7157855,-28.5237645,75.558329,0.3073691575,2015.26455,-3.0715582,-0.309140245,-0.60515495,-1.460125,-1.6822985,94.08471525
1,0.75,-21.845946,-31.5234895,0.02679258475,0.0286569335,0.1005991905,0,-1.426022,-1.428590875,397.1019836,-0.507583345,171.384325,193.991405,-42.6127875,-28.843496,77.681825,0.2982729925,2020.6585,-14.47798505,-0.1850542875,-0.46146712,-2.6147494,-0.476431315,94.0581405
1,1.25,-27.0766875,-16.2903105,0.03908942,0.016624159,0.099509416,0,-1.5549858,-3.581734,389.4302746375,-0.4635020725,172.40734,191.8511125,-34.608827,-29.4907795,78.46597,0.27633265,2031.404625,-4.192190925,-0.407006765,-0.575161405,-2.0069402,-0.88743021,94.046347
1,1.75,-26.1128865,-8.129920675,0.0495662135,0.015524782,0.099553376,0,-1.3360965,-1.2787369,396.59033215,-0.40189998,180.10159,190.48088,-33.540675,-29.9469,78.441169,0.2666454,2020.93085,-7.4987725,-0.10937554575,-0.3663684,-1.0361434,-0.285148425,94.04685375
1,2.25,-21.9859455,-25.635045,0.0252227595,0.0183624065,0.09435896,0,-5.980182793125,-5.9815,397.9668080025,-0.49304171,179.0716,189.31507,-32.376061,-30.346017,78.36506,0.255856375,2014.160075,-21.0840235,-0.1474144,-0.24832949,-1.6998219,-0.299960045,94.05216025
1,2.75,-25.171425,-26.94477,0.03056390775,0.0190123225,0.09170692,0,-2.0542513,-2.47567315,396.572776705,-0.39425,173.55127,188.25087,-32.549674,-30.723769,77.959997,0.246753125,2020.7782,-17.372676,-0.505189615,-0.451493555,-1.00542792,-1.407071705,94.0481935
1,3.25,-32.53675,-20.43054,0.03303556375,0.024064688,0.09492294875,0,-1.0628642094,-1.0552965,397.95527992,-0.4058,188.092705,195.0959875,-30.62182,-26.57865,80.08171425,0.36885634,2027.6754,0.753088195,-0.1582971,-0.69055928,-1.00691918,-0.38884315,94.059617
1,3.75,-25.2724475,-13.0960185,0.0502094525,0.020605808,0.090814309,0,-1.6285508,-1.586095775,379.36859388,-0.391312525,188.799,193.702725,-21.9248925,-27.8598325,79.0239875,0.33885432,2026.7428,-11.166819525,-1.4259319,-0.376294825,-1.476605475,-0.73532625,94.0210015
1,4.25,-16.5372375,-11.7725555,0.04951853975,0.02204907,0.09210169575,0,-1.699385,-1.661872,398.86659742,-0.37375,188.729075,195.0899,-19.6895825,-28.4622575,79.05375,0.31578524,2025.816925,-4.2511601,-0.3359605575,-0.28163136,-1.221896,-0.54758274,94.03087475
1,4.75,-31.5322845,-14.597885,0.0723009435,0.017555365,0.09430824875,0,-2.078292875,-2.1974888,399.15931603,-0.363625,211.0405,210.27676,-22.603685,-23.00471,79.921076,0.5372782,2025.8686,-12.9970155,-1.6409385,-0.31421566,-1.409621,-0.299292225,94.054481
