DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
2,8.75,-1.563675,425.105,3.18368025,57.9045,9.990405,0.41822875,37.45125,14.565,0.542715,1.5568,0.1977,0.23544,0.590855,0.633195,11.232,4.708,84.7655,100.36,10.86025,10.99975,11.41375,12.11475,12.7765,-2.3231,139.3,313.1075,622.421375,59.037,308.3425,66.773525,338.535,378.145,220.55,-0.0164317,10.9425,10.955,11.36,11.9975,12.5575,10.715,10.895,11.145,11.94,12.455,10.585,10.835,11.335,11.985,12.4875,-2.665235,-3.89809,-4.37589,-0.49025,-1.1465,-1.19325,-0.61775,-0.475,167.9975
2,9.25,-2.6644,422.3007605,3.1024175,74.929325,10.18466625,0.47031,57.126,15.3805,0.581158,1.6356,0.2270975,0.27378975,0.70064925,0.75632,12.57,5.7611,82.7245,100.39,11.235075,11.2,11.503,12.09975,12.78175,2.2724775,202.705,403.965,810.0294,69.971,400.71,81.8055,340.765,389.745,276.575,-0.01266285,11.28,11.2325,11.42,11.99,12.57,11.1175,11.1075,11.2525,11.9125,12.4425,10.7,10.87,11.3325,11.9575,12.46,1.06941,1.068305,-0.63975,0.01925,-0.777,-1.013,-0.645,-0.4775,248.2175
2,9.75,-3.34405,420.4681675,2.94733525,95.4468,10.40455,0.523631,78.1025,16.052,0.605661,1.89595,0.25078,0.3071895,0.7848815,0.841488,13.6855,6.946775,78.45,100.4,11.651,11.4545,11.5655,12.05475,12.746075,6.9298,263.64,487.013,972.81,80.357,483.4,94.8269,339.7,400.24,320.325,-0.01477005,11.5325,11.4575,11.4975,11.98,12.57,11.5475,11.38,11.4,11.9125,12.46,10.945,10.9975,11.3575,11.9425,12.4525,5.400935,6.39352,3.35229,0.6445,-0.30275,-0.8635,-0.621,-0.509,300.7825
2,10.25,-3.6206,419.430092,2.7997765,109.5405,10.6017635,0.5525275,93.7975,16.738325,0.637466,2.1101,0.268411,0.333422,0.815261,0.941685,14.3535,7.51495,76.548,100.4,12.07175,11.7415,11.70625,12.0635,12.7265,12.371,317.395,558.85,1117.37225,89.557,551.4825,104.825,340.8775,408.4825,390,-0.0151023,11.9725,11.665,11.6225,11.97,12.575,12.02,11.8,11.565,11.9725,12.49,11.295,11.235,11.4475,11.96,12.475,9.413295,11.845125,6.384705,1.298,0.296,-0.668,-0.611,-0.51075,343.9125
2,10.75,-3.61685,419.063,2.78887625,120.8025,10.754227,0.581254,110.757,17.2115,0.67491675,2.23535,0.281493,0.3489055,0.857993,1.0058075,14.9585,7.999,73.5475,100.4,12.5715,12.084,11.81,12.06275,12.695,17.4435,363.4375,623.5175,1243.4075,98.191,619.285,115.564,339.15,418.9,421.5,-0.01790235,12.365,11.86,11.7625,11.98,12.56,12.69,12.2075,11.73,11.9925,12.5075,11.5375,11.465,11.5575,11.9675,12.4825,13.956175,18.540375,9.11857,2.055,0.77425,-0.42475,-0.579,-0.5175,386.6175
2,11.25,-4.081285,418.332095,2.79089925,133.38975,10.9867295,0.6088505,124.28,17.646,0.724074,2.32215,0.29955025,0.369086,0.90674275,1.04441825,15.46,8.3041,71.772,100.39,13.0795,12.4215,11.9595,12.09825,12.7015,22.033,390.505,660.1025,1322.251125,102.21,657.465,122.975,341.235,425.775,474.1,-0.024330625,12.96,12.1175,11.8475,11.99,12.565,13.2275,12.76,11.9175,12.03,12.515,11.9225,11.635,11.6875,11.9875,12.47,18.33335,23.816675,10.9952,2.836,1.36525,-0.144,-0.516,-0.51625,414.005
2,11.75,-3.9392,417.369,2.69449,140.244,11.043568,0.61272475,134.5855,17.972525,0.745704,2.3860125,0.307555,0.36689525,0.94726175,1.10674075,15.72725,8.6535,70.57,100.3675,13.56325,12.771,12.150825,12.13975,12.667,26.53425,404.7,685.27,1373.3425,106.12225,679.3225,126.902,339.2375,431.79,505.3,-0.027222475,13.4175,12.445,11.9225,12.0025,12.5475,13.9225,13.3175,12.08,12.055,12.5325,12.35,11.7775,11.78,11.99,12.4275,20.505325,28.37535,14.9659,3.502,2.143,0.15275,-0.4645,-0.509,430.7325
2,12.25,-3.7366,415.90805875,2.60524275,143.38,11.01303975,0.62540775,137.61,18.3295,0.75780925,2.455405,0.313051,0.3751475,0.9730845,1.1274525,16.0915,9.0145,69.39,100.32,13.9405,13.117775,12.32925,12.16325,12.647,29.37375,409.76,696.41,1392.6,108.435,686.53,128.115,337.7575,435.9825,503,-0.02598825,13.8775,12.8975,12.0975,12.0175,12.5475,14.38,13.7075,12.405,12.135,12.5325,12.525,11.96,11.85,12,12.4425,21.757075,31.79225,18.096375,3.999,2.65825,0.3785,-0.407,-0.509,439.1275
2,12.75,-3.70265,415.577389,2.4808755,146.33625,11.088246,0.624211,137.575,18.64755,0.74821625,2.57535,0.32371,0.3861575,0.9992865,1.17623875,16.562,9.54955,67.5935,100.29,14.412,13.452,12.5205,12.22885,12.66,31.06425,401.7575,688.443,1383.925,108.29,684.1675,128.11,339.7125,437.2075,451.55,-0.031860425,14.185,13.23,12.205,12.095,12.545,14.85,14.0525,12.6025,12.1575,12.53,12.88,12.18,11.94,12.03,12.4125,21.185075,34.2265,19.1072,4.26975,3.06975,0.698,-0.331,-0.4765,433.685
2,13.25,-3.525325,415.5034865,2.45811,143.31,11.1234,0.619737,132.25,19.0744,0.72636275,2.6334,0.32961,0.39909525,1.03674975,1.16368875,16.98525,10.104,65.94725,100.2675,14.85,13.7833,12.72,12.279,12.662,32.4365,386.085,661.9,1330.4035,106.283,660.5925,126.5275,338.9625,439.25,434.8,-0.02815165,14.49,13.4875,12.3375,12.165,12.55,15.285,14.355,12.93,12.2225,12.5675,13.235,12.41,12.0775,12.0675,12.3975,19.970575,35.7923,20.301425,4.24225,3.27025,0.984,-0.24975,-0.4595,409.1025
2,13.75,-3.2722,415.006063,2.33705575,142.70875,11.1581,0.61178625,124.1,19.292,0.69724,2.68773,0.33095075,0.40359875,1.01279725,1.17402075,17.29325,10.65375,64.212,100.2275,15.1195,14.046,12.938,12.37075,12.6635,31.881,348.9325,621.4695,1249.4525,102.21,619.065,121.39,335.6675,437.16,440.225,-0.02962925,14.78,13.695,12.5375,12.245,12.565,15.3875,14.575,13.1775,12.275,12.5775,13.5,12.61,12.1425,12.115,12.455,18.56545,34.206125,21.423125,4.224,3.37825,1.1695,-0.16275,-0.4245,373.54
2,14.25,-2.99885,414.860621,2.28885375,131.6455,11.179946,0.5968045,109.163,19.60575,0.63693125,2.671,0.3231025,0.405853,1.00609,1.15816025,17.56975,10.994,63.891,100.2,15.213,14.22775,13.14225,12.41225,12.669,30.169,309.0675,564.889,1133.465375,94.3104,560.0175,114.073,336.3925,434.61,392.25,-0.02420225,14.87,13.8575,12.79,12.3125,12.57,15.49,14.6775,13.345,12.35,12.59,13.575,12.7375,12.26,12.1425,12.4325,16.5676,31.3519,21.3847,3.88075,3.46975,1.3875,-0.09825,-0.37475,322.53
2,14.75,-2.6462,415.52891375,2.206302,118.29,11.155337,0.561338,93.93535,19.7905,0.5651705,2.67327,0.31893,0.398281,0.984342,1.131724,17.75525,11.182,63.8525,100.2,15.211,14.3633,13.31,12.47,12.687,26.06025,253.3425,498.61,998.80225,86.1215,493.255,104.11,336.3775,429.6025,397.1,-0.02460005,14.75,13.92,12.97,12.3675,12.5775,15.465,14.7575,13.4825,12.415,12.615,13.58,12.8225,12.3475,12.2,12.4375,14.507525,28.147,20.983775,3.26975,3.1355,1.5185,-0.00125,-0.3395,266.765
2,15.25,-2.4158,415.417,2.073381,102.45,11.111096,0.516216,71.49225,19.924,0.4796195,2.659,0.3069275,0.387998,0.9494855,1.07601125,17.84775,11.33,63.649,100.18,15.11,14.343,13.423,12.541,12.69,21.8796,193.38,420.725,839.448325,74.898,417.62,92.49915,335.3325,423.5325,337.4,-0.0234713,14.5275,13.8425,13.0475,12.4,12.56,15.4175,14.8125,13.545,12.5075,12.6225,13.5625,12.8475,12.4475,12.21,12.425,12.078525,23.922725,17.273275,2.9125,2.866,1.5445,0.10575,-0.3085,207.805
