DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,8.25,-22.3486,0.86541325,3.0241925,-0.215703,-0.03305435,-0.053268125,-0.154781,386.112,0.5837694085,5.29847,0.062272501,0.511501,0.394088,0.165119,1.46053,0.149646,6.26673,0.299676,5.84675,23.585,88.6,3.78094007625,1.45325,3.80225,4.304,4.0375,-18.10171,-11.7293575,85.7213125,22.5857635,-2.2558145,173.534384875,20.68450095
1,8.75,-2.3193425,2.42161,8.4599325,-0.1457475,-0.36679625,-0.084716425,-0.165589,385.806,0.565453593,5.46863,0.08372367925,0.502791,0.386767,0.192919,1.053315,0.158556,7.653945,0.3226155,8.2575,21.3361946,88.6,4.7280964655,2.02175,3.80775,4.44425,4.97675,-16.89012,-11.5689025,168.6579475,39.2848295,54.1191125,362.024016925,39.60044
1,9.25,18.8894,2.245745,15.2476,-1.23808,-0.810255,-0.086635475,-0.226153,385.0575,0.537979893,5.3431725,0.092777502,0.504391,0.466045,0.236307,0.917757,0.1650225,8.86958,0.299279,9.48,19.14225988,88.6,5.88352793625,2.81625,3.885,4.5815,5.67975,-15.38809,-11.0024725,264.264285,51.583507,116.6976375,550.27683665,60.57226
1,9.75,52.8681,1.7807025,20.7928,-1.26388,-1.123965,-0.027487,-0.224199,385.121,0.608816375,5.31596,0.091424662,0.546809,0.570702,0.299029,1.07265,0.195067,9.27146,0.370385,10.5825,17.4725,88.6,6.548428767,3.856,4.0975,4.82225,5.83375,-13.60668,-10.140775,349.240185,64.449451,186.159505,755.665070625,77.51761055
1,10.25,82.58235,0.93739475,21.4472,-0.86046925,-1.2558025,-0.020351275,-0.277593,386.171,0.72926830625,5.31975,0.092121001,0.634923,0.648928,0.338888,1.23935,0.231517,9.76674,0.451606,10.570598,16.9575,88.6025,6.886727988,4.767,4.429,5.214,5.982,-9.533259,-8.10368275,398.4312375,75.8549815,236.926479,873.7692065,91.903968825
1,10.75,118.895,0.85414375,24.11225,-1.3545175,-1.52726,-0.0228409,-0.30907,384.88275,0.841098148,5.22646,0.093529213,0.647438,0.689785,0.377709,1.34473,0.247874,10.2638,0.522167,11.42108125,15.7975,88.6,7.4944429985,6.378,4.911,5.641,6.355,-4.78718225,-6.216054,486.4904225,88.1794265,281.395385,1034.779688,106.09107805
1,11.25,120.9745,0.952235,25.5639,-1.5100075,-1.470915,-0.02630405,-0.402651,385.39075,0.88419592175,5.39507,0.08808028275,0.7202675,0.75775225,0.40653225,1.4435425,0.26537175,10.821975,0.5536455,11.8821025,14.985,88.6,7.8725682545,7.787,5.537,6.149,6.906,-1.62877025,-4.43722375,510.6146325,96.1706045,314.95919,1069.19543375,117.4524453
1,11.75,144.01675,1.050065,30.1075,-1.47853,-1.60619,-0.0315284,-0.3669945,385.606,0.974732553,5.345285,0.09223379225,0.7529795,0.82241475,0.418387,1.5862925,0.2733915,11.202325,0.596216,12.325,14.4975,88.6,8.687229623,9.63,6.261,6.797,7.474,-0.63500545,-2.5347345,567.351935,104.54092,332.6993525,1199.77078925,130.8457821
1,12.25,158.271,0.58906125,27.720625,-1.3355275,-1.70831,-0.03426355,-0.368887,385.454,1.01370105025,5.29884,0.093006351,0.793734,0.837477,0.431441,1.46353,0.274969,11.6399,0.61392,12.79,13.98,88.555,9.205469132,11.75,7.351,7.421,7.813,0.065993425,0.2866557,584.55335,107.660745,340.8742125,1232.02968875,136.894696
1,12.75,157.3735,0.871829,27.450275,-1.33405,-1.646925,-0.0390909,-0.3258985,384.5935,0.97597052225,5.186195,0.090964163,0.813772,0.8454455,0.427868,1.62167,0.269096,12.093,0.609199,13.25,13.04,88.5,9.68993501575,13.67,8.57,8.13,8.31,-0.5132225,3.81178175,564.4367475,106.6686,338.4077175,1199.8295015,137.55125
