DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,WS_1_2_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,TA_1_12_1,TA_1_13_1,TA_1_14_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,NEE,RH_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,RH_1_3_1,RH_1_2_1,TS_2_1_1,TS_2_2_1
1,0.25,391.569,392.8645,391.3195,389.57405,389.662,389.091,388.133,0.8698654,1.073041,0.9692785,0.9655506,0.301,0.0006625095,-4.7780865,-13.55427,0.2704155,-1.888071,-0.1230719,3.2335,0.4465,0.555,94.39869,-11.02196,-10.044,-9.995,-9.62,-10.187,-10.605,-10.009,-10.71,-10.775,-10.495,-10.795,-9.385,-3.258,-0.1505,0.1787575,0.4438077,0.603,1.8515,2.719,-11.836,0,0.022,0.04123618,0.535,0.3106337,80.896,-0.9698575,0.08560874,256.3609,270.7177,91.78333,91.07665,0.3973736,0.6802481
1,0.75,391.831,392.917,391.33,389.2632,389.61,389.054,387.453,0.8782534,1.066828,0.9866759,0.9605799,0.2484105,0.03900965,-4.8091355,-11.30464,0.4509092,-1.811637,-0.22041955,3.197027,0.438,0.526,94.39905,-11.238,-10.1365,-10.2775,-9.58,-10.127,-10.66,-10.223,-10.7775,-10.835,-10.569,-10.8475,-9.4275,-3.3775,-0.1555,0.1771,0.44432665,0.6105,1.8415,2.71,-11.226,0,0.025,0.039,0.813,0.279783,81.15193,-0.9169353,0.08079331,254.737,270.852,91.98335,91.18999,0.3946236,0.6790127
1,1.25,391.965,392.9455,391.5075,389.5345,389.489,389.003,388.363,0.86924405,1.088574,0.9823265,0.9817052,0.255659,0.04629227,-4.9015,-11.778825,0.3001614,-1.410955,-0.21012835,3.194885,0.451,0.5414385,94.384865,-11.331,-9.924,-9.9375,-9.6,-9.979,-10.72,-10.478,-10.8,-10.82,-10.293,-10.83,-9.41,-3.362,-0.164,0.17747585,0.443,0.615,1.83,2.726,-11.65776,0,0.025,0.052,1.034,0.36474455,81.61777,-0.8894524,0.07498064,254.8972,270.8326,92.14331,91.46999,0.3957539,0.6794614
1,1.75,391.4186,393.2175,391.137,389.6845,389.829,389.354,387.916,0.86800135,1.07739,0.9984812,0.9804625,0.29502875,0.02680678,-4.9015,-11.03161,-0.093266765,-0.78197695,-0.1939684,3.22,0.428,0.53,94.388625,-11.264,-10.1625,-10.13798,-9.585,-10.143,-10.755,-10.25,-10.8,-10.77,-10.542,-10.83,-9.295,-3.283,-0.165,0.17641335,0.443,0.622,1.839,2.71,-11.64707,0,0.0275,0.04237649,1.12,0.3504134,81.71723,-0.9280726,0.07423198,254.8898,270.5694,91.21,91.13999,0.3950294,0.6783174
1,2.25,391.697,393.171,391.2455,389.65895,389.855,389.002,387.264,0.88726265,1.099137,0.9922678,0.9860545,0.3075,0.03783708,-4.874,-11.893105,0.28585425,-1.175881,-0.1537956,3.194145,0.42,0.5359251,94.39749,-11.24526,-10.193055,-10.090105,-9.75,-10.229,-10.91,-10.479,-10.84,-10.89,-10.768,-10.91,-9.45,-3.269,-0.155,0.1755289,0.44025,0.618,1.845,2.704,-10.94501,0,0.0325,0.048271245,0.891,0.31629805,81.6431,-0.8361427,0.07169041,253.6848,270.5516,91.08334,90.46335,0.3956256,0.6789481
1,2.75,391.0815,393.363,391.4005,389.7995,390.013,389.183,388.114,0.8928547,1.092302,0.9748706,0.9754919,0.2730588,0.02642576,-4.8745,-10.21944,0.3123508,-1.0125408,-0.075193,3.1495315,0.446,0.537,94.407,-11.22733,-10.2315,-10.166405,-9.79,-10.374,-10.935,-10.712,-10.95,-11.035,-11.024,-11.065,-9.185,-3.278,-0.174,0.17571445,0.4356844,0.616,1.842,2.714,-11.8,0,0.035,0.043155765,0.864,0.2700119,82.08929,-0.8989191,0.07164817,253.9251,270.9111,90.87,90.81335,0.3939533,0.6766697
1,3.25,391.229,393.2535,391.388,389.5245,389.795,389.49,387.629,0.8676907,1.079876,0.9574732,0.9568519,0.2594624,0.04647603,-5.0295,-10.465785,0.1006246,-1.197226,-0.093888105,3.138,0.415,0.5438959,94.38592,-11.278,-10.28276,-9.951236,-9.96,-10.613,-11.07,-10.601,-11.16,-11.22,-10.994,-11.26,-9.19,-3.312,-0.176,0.17550025,0.4342372,0.614,1.828,2.704,-10.88216,0,0.0325,0.03845787,0.973,0.3078153,81.78334,-0.8825755,0.06392936,254.6897,270.7527,91.23335,91.23999,0.3947067,0.6787904
1,3.75,391.288,393.505,391.6075,389.748,390.099,389.144,387.894,0.8565067,1.07242,0.9512599,0.9506386,0.2479556,0.06609195,-5.054,-10.4877,0.11834785,-0.68157385,-0.09382497,3.1070305,0.427,0.5408035,94.3767,-11.360375,-10.21689,-10.279745,-9.945,-10.755,-11.11,-10.94,-11.08,-11.175,-11.036,-11.175,-9.29,-3.375,-0.18,0.1758,0.43354,0.611,1.832,2.689,-10.57346,0,0.0345,0.03801623,0.854,0.27796475,81.94799,-0.8488549,0.05808525,254.704,270.5605,91.66334,91.72332,0.3938147,0.6782472
1,4.25,391.022,393.775,391.271,389.82,390.132,389.276,387.726,0.8515361,1.064342,0.9531239,0.9487746,0.24,0.05791352,-4.978,-10.27988,-0.00268264,-1.423486,-0.20041085,3.121896,0.404,0.5411463,94.383,-11.362965,-10.218665,-10.18388,-9.97,-10.607,-11.21,-11.015,-11.26,-11.38,-11.244,-11.41,-9.43,-3.419,-0.172,0.1758,0.4375156,0.599,1.831,2.695,-10.471,0,0.0525,0.03880017,1.0395,0.3241982,81.6876,-0.8993468,0.07429712,255.7703,270.8996,91.99665,92.02,0.3945869,0.6783296
1,4.75,391.0385,393.56,391.3808,389.5,390.052,389.25,387.752,0.84998275,1.065585,0.9568519,0.9537452,0.3235127,0.0232074,-5.069,-10.78291,0.02951391,-1.3450105,-0.1639642,3.1100045,0.423,0.5336859,94.3706,-11.38705,-10.2795,-10.5745,-10.005,-10.657,-11.3,-11.169,-11.445,-11.56,-11.354,-11.565,-9.685,-3.438,-0.173,0.1754822,0.4355356,0.614,1.841,2.692,-10.661325,0,0.054,0.04692317,0.9225,0.37573355,81.747215,-0.8847292,0.07355428,256.2031,270.1994,91.86667,91.77334,0.3958097,0.6757514
1,5.25,391.524,393.87,391.419,389.6656,390.112,389.021,388.172,0.8474974,1.058129,0.9400759,0.9382119,0.3044805,0.025429895,-4.949,-10.81218,0.055544125,-1.474842,-0.2104397,3.119347,0.401,0.55,94.3644,-11.14737,-10.40711,-10.392,-10.05,-10.717,-11.39,-10.973,-11.54,-11.54,-11.222,-11.59,-9.64,-3.453,-0.176,0.1753092,0.43817695,0.608,1.845,2.693,-11.137,0,0.0495,0.05313374,0.8435,0.3005444,82.0341,-0.94885485,0.050062045,255.0423,270.4923,91.32999,91.83335,0.3930541,0.6774897
1,5.75,391.4805,393.73,391.1474,389.3715,389.854,389.12,388.223,0.8431481,1.060614,0.9419399,0.9394546,0.2781261,0.026212595,-4.949,-11.42053,0.16519005,-0.89647815,-0.1499738,3.1523085,0.456,0.5197085,94.381,-11.08679,-10.234695,-10.4275,-10.24,-10.53,-11.495,-10.863,-11.54,-11.59,-11.139,-11.58,-9.595,-3.527,-0.174,0.1724808,0.43054585,0.607,1.845,2.681,-11.363,0,0.05232649,0.06516842,0.8315,0.3072574,81.91222,-0.95760145,0.086799555,254.18565,270.8651,91.75668,91.96331,0.3927803,0.6784891
