DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,434.729004,8.493625,1.125374,-17.178911,-2.47883,-0.152877,1.370433,0.061962,-0.001949,0.338756,0.066847,102.23,90.95,6.776,0.906291,14.699572,0.279754,7.726,8.2033335,8.566667,9.3925,9.7533335,-27.918379,-0.528169,0,0,-1.80045,0.533333,304.474088,331.9122975
1,0.75,428.986852,8.503406,1.102374,-17.53233,-1.702461,-0.130658,1.426457,0.065207,-0.002103,0.345771,0.05842,102.219,91.25,6.8665,0.9447695,14.531024,0.274346,7.463333,8.02,8.446667,9.355,9.763333,-26.610624,-0.528169,0,0,-1.80045,0.666667,305.856767,332.821787
1,1.25,429.914539,8.566289,1.1338295,-17.06755,-2.483352,-0.467871,1.409369,0.076718,-0.003447,0.373104,0.067262,102.199,91,6.607,0.9594095,14.245658,0.303506,7.471667,7.8915,8.316667,9.305,9.78,-25.753993,-0.528169,0,0,-1.725431,0.533333,306.081395,333.1056185
1,1.75,428.647635,8.384129,1.1424465,-16.40805,-2.513287,-0.332067,1.340751,0.067959,-0.003506,0.32881,0.070704,102.21,91.6,6.3985,0.824646,14.332518,0.279488,7.421333,7.8235,8.29,9.245,9.796667,-25.027812,-0.528169,0,0,-1.875469,0.466667,306.270985,331.698387
1,2.25,433.25134,8.227961,1.056967,-17.20258,-2.69537,-0.0483535,1.310793,0.069244,-0.003114,0.349885,0.068647,102.21,91.8,6.4125,0.798831,14.243108,0.2913505,7.355667,7.712333,8.253333,9.196667,9.806667,-24.062494,-0.528169,0,0,-1.725431,0.466667,307.014048,332.2144795
1,2.75,440.9805605,8.292145,0.943872,-16.388485,-2.3374,0.182794,1.377913,0.064494,-0.002335,0.383032,0.0708845,102.223,92.2,6.322,0.783334,13.969778,0.2807895,7.2085,7.598,8.221667,9.175,9.7683335,-21.76035,-0.528169,0,0,-1.650413,0.466667,310.061553,331.068907
1,3.25,431.6079525,8.558401,0.995763,-16.568485,-1.800198,0.087869,1.4920035,0.0657465,-0.0023415,0.3391855,0.0677025,102.2095,92.8,5.999,0.687484,13.842485,0.260984,7.087667,7.5205,8.183667,9.196667,9.813333,-19.9556855,-0.528169,0,0,-1.500375,0.466667,311.558302,329.109754
1,3.75,432.350204,8.490305,0.977462,-16.132344,-1.942166,-0.079947,1.40535,0.066246,-0.002718,0.342973,0.078031,102.1975,93.6,6.0605,0.655951,13.835626,0.257456,7.104,7.514,8.162,9.19,9.82,-18.9287,-0.528169,0,0,-1.387847,0.533333,311.413885,329.811744
1,4.25,433.995708,8.603684,1.08847,-15.6432535,-2.316738,-0.297789,1.3371455,0.0713965,-0.003262,0.362383,0.0795065,102.19,93.8,5.735,0.639575,13.789261,0.257513,7.0415,7.4665,8.145833,9.1608335,9.835,-19.1002055,-0.528169,0,0,-1.575394,0.466667,313.3184115,330.445691
1,4.75,431.4234265,8.563172,1.686599,-14.7940855,-2.895417,-0.3041845,1.458298,0.074029,-0.003864,0.363644,0.079574,102.2,93.65,5.58,0.641943,13.142461,0.273442,7.1253335,7.3771665,8.078,9.1275,9.781667,-17.700938,-0.528169,0,0,-1.5378845,0.4,312.376728,330.6342355
1,5.25,433.0914525,7.9065255,1.1757445,-14.490933,-2.83321,0.035786,1.344561,0.071966,-0.004481,0.372528,0.083529,102.1975,93.05,5.6,0.612624,13.509288,0.256586,7.044333,7.354667,8.125667,9.16,9.763333,-16.706568,-0.528169,0,0,-1.425356,0.533333,312.965463,329.9588715
1,5.75,431.271824,7.788615,1.336274,-14.569614,-3.338319,-0.823621,1.281019,0.0779245,-0.005008,0.378602,0.0789135,102.1995,93.15,5.368,0.566114,12.8935295,0.265903,6.712333,7.184667,7.745333,8.955,9.683333,-17.248136,-0.528169,0,0,-1.500375,0.5,314.067912,329.6535135
1,6.25,427.197629,7.456853,1.0747695,-15.76295,-3.196083,-0.3626895,1.37961,0.074258,-0.0044365,0.35584,0.081262,102.225,93.6,5.348,0.578787,12.590386,0.254041,6.5173335,7.1006665,7.6788335,8.835,9.7383335,-16.438234,-0.528169,0,0,-1.500375,0.5,310.499626,329.2795885
1,6.75,428.176657,7.394457,1.0919875,-15.814859,-2.56413,-0.327313,1.398542,0.06685,-0.003452,0.370776,0.079239,102.251,93.6,5.1595,0.5751325,12.575088,0.2659225,6.484333,7.024,7.596333,8.7,9.703333,-17.565268,-0.528169,0,0,-1.350338,0.533333,312.662634,328.1112015
1,7.25,424.664116,7.4876145,1.2827315,-15.43437,-2.937638,-0.2414355,1.3885315,0.074304,-0.0045585,0.359399,0.084135,102.27,93.65,4.949,0.5757915,12.456616,0.28291,6.414,6.881,7.595,8.6075,9.686667,-12.4595965,1.584507,6.222222,0.419287,1.575394,1,311.0220865,327.475178
1,7.75,434.0649575,7.4000045,0.979321,-13.712842,-2.244394,0.8236985,1.33865,0.076522,-0.0054405,0.3838195,0.093229,102.2885,93.55,4.761,0.5586145,12.4088405,0.244492,6.406,6.9055,7.6046665,8.5466665,9.671667,4.9264835,19.366197,51.3333335,2.725367,23.930983,4.133333,309.789651,328.497197
1,8.25,432.873542,7.668656,1.237148,-10.173405,1.091064,7.187689,1.393273,0.110128,-0.013374,0.381299,0.135225,102.2985,93.7,5.804,0.70642,12.731855,0.289251,6.602667,6.9225,7.528333,8.486667,9.636667,29.516787,57.21831,141.777778,7.2327045,68.0420105,10.5333335,313.920086,334.118858
1,8.75,432.124611,8.2311905,0.141292,-4.240903,11.5665485,19.217641,1.445328,0.131147,-0.0199405,0.38079,0.155968,102.324,90.2,7.0845,0.918941,13.190172,0.277376,6.889,7.11775,7.6463335,8.6275,9.661667,71.213963,93.5739435,269.111111,15.303983,131.4703675,21.033333,315.499723,343.6079185
