DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,0.25,4.0169,0.9451,0.67,0.4494,3.45575,1.68725,88.375,98.448425,5.62675,0.54685,402.059125,9.5005,0.8308,0.8308,-11.19975,6.932825,0.42805,10.385,1.15625,294.825,318.15,2.11625,0,0,-14.403,-10.225,-8.0965,-8.485,-9.4825,-9.158325,5.1505,5.425,5.24,6.10775,6.2935,6.20675
1,0.75,4.0738,1.02735,0.7038,0.50065,3.42375,1.8605,88.975,98.4556,5.228075,0.59085,400.6335,9.4929,0.916675,0.916675,-5.77705,9.710425,0.45495,10.385,1.39025,295.325,317.9,2.02925,0,0,-9.15625,-10.1375,-8.358,-8.6575,-9.0925,-9.113825,5.04925,5.35175,5.23675,6.08625,6.277,6.20425
1,1.25,4.3371,1.1072,0.7356,0.4673,3.3255,1.71925,89.575,98.454625,5.37165,0.53545,400.5253,9.2564,0.75455,0.75455,-3.9346,8.23885,0.47935,10.385,1.412,301.3,318.025,2.01525,0,0,-9.29,-9.87,-8.18375,-8.32,-9.005,-8.90115,4.94925,5.28175,5.222875,6.0675,6.25825,6.202
1,1.75,4.2748,0.9577,0.6829,0.4734,3.23475,1.3145,89.55,98.457725,4.440575,0.562325,401.7233,9.2425,0.7197,0.7197,-6.54005,6.5487,0.44105,10.385,1.224,298.675,315.6,2.0565,0,0,-8.24975,-9.705,-8.21425,-8.4875,-8.8,-9.00625,4.91225,5.26475,5.139625,6.0435,6.23525,6.18975
1,2.25,4.0833,0.8935,0.6302,0.4326,2.69025,0.86175,90,98.48025,4.39375,0.5494,400.7855,9.06315,0.584,0.584,-5.1079,7.49845,0.394825,10.385,1.196,299.225,313.5,2.021,0,0,-8.24525,-10.0175,-8.4375,-8.7025,-9.3675,-9.3337,4.89025,5.2675,5.057125,6.03475,6.21,6.179875
1,2.75,3.3559,0.8043,0.6686,0.387,2.20125,1.003,90.45,98.4657,3.42945,0.506225,401.4205,8.85385,0.5848,0.5848,-4.738475,6.0066,0.363075,10.385,1.2,299.275,313.825,2.09225,0,0,-8.23375,-10.855,-8.635,-9.0375,-9.8075,-9.914,4.85975,5.20375,5.025875,6.034,6.21025,6.163875
1,3.25,3.5773,0.9353,0.6554,0.4073,2.21775,0.56525,90.45,98.486025,4.31125,0.46865,399.6148,8.8646,0.5849,0.5849,-3.525025,6.4105,0.39955,10.385,1.3065,301.35,311.325,1.9795,0,0,-8.46325,-11.5625,-8.7125,-9.5475,-10.26,-10.123,4.82825,5.1315,4.9955,6.03475,6.21,6.1465
1,3.75,3.5299,0.9032,0.7343,0.3979,1.76825,0.183,92.05,98.5015,3.7381,0.4897,400.5093,8.146075,0.77095,0.77095,-6.3685,6.427275,0.4047,10.385,1.187,299.6,310.55,2.18225,0,0,-9.153,-12.405,-8.8875,-10.19,-10.94,-10.842375,4.7955,5.10125,4.952,6.03,6.21,6.1285
1,4.25,3.7285,0.9223,0.7144,0.4439,1.99625,0.36525,92.325,98.520075,3.6531,0.5183,401.0416,7.8263,0.62425,0.62425,9.1907,5.9422,0.41245,10.385,1.40125,296.85,310.625,2.161,0,0,-10.1265,-11.99,-9.125,-10.1375,-10.7525,-11.064375,4.75825,5.0415,4.898875,6.01625,6.20725,6.112125
1,4.75,3.942,0.9003,0.784125,0.4266,1.94975,0.05725,92.025,98.5039,3.51395,0.532625,402.3954,8.0511,0.715975,0.715975,-8.1119,7.9064,0.4107,10.385,1.40775,296.6,309.425,2.139,0,0,-9.536,-11.71,-9.33,-9.935,-10.0975,-10.4925,4.70375,4.98925,4.833125,6.001,6.196,6.09275
