DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,G,TAU,H,SH,LE,SLE,FC,SC,H2O,CO2,CO2_SIGMA,U_SIGMA,H2O_SIGMA,V_SIGMA,W_SIGMA,USTAR,T_SONIC,T_SONIC_SIGMA
1,0.25,-10.26725,31.7955,0.467,95.96035,0,0,-100.579175,-2.935425,-0.518575,179.299263386129,263.742174831693,0,-11.243,-0.52975,1.2355,2.78,2.66025,4.461,6.78075,10.418,-40,-0.7795246,-55.35,-19.0270011757815,-6.5148435,-35.3819234753261,-1.565858,-21.263315,0.00094541887054171,341.535179857826,0.0357805068906966,0.156624023653331,0.00443795263234441,0.146403221865814,0.0515279933169932,0.0272965344559445,-10.227425,0.0310463689012333
1,0.75,-10.481,32.75,0.741,95.97955,0,0,-100.095575,-2.963025,-0.39665,178.221852524482,263.477306756852,0,-11.4025,-0.606,1.243,2.7705,2.6605,4.462,6.781,10.41,-40,-0.7646343,-52.63085,-25.2712324405844,-6.2588545,-104.234226426459,-2.11304594192665,-18.9428060049902,0.000934279585593343,341.757979612679,0.0358056529860949,0.172109289993731,0.00540711535140836,0.149204234974752,0.0574561956437399,0.0198897822638353,-10.400325,0.0293026894512063
1,1.25,-10.7825,32.74525,0.64,95.9906,0,0,-99.487975,-2.9648,-0.62515,177.670636904478,262.686841227186,0,-11.65625,-0.59975,1.23825,2.77025,2.66025,4.46075,6.79025,10.408,-40,-0.672931975,-51.434625,-24.8904403463386,-9.8521755,-57.1490249757647,-1.76895634983753,-24.8317371193519,0.000951225796742805,342.110855016492,0.0358095965349381,0.162897668285911,0.00487388564968407,0.180096324492416,0.0547478074032917,0.028974446045689,-10.6601,0.0305981682166459
1,1.75,-11.012,33.62425,0.47,95.984125,0,0,-99.4123,-2.95805,-0.566775,176.822523580275,262.097191826198,0,-11.821,-0.72,1.2365,2.75025,2.66025,4.45075,6.79025,10.408,-40,-0.6834,-55.445695,-22.9543302670414,-7.748337,-42.7249486627934,-1.29106886710673,-28.2781530041922,0.000933765188140961,341.053802093949,0.0356230138838659,0.162801429778988,0.00478386246458574,0.154727504652496,0.0571417190748825,0.0235518137058567,-10.89515,0.0311640279449522
1,2.25,-11.20975,34.13775,0.437,95.965775,0,0,-99.16415,-2.958125,-0.5515,175.96149284137,261.001601258663,0,-12.056,-0.77825,1.295,2.73025,2.66,4.45075,6.79,10.408,-40,-0.8204176,-52.8,-23.4705738705989,-9,-59.7104756564699,-1.83083599538731,-16.3089267870766,0.000934989856388834,341.573930089152,0.0352054685347906,0.158099859002311,0.0049416810656617,0.139891292568783,0.0489532965907587,0.0230695334061785,-11.027175,0.0297609793199372
1,2.75,-11.2955,34.59925,0.5789078,95.982725,0,0,-98.63265,-2.948775,-0.54965,175.119025504768,260.40825438371,0,-12.19625,-0.7695,1.281,2.711,2.66,4.442,6.7905,10.41,-40,-0.7035225,-53.526575,-23.1587976134142,-7.225,-48.4810739541844,-1.66556840646231,-19.2956550455368,0.000946501681287711,341.528352417195,0.0350863542319704,0.140543485883317,0.00522229829623971,0.143984211708604,0.0472165037186908,0.0260494262125012,-11.13,0.0321262527478415
1,3.25,-11.362,35.56725,0.424,95.97335,0,0,-97.99655,-2.9346,-0.44385,173.124655445435,259.101693929102,0,-12.24225,-0.79,1.201,2.64125,2.66025,4.441,6.7805,10.408,-40.8,-0.69925515,-46,-27.0362823906551,-7.89277875,-51.4883723955477,-3.09254925128951,-16.4170619330061,0.000910607019423489,340.773419265244,0.03512397357438,0.130385006374515,0.00502731457007008,0.130778750217569,0.0493833049946116,0.0193731450268666,-11.225525,0.0312102588306039
1,3.75,-11.3875,37.0445,0.37,95.946375,0,0,-98.32285,-2.8923,-0.354825,171.945295889775,258.540798992742,0,-12.59675,-0.80975,1.1855,2.67125,2.6505,4.44075,6.7805,10.398,-40,-0.789653875,-46.90947,-24.2892797912587,-7.2,-46.1837719737881,-2.5210752346111,-28.90206,0.000939943114456244,340.185235106663,0.0350280157301017,0.130175401238292,0.00513049705194341,0.143020463224805,0.0557442551254637,0.0183501165575614,-11.1405,0.0291138278003013
1,4.25,-11.4765,37.7025,0.44025,95.97035,0,0,-97.7841,-2.84225,-0.301175,171.880220624807,257.32886369291,0,-12.6325,-0.917,1.16,2.6515,2.6505,4.4505,6.78025,10.398,-41,-0.721047225,-56.855775,-24.926195938729,-5,-99.000793940759,-2.1300288954532,-22.2202777467192,0.000941234696250401,342.697439141702,0.0348556666821238,0.1499902921396,0.00541867373070131,0.135349713126755,0.0554392760401038,0.0235596053403228,-11.34375,0.0295642728761874
1,4.75,-11.5085,37.55375,0.55425,95.97065,0,0,-98.6604,-2.952675,-0.27875,171.821304489496,257.817378292351,0,-12.601,-0.9335,1.085,2.6335,2.651,4.4605,6.771,10.4,-41,-0.71879925,-50.9980025,-26.0942048099584,-9.375,-82.199927532356,-2.268599,-13.6412619380414,0.00092828463329462,343.422269065701,0.0350787198632335,0.159207148506176,0.00524028331363624,0.138979168975221,0.0515829115230448,0.0214198247888183,-11.352175,0.0287401797889687
