DOY2,HR2,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,SC,G_1_1_1,G_2_1_1,G_3_1_1,H,LE,SH,SLE,PA_1_1_1,PA_1_2_2,RH_1_2_2,RH_1_1_1,RH_1_3_1,T_SONIC,T_SONIC_SIGMA,TA_1_2_2,TA_1_1_1,TA_1_3_1,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,TS_1_1_1,TS_2_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,413.038,3.17112732414618,1.32198,5.762875,0.089945604084139,0.003096125,-23.3115058333333,-15.9615205,-21.7062493333333,-8.18006,0.114008,-0.567698,-0.174401,102.307,103.263796666667,62.40755,92.3004276666666,96.3844946666667,7.935065,0.2170005,5.877455,6.22588055,5.9113803,0.857053310612661,310.21809,337.274725,-25.2774896666667,0,0,0,0,12.591882,11.018116,11.0267296666667,-0.0180692,0.383162,0.1187815,0.379718,0.18492,0.5014145
1,0.75,412.124,4.02777078170953,1.43589,5.688345,0.095672665577632,-0.00933441,-22.8821121666667,-16.2615231666666,-22.298807,-7.52331,0.231197,-0.421183,-0.2406585,102.333,103.268226666667,63.2738,93.4025041666666,96.6272755,7.66331,0.21746,5.52282,5.48745575,5.56145466666667,0.892125489864966,311.608935,335.595723333333,-23.975679,0,0,0,0,12.5640316666667,10.9462353333333,11.010842,-0.0171534,0.379404,0.11839,0.407401,0.155096,0.434157
1,1.25,410.934,3.5815305203359,1.2573,5.68508,0.0773748724225238,-0.0173685,-23.016996,-16.5513366666666,-22.400082,-8.37416,0.223196,-0.207555,-0.164867,102.338,103.23383,63.1672,92.9310811666666,96.4538573333333,7.98859,0.220149,5.34602,5.50087003333333,5.357176,0.847982990345466,312.224561666667,336.10979,-21.933516,0,0,0,0,12.540979,10.8778456666667,10.9815183333333,-0.01715,0.437367,0.115444,0.40057,0.179047,0.505471
1,1.75,410.567,3.44732289717969,1.55411,5.56995,0.0796625074357615,0.00206037,-23.5848076666666,-16.6565495,-22.7125818333333,-10.4645,0.15331,-0.253872,-0.295973,102.319,103.21603,61.12675,92.7534041666667,96.603699,8.11481,0.212175,5.53152,5.616555,5.39283738333333,0.93830514884061,313.849186666666,336.1644,-21.0809563333333,0,0,0,0,12.51471,10.7904043333333,10.9396476666667,-0.0206351,0.408358,0.127337,0.415156,0.185764,0.501926
1,2.25,410.643,3.34478428736409,1.35945,5.35967,0.0881062156613854,-0.0060311,-24.2172813333334,-17.256596,-23.234432,-7.8296,0.213765,-0.550192,-0.233414,102.323,103.19454,61.69835,93.5529416666666,97.1662396666667,8.07971,0.227375,5.5072,5.61016801666666,4.9548643,0.726198420323231,311.626548333334,335.260646666667,-19.572319,0,0,0,0,12.488141,10.6884783333333,10.86383,-0.0168966,0.410586,0.114809,0.393543,0.185117,0.531389
1,2.75,410.3345,3.6569597089493,1.573665,5.295635,0.0915039122631061,0.0399978,-24.3163005,-16.9855958333333,-23.1338745,-8.208545,0.331642,-0.541504,-0.186525,102.287,103.19054,63.7125,94.4811761666666,97.0641108333333,7.94847,0.236056,5.168715,5.37176395,5.02409531666667,0.749183696731954,310.477361666667,332.870521666666,-19.8071946666667,0,0,0,0,12.48909,10.6198833333333,10.7942313333333,-0.0255143,0.436192,0.143576,0.4063185,0.170272,0.5037325
1,3.25,409.856,3.5505752100053,1.57888,5.14412,0.102813414290448,0.0251668,-24.499092,-16.4691845,-23.6755428333333,-10.51625,0.1861515,-0.505063,-0.1534915,102.2965,103.20447,62.945,93.4032465,96.787759,7.74672,0.234569,4.839095,5.01747215,4.875552,0.788411947351495,315.258711666666,332.825418333334,-19.1835616666667,0,0,0,0,12.488849,10.5656123333333,10.7343116666667,-0.01827205,0.410014,0.120381,0.361737,0.176987,0.502753
1,3.75,409.756,2.4365316392629,1.279805,5.20063,0.0911585877046552,0.00780242,-24.5070288333333,-16.7094775,-24.1277946666667,-8.39213,0.229456,-0.4671305,-0.176896,102.3,103.221393333333,60.3626,92.8166106666667,96.266263,7.589695,0.2334515,4.773585,4.8368976,4.66151348333333,0.754576611776163,316.238715,334.550318333334,-18.0755566666667,0,0,0,0,12.4885766666667,10.4656093333333,10.684238,-0.01779115,0.407444,0.1196365,0.3948395,0.1883165,0.535563
1,4.25,411.035,2.97911058636758,1.37897,4.98035,0.0949515978674121,0.0403578,-25.1933133333333,-17.1410318333334,-23.0314776666666,-7.88584,0.113404,-0.3561565,-0.2239255,102.2685,103.176263333333,60.3478,93.4691651666667,96.4746633333333,7.533455,0.2377875,4.916595,5.02145948333334,4.75267653333333,0.724586154853427,317.148701666667,334.792643333333,-19.5047946666667,0,0,0,0,12.4810323333333,10.45684,10.5593276666667,-0.03074245,0.419007,0.155576,0.3993155,0.196263,0.560823
1,4.75,411.514,3.43490345217098,1.52974,4.91743,0.093072652232924,0.011060195,-25.8196486666667,-17.7277783333333,-23.1782878333333,-9.74196,0.250774,-0.251161,-0.184335,102.2715,103.17952,59.9553,94.0847226666667,96.6894761666667,7.59158,0.241439,4.6787,4.85595853333334,4.21433908333333,0.575548709835039,315.380015,332.742418333333,-18.407185,0,0,0,0,12.4620006666667,10.399599,10.472151,-0.01923815,0.3764005,0.123166,0.364071,0.1651995,0.6061685
