DOY2,HR2,FC,LE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_4_1,TS_3_5_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,1.69121613389418,0.178400937731329,0.245174467468423,-25.1454776633334,0.509381626249474,424.573236467447,24.0395635138009,2.70180736030072,25.0864395539903,0.231695028447673,1.855,0.69,0.215,0.26,23.5794,23.174,23.06385,22.3868,22.1065,21.9688,100.23346,73.94,7.762,22.43,22.44,22.9,22.29,0.5,-3.545,1.85,-1.3,0.13,369.4,434.6,425.65,432.4,0.11,-0.08,0.01,0.1,-0.15,-0.03,0.06,0.81,-0.29,23.5595,23.7635,24.214,24.5555,24.8545,25.6485,26.1515,26.48,23.441,23.7875,24.379,24.5855,24.8245,26.166,26.4145,26.883,23.1135,24.5,24.0305,26.7625,23.3935,23.874,24.035,24.3635,25.11,25.674,26.013,27.0565,23.23,23.856,24.32,24.9885,25.536,26.205,26.555,26.6595,27.05,-2.615,-3.026,-3.548,-67.11
1,0.75,1.26766538418405,-1.84124079324381,0.181996443798491,-17.4823626929114,0.490493767569621,423.932456263636,23.2092216879449,2.56074891199189,24.9685787689209,0.238998988342796,1.825,0.7,0.21,0.26,23.5639,23.2375,23.05955,22.29955,21.9036,21.86325,100.21219,73.075,8.0801,22.43,22.4,22.88,22.23,0.4,-3.44,1.8,-1.35,-0.01,368.3,434.5,424.85,432.3,0.11,-0.085,0.01,0.1,-0.15,-0.03,0.05,0.79,-0.29,23.4555,23.7005,24.1805,24.533,24.847,25.6475,26.151,26.4795,23.317,23.688,24.3065,24.5515,24.8155,26.164,26.414,26.883,22.9535,24.484,24.026,26.763,23.292,23.7695,23.976,24.3535,25.1025,25.674,26.0155,27.0555,23.088,23.7805,24.2715,24.948,25.519,26.204,26.5545,26.6595,27.0495,-2.738,-3.225,-3.789,-65.94
1,1.25,1.93027914484022,-4.72601080968094,0.227472232261353,-23.4534622848229,0.478684335684567,423.941066749496,22.9347133665435,2.49338244803721,24.8184793656933,0.230368334577502,1.84,0.71,0.2,0.26,23.5179,23.133,23.0284,22.21565,21.8233,21.641,100.19823,72.43,8.004,22.305,22.355,22.73,22.18,0.4,-3.62,1.8,-1.37,0.04,370.7,433.6,423.85,431.55,0.13,-0.08,0.01,0.1,-0.15,-0.02,0.055,0.81,-0.29,23.393,23.63,24.132,24.5095,24.8395,25.6475,26.151,26.4795,23.1915,23.5745,24.2455,24.5165,24.8065,26.163,26.4135,26.883,22.86,24.4655,24.022,26.7625,23.21,23.67,23.927,24.343,25.0945,25.673,26.017,27.055,22.957,23.6775,24.216,24.909,25.502,26.203,26.554,26.6585,27.0495,-2.88,-3.5215,-4.0235,-63.31
1,1.75,1.53759566520823,-2.68736512863377,0.212698170172773,-24.4142249463556,0.49780598188959,424.493692955536,23.1998733459081,2.56747577036834,24.5832948649342,0.235514039051496,1.85,0.65,0.21,0.26,23.4261,23.058,23.0344,22.1963,21.76845,21.57545,100.176345,72.785,7.8963,22.295,22.195,22.685,22.07,0.4,-3.48,1.8,-1.31,0.1,369.3,433.9,423.25,430.45,0.12,-0.08,0.01,0.1,-0.15,-0.03,0.05,0.825,-0.29,23.314,23.556,24.1035,24.49,24.833,25.647,26.15,26.479,23.098,23.5175,24.1875,24.4815,24.798,26.181,26.4135,26.8825,22.711,24.445,24.0175,26.7625,23.143,23.5765,23.8805,24.33,25.0875,25.672,26.017,27.0555,22.8605,23.596,24.125,24.8685,25.4845,26.202,26.553,26.6585,27.0485,-3.0555,-3.852,-4.315,-64.43
1,2.25,1.66893723964658,-1.57075353693499,0.194623565076413,-16.9277491573085,0.476469146166335,423.887231645629,22.7735897376037,2.4633405271251,24.6892121459426,0.215889930413123,1.75,0.645,0.22,0.24,23.3689,23.069,22.9338,22.088,21.6248,21.3569,100.14732,72.745,7.9016,22.19,22.11,22.66,21.865,0.5,-3.775,1.8,-1.25,0.03,368,433.1,422.2,429.8,0.12,-0.075,0.01,0.1,-0.16,-0.03,0.06,0.805,-0.29,23.233,23.4845,24.0705,24.472,24.8285,25.647,26.15,26.479,23.064,23.451,24.178,24.469,24.817,26.179,26.416,26.885,22.6425,24.422,24.013,26.762,23.0445,23.508,23.84,24.3175,25.0805,25.68,26.017,27.0555,22.8545,23.486,24.0935,24.825,25.4695,26.201,26.553,26.658,27.0485,-3.289,-4.166,-4.624,-64.55
1,2.75,1.16694111217628,-4.93754129780416,0.189107052559775,-15.1679833906656,0.459724499780634,423.848442782004,22.6265367631361,2.46262882646133,24.6250378262027,0.220408063999555,1.87,0.66,0.2,0.245,23.3944,23.0325,22.83,22.1011,21.6614,21.29445,100.1239,73.265,7.8022,22.165,22.065,22.62,21.73,0.5,-3.7,1.8,-1.345,0.06,366.3,433.4,421.5,429.3,0.125,-0.08,0.01,0.1,-0.15,-0.02,0.07,0.775,-0.29,23.1915,23.415,24.0505,24.463,24.8255,25.647,26.15,26.479,22.976,23.323,24.168,24.42,24.808,26.178,26.415,26.885,22.5615,24.3955,24.009,26.7615,22.941,23.4475,23.7945,24.298,25.0755,25.679,26.017,27.055,22.7305,23.397,24.0735,24.7825,25.4555,26.1995,26.552,26.658,27.0485,-3.445,-4.472,-4.938,-66.18
1,3.25,1.81067371006483,-2.03228715491239,0.201429774640127,-18.7640073113129,0.431609737394204,423.495203907153,22.1871867383233,2.49333374397267,24.5242516848395,0.240398355472713,1.82,0.625,0.2,0.25,23.39785,23.009,22.7721,22.04455,21.69325,21.24545,100.10725,73,7.9772,22.105,22.07,22.54,21.605,0.4,-3.53,1.8,-1.345,0.01,366.4,432.4,421.5,429.55,0.13,-0.08,0.01,0.1,-0.15,-0.03,0.07,0.76,-0.29,23.1345,23.398,24.04,24.4515,24.8235,25.646,26.1495,26.4785,22.828,23.246,24.124,24.412,24.799,26.177,26.415,26.885,22.4635,24.3695,24.005,26.7615,22.8785,23.378,23.748,24.274,25.071,25.67,26.0165,27.0545,22.6685,23.2925,24.0485,24.74,25.442,26.1985,26.552,26.658,27.048,-3.539,-4.708,-5.116,-68.45
1,3.75,1.4887488358943,-4.02537946834205,0.197656603897305,-25.8491625456203,0.480440439130553,423.122074864965,22.0725945215552,2.63905942571358,24.4639938897874,0.225161245506319,1.89,0.695,0.21,0.255,23.3204,22.909,22.7402,21.9996,21.5171,21.24355,100.09683,72.81,7.8927,21.97,21.97,22.46,21.645,0.4,-3.56,1.8,-1.385,0.085,364.9,432.75,420.9,428.55,0.12,-0.08,0.01,0.1,-0.16,-0.02,0.07,0.765,-0.29,23.048,23.3455,24.0185,24.437,24.822,25.646,26.149,26.4785,22.804,23.202,24.074,24.411,24.789,26.175,26.415,26.884,22.397,24.342,24.0005,26.761,22.812,23.317,23.7055,24.245,25.067,25.669,26.0165,27.054,22.591,23.1925,23.9965,24.696,25.4285,26.1975,26.5515,26.658,27.048,-3.7535,-4.909,-5.319,-66.64
1,4.25,1.44454449843618,-2.59997793662124,0.183046923935557,-17.0910178659555,0.473599417549738,422.326305318628,21.8204167835924,2.55486477567763,24.4625270432933,0.248994753594094,1.86,0.655,0.2,0.245,23.3195,22.9385,22.68595,21.94525,21.3771,21.2243,100.10325,72.93,7.8777,21.95,21.895,22.37,21.445,0.5,-3.62,1.85,-1.34,0.05,364.55,432.05,420.15,428.2,0.13,-0.08,0.01,0.1,-0.16,-0.02,0.065,0.765,-0.29,23.007,23.2775,23.985,24.424,24.82,25.645,26.149,26.4775,22.681,23.127,24.065,24.391,24.777,26.174,26.414,26.884,22.298,24.3185,23.9955,26.76,22.7475,23.2505,23.663,24.218,25.064,25.668,26.0165,27.0545,22.4705,23.0975,23.9395,24.658,25.416,26.1965,26.5505,26.6575,27.0475,-3.858,-4.97,-5.2285,-69.01
1,4.75,1.69465776355579,-5.0294744573424,0.164063965298895,-18.1204607557188,0.449082203993374,423.290640179944,21.4379807355248,2.48485458454764,24.6083421995409,0.229509572839077,1.88,0.65,0.2,0.255,23.29105,22.9205,22.6358,21.8579,21.2101,21.182,100.11779,72.445,8.0326,21.745,21.675,22.34,21.365,0.4,-3.65,1.8,-1.355,0.1,364.5,431.8,419,427.95,0.13,-0.09,0.01,0.1,-0.16,-0.03,0.06,0.765,-0.29,22.975,23.256,23.9625,24.4085,24.8175,25.645,26.1485,26.4775,22.602,23.075,24.007,24.364,24.766,26.173,26.414,26.884,22.2675,24.2955,23.9915,26.76,22.6965,23.1925,23.6385,24.1935,25.061,25.667,26.016,27.054,22.4195,23.065,23.9285,24.6345,25.405,26.1955,26.5505,26.657,27.047,-3.924,-5.1475,-5.5825,-68
