DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,PPFD_IN,SW_IN
1,0.25,19.0465542026094,-5.86458500017226,2.30246782622082,-9.9711,-20.28186,-5.6936765,-6.487346,83.2118146748941,1.57665060731364,66.200765,1.12144375,18.04032,412.925174108019,3.84799102846879,-5.06023825,0.010673805,0.017381
1,0.75,17.7521156979803,-5.72382680073065,2.2631580293272,-9.8354225,-19.509125,-5.92203,-6.57209425,83.8264009697859,1.56548983896414,66.1791,1.124093,18.3509,410.427927394933,3.88876018644535,-5.1323445,0.0122475275,0.0162596666666666
1,1.25,15.5037329349912,-6.45868912479916,2.13576540768446,-9.9063815,-16.919115,-5.87669225,-6.5707535,83.4640443031062,1.44917832267577,66.18858,1.1440255,18.27845,410.414015064859,4.001835722618,-5.203071,0.0126548575,0.0168603333333333
1,1.75,16.520629490212,-5.16283058435548,1.94471913066942,-10.01398,-18.06472,-5.86621025,-6.601027,83.6881057368315,1.4887543783318,66.20132,1.128983,18.2486925,410.459955557411,3.85923642329045,-5.320239,0.0118522775,0.0162620833333334
1,2.25,15.2746628435836,-5.93968334221175,2.43197604628862,-9.886731,-17.63005,-5.847657,-6.555829,82.995586260536,1.49684093942563,66.20422,1.141607,18.30635,411.963126681336,3.86179179149269,-5.2864785,0.01533715,0.0162958333333333
1,2.75,13.8877020434234,-6.23821450895461,2.74359062125719,-9.52063475,-16.002225,-5.934467,-6.55717925,82.9519156401729,1.35444533916952,66.1951,1.13431875,18.38635,410.283393724248,3.90686608895273,-5.321625,0.013790225,0.0172030833333333
1,3.25,14.5842896513945,-6.48214008237651,2.62109277480713,-8.9634055,-18.852535,-5.784065,-6.491534,83.1110220050524,1.35756673402841,66.18233,1.13294775,18.43345,411.102996469224,3.94343889466334,-5.425642,0.0116533675,0.0183066666666667
1,3.75,15.7570655741845,-5.78478383170806,2.05799662520633,-8.559526,-17.530715,-5.73171525,-6.6033735,83.4977462809996,1.35264238151455,66.16514,1.1495065,18.5938,410.821137315907,3.96840062524241,-5.4550935,0.01174971,0.0170538333333333
1,4.25,15.7187501445111,-7.53931226136029,2.30796381750509,-8.8962215,-18.291745,-5.832779,-6.507575,83.0423677809787,1.35309362825034,66.13628,1.15966875,18.68888,410.355062286563,3.90103333170956,-5.463854,0.013138775,0.01848975
1,4.75,16.3908102202536,-7.48256365840266,1.84120099060871,-8.8453595,-17.40789,-5.73080625,-6.515508,82.8277716417276,1.39489635632577,66.1435075,1.1712685,18.701485,409.804973707781,3.95406474054569,-5.479307,0.0111350325,0.0177548333333333
1,5.25,17.173729525618,-6.32404753177225,2.17853294161255,-8.7516035,-17.236225,-5.80033675,-6.571928,82.633531676491,1.42696234964833,66.1542325,1.172826,18.3983,410.372877688792,3.84871855142345,-5.561163,0.0109568025,0.018939
1,5.75,15.5295762487305,-7.03547374200179,2.1312677362124,-8.74662,-17.91488,-5.926536,-6.6598185,82.6772813093963,1.35561944344539,66.1678225,1.154194,18.7883,410.738290188891,3.87244447892108,-5.5678565,0.0125955675,0.0182343333333333
1,6.25,17.3340404495778,-4.66253995666313,1.88659283459614,-8.801192,-16.354865,-6.03387475,-6.620132,82.6947545808982,1.39436642636191,66.17709,1.1715605,18.4834775,410.607392003574,3.81739348928084,-5.594681,0.012153615,0.01809875
