DOY2,HR2,G_2_1_1,G_3_1_1,G_4_1_1,USTAR,FC,LE,H,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_2_1,PPFD_OUT,TA_1_2_1,TA_1_2_2,TA_1_3_1,TA_1_3_2,RH_1_2_1,RH_1_3_1,WS_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,PPFD_IN_1_1_1,TA_1_1_1,TA_1_1_2,RH_1_1_1,WS_1_1_1
1,0.25,-2.798,-1.955475,-3.098225,0.1065257315,0.117022727,0.03387975,4.5641225,-1.6172125,0.770958,0.52793425,246.85975,263.44025,0.026680175,0.0568759,-11.2775,-11.772,-10.537,-10.25875,90.1548,89.6091,2.718225,-3.4645,-3.2735,-2.980625,-2.494025,-1.0908,0.3366725,-4.602225,-4.22855,-3.83115,-3.281875,-1.802775,0.1438975,-3.588475,-3.32085,-3.1268,-3.595575,-3.3495,-3.055425,-3.7624,-3.460425,-3.067175,-4.011075,-3.893825,-3.582475,4.036425,-6.344975,-8.212725,89.919375,2.707825
1,0.75,-2.8134,-1.9656,-3.172125,0.136565003,0.068136364,0.221875,2.6215,-1.509385,0.681978,0.52951825,249.03575,263.51425,0.0316985,0.044890875,-11.269,-11.9705,-10.843,-10.4485,90.608725,89.7801,2.653975,-3.468,-3.2672,-2.984875,-2.495025,-1.0871,0.32944,-4.61025,-4.2515,-3.83995,-3.286525,-1.81655,0.1395275,-3.597525,-3.33515,-3.131825,-3.59055,-3.345925,-3.047,-3.77365,-3.4738,-3.0729,-4.011575,-3.885575,-3.5886,1.8288125,-6.456475,-8.499875,90.093575,2.776975
1,1.25,-2.842825,-1.983325,-3.0945,0.17574874425,0.075045455,0.517325,0.120175,-1.050915,0.7019085,0.59741525,246.0705,262.3995,0.034180925,0.040682075,-11.522,-12.038,-10.71875,-10.677,90.629375,89.5827,2.601275,-3.4734,-3.261625,-2.989575,-2.4977,-1.092725,0.3287125,-4.5918,-4.34305,-3.845125,-3.28345,-1.8232,0.14507,-3.62245,-3.3409,-3.136525,-3.58545,-3.332975,-3.0425,-3.78235,-3.4801,-3.0481,-4.03675,-3.878325,-3.594125,2.0136825,-6.460275,-8.439925,89.763375,2.786125
1,1.75,-2.8301,-2.069025,-2.974475,0.0915577845,0.15759090925,0.3693,1.247925,-1.775855,0.727237,0.5648485,244.79725,262.1045,0.031438225,0.05111415,-11.4515,-11.905,-10.7385,-10.6735,90.54665,89.7258,2.662425,-3.4716,-3.2585,-2.994925,-2.5031,-1.1042,0.3303575,-4.601275,-4.353225,-3.85885,-3.28525,-1.816175,0.149535,-3.6499,-3.35855,-3.13895,-3.58585,-3.335525,-3.041,-3.788425,-3.47855,-3.039975,-4.06385,-3.8719,-3.587275,2.1110825,-6.541075,-8.939925,91.060875,2.544625
1,2.25,-2.782225,-2.097775,-3.15395,0.0943138175,0.13058522725,0.4501,4.414,-1.20742,0.782159,0.58672875,248.567,262.23175,0.02950665,0.04078735,-11.48675,-11.99175,-10.59625,-10.8815,90.34595,89.6733,2.9007,-3.465525,-3.26805,-2.999425,-2.5201,-1.10535,0.3297425,-4.611675,-4.35675,-3.8661,-3.288775,-1.815075,0.1554675,-3.6509,-3.3462,-3.14285,-3.57975,-3.3395,-3.029875,-3.78555,-3.487125,-3.0551,-4.0785,-3.8704,-3.58715,2.91604,-6.382775,-8.60245,91.81875,2.77975
1,2.75,-2.9568,-2.144275,-3.173075,0.108071087,0.1102386365,0.1504,5.42725,-1.482585,0.7774125,0.66773925,247.48925,262.23725,0.035440625,0.029762875,-11.68975,-12.0215,-10.34325,-11.045,90.42595,89.782425,2.745625,-3.46545,-3.2791,-2.9985,-2.52425,-1.10445,0.3255075,-4.6256,-4.38965,-3.8598,-3.3005,-1.819025,0.166495,-3.6331,-3.352575,-3.1463,-3.5843,-3.34305,-2.9992,-3.78215,-3.50495,-3.067275,-4.110475,-3.91135,-3.5817,1.5630125,-6.347325,-8.918075,90.658175,2.851125
1,3.25,-2.894025,-2.1233,-3.0858,0.2191311395,0.08462500025,0.1525,4.556,-1.74435,0.755555,0.6075425,247.63225,263.89775,0.0292144,0.034923825,-11.61,-11.948,-10.388,-10.8005,90.40315,90.035925,2.738725,-3.471925,-3.2847,-2.995175,-2.52885,-1.10075,0.3178975,-4.62785,-4.393875,-3.87005,-3.31335,-1.8252,0.1605975,-3.638,-3.3655,-3.1485,-3.595075,-3.35205,-2.984,-3.793825,-3.5179,-3.06135,-4.1208,-3.9127,-3.5667,1.998945,-6.63335,-9.65215,90.97715,2.795675
1,3.75,-2.8739,-2.10085,-3.118125,0.17322810775,0.10476136325,0.08439,5.9925,-0.905705,0.815528,0.64900475,248.193,263.14425,0.057382925,0.0427463,-11.32975,-11.4845,-10.4375,-10.75825,90.312625,89.548625,2.670025,-3.48555,-3.293525,-2.994025,-2.522875,-1.1064,0.31193,-4.636575,-4.39035,-3.8794,-3.30785,-1.827225,0.150945,-3.655725,-3.367675,-3.152675,-3.59705,-3.35635,-2.977575,-3.798675,-3.5225,-3.067325,-4.115225,-3.911275,-3.582925,2.411975,-7.20105,-9.980825,90.858125,2.799725
1,4.25,-2.96765,-2.077175,-3.052675,0.21035681,0.1061704545,0.286125,2.94775,-0.9793835,0.7835215,0.4903695,247.50625,264.02975,0.04799745,0.04402155,-11.4595,-11.22175,-10.4745,-10.8435,90.53175,89.93905,2.679325,-3.48965,-3.309175,-2.9919,-2.51805,-1.104675,0.30424,-4.6352,-4.391825,-3.886225,-3.307225,-1.83015,0.126945,-3.665925,-3.3716,-3.15795,-3.604275,-3.356825,-2.980225,-3.803575,-3.529025,-3.080975,-4.11525,-3.912,-3.59985,2.7864975,-7.35495,-10.013525,91.42765,2.588475
1,4.75,-2.993175,-2.11475,-3.231275,0.20558057575,0.094846591,0.14605,1.228515,-0.7353605,0.8282835,0.587907,248.7915,263.45475,0.04256865,0.04465865,-11.13525,-11.153,-10.3175,-10.96275,90.363775,89.919875,2.729075,-3.499625,-3.3082,-2.99415,-2.51975,-1.103,0.2965725,-4.634775,-4.39275,-3.892175,-3.307875,-1.83005,0.1433925,-3.676125,-3.3788,-3.1648,-3.61385,-3.361075,-2.983575,-3.8101,-3.534225,-3.08595,-4.115525,-3.9123,-3.60515,1.2710925,-7.1467,-10.10525,91.2992,2.719725
