DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,0.25,388.7085,-4.025,1.47,1.569,1.1,242.15,250.15,0.82,96.2,0,0,89.6,0.19,0.95,0.1,-0.055,1.17,-10.875,-3.575,-3.3575,0.33,0.2425,1.99325
1,0.75,388.50025,-4.05,0.1,1.584,0.575,247.225,250.625,0.1775,96.2,0,0,89.5,0.26,0.175,0.1,-0.12,1.02,-11.0525,-3.565,-3.3475,0.305,0.2525,2.02
1,1.25,387.62325,-4.05,0.52,1.5495,1,246.55,250.975,0.2025,96.2,0,0,89.525,0.2225,0.7,0.1,-0.0825,1.0775,-10.95,-3.62975,-3.3375,0.3075,0.25,1.989
1,1.75,388.6315,-4,-0.025,1.574,0.9,245.75,251.675,0.745,96.2,0,0,90.375,0.11,1.125,0.2,-0.0525,1.04,-10.975,-3.64575,-3.3275,0.33,0.25,1.9925
1,2.25,387.49775,-3.9,-0.305,1.564,1.275,245.675,250.3,1.2325,96.2,0,0,89.75,0.1575,2,0.2,0.02,0.9725,-10.925,-3.652,-3.325,0.385,0.25,2.1975
1,2.75,387.00625,-3.9,-0.15,1.605,1,245.175,249.975,0.5975,96.2,0,0,88.65,0.1025,1.775,0.1,-0.0875,1.06,-10.85,-3.6665,-3.3175,0.37,0.25,2.265
1,3.25,387.17225,-4,-0.65,1.621,1.1,245.725,250.2,0.7125,96.2,0,0,88.675,0.1375,1.15,0.175,-0.0225,1.0575,-10.95,-3.6775,-3.315,0.39,0.2525,2.2975
1,3.75,387.783,-3.925,0.025,1.652,0.8,245.775,251.75,0.9425,96.2,0,0,88.9,0.185,0.5,0.1,-0.05,1.0675,-10.575,-3.6965,-3.3175,0.37,0.26,2.3205
1,4.25,387.32475,-3.95,-0.9,1.88525,1.15,243.775,252.25,0.5775,96.175,0,0,89.075,0.0825,0.725,0.1,-0.1525,1.085,-10.575,-3.7025,-3.3775,0.415,0.2525,2.29225
1,4.75,388.292,-4.1,2.265,2.065,1.1,242.8,252.575,1.4925,96.175,0,0,89.525,0.085,0.85,0.1,-0.11,1.0975,-10.9425,-3.705,-3.375,0.39,0.25,2.365
1,5.25,388.8255,-3.925,-0.365,2.0705,1.175,242.625,252.45,1.865,96.2,0,0,89.75,0.165,1.5,0.2,-0.0425,1.095,-11.18,-3.705,-3.3725,0.3675,0.25,2.303
1,5.75,388.36325,-3.925,2.56,2.002,1.7,244.1,252.25,1.3175,96.175,0,0,89.1,0.2,1.2,0.1,0.0425,1.055,-10.8025,-3.705,-3.38,0.3375,0.25,2.1575
1,6.25,389.22625,-3.925,4.245,2.131,2.7,248.05,252.65,1.36,96.175,0,0,89.4,0.3375,1.625,0.1,0.0475,1.0175,-10.6575,-3.71,-3.3775,0.34,0.25,2.14
1,6.75,388.8355,-4,2.0525,1.922,2.125,253.275,253.45,2.99,96.175,0,0,88.7,0.18,2.125,0.2,0.095,1.0275,-10.775,-3.71,-3.375,0.35,0.25,2.164
1,7.25,387.886,-4.025,1.63,1.904,2.05,251.15,253.775,3.6425,96.175,0,0,88.9,0.16,1.7,0.2,0.02,1.0475,-11.075,-3.71,-3.3825,0.37,0.25,2.2525
1,7.75,388.062,-4.025,1.0425,1.93525,2.575,248.725,253.425,3.39,96.2,0,0,88.4,0.175,0.9,0.2,0.035,0.9425,-11.5775,-3.7175,-3.3825,0.44,0.25,2.2575
1,8.25,386.825,-4.025,1.3925,1.926,2.25,249,253.15,3,96.2,0,0,88.825,0.2,0.7,0.1,0.0175,0.9575,-11.575,-3.72,-3.3825,0.5,0.2425,2.3045
1,8.75,387.101,-4.05,3.8075,1.88925,3,248.375,253.55,1.835,96.2,0,0,88.825,0.2775,1.425,0.3,0.59,1.28,-11.7625,-3.7275,-3.394,0.48,0.24,2.3425
1,9.25,387.97275,-4.05,2.22,1.906,2.9,249.95,254.2,7.0775,96.2,8.6175,2.48,89.175,0.26,0.85,0.2,8.4075,4.3725,-12.245,-3.7275,-3.40125,0.4275,0.235,2.251
1,9.75,390.03125,-4.125,7.0475,1.914,3.875,247.575,252.925,16.9975,96.2,42.5625,8.7125,89.825,0.3,2.5,0.375,46.04,21.0225,-11.9525,-3.7275,-3.41325,0.4775,0.23,2.3325
1,10.25,391.32175,-4.025,16.62,1.94125,4.8,247.075,252.075,42.7025,96.2,101.6475,22.975,89.95,0.105,3.775,0.4,99.025,34.11,-11.43,-3.7325,-3.4105,0.49,0.24,2.4675
1,10.75,392.089,-4,27.49,1.916,5,248.475,254.225,66.545,96.2,170.43,35.0325,89.1,0.225,4.7,0.6,140.575,43.8775,-10.985,-3.725,-3.40925,0.495,0.2625,2.68325
1,11.25,392.33075,-4,52.265,1.70775,7,251.45,255.275,99.585,96.2,242.0325,47.31,89.025,-0.075,7.8,1,187,49.4925,-10.25,-3.73075,-3.39925,0.53,0.3225,2.6275
1,11.75,392.3785,-4,77.84,1.7125,8.225,252.85,256.775,121.7825,96.2,296.305,56.755,87.6,-0.1875,7.9,0.6,218.175,53.4225,-10.025,-3.7645,-3.3945,0.515,0.3825,2.74
1,12.25,391.917,-4,90.7525,1.72175,8.925,250.15,259.675,126.465,96.2,340.03,64.78,86.625,-0.18,7.2,0.5,245.975,56.4625,-9.475,-3.765,-3.39025,0.54,0.4425,2.90225
1,12.75,390.918,-4,86.565,1.71225,10.5,248.375,261.2,143.075,96.2,347.2575,70.105,84.75,-0.27,5.9,0.4,258.35,56.94,-9.25,-3.73325,-3.38125,0.56,0.5175,3.0225
1,13.25,390.48375,-3.9,92.445,1.773,10.675,250.925,263.075,134.1125,96.2,364.7675,71.245,83.825,-0.21,5.075,0.425,243.475,53.8325,-8.925,-3.7165,-3.385,0.55,0.57,3.0175
1,13.75,389.975,-3.9,88.9325,1.80125,9.7,249.6,264.225,125.225,96.2,331.8875,67.92,83.3,-0.09,3.9,0.4,250.8,54.6525,-8.4,-3.70025,-3.37975,0.56,0.6,3.00725
1,14.25,390.591,-3.8,83.63,1.83,9.725,244.825,265.425,126.68,96.2,335.455,69.7175,84.275,0.115,3.1,0.4,234.775,54.6,-8.2,-3.6975,-3.3575,0.57,0.5925,3.0985
1,14.75,389.485,-3.6,78.3175,1.83275,8.35,246.3,266,102.0775,96.2,287.805,60.355,83.925,-0.07,2.5,0.3,210.425,50.65,-8.275,-3.69325,-3.34225,0.58,0.5925,3.23675
1,15.25,388.623,-3.6,54.445,1.8245,7.35,245.6,266.1,72.7525,96.2,242.7175,48.155,85.325,0.17,1.7,0.3,163.95,42.8675,-8,-3.68125,-3.332,0.55,0.5725,3.225
1,15.75,388.602,-3.5,32.8225,1.83975,5.725,249.05,264.925,53.455,96.2,167.495,34.1325,85.925,0.1675,1.2,0.3,111.825,33.8275,-8.085,-3.67325,-3.27,0.53,0.53,2.901
1,16.25,388.168,-3.5,17.88,1.7545,4.2,246,264.1,32.61025,96.2,107.465,22.0425,86.725,0.17,0.3,0.2,70.6,22.03,-8.1,-3.615,-3.24675,0.51,0.5,2.8255
1,16.75,387.757,-3.5,5.885,1.786,3.325,242.175,262.725,8.835,96.2,50.74,10.04,86.7,0.44,-0.4,0.1,25.9375,9.27,-7.95,-3.5615,-3.25825,0.45,0.46,2.7325
