DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
1,0.25,0.025125,-55.6597,-6.15958,0.0296775,0,0,160.01375,154.106,-54.50425,0,0,59.798,96.25515,-39.3354,-2.38218,-2.16394,-15.0832,-16.8978,0.28316125
1,0.75,0.00622025,-89.428125,-10.188165,0.045735,0,0,159.87,154.13425,-48.938,0,0,56.659475,96.2983,-39.3918,-2.42051,-2.170385,-14.811575,-17.0675,0.27173325
1,1.25,0.0161755,-59.86025,-13.6249,0.0433325,0,0,159.4995,154.156,-44.088,0,0,56.715,96.3393,-39.507525,-2.4141925,-2.1528,-14.889925,-17.243825,0.276619
1,1.75,0.021017,-87.822675,-25.8665,0.03019,0,0,160.4835,153.666,-43.442,0,0,51.64635,96.3723,-39.511025,-2.431325,-2.18252,-14.9107,-17.30265,0.22371875
1,2.25,0.0162085,-58.8668,-12.43725,0.0330275,0,0,160.23825,153.5375,-45.93515,0,0,51.920525,96.41115,-39.61365,-2.41323,-2.1684475,-14.94785,-17.351475,0.26963575
1,2.75,0.02314,-52.07075,-5.860375,0.0274975,0,0,160.625,153.6815,-45.22935,0,0,52.4022,96.44775,-39.49305,-2.43591,-2.17404,-14.978075,-17.39585,0.2953605
1,3.25,0.0318425,-97.6507,-21.3225,0.0398,0,0,160.8635,153.043,-44.61155,0,0,54.892225,96.47075,-39.52595,-2.4400475,-2.17086,-15.01465,-17.4493,0.285938
1,3.75,0.0492975,-70.569375,-14.1468,0.0399,0,0,160.841,152.911,-45.6595,0,0,51.4114,96.49895,-39.452075,-2.437695,-2.1754325,-15.02175,-17.50535,0.277244
1,4.25,0.0308225,-154.80975,-33.414725,0.0304,0,0,160.646,153.1505,-46.432225,0,0,52.8414,96.5387,-39.530125,-2.42566,-2.165415,-15.05705,-17.578175,0.28473675
1,4.75,0.010435,-53.5352,-6.06048,0.040265,0,0,160.614,153.13875,-46.3224,0,0,52.9722,96.542025,-39.586175,-2.42381,-2.1742775,-15.062575,-17.642,0.2989595
1,5.25,0.07251,-65.9292,-8.451105,0.0327025,0,0,160.371,153.519,-47.673825,0,0,53.7054,96.5621,-39.628725,-2.4373125,-2.16645,-15.092425,-17.706325,0.2793915
1,5.75,0.08154,-46.73935,-3.585165,0.0299,0,0,160.274,153.133,-41.187,0,0,50.94035,96.5999,-39.567125,-2.4524725,-2.16735,-15.108525,-17.7704,0.211005
1,6.25,0.0229875,-64.0785,-8.6162125,0.0364625,0,0,160.292,153.122,-39.67,0,0,53.092525,96.6377,-39.3367,-2.44265,-2.155895,-15.13205,-17.84115,0.2150255
1,6.75,0.0105085,-69.532625,-10.09084,0.0299,0,0,160.812,154.38925,-44.7588,0,0,53.391,96.6519,-39.2369,-2.446815,-2.1714325,-15.15165,-17.889475,0.2889795
1,7.25,0.0401625,-60.37115,-6.6257625,0.028975,0,0,160.00075,154.37575,-44.114025,0,0,53.3916,96.6485,-39.482075,-2.4507875,-2.17139,-15.18485,-17.956875,0.2611675
1,7.75,0.01602,-79.88,-10.08692,0.02684,0,0,159.6565,154.66975,-45.476975,0,0,52.795725,96.668,-39.561325,-2.460945,-2.1873825,-15.194625,-18.01695,0.2856655
1,8.25,0.012972,-51.1398,-6.60525,0.031045,0,0,160.5035,155.137,-43.0431,0,0,50.3884,96.680325,-39.5643,-2.4511025,-2.18992,-15.2081,-18.07275,0.2845995
1,8.75,0.0226565,-59.933375,-5.50238,0.03654,0,0,159.757,155.8925,-47.1716,0,0,49.129925,96.678575,-39.61745,-2.4883075,-2.26662,-15.218075,-18.134925,0.2955645
1,9.25,0.007234,-54.67825,-10.3745075,0.03784,0,0,159.25175,156.23225,-47.581925,0,0,50.0689,96.619875,-39.616675,-2.4663475,-2.1868775,-15.26345,-18.18615,0.2748145
1,9.75,0.0671875,-70.70345,-6.886,0.02791,0,0,158.7245,156.8935,-48.478325,0.140485,0,48.2028,96.604825,-39.612475,-2.486215,-2.195005,-15.286625,-18.241575,0.29524325
1,10.25,0.04528,-74.27625,-4.381625,0.024795,0,0.25553925,159.1145,155.86925,-47.32255,1.27193,0,47.819775,96.577675,-39.3527,-2.4687475,-2.1893925,-15.308375,-18.2953,0.238745
1,10.75,0.0278225,-58.6383,-8.39414,0.0290875,0,1.5648925,162.432,157.03775,-47.2046,5.18006,0,48.025575,96.527,-38.744775,-2.4511025,-2.17748,-15.31805,-18.336025,0.1997465
1,11.25,0.02666,-84.3974,-4.3306225,0.02515,3.3393,3.8875825,163.704,159.18875,-46.3682,10.01332,0,49.3173,96.499,-37.466725,-2.437365,-2.140875,-15.34425,-18.361025,0.22186525
1,11.75,0.1038172607,-59.9681,-10.3295325,0.032535,6.2218925,5.9459725,162.228,162.12675,-41.96735,14.388,0,49.816175,96.467925,-35.714825,-2.5219,-2.1449425,-15.368975,-18.411625,0.26805875
1,12.25,0.06852,-79.459975,-13.9556,0.03374,8.147495,8.4588725,165.68125,166.1665,-45.4072,17.8287,0.0398777,49.75,96.422175,-33.87995,-2.4489525,-2.138,-15.3973,-18.441825,0.272612
1,12.75,0.0274875,-101.4977,-8.19452,0.0259675,9.353375,10.23515,168.91225,169.57975,-45.994375,21.354875,0.08768495,50.34695,96.381275,-32.908975,-2.459365,-2.172615,-15.414625,-18.4696,0.260904
1,13.25,0.0126635,-78.062,-3.97512,0.0367325,10.545975,10.547825,171.4445,172.66725,-46.6878,23.852275,0.006632775,49.704475,96.3397,-32.035825,-2.3871325,-2.1936175,-15.4452,-18.489325,0.209538
1,13.75,0.00795985,-40.371225,-4.00655,0.0193775,9.01076,8.391295,173.30975,172.41325,-47.5248,20.2137,0,50.027975,96.2945,-31.3846,-2.390965,-2.22646,-15.465775,-18.501325,0.333708
1,14.25,0.0126675,-41.82435,-9.43156,0.035265,7.14856,6.4368175,172.134,172.82525,-49.3667,15.94265,0,51.122225,96.25465,-31.542075,-2.3894525,-2.2171025,-15.406375,-18.451625,0.316296
1,14.75,0.02166125,-64.040925,-5.6894975,0.035485,2.9596225,3.320575,171.8295,171.5885,-49.64855,8.2605875,0,51.45125,96.2093,-31.53965,-2.467755,-2.210515,-15.311825,-18.506975,0.28556425
1,15.25,0.0040734,-74.2996,-9.81603,0.037485,0,1.0980025,170.3015,166.379,-52.930175,3.2412325,0,49.7485,96.178,-32.706175,-2.486855,-2.2057775,-15.266075,-18.5051,0.31360375
1,15.75,0.0710775,-73.4932,-10.32433,0.0404075,0,0.35967225,167.639,162.36975,-54.5157,0.9078,0,50.9772,96.1766,-33.672425,-2.4743625,-2.1361825,-15.2816,-18.487,0.3506285
1,16.25,0.051105,-65.11155,-5.80015,0.0312,0,0,165.377,159.25925,-53.2821,0.100975,0,51.2986,96.1153,-35.28695,-2.26364,-1.9622725,-15.3249,-18.47475,0.28751
1,16.75,0.04623,-54.588125,-8.4992925,0.02791,0,0,161.92725,158.54175,-54.92545,0.00120489825,0,51.2432,96.092775,-36.31375,-2.23352,-1.9755325,-15.3597,-18.450125,0.2843635
1,17.25,0.0613275,-100.916775,-14.581875,0.0295,0,0,162.10925,157.1715,-53.965025,0,0,51.9414,96.081025,-37.477225,-2.276255,-2.02346,-15.413975,-18.431975,0.2974435
1,17.75,0.02927,-59.565225,-15.1968125,0.0273,0,0,161.6655,155.89275,-49.04155,0,0,53.9098,96.0738,-38.07185,-2.373585,-2.0842825,-15.396575,-18.39215,0.296848
1,18.25,0.06014,-63.268925,-9.98735,0.0309,0,0,161.359,154.7515,-51.2094,0,0,53.9862,96.0602,-37.997125,-2.4512875,-2.1128575,-15.383525,-18.3471,0.2930895
