DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
1,0.25,0.399100445,-3.5616,0.14113,0.0667,0,0.41143,230.51,248.16,-4.3871,0.0018713,0.23987,80.669,99.131,-14.192,-0.058807,-0.17674,-6.7825,-7.7091,0.46829
1,0.75,0.343838935,-2.8933,0.25983,0.07535,0,0.28269,230.88,247.92,-4.3582,0.001308,0.234355,81.922,99.127,-14.054,-0.0894015,-0.236895,-6.19705,-7.85905,0.464105
1,1.25,0.2424983045,-1.9918,-0.23188,0.0685,0,0.41692,230.86,247.365,-4.16895,0.00256205,0.23368,80.648,99.075,-13.8035,-0.0808965,-0.224065,-6.9053,-8.1565,0.44929
1,1.75,0.369492789,-4.4237,0.11443,0.061,0,0.389655,233.56,246.25,-4.1129,0.0025013,0.240005,80.383,99.11,-13.373,-0.065629,-0.22634,-7.18755,-8.3368,0.44265
1,2.25,0.3878933765,-3.98955,0.135965,0.05595,0,0.37938,237.9,247.24,-3.6569,0.0033494,0.22659,80.8775,99.1,-13.2255,-0.052626,-0.20244,-7.4551,-8.7076,0.413965
1,2.75,0.399420725,-3.7592,-0.52652,0.0656,0,0.359585,239.01,246.37,-2.9534,0.0015663,0.2163,80.6995,99.132,-13.363,-0.0489095,-0.170535,-7.6107,-8.6545,0.433425
1,3.25,0.3682837665,-2.85095,-0.5801,0.0547,0,0.37707,237.37,245.52,-4.08955,0.0021888,0.217205,80.9835,99.1695,-13.7215,-0.037988,-0.15663,-7.8213,-8.6169,0.46463
1,3.75,0.3107958495,-2.7132,-0.22583,0.04735,0,0.384665,238.43,246.65,-3.98385,0.00153855,0.220545,80.1805,99.19,-14.0395,-0.074431,-0.204395,-7.8168,-8.68675,0.41053
1,4.25,0.392575644,-4.4965,0.12988,0.06595,0,0.379675,242.59,245.36,-3.96155,0.00251365,0.215135,80.122,99.1855,-14.1755,-0.065164,-0.215415,-7.9826,-8.70195,0.40484
1,4.75,0.222179411,-2.0024,0.14201,0.0703,0,0.39819,240.345,246.7,-4.19145,0.00182845,0.21982,79.695,99.147,-14.086,-0.060129,-0.218685,-8.15645,-8.7298,0.4421
1,5.25,0.353788437,-2.8542,-0.22461,0.0555,0,0.365475,241.575,245.755,-3.56235,0.00260865,0.21769,81.746,99.161,-14.0175,-0.0584195,-0.20114,-8.15225,-8.78535,0.41641
1,5.75,0.293391924,-3.13165,0.074705,0.05795,0,0.28832,237.84,244.09,-3.1715,0.00127175,0.22736,81.2595,99.14,-14.223,-0.051707,-0.22533,-8.0013,-8.6108,0.40177
1,6.25,0.313034696,-4.4694,0.12663,0.06095,0,0.46838,235.24,241.645,-3.0052,0.0026434,0.226365,81.73,99.1705,-14.6355,-0.0550915,-0.196625,-8.0796,-8.7714,0.41877
1,6.75,0.308344034,-4.2692,-0.0945,0.0687,0,0.541675,234.99,241.47,-4.4982,0.00234485,0.22406,81.426,99.1975,-14.644,-0.0778735,-0.24308,-8.11,-8.8872,0.44226
1,7.25,0.289921028,-3.1434,-0.013525,0.0644,0,0.385825,233.885,241.35,-3.61825,0.00212225,0.22687,82.292,99.187,-15.146,-0.085994,-0.239465,-8.11285,-8.8919,0.40766
1,7.75,0.240075668,-3.1118,-0.18387,0.0492,0,0.35405,233.135,242.135,-3.7527,0.00198715,0.21188,82.0245,99.159,-14.907,-0.0915695,-0.24917,-8.0643,-8.59505,0.43054
1,8.25,0.286382517,-5.3602,-0.33011,0.0609,0,0.45898,231.625,242.77,-3.7347,0.00299295,0.214535,82.3145,99.137,-14.943,-0.0764185,-0.22783,-8.05755,-8.68965,0.47101
1,8.75,0.265426514,-4.4669,-0.25497,0.0738,0,0.43592,227.935,243.635,-2.9989,0.00409495,0.217965,83.6745,99.151,-15.34,-0.0681955,-0.255755,-8.0215,-8.53275,0.46504
1,9.25,0.369096388,-5.13365,-0.33192,0.0536,0,0.539365,234.87,242.11,-2.858,0.0604755,0.227535,82.7405,99.1345,-14.9905,-0.0548035,-0.219805,-7.9983,-8.74705,0.48067
1,9.75,0.4299810955,-4.46655,-0.12211,0.0683,0.260675,0.82088,236.2,241.58,-2.5811,0.760395,0.2255,82.2225,99.03,-14.424,-0.0819825,-0.235245,-8.0647,-8.55445,0.430755
1,10.25,0.362602241,-7.5138,-0.14569,0.0661,2.09955,1.986,237.86,243.365,-2.6638,4.55215,0.23012,83.149,99.093,-13.8145,-0.074147,-0.21571,-8.1899,-8.79825,0.45495
1,10.75,0.494024233,-2.8649,0.22385,0.0555,5.1112,4.31095,238.57,245.69,-1.038,13.207,0.235905,82.82,99.063,-13.7185,-0.0549345,-0.208845,-8.1863,-8.731,0.4548
