DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_2,TS_1_5_1
1,0.25,403.1464464,0.68052233925,12.027725,13.207815,-2.296227567,6.039017849,9.693806388,291.975,312.05,-6.7273060761681,99.62890913,0.003,0.00325,88.575,0.035778712,0.1585995365,0.108308245,-0.24775,1.2189546477904,-0.03293982625,0.365,0.00025,0.5,3.5165,3.3,4.1,0.2,0.83225,4.4,3.90825,3.6125,-0.30675,0.6941543885,0.424337422,1.07985161267348,0.899427577,0.800037599584976,4.774621533,0.477713848516119,0.315430375,4.462
1,0.75,403.52413895,0.64739924025,-5.076,-5.01475,-2.663119945,5.938187268,10.1620711275,294.15,312.6,-6.40507554084586,99.57771606,0.002,0.002,89,0.0465365565,0.1361186005,0.116981616,-0.224955551013243,1.2315,-0.03220517075,0.171,0.008,0.5,3.533,3.3,4.08725,0.2,0.81225,4.4,3.896,3.608,-0.35425,0.624744497,0.415962666,1.09222205205718,0.81123313425,0.809832808671024,4.899476212,0.471056068849558,0.279059575,4.47075
1,1.25,403.8942932,0.8165253015,-5.0365,-4.5484425,-2.454648385,5.824677072,9.122426095,293.05,312.25,-5.74371684590661,99.54304645,0.002,0.002,88.45,0.0377498505,0.167130773,0.0834448915,-0.178887649305817,1.22598708658754,-0.03515931075,0.10375,0,0.5,3.533,3.3,4.08725,0.2,0.8,4.40025,3.9,3.617,-0.37275,0.291921917,0.391921628,1.00779504166274,0.8343195685,0.777356799031178,4.634180734,0.437678282531816,0.04097688775,4.46225
1,1.75,403.5965145,0.69121497775,-5.00925,-4.618145,-1.617523519,5.8204015055,10.3288116225,294.075,311.825,-5.9955,99.56328286,0.002,0.002,88.6,0.048940501,0.091494047,0.0862201535,-0.15010854630973,1.18575,-0.03291954575,0.038,0,0.5,3.533,3.283,4.1,0.2,0.80025,4.39625,3.9,3.612,-0.46575,-0.008482946,0.400417655,1.00600019831012,0.803567128,0.777676999788473,4.460990275,0.429618179317403,-0.104808885,4.4925
1,2.25,403.482081625,0.72633087675,-5.014,-4.6811025,-1.567944348,5.774042137,9.4088136005,291.2,311.3,-6.12182025857859,99.59624822,0.002,0.002,88.9,0.035248361,0.173925288,0.1059939645,-0.175550597223267,1.23655450027813,-0.032657371,-0.04925,-0.013,0.5,3.5345,3.2795,4.07525,0.18725,0.80425,4.325,3.9,3.6,-0.5345,-0.159530073,0.39289752,1.03760562305724,0.8010077745,0.784457277358047,4.607664936,0.432853775540886,-0.1664396425,4.4785
1,2.75,403.36978765,0.65019820675,-5.04525,-4.7046675,-0.602451805,5.804779051,9.555363254,292.525,310.6,-5.73756608203483,99.62258275,0.002,0.002,88.875,0.0447446415,0.270244934,0.16718682,-0.193,1.2345,-0.030559314,-0.0855,-0.01675,0.5,3.56675,3.258,4.071,0.191,0.8,4.35,3.9,3.6,-0.54075,-0.306013363,0.402200765,1.01884326027118,0.7883760565,0.760354663956236,4.611670033,0.449816500364315,-0.2539235,4.43025
1,3.25,403.3643709,0.645344045,-5.0475,-4.7431575,-1.346872113,5.7914566735,9.12823827325,293.35,310.05,-6.0372077138476,99.61457392,0.00125,0.002,88.875,0.044030978,0.316874141,0.11009605125,-0.18525,1.21425,-0.03474532625,-0.006,-0.01275,0.5,3.6,3.25,4.0745,0.1915,0.8,4.325,3.9,3.6,-0.548,-0.631151948,0.401978132,1.03201312782348,0.76960306075,0.76045044874732,4.587726489,0.437935840049658,-0.203488275,4.4455
1,3.75,403.46951985,0.600283422,-5.0655,-4.8354375,-0.784527233,5.81702973325,9.63164555325,295.247228771371,310.125,-6.69407196290976,99.61160274,0.002,0.002,88.775,0.03572398025,0.264875851,0.09513711625,-0.19425,1.20505917136162,-0.027691098,-0.164,-0.013,0.5,3.6,3.25,4.06725,0.2,0.8045,4.325,3.9,3.58725,-0.61675,-0.575603267,0.409719029,1.03182734844547,0.801719156,0.783800955600336,4.515937454,0.45558390555418,-0.24450105,4.454
1,4.25,403.84791315,0.6514055565,-5.0735,-4.9045,-0.850946057,5.9159537915,9.26731623325,296.075,309.75,-6.63513698719759,99.65011123,0.00125,0.002,89.375,0.054717962,0.377093322,0.170626716,-0.19025,1.1713010196098,-0.02879379475,-0.401,-0.0285,0.4915,3.60025,3.25,4.067,0.2,0.8,4.35,3.9,3.6,-0.901,-0.806542999,0.393215723,1.00498345707778,0.7461517225,0.784734645596841,4.66021673,0.44591942657839,-0.41787265,4.47575
1,4.75,404.44247815,0.590637923,-5.07375,-4.946,-0.7770883375,5.89166727675,9.307216305,295.928596069972,309.725,-6.25043967588569,99.65581771,0.002,0.002,89.675,0.06476230925,0.31548368925,0.1393311205,-0.21825,1.24025,-0.0250803785,-0.3915,-0.01675,0.5,3.62525,3.292,4.08325,0.2,0.8,4.325,3.931,3.6,-1.0745,-1.16185541325,0.39616159875,1.04400717681445,0.71384465875,0.770721092302205,4.70717464525,0.447158325202394,-0.53504775,4.446
1,5.25,404.060881475,0.742837921,-5.08725,-4.96275,-1.32363218975,5.8834768375,9.09887527675,297.132423338901,308.625,-6.1035,99.6260748475,0.00125,0.002,89.6,0.03624505475,0.265696484,0.103433055,-0.2455,1.20775,-0.0287715035,-0.40925,-0.033,0.5,3.61725,3.3,4.07525,0.2,0.8,4.33775,3.888,3.6,-1.32975,-1.05730633475,0.398054462,1.02604880374069,0.7061926325,0.763955153181372,4.519468148,0.437898249219004,-0.59807515,4.432
1,5.75,404.1670326,0.639871477,-5.09375,-4.9625,-1.39281041775,5.83274818175,8.90703915,296.750231198956,308.65,-5.8375,99.645177085,0.002,0.002,89.4,0.07282697775,0.26121790075,0.182158457,-0.18975,1.21575,-0.032720649,-0.49775,-0.0375,0.5,3.60875,3.351,4.066,0.2,0.8,4.325,3.90025,3.6,-1.455,-1.0151559975,0.3915968955,1.01032188767423,0.7284719035,0.771007118635402,4.3761578775,0.433805802326906,-0.65289285,4.41625
