DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,8.75,428.4928005,7.649551,2189.83815675,0.591709,12.553211,-3.348129,-3.38929025,9.244988,0.841816,0.1201865,-0.10910225,0.340491,0.166007,101.867,81.6,4.62925,0.2505505,9.715442,0.2119845,7.468167,6.05225025,7.748333,8.206667,9.14,46.544709,137.21416275,7.317073,60.980392,6.5808825,311.96637325,339.30297725
1,9.25,427.382805,8.31665375,2141.887557,0.217107,16.826461,-3.303459,4.09831,18.6605355,0.921664,0.14087675,-0.128559,0.395493,0.203017,101.86425,77.205,5.523,0.361535,10.5020155,0.220762,7.4535,8.006083,7.75024975,8.18549975,9.134167,76.24121275,219.791667,11.086475,97.598039,10.367647,311.8387785,347.5723145
1,9.75,426.983291,8.306854,2089.613495,0.3461655,18.483363,-3.29973125,15.090147,27.6385675,1.054056,0.161905,-0.145334,0.478143,0.228021,101.885,72.85,6.481,0.588403,11.53223825,0.26345,7.463917,9.1805835,7.7449165,8.18916675,9.12666675,103.4405855,288.368056,15.022173,129.57516325,13.308824,309.8645585,353.3838445
1,10.25,425.7749325,8.44243975,2077.968466,-0.04144325,12.134617,-3.21044825,18.924791,30.4942905,1.13009525,0.1718855,-0.177459,0.511703,0.25062925,101.878,68.545,7.114,0.852503,12.133546,0.30188675,7.47099975,10.5614165,7.745,8.194167,9.123333,124.03754675,337.744035,18.625277,150.99673175,15.73529425,307.294228,358.17276625
1,10.75,424.78106975,8.723541,2057.5365995,-0.14609125,12.47098425,-3.2233535,24.986989,33.183599,1.1276265,0.1799415,-0.169832,0.5453585,0.262284,101.854,64.62,7.872,1.1692285,12.8922335,0.30220425,7.488,11.25916675,7.7748335,8.211667,9.126667,140.3444585,386.71366625,23.0598665,176.2745095,18.3088235,309.136345,362.0493355
1,11.25,422.47411225,8.80761475,2042.315824,-0.041413,17.739942,-3.15404575,30.73825525,33.310754,1.18300975,0.1818475,-0.1835645,0.5925905,0.275564,101.79875,59.9825,8.46,1.5141575,13.37592425,0.3291575,7.4945835,11.8783335,7.8190835,8.23000025,9.11833325,149.091677,394.31967825,27.272727,187.51634,20.882353,309.566272,366.312785
1,11.75,420.41499475,8.56248175,2039.955238,0.01814725,16.7404565,-3.1559175,39.472833,35.45148425,1.23499975,0.18689825,-0.204606,0.616954,0.289906,101.7285,58.215,9.03,1.8967785,14.183469,0.346951,7.517,12.8641665,7.873,8.2383335,9.123333,176.89437275,474.9418155,28.76940125,215.09803925,23.4558825,312.0748915,369.096848
1,12.25,420.012443,8.512607,2033.524889,0.131812,21.76933,-3.158509,42.377714,33.841159,1.18365625,0.20273775,-0.2004775,0.6181585,0.28742525,101.65825,55.265,9.605,2.2752255,14.80120975,0.3563865,7.524667,13.8525,7.9296665,8.245,9.12,187.7611075,513.8020835,31.929047,235.1633985,25.220588,314.90042525,372.54524325
1,12.75,419.2419055,8.4946345,2023.286135,0.16527,17.262284,-3.192141,40.180398,33.027008,1.313397,0.20428825,-0.224142,0.653553,0.2908435,101.61725,52.87,9.965,2.756766,15.16128225,0.35907075,7.540667,14.539167,7.9533335,8.261667,9.126667,177.766531,502.47395825,32.150776,226.078431,25.0367645,315.441262,372.8959875
1,13.25,418.495521,8.618651,2017.2869175,0.2273965,21.58835275,-3.180089,36.986688,29.2659185,1.343756,0.199142,-0.217466,0.633487,0.28775,101.60125,50.655,10.25,2.994618,15.3766845,0.329254,7.545333,15.31749975,7.976333,8.275,9.13,161.87281,482.212581,30.487805,215.098039,24.3014705,316.479418,375.26714
1,13.75,417.999453,8.682602,2009.329716,0.107767,17.53067925,-3.183832,36.13404325,26.859299,1.304423,0.195231,-0.209123,0.631972,0.287434,101.5955,49.335,10.385,3.005276,15.6282465,0.3285915,7.553333,15.72749975,7.996,8.276667,9.126667,139.3685685,445.553145,26.385809,188.75817,21.580882,316.3444905,375.8303995
1,14.25,417.629615,8.682696,2008.27355,0.337833,21.052095,-3.187845,27.936263,21.47026125,1.28704,0.193302,-0.20298975,0.6130505,0.276165,101.605,48.43,10.475,3.3274195,15.984042,0.288545,7.558667,15.72083325,7.9913335,8.285,9.13,120.321617,385.22657925,25.166297,173.006536,19.338235,316.833679,375.536666
1,14.75,417.409998,8.61100525,2005.315616,0.25786075,17.853555,-3.197104,18.496908,18.5773255,1.273225,0.184328,-0.208706,0.592801,0.26524975,101.6055,47.9,10.48,3.38520125,16.3018285,0.223923,7.5631665,15.80083325,8.009,8.30916675,9.1483335,94.99187375,323.497567,19.733925,146.748366,15.93750025,315.14056925,374.7761655
1,15.25,416.216542,8.726223,2003.13593625,0.231732,15.42904025,-3.1863415,11.5439605,12.9479475,1.24458925,0.167139,-0.18784275,0.53276975,0.240324,101.614,47.59,10.73,3.434045,16.364487,0.1973885,7.570667,15.546667,8.007,8.3316665,9.143333,64.3436415,253.16840275,15.4101995,109.3137255,13.272059,313.079859,373.9988995
1,15.75,416.986351,8.7946745,2004.50206375,0.3378685,15.41379125,-3.1888275,1.656861,7.621817,1.163334,0.160353,-0.15723,0.457903,0.219963,101.61025,47.965,10.685,3.29438,16.285022,0.1829565,7.581667,15.2991665,8.0213335,8.343333,9.15,32.8497605,172.07158325,10.199557,72.5490195,8.7867645,310.346674,371.737196
1,16.25,417.2182705,8.89302825,2011.361767,0.24165575,10.18147825,-3.2142565,-4.7597835,1.5502825,0.992776,0.116559,-0.128514,0.353874,0.163297,101.62375,50.135,10.35,3.156371,16.121251,0.149907,7.600333,14.24250025,8.034,8.363333,9.16,3.3482825,103.763991,5.764967,44.4444445,5.367647,307.3638385,366.7438405
1,16.75,417.888317,8.9557195,2035.823904,0.21174025,5.582186,-3.468043,-13.5735245,-0.25016525,0.7376,0.070479,-0.1065545,0.264871,0.096743,101.62775,53.81,9.54,2.6206875,15.830965,0.159511,7.632667,12.248333,8.051667,8.3933335,9.17,-33.052583,33.37673575,1.773836,11.9607845,1.691176,304.896941,359.9530305
1,17.25,418.349878,8.984234,2062.637557,-0.059873,0.574502,-3.664389,-15.311194,-0.8118655,0.715866,0.04984,-0.061502,0.22866325,0.04678625,101.64875,60.97,8.655,1.892242,15.290385,0.20256925,7.645,10.3983335,8.0933335,8.436667,9.186667,-55.4532405,3.125,0,-1.503268,-0.147059,299.806495,351.5749675
1,17.75,420.873337,8.859316,2096.7033205,-0.101206,-0.85103,-3.6807575,-17.29646875,-1.3645525,0.675175,0.051359,-0.054884,0.232869,0.04175375,101.676,65.51,8.01,1.557302,14.8355345,0.233006,7.65225025,9.223333,8.1,8.441667,9.193333,-56.32373775,0,-0.443459,-4.117647,-0.1286765,296.253859,343.48029525
1,18.25,423.86062875,8.87598175,2110.1701015,-0.064576,-1.576111,-3.69664,-15.898511,-1.542283,0.661105,0.046657,-0.056853,0.2361,0.0390445,101.68825,70.02,7.50925,1.33981575,14.3256185,0.22895475,7.612667,8.5304165,8.0693335,8.433333,9.193333,-54.128598,0,-0.443459,-3.660131,0.147059,294.295796,338.843577
1,18.75,426.37471425,8.70827,2137.30006525,-0.09531,-2.741091,-3.724231,-16.72849625,-1.92468575,0.676083,0.044622,-0.0580425,0.236978,0.034698,101.7,73.14,7.246,1.1250225,13.920801,0.23010025,7.582667,7.895333,8.039667,8.416667,9.173333,-51.212488,0,-0.221729,-3.333333,0.220588,292.825316,336.4365175
1,19.25,426.7988495,8.40750025,2152.08468675,0.094413,-2.8966765,-3.7001675,-16.593899,-1.6627795,0.562461,0.044351,-0.068932,0.23536575,0.03450725,101.70075,75.4275,6.82975,0.9674095,13.4323675,0.2300625,7.568,7.375417,8.0158335,8.4016665,9.17,-49.180469,0,0,-3.137255,0.294118,292.649197,334.5721645
1,19.75,427.045299,8.176723,2162.9094135,0.118628,-2.593991,-3.740296,-17.814534,-1.475828,0.602986,0.049436,-0.072954,0.24715575,0.03699375,101.70175,77.09,6.48075,0.813878,13.191783,0.2256495,7.565667,6.822583,8.0125,8.4033335,9.17,-49.374548,0,0,-3.071895,0.220588,293.696603,333.977234
1,20.25,428.082274,8.517236,2173.907099,0.121644,3.357061,-3.7600635,-14.52713925,-2.48639875,0.649535,0.055721,-0.072094,0.231885,0.04372775,101.70825,78.3225,6.038,0.69403925,12.946885,0.2318825,7.569667,6.391917,8.0115,8.395,9.173333,-46.980149,0,0,-3.071895,0.220588,296.962625,333.252086
1,20.75,426.791234,8.636999,2180.165848,0.29933725,2.018469,-3.740188,-15.0075515,-2.0884325,0.631517,0.051392,-0.082397,0.24249025,0.0404005,101.69825,78.9925,5.7575,0.56311725,12.5468465,0.21260375,7.549333,5.95374975,7.985,8.393333,9.166667,-46.163329,0,0,-2.875817,0.367647,296.670939,334.3723905
1,21.25,426.20637625,8.42298525,2150.48770125,0.333323,-1.52529575,-3.732162,-17.325901,-1.7692325,0.628807,0.049694,-0.05417975,0.24614325,0.04012275,101.7055,79.9625,5.56775,0.5031255,12.293891,0.21627025,7.554333,5.683583,7.971167,8.3816665,9.166667,-43.5047455,0,0,-2.875817,0.367647,297.476452,333.083124
1,21.75,426.39714525,7.932525,2159.272762,0.2912065,0.928105,-3.7203125,-16.7345585,-2.09702075,0.669575,0.056836,-0.066892,0.260013,0.043259,101.72375,80.35,5.34425,0.4622915,11.977958,0.231367,7.559667,5.1798335,7.9625,8.38,9.16,-42.907819,0,0,-2.875817,0.367647,298.0610645,331.8488705
1,22.25,429.395797,8.061494,2181.521149,0.3993415,-1.38258525,-3.732014,-18.7078815,-2.623894,0.616499,0.054012,-0.064742,0.25542525,0.04032325,101.74125,80.975,5.1695,0.4067395,11.578054,0.23305,7.5416665,4.882917,7.962667,8.386667,9.1633335,-45.07718,0,0,-3.006536,0.367647,297.825972,331.58227
1,22.75,426.7941215,7.9429865,2209.959061,0.126712,-1.8256745,-3.707937,-18.149027,-2.399869,0.64488125,0.05349425,-0.06041,0.26202275,0.0414675,101.74475,81.75,4.835,0.37882725,11.341869,0.2184905,7.547667,4.5533335,7.941667,8.383333,9.1633335,-42.427653,0,0,-2.810458,0.441176,299.376618,331.353026
1,23.25,427.314581,7.9302565,2230.530883,0.092466,-3.15810825,-3.686156,-17.25463425,-2.26075875,0.66190075,0.0535545,-0.0584555,0.26038,0.044843,101.75,83.05,4.6575,0.3839475,11.16876,0.2219545,7.54575,4.2715835,7.9235,8.3775,9.163333,-42.03846825,0,0,-2.82679775,0.441176,299.41819325,330.6531025
1,23.75,427.1667875,7.829244,2197.39394075,0.4289625,4.390473,-3.67219875,-18.2472,-2.26934,0.646994,0.055959,-0.061863,0.2567845,0.0464895,101.738,82.3,4.546,0.355627,10.871724,0.2220635,7.54183325,3.956583,7.91250025,8.37,9.1641665,-39.35783425,0,0,-2.875817,0.441176,298.07792675,330.45693425
2,0.25,420.8996065,7.439217,2077.44766275,0.439292,6.4817485,-3.1342455,-30.89044825,-1.03176525,0.8221035,0.0602445,-0.1050645,0.261199,0.05277975,101.6265,75.12,5.015,0.999527,11.197905,0.2140355,7.819667,10.7933335,8.2283335,8.53,9.093333,-62.1449905,0,0,-3.627451,0.661765,285.9859725,332.5066195
2,0.75,422.162285,7.391531,2083.2095185,0.339634,3.277929,-3.163768,-30.06552,-0.709693,0.82054475,0.059429,-0.0986275,0.2948515,0.051435,101.6195,75.61,4.901,0.890205,11.0917535,0.22791525,7.823,10.7125,8.225,8.5283335,9.09,-62.442428,0,0,-3.72549,0.661765,284.3364745,331.9823925
2,1.25,422.397319,7.3794235,2084.01706975,0.40183875,0.37713325,-3.2724525,-25.4031005,-0.774141,0.78393325,0.0608305,-0.11092075,0.2882075,0.0516915,101.63825,76.0025,4.44225,0.843544,10.7870405,0.226371,7.8204165,10.6491665,8.22750025,8.525833,9.09249975,-61.7714065,0,0,-3.643791,0.735294,285.27752575,330.3617955
2,1.75,422.3420715,7.241635,2103.271332,0.525967,2.795685,-3.356101,-23.7248745,-1.6836855,0.81890725,0.0538095,-0.103679,0.2538765,0.047912,101.632,76.155,4.30275,0.767004,10.6740625,0.21930175,7.8290835,10.53249975,8.2283335,8.519167,9.0858335,-61.69792125,0,0,-3.660131,0.735294,283.80612025,330.1972595
2,2.25,420.663476,7.16429275,2087.12002,0.413578,4.981784,-3.4547525,-27.7912285,-1.03274225,0.76052625,0.05631025,-0.11106225,0.304649,0.052612,101.627,77.3775,4.19275,0.711141,10.4781795,0.2322135,7.81508325,10.42750025,8.2241665,8.51750025,9.08,-62.2537895,0,0,-3.594771,0.68014725,283.47266175,330.16408825
2,2.75,420.20246275,7.0969855,2106.338369,0.57024825,5.53642225,-3.533293,-27.21738025,-0.97249675,0.7829705,0.06015,-0.11077075,0.29747525,0.0533165,101.628,77.6925,3.9415,0.6360525,9.981047,0.217424,7.81024975,10.380833,8.21750025,8.519167,9.07916675,-61.2353985,0,0,-3.643791,0.661765,281.74109575,328.5830825
2,3.25,420.665682,7.086332,2084.416826,0.53758425,6.4196845,-3.53859125,-26.35461825,-0.726158,0.73872325,0.0602005,-0.1065755,0.287781,0.055861,101.615,77.06,3.809,0.59899125,9.87480225,0.2308625,7.803167,10.300833,8.2141665,8.51750025,9.08249975,-61.5328885,0,0,-3.464052,0.808824,283.61448775,328.54509825
2,3.75,422.12912825,7.057134,2102.940896,0.38220275,7.133577,-3.54408025,-28.3754765,-0.6482285,0.71375875,0.0606675,-0.099049,0.2786145,0.051012,101.6165,78.815,3.63925,0.57328625,9.63340225,0.21892,7.79324975,10.18250025,8.19249975,8.52,9.08083325,-61.89545925,0,0,-3.54575175,0.661765,281.87888825,327.171539
