DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,G_1_1_2,G_1_1_3,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_1_1_1,NEE_1_1_1
1,0.25,420.595762825,18.631906284,5.54188318924999,5.2195338196,10.184,5.57443216599999,5.9305165975,4.1571705,0.712184794075,103.3247,98.5529371,17.2846175,5.4452833292,14.60325,12.25467,0.54807675,-0.015486675,0.6661447,3.30705,377.9665,392.506,6.83055,8.0165,-0.000834900000000001,1.489642225,1.250480675,0.8271458,17.605485175,4.602920843
1,0.75,432.39419348,18.7543544235,5.40027717239999,20.00239415,11.1587083315,13.4952839012501,2.075889525,4.2783495,0.6806086551,103.342,98.4605918,17.40244,5.7030589988,14.486,12.23825,1.730778,-0.0159907,0.52117575,3.4863675,380.43975,393.087,6.81265,7.687,-0.001762225,1.560594375,1.252940875,0.8143131,17.8401813,4.3988926102
1,1.25,430.611132545,18.48432605175,5.96946348169999,6.159962873625,13.7965000015,5.21725925249999,-2.8905450925,4.270496,0.744146931725,103.3321,98.409521975,17.1545475,5.52620836474999,14.3845,12.21552,3.083865,-0.0163237,0.5272995,3.2997625,382.149,394.199,6.54655,7.642,-0.0011864,1.41088965,1.399374175,0.8565463,18.027202975,5.50299084395
1,1.75,444.4240964875,18.8057501725,5.2660947478,9.80377270005,14.2394999984999,5.28333544,-7.85697971000001,4.23218875,0.7367307545,103.3427,98.215544855,17.1876775,5.69230834,14.273,12.1754,1.548025,-0.0174509000000001,0.54533475,3.2177825,384.2425,394.69125,6.58925,8.4915,-0.000778300000000001,1.62369285,1.9838951,0.99223265,17.8766574,6.626672244275
1,2.25,475.29239888,18.265004802,4.800253488625,9.76649281834999,14.1619150014999,4.14878411499999,-1.326990865,4.73064455,0.806022182825,103.3645,98.466989725,16.8885275,5.31761804415,14.17575,12.12469,1.5574325,-0.018614,0.53586925,3.05765,385.82425,393.97425,6.51375,8.827,-0.000699850000000001,1.84800395,1.752378775,0.992129824999999,18.266439725,5.0547112151
1,2.75,431.1818537425,17.41209048,5.34344383175,8.39638593380001,13.4018883315,4.53122637899999,-2.37115418,4.419803125,0.78932613375,103.3837,98.402598325,16.576355,5.37633692125,14.0815,12.05613,1.5838175,-0.020947,0.46575625,3.20529,390.0955,395.04675,7.25765,9.377,-0.000841375000000001,2.091732925,1.701251875,1.120669625,18.405231975,8.396514719
1,3.25,441.210848755,18.5022127495,4.419345266225,8.52500336649999,15.8969216685,2.2275438405,2.2116071525,4.215345,0.71766064355,103.3962,98.043854555,16.4629025,5.5897127455,13.9845,11.97843,1.6076025,-0.0203149,0.5828395,3.061095,385.237,395.41725,8.2555,10.213,-0.00158985,1.6780941,1.293033,0.897268725,18.61320235,7.3732064184
1,3.75,430.46732679,19.708516365,4.490647639975,12.8041087895,15.2114421699999,6.20479442200001,0.649869237,4.3260215,0.745578915199999,103.389,98.2371059475,16.827285,5.49693099225,13.9075,11.95499,1.0445055,-0.0190396,0.63770325,3.1491575,384.927,395.72975,7.77445,10.4325,-0.00106155,1.61100365,1.35921075,0.907502975,18.715542925,4.923414797975
1,4.25,430.6130906375,19.1209481305,4.373741715975,8.34844423384994,15.7395,12.500928984,2.1464243425,4.696588375,0.824285103249999,103.352,98.093729,17.26088,5.0455193646,13.90575,11.93149,2.61748,-0.0184034,0.40897925,3.3640075,385.34275,397.27325,8.08979999999999,10.832,-0.00101825,1.870377375,1.306195875,0.926013525,18.7062062,6.66193231607499
1,4.75,431.2572413525,19.199227125,4.080453002625,11.26366177,15.889,12.54962626625,0.387744915000001,4.6505232,0.88060279175,103.3306,98.240200425,17.602225,4.78034804609999,13.93,11.883225,2.92715675,-0.0206943,0.694225975,3.1773825,391.522525,397.5204,8.58299999999999,10.3415,-0.00131185,1.85134735,1.29740865,0.884136875,18.42265365,6.19239034429999
