DOY2,HR2,CO2,H2O,FC,NEE,CH4,FCH4,H,LE,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA_1_1_1,TA_1_2_1,TS_1,TS_2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
6,21.25,375.672820366365,15.5761000464826,1.92499770557602,1.92499770557602,2128.648,179.94539646,-13.2166,36.0987160203296,0.945495,0.1266,0.16611,0.33158,0.373215,18.5227,0.125595,98.96855,62.84497,19.0169575,18.8140275,21.253965,20.0545,-47.2091249999999,0,0,0,370.77095,414.059275
6,21.75,376.739731237369,15.1789904040631,1.76057685254981,1.76057685254981,2123.565,185.917191705,-12.43435,38.0388936626836,1.274205,0.160235,0.209965,0.43586,0.475785,18.38135,0.1461725,99.01685,63.0660925,18.75505,18.7614925,21.2956775,20.046625,-47.45565,0,0,0,368.73305,413.764
6,22.25,377.241553174444,15.7781260258066,1.84663558009059,1.84663558009059,2110.076,172.1873833225,-14.08075,36.391232895,1.133445,0.145025,0.20621,0.37449,0.42906,18.07185,0.126125,99.0169,63.3480375,18.538245,18.4778625,21.29721,20.0356175,-47.8394,0,0,0,365.683925,412.54955
6,22.75,376.558807294235,15.239965657769,1.80224451069048,1.80224451069048,2141.091,181.658957775,-13.231175,35.1160744440059,1.134335,0.13615,0.1946525,0.4291625,0.4404975,18.000675,0.124935,98.991725,65.094215,18.3242775,18.1641025,21.3153575,20.067945,-47.684025,0,0,0,365.48775,410.1841
6,23.25,377.778154230389,15.015846575046,2.00395423503936,2.00395423503936,2140.33425,132.408380835,-14.762325,29.2076356552985,1.1442,0.1345825,0.2105075,0.401555,0.432325,17.7097,0.128735,98.997925,66.08359,18.1301575,18.03723,21.44417,20.122675,-46.7965,0,0,0,366.903675,409.33695
6,23.75,377.68852367264,15.6945153102752,2.48296479995472,2.48296479995472,2138.21425,134.14427539,-18.611225,27.0409661879785,1.1816925,0.1488475,0.19759,0.39805,0.419185,17.762475,0.1226825,98.980175,67.61684,17.961465,17.81266,21.39348,20.1285825,-45.934,0,0,0,365.76975,408.97465
7,0.25,369.416488339883,20.8266432104867,3.19421094138612,3.19421094138612,2215.8725,187.3736859,-17.885375,18.9214875253611,0.840625,0.1373975,0.17085,0.3423575,0.3684675,21.334175,0.1426625,99.08185,74.1462025,21.2487675,20.770435,22.5499175,21.7308425,-38.698925,0,0,0,391.4343,423.29745
7,0.75,369.341085036746,21.5066295422849,3.53184510614292,3.53184510614292,2212.838,175.4442083175,-19.10995,19.0509521174565,0.785145,0.11958,0.163135,0.36394,0.37018,21.14055,0.13783,99.084,74.631195,21.093115,20.460505,22.7394825,21.7239325,-37.489175,0,0,0,389.151525,421.197075
7,1.25,369.960638079093,21.2333304299764,3.47792006465389,3.47792006465389,2205.627,155.869806295,-19.4311,16.6942655272636,0.82193,0.11953,0.17398,0.32504,0.36145,20.6702,0.12352,99.1033,75.16461,20.75907,20.3532175,22.82593,21.85226,-37.410675,0,0,0,388.6786,420.925875
7,1.75,367.968751021967,20.9819279144905,3.2982810711889,3.2982810711889,2227.5735,240.3733293,-18.43355,18.0026014877073,0.7240775,0.1295075,0.164785,0.3282425,0.3501125,20.671575,0.119715,99.068525,75.6746775,20.6414225,20.2109625,22.6623,21.82475,-38.166425,0,0,0,386.983625,420.1673
7,2.25,374.114612963849,21.0592743668243,2.4803789628962,2.4803789628962,2230.548,144.84367128,-14.908225,17.385525388,0.740765,0.13108,0.1549725,0.3366625,0.35243,20.377125,0.12135,99.0668,75.6926075,20.452975,20.01733,22.5688025,21.7568625,-36.96175,0,0,0,388.40255,419.287325
7,2.75,375.778696881749,20.8149374715755,2.54019866891772,2.54019866891772,2206.09075,137.92988166,-15.4789,16.9523987459027,0.76051,0.12275,0.16041,0.29925,0.34382,19.9765,0.12919,99.1261,76.23009,20.3379875,19.88269,22.55905,21.7645825,-37.05785,0,0,0,387.901175,419.792925
