DOY2,HR2,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1,TS_7_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,PPFD_IN_2_1_1,WS_2_2_1,T_SONIC_2_2_1,WS_2_1_1,T_SONIC_2_1_1,NETRAD_2_1_1,TA_2_9_1,TA_2_7_1,TA_2_6_1,TA_2_5_1,PPFD_IN_2_5_1,PPFD_IN_2_4_1,PPFD_IN_2_3_1,PPFD_IN_2_2_1,WS_2_3_1,T_SONIC_2_3_1,SW_IN_2_2_1,SW_OUT_2_2_1,LW_IN_2_2_1,LW_OUT_2_2_1,NETRAD_2_2_1,T_CANOPY_2_1_1,T_CANOPY_2_1_2,CO2_2_9_1,H2O_2_9_1,CO2_2_7_1,H2O_2_7_1,CO2_2_6_1,H2O_2_6_1,CO2_2_5_1,H2O_2_5_1,CO2_2_4_1,H2O_2_4_1,CO2_2_3_1,H2O_2_3_1,CO2_2_2_1,H2O_2_2_1,CO2_2_1_1,H2O_2_1_1,TA_2_4_1,TA_2_3_1,TA_2_2_1,TA_2_1_1,VPD_2_9_1,VPD_2_7_1,VPD_2_6_1,VPD_2_5_1,VPD_2_4_1,VPD_2_3_1,VPD_2_2_1,VPD_2_1_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,WS_1_1_1,PA_1_1_1,NETRAD_1_1_1,TAU_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,CO2_2_8_1,H2O_2_8_1,T_SONIC_2_5_1,TA_2_8_1,PA_2_1_1,RH_2_1_1,VPD_2_8_1,WS_2_5_1,USTAR_2_1_1,U_SIGMA_2_1_1,V_SIGMA_2_1_1,W_SIGMA_2_1_1
1,5.75,23.01,22.98,24.899999975,24.4954167,24.03,24.594166675,21.84083335,22.6416667,23.264583325,24.164583325,-1.378208325,-1.190499975,-1.352833325,-1.7791667,-1.71766665,-1.362791675,-0.10775,0.63154165,21.0616667,1.02504165,21.321249975,-2.985500025,21.86375,22.874999975,22.5508333,21.25166665,0.1103333,0.34966665,0.14191665,0,0.67541665,21.6425,0.9205,1.89770835,416.816813125,422.3939607,-1.03604165,20.5045833,21.4241667,409.3838931,25.36547,409.8624431,25.38457,409.897926075,25.40532,410.0689681,25.4331525,410.2466181,25.446013175,410.5182181,25.4770475,408.207575,25.44473,417.315475,25.9087459,21.23918,21.18265,21.12126,21.0359,4.796948,6.0315055,4.9643605,3.927782,3.45141,3.2135835,2.863479,1.809723,20.8936,98.78162835,21.39105,98.998184975,1.605710825,97.541668335,-4.68901275,-0.0337122,-1.2052202,7.7149024,1.511812,397.2341856,23.8010477,24.7402165,22.6124026,95.32670936,87.0812246,7.507470942,1.4592306,0.4671068,1.1186537,0.847941213,0.539693987
1,6.25,22.985,23.1408333,24.881249975,24.4858333,24.0275,24.579166675,21.839999975,22.614583325,23.253333325,24.152083325,-1.512791675,-1.3005,-1.340124975,-1.8341667,-1.839458325,-1.41779165,0.8705,0.56691665,21.113750025,0.810958325,21.28333335,0.3199583,21.834583325,23.011666675,22.52,21.365,7.41908335,16.1309167,5.402791675,2.90308335,0.67475,21.68916665,21.577874975,5.683125025,417.20143385,423.20296955,4.60170835,20.53583335,21.507499975,409.7869431,25.2917209,409.6707181,25.32786,409.661201075,25.33434,409.885476075,25.36255,410.101426075,25.40231,410.172326075,25.46261,407.70765,25.403968175,418.52295,25.83363,21.36219,21.31204,21.21785,21.0559,5.40856475,6.172906,5.0448685,4.06885075,3.67108175,3.524647,3.1275455,2.122862,20.9765683,98.77235835,21.44435,98.96704205,1.4076871,97.582006665,0.80671095,-0.0399852,-1.025806,6.0264498,1.8219341,396.8230804,23.8966116,24.9032224,23.0012737,95.36102558,87.5774002,7.985159973,1.421792,0.4732163,1.081358729,0.860343304,0.530041885
1,6.75,23.315000025,23.11875,24.860416675,24.462916675,24.025,24.56083335,21.8670833,22.58583335,23.21625,24.154166675,-1.6235417,-1.406166675,-1.368375,-1.9766667,-1.875749975,-1.41525,3.16833335,0.627583325,21.38541665,0.778166675,21.4791667,8.1735,22.21708335,23.0279167,22.54,21.46416665,23.520000025,60.07083335,19.05708335,10.49879165,0.6586667,21.99916665,86.69125,13.82666665,419.11750045,425.7422416,49.344583325,21.0158333,22.043749975,409.2264681,25.35671,409.0016181,25.39522,408.8890431,25.37937,408.979051075,25.4922809,409.0231931,25.44795,409.4011681,25.5018,407.19043405,25.539875675,418.602676075,25.95829,21.54661,21.48484,21.46457,21.1907,5.55491275,6.730636,5.265504,4.143527,3.87280575,3.65680525,3.26257075,1.8925745,21.170535,98.77733335,21.67096585,98.798881225,1.4331028,97.61678,27.63121135,-0.0495367,8.3737353,13.095418,0.7845812,396.7422342,24.1828353,25.1370323,23.0115432,95.40564291,87.2938421,7.687034548,1.4404912,0.479373,1.110142829,0.98562574,0.543389823
1,7.25,23.290000025,23.109999975,24.86583335,24.4558333,24.042499975,24.549999975,22.066250025,22.575000025,23.18875,24.15666665,-1.658666675,-1.447416675,-1.393000025,-1.9818333,-1.887833325,-1.417124975,6.13925,0.620624975,21.597083325,0.847625025,21.64916665,24.154999975,22.38708335,23.55083335,22.8566667,21.58,46.932083325,87.705416675,34.43708335,15.703749975,0.70741665,22.575,166.9583333,24.835833325,422.13743585,430.078797525,130.737916675,21.227083325,22.436249975,407.755301075,25.36554,407.467417025,25.4445409,407.191442025,25.43966,407.190992025,25.4896009,407.498792025,25.54717,407.9729431,25.5857509,406.80855,25.508365,417.751275,25.97344,21.67201,21.58361,21.48521,21.2329,5.4843725,7.136726,5.5078665,3.623828,3.7315525,3.55722475,3.29820325,2.0646115,21.6776967,98.64915165,22.1044642,98.619069975,1.61961385,97.659679165,64.7873933,-0.0615044,17.2884498,30.2594928,0.424508925,395.9848344,24.097994925,25.60230525,23.469051225,95.4506883975,85.96365585,8.23106362575,1.397695325,0.47544365,1.1392292365,0.89545578425,0.5368787635
1,7.75,23.24625,23.107083325,24.87,24.453750025,24.040000025,24.55875,22.14083335,22.581249975,23.179166675,24.149999975,-1.651333325,-1.42575,-1.382166675,-1.9395,-1.868208325,-1.355499975,17.0766667,0.637791675,21.6804167,0.82729165,21.970000025,35.9383333,22.6416667,23.7266667,23.161249975,21.85416665,67.6716667,172.7583333,55.5066667,24.6183333,0.77925,22.93125,254.562500025,35.06666665,424.143526875,434.585744175,214.091666675,21.470000025,22.7270833,408.0003931,25.4823609,407.5965931,25.5566409,407.2601431,25.58039,407.937617025,25.6140409,408.470226075,25.63595,408.316975,25.67648,405.80123405,25.687265,417.457925,26.0613409,21.8869125,21.797155,21.693615,21.3592,6.464028,7.332526,5.56981775,3.8075195,4.0128955,3.88003425,3.563606,2.28597375,22.2147167,98.33164915,22.5971575,98.623887075,1.66348335,97.69041,100.129763975,-0.064465225,29.031818725,29.959421325,0.944609375,395.88142315,23.985676,25.38680835,23.2267525,95.4911418375,85.844971625,7.91640895825,1.50893915,0.497969025,1.14009920875,0.92906324625,0.56028136925
1,8.25,23.235,23.103749975,24.873333325,24.442500025,24.036250025,24.57875,22.335,22.589166675,23.179583325,24.151250025,-1.563166675,-1.3096667,-1.246916675,-1.8428333,-1.763625,-1.2493333,14.475,0.656124975,22.026249975,0.69875,22.03166665,54.4683333,22.93,23.885,23.5566667,22.09833335,122.61,161.8666667,67.2066667,28.5175,0.786500025,23.460416675,368.658333325,43.766666675,426.086020425,438.613505525,311.195833325,22.087499975,23.021666675,407.9645681,25.656085,407.5754681,25.780720675,407.0972681,25.7693575,406.9815681,25.797760225,407.9507,25.842560675,407.8939681,25.853422725,404.62213405,25.733845,415.8966,26.260103175,22.1856675,22.11337,21.9229525,21.5357,6.59881975,8.07919775,5.380844,3.9504585,4.2717635,4.0918885,3.512372,2.443901,22.69364545,97.89865335,22.97564335,96.89045835,1.728951375,97.71610167,163.4929267,-0.0819294,33.20438485,64.3494465,0.063191425,394.523596975,24.036544125,25.7074394,23.63214845,95.5238902375,86.191310625,7.88074380075,1.551533925,0.520945475,1.16571650425,0.9090477625,0.55613206775
1,8.75,23.2833333,23.17,24.8816667,24.4883333,24.08,24.62,22.605,22.61,23.1833333,24.1666667,-1.423,-1.28283335,-1.1493333,-1.678625025,-1.5265,-1.1308333,12.142500025,0.664999975,22.341249975,0.698,22.02208335,90.024999975,23.0320833,24.1975,23.6,22.43083335,162.0791667,173.35,94.07708335,40.06416665,0.801,23.72,465,53.7566667,430.688206,441.6016205,387.3,22.62,23.665,406.8494681,25.7229109,406.614342025,25.8304809,406.505842025,25.87413,406.535026075,25.9823909,406.736167025,25.9617,406.929067025,26.0301009,404.084926075,25.91871545,415.73715,26.4924309,22.48075,22.32726,22.22185,21.7593,6.8409445,8.80822925,5.41468975,4.3188155,4.87507225,4.5142695,4.34402475,2.82653875,23.400819575,97.0713625,23.3252567,97.31026415,1.7704925,97.7277641675,284.251103725,-0.088582675,45.58804245,69.53657755,-1.2792015,393.512508725,24.432687975,26.11485945,23.843884325,95.53405708,86.511772475,8.41546105175,1.4968186,0.542274475,1.1306749945,0.96135783975,0.588929539
1,9.25,23.2,23.1716667,24.8866667,24.4833333,24.0783333,24.6566667,22.8033333,22.62,23.18,24.225,-1.2253333,-1.23783335,-0.9561667,-1.375916675,-1.17691665,-0.863,13.858333325,0.690666675,22.552083325,0.6325417,22.179166675,306.999999975,23.41541665,24.770833325,23.76291665,22.53666665,195.1916667,411.1666667,104.67458335,47.66416665,0.76,23.98,588.7666667,64.5,434.9049089,445.9812461,498.35,22.7816667,23.86,406.3701931,26.0342909,405.8507431,26.12704,405.7869181,26.0865509,405.606101075,26.2191209,405.712976075,26.08597,405.9106181,26.1801,403.3832,26.23285,414.557667025,26.6243409,22.77342,22.66717,22.3888,21.9294,7.922189,9.45254775,5.934332,4.1528425,5.555928,5.2764975,4.57662825,2.95526225,23.855765,96.39283125,23.6510833,96.4443625,1.7456,97.72221167,368.8529801,-0.106024875,62.111829,90.551712925,-2.233967925,393.242881075,24.66407455,26.2660837,24.119236125,95.5294502175,87.378855,8.25954451,1.5268711,0.5702189,1.181927536,0.92491244275,0.607868776
1,9.75,23.12,23.1933333,24.9116667,24.485,24.08,24.6866667,22.9016667,22.65,23.205,24.2816667,-1.0155833,-1.07275,-0.6696667,-1.0892917,-0.887,-0.5761667,16.80416665,0.7359167,22.9325,0.660000025,23.100833325,266.683333325,23.537499975,24.7779167,24.122499975,23.0608333,191.90833335,590.8166667,107.812500025,56.1725,0.764,24.485,578.2833333,62.385,439.9686573,447.5318147,507.4333333,22.7183333,24.0733333,405.074751075,26.03601,404.963617025,26.17148,404.764817025,26.16915,404.550092025,26.30161,404.756017025,26.30305,404.796117025,26.2905109,403.274192025,26.30490545,413.54695,26.6517309,23.00958,22.90362,22.73665,22.1276,8.08506025,9.514773,6.424222,4.185512,5.3697605,5.089542,5.0193805,3.2218605,24.10069,95.127575825,23.8940667,94.9136625,1.8066845,97.714855,395.720937925,-0.0874438,68.83795115,79.31981875,-3.05914225,392.76503155,24.7213499,26.17390375,23.98671945,95.52309915,87.0787697,7.7899293945,1.6282934,0.51810535,1.1362396525,0.8604740205,0.563688921
1,10.25,23.1033333,23.21,24.92,24.485,24.0883333,24.7233333,23.0533333,22.675,23.2483333,24.395,-0.779,-0.904,-0.2316667,-0.733708325,-0.57,-0.2003333,23.845833325,0.732458325,23.00666665,0.708999975,23.1666667,117.5458333,23.596666675,24.899166675,24.308750025,23.10666665,184.831249975,580.3833333,114.14583335,48.7208333,0.8795,24.96833335,536.0333333,55.9716667,443.2892308,449.4649302,469.8166667,22.8783333,24.1733333,405.3557681,26.13807,404.4856681,26.16048,404.315551075,26.2145225,404.5847931,26.2616225,404.8038681,26.314360675,405.3267681,26.3489309,402.3824,26.47809,412.5861,26.7563609,23.0301875,22.9367575,22.7305225,22.317075,6.497145,8.49705175,6.58165825,4.3841505,4.83892,4.519451,4.2794755,3.0239155,24.301399975,93.94565,24.07096665,96.163856225,1.8481008,97.69678,381.9662361,-0.1141161,54.483010525,79.653328675,-3.032357925,392.462243475,24.71500645,26.2334709,23.92628965,95.510302345,86.10208285,7.593147208,1.602136575,0.509554025,1.1520012665,0.945104853,0.5680938445
