DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS
1,0.25,5.416464517,-20.969976,0.611418863,-15.8885875,-55.116185,-8.982646,-9.446111,73.76071521,0.4452502025,65.746715,0.9557689,13.95798,396.3349054,2.8487965935,-6.834638
1,0.75,5.414211724,-16.808284605,0.733722013,-15.381813,-57.63183,-9.133576,-9.561671,73.603505555,0.4341640805,65.72279,0.9507662,14.2265,396.4126451,2.882938993,-6.902379
1,1.25,4.091913646,-19.67302282,0.714752671,-15.410155,-56.36483,-9.1045875,-9.70194,74.98805947,0.427593395,65.708735,0.9541559,13.870165,395.82457485,2.9493131545,-6.962378
1,1.75,5.6764805225,-16.63909074,0.614808508,-14.9359,-56.3491,-9.023406,-9.707873,75.07146492,0.439925017,65.69984,0.9422562,13.988015,395.7952955,2.96344533,-6.918622
1,2.25,4.213398719,-17.559541395,0.659223696,-14.264813,-60.04928,-9.1069735,-9.805763,75.40973058,0.441709052,65.73151,0.9521969,13.964895,396.4872142,2.979331008,-7.095613
1,2.75,4.8718319845,-18.4743694,0.834595747,-14.362975,-59.00685,-9.239164,-9.8452545,75.73228994,0.415068853,65.731395,0.94063745,13.83234,396.2756245,2.9404040725,-7.060208
1,3.25,5.055105239,-20.17967651,0.811018957,-14.03689,-58.20048,-9.218062,-9.869483,76.0218823,0.415989045,65.73956,0.9765908,14.06015,396.3629821,2.9322736555,-7.124498
1,3.75,5.071198961,-20.30170892,0.552451665,-13.803105,-58.18388,-9.3097285,-9.768579,75.50424342,0.419850753,65.723545,0.97002235,14.11874,396.4011833,2.900685898,-7.171854
1,4.25,4.529027992,-18.99486256,0.730507757,-13.67951,-60.92671,-9.563383,-9.911872,74.730958515,0.434138343,65.69615,0.97059335,14.78051,395.9797968,2.886959774,-7.220682
1,4.75,4.080880386,-21.41522065,0.484183735,-13.486615,-60.3535,-9.543562,-10.00863,73.836250965,0.455476783,65.68857,0.9698828,14.6406,395.8601352,2.863572695,-7.218956
1,5.25,4.5650478795,-20.02017054,0.644107769,-13.289805,-58.50118,-9.571437,-10.23604,74.47569119,0.4499492845,65.66387,0.9573997,14.159105,396.175173,2.849467775,-7.220078
1,5.75,4.545539418,-20.80803278,0.532076053,-13.121304,-61.83875,-9.6673575,-10.26484,74.411639715,0.457423437,65.670425,0.97000165,14.287325,396.13220545,2.8074813445,-7.285169
1,6.25,4.158920578,-18.38345461,0.684671109,-13.3595355,-64.48091,-9.7400505,-10.18254,73.666435115,0.472950048,65.69999,0.9606698,14.496615,395.9380705,2.790390905,-7.250003
1,6.75,3.5969317785,-19.636427735,0.7664842,-13.12331,-61.04116,-9.506636,-10.15317,74.5535868,0.436945008,65.731075,0.9515965,14.10246,396.3593833,2.7941442615,-7.226424
