DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,G_1,G_2,TS_1,TS_2
1,0.25,-0.0293,-2.22882,3.857825,0.450979,2.79236,0.208562,-2.11091,413.475,2.92716,0.746037,0.563895,0.254557,0.1406785,-0.85821685,0.40514025,293.05775,308.4485,-2.39,80,-4.109,-4.667,0.524,0.3325
1,0.75,-0.0297,-2.91667,2.867945,0.3921465,3.02496,0.188545,-1.93996,413.737,2.91632,0.744114,0.511309,0.264112,0.116154,-0.82487325,0.4426924,291.925,308.0391,-2.46,79.98,-4.0995,-4.626,0.5345,0.339
1,1.25,-0.02625,-2.93972,3.57312,0.3615045,3.03169,0.184162,-1.7319,412.505,2.884335,0.685436,0.5232735,0.247167,0.131767,-0.89993685,0.4189186,288.8088,306.57215,-2.52,80.49,-4.0905,-4.5805,0.528,0.326
1,1.75,-0.034,-3.75277,3.98505,0.460016,3.226455,0.175859,-2.47217,413.005,2.740495,0.751481,0.6143805,0.289864,0.144487,-0.9551107,0.39532785,288.86625,305.86605,-2.55,80.675,-4.637,-4.5735,0.5335,0.323
1,2.25,-0.0451,-4.06907,3.45021,0.5653735,3.10588,0.202991,-1.71542,413.24,2.672955,0.751304,0.53699,0.284781,0.110721,-0.9090763,0.47747885,289.0283,305.73095,-2.54,81.3,-4.477,-4.5525,0.527,0.3275
1,2.75,-0.0401,-2.36912,3.64515,0.3575615,3.10241,0.189774,-1.54589,413.567,2.720875,0.769727,0.585008,0.28477,0.113402,-0.87174425,0.45165285,283.8551,305.8614,-2.545,80.81,-4.335,-4.5585,0.5325,0.3365
1,3.25,-0.04145,-3.38584,3.24566,0.326284,3.163175,0.2016795,-1.70012,414.4995,2.71554,0.720603,0.631939,0.2706045,0.096202,-0.8951498,0.4493058,288.525,306.34565,-2.53,80.415,-4.206,-4.6035,0.5145,0.3315
1,3.75,-0.0293,-3.42515,3.21617,0.4517275,3.039145,0.190423,-1.89181,414.209,2.80641,0.721483,0.612213,0.269384,0.114787,-0.8521204,0.43867085,283.06905,305.8626,-2.52,80.48,-4.0925,-4.622,0.5105,0.3215
1,4.25,-0.01845,-1.75521,1.620205,0.2380085,3.00239,0.1847875,-2.048895,414.188,2.764625,0.7104885,0.6049045,0.299052,0.1071355,-0.80724855,0.389236,289.70885,304.7755,-2.6,80.175,-4.0135,-4.622,0.536,0.351
1,4.75,-0.03665,-3.384385,2.53643,0.4055295,2.863925,0.211274,-2.272,414.7025,2.90368,0.801079,0.5936655,0.3032485,0.1184755,-0.79754715,0.45443975,288.01055,303.33235,-2.855,81.19,-4.099,-4.6975,0.532,0.3565
1,5.25,-0.0498,-1.73136,2.14874,0.346558,3.490585,0.2144815,-2.456985,412.501,2.84526,0.788927,0.607128,0.3008715,0.105911,-0.7201398,0.4426742,286.1053,303.5885,-2.745,81.17,-4.0965,-4.769,0.5325,0.3465
1,5.75,-0.0446,-2.762825,2.36629,0.410948,3.346175,0.1956245,-2.435615,412.903,2.61531,0.8231835,0.581935,0.299647,0.106241,-0.8450303,0.3995525,282.7139,303.70395,-2.825,81.345,-4.097,-4.7355,0.5435,0.3375
1,6.25,-0.05575,-2.144785,3.40588,0.331725,3.66917,0.226223,-2.624545,413.966,2.5522,0.8068175,0.607345,0.2785905,0.110916,-0.71897665,0.461569,284.2833,303.73675,-2.87,81.035,-4.0955,-4.7965,0.524,0.338
1,6.75,-0.05735,-2.05039,3.569865,0.3606065,3.26839,0.2290095,-3.09386,413.53,2.527695,0.7709925,0.5923585,0.2935565,0.099903,-0.56463295,0.5524579,284.52005,304.0382,-2.625,80.84,-4.093,-4.7915,0.5325,0.3435
1,7.25,-0.0429,-0.358337,3.01504,0.202691,3.38636,0.213313,-2.66475,413.954,2.49467,0.758891,0.592746,0.312261,0.1007325,-0.56972685,0.6219615,286.89705,303.7782,-2.635,80.6,-4.09,-4.868,0.525,0.3395
1,7.75,-0.0635,-0.03143,4.68487,0.247654,3.58411,0.2284935,-3.00666,414.8815,2.50206,0.808777,0.6563175,0.299129,0.118737,-0.664303,0.60966905,288.24995,303.5232,-2.815,80.085,-4.0865,-4.8755,0.5565,0.334
1,8.25,-0.0649,-0.219725,4.16705,0.1507885,3.53037,0.240199,-2.81289,412.485,2.41446,0.732313,0.583916,0.302762,0.12641,-0.3207762,0.8429334,286.4895,303.4409,-2.93,81.325,-4.084,-4.8815,0.541,0.36
1,8.75,-0.0647,-0.0948,8.125135,0.2422695,3.72941,0.237827,-2.55611,413.0155,2.454455,0.807698,0.703301,0.311856,0.1386265,5.050199,3.8918005,287.71835,303.63875,-3.12,81.2,-4.0825,-4.8815,0.5335,0.3575
1,9.25,-0.0672,1.86515,8.18271,0.112002,3.64271,0.248561,-2.39973,413.455,2.41947,0.827241,0.657736,0.310644,0.140062,28.430605,13.93318,287.40265,304.46225,-3.17,79.985,-4.0805,-4.8615,0.49,0.328
1,9.75,-0.0831,3.65013,9.51286,-0.159271,3.91438,0.262444,-2.50528,413.425,2.39893,0.828636,0.745653,0.324647,0.1491915,58.820435,32.17606,282.3195,306.84545,-2.885,79.095,-4.0785,-4.6665,0.351,0.1645
1,10.25,-0.0727,5.182195,11.6169,-0.1584895,3.97138,0.2520235,-2.024485,412.694,2.43683,0.918867,0.7705395,0.343758,0.163263,100.9979,42.00109,281.3362,308.6032,-2.62,78.4,-4.057,-4.545,0.306,0.197
1,10.75,-0.0818,6.547705,12.8817,-0.2915945,4.04869,0.2622825,-1.94288,412.965,2.55951,0.950584,0.822492,0.339177,0.152586,151.3576,43.92401,287.2906,309.4082,-2.44,76.29,-4.06,-4.618,0.279,0.18
1,11.25,-0.0831,12.55115,14.6091,-0.2302615,4.11281,0.25868,-1.55774,413.601,2.4028,0.909961,0.82706,0.343317,0.150247,161.5257,50.6164,284.729,311.487,-2.23,74,-3.771,-4.541,0.296,0.164
1,11.75,-0.08675,11.5636,13.9309,-0.0297,3.9244,0.2719785,-1.29166,413.249,2.79211,0.9223375,0.9074225,0.3424995,0.155929,218.3428,62.82097,284.3352,313.1483,-2,73.4,-3.768,-4.527,0.281,0.154
1,12.25,-0.0942,15.6758,16.48575,-0.25105,4.154885,0.2761235,-1.40217,413.445,2.93619,0.958809,0.9200025,0.3614465,0.162724,253.7911,74.14824,284.7343,315.0708,-1.74,70.74,-3.516,-4.2,0.294,0.121
1,12.75,-0.0965,13.8316,17.6247,-0.2033,4.216765,0.282115,-1.29092,413.242,2.70669,0.945343,0.86303,0.359656,0.154565,244.1522,68.85508,283.0724,315.6252,-1.54,69.8,-3.027,-3.67,0.326,0.18
1,13.25,-0.0941,9.82907,16.7963,-0.208256,4.21919,0.309295,-1.153875,412.5175,2.91485,0.99065,0.885595,0.362587,0.16937,218.32835,68.157635,288.2697,315.5016,-1.65,69.825,-2.8535,-3.264,0.3505,0.201
1,13.75,-0.0868,9.933495,15.5559,-0.174236,4.019045,0.2966785,-1.033284,412.613,3.076105,0.9944765,0.864771,0.3394325,0.153645,182.2071,70.670395,294.0915,315.91035,-1.4,69.54,-2.4935,-3.075,0.3485,0.225
1,14.25,-0.0823,6.2302,14.9457,0.05625,3.83464,0.29529,-0.878488,412.5835,2.901035,0.958997,0.833688,0.322847,0.118752,151.52045,66.724605,293.42485,316.256,-1.46,69.525,-2.213,-2.9525,0.391,0.2385
1,14.75,-0.0821,3.61859,14.5011,0.0553,4.00637,0.264447,-0.856867,412.143,3.00742,0.940701,0.812682,0.328351,0.131978,120.66725,62.368065,294.7175,316.8335,-1.43,70.66,-2.2085,-2.6965,0.471,0.3025
1,15.25,-0.0756,1.34332,12.7314,0.0939,3.70674,0.246832,-0.5820275,412.467,3.01357,0.947479,0.813954,0.334631,0.154209,112.563,47.53415,295.1488,316.63715,-1.51,71.19,-2.027,-2.554,0.5585,0.373
1,15.75,-0.065,0.26445,9.4779,0.193985,3.72556,0.229387,-0.6275475,412.584,2.956165,0.83082,0.727657,0.309388,0.130218,96.35079,37.75983,294.4477,316.4224,-1.47,69.66,-1.921,-2.47,0.521,0.352
1,16.25,-0.0462,-1.61461,7.49325,0.099902,3.306605,0.22193,-0.850991,412.3445,3.0784,0.776496,0.712325,0.283795,0.130325,65.69726,23.17342,293.5017,316.0156,-1.31,70.59,-1.966,-2.478,0.499,0.342
1,16.75,-0.0447,-3.35491,6.08102,0.254816,3.34893,0.208651,-1.102105,412.401,2.97718,0.77751,0.575702,0.296146,0.125807,45.0771,14.19218,292.94655,314.5868,-1.455,70.245,-1.9725,-2.538,0.596,0.3735
