DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,H,LE,G,TS_1_1_1,TS_2_2_1,RH_1_1_1,PA,CO2,VPD_1_1_1,NETRAD,SW_IN,SW_OUT
1,0.5,0.062825,-10.038,0.3745,-0.160625,-0.160625,-43.241125,-4.5116,-16.772275,-2.624675,-2.55025,43.024,84.0724,377.863,-0.171,-74.0325,-0.0550000000000001,-0.2
1,1.5,0.0581,-11.139,0.30075,-0.16865,-0.16865,-48.91175,-2.581,-17.331,-3.09445,-2.837,43.1335,84.0419,378.32825,-0.201,-66.3996,-0.2,-0.2
1,2.5,0.065275,-11.21225,0.32175,-0.2674,-0.2674,-39.038,-4.47,-17.6041,-3.638075,-3.081,41.029,84.03255,377.976,-0.221,-61.77165,-0.2,-0.2
1,3.5,0.06965,-11.3855,0.309,-0.17025,-0.17025,-43.78635,-2.053325,-18.109,-4.013,-3.41275,43.523,84.08255,378.524,-0.2665,-62.48205,-0.2,-0.2
1,4.5,0.06155,-11.64675,0.29,-0.242875,-0.242875,-27.340625,-3.409625,-18.53225,-4.30955,-3.6735,44.728,84.1182,378.27075,-0.22,-65.16045,-0.2,-0.2
1,5.5,0.051125,-12.6795,0.2945,-0.13525,-0.13525,-38.7319,-3.02805,-19.08135,-4.6563,-3.9415,47.386,84.16045,378.669,-0.14275,-63.2393,-0.2,-0.2
1,6.5,0.066275,-11.81225,0.35175,-0.1167,-0.1167,-40.8886,-4.049875,-20.6936,-4.86925,-4.1895,46.183,84.2027,377.676,-0.151,-62.47255,-0.2,-0.2
1,7.5,0.06,-12.04175,0.25725,-0.14705,-0.14705,-37.031225,-2.313375,-20.694975,-5.263125,-4.4175,44.05225,84.23,377.03475,-0.12825,-55.602,1.745,0.545
1,8.5,0.067375,-7.89325,0.26,-0.3399,-0.3399,-27.4229,-1.0085,-21.2779,-5.33235,-4.45925,39.8725,84.23,377.2725,-0.041,-72.55635,23.435,8.58
1,9.5,0.0526,-5.78,0.30725,-0.570875,-0.570875,-7.73215,0.02375,-18.5,-5.9828,-4.171,34.98625,84.23,376.1925,0.127,-129.7225,59.815,16.72
1,10.5,0.0653,-4.51325,0.58075,-0.46065,-0.46065,-0.2188,-1.24995,-10.3075,-5.661,-3.531,31.236,84.23595,375.577,0.25625,-82.608125,103.29,25.045
1,11.5,0.0655,-3.98675,0.55875,-0.5723,-0.5723,19.52235,1.43745,-6.912,-3.897,-2.67075,30.50325,84.17325,375.78925,0.58175,5.4033,102.2475,23.4
1,12.5,0.0925,-3.03775,0.818,-0.486,-0.486,21.84625,8.18275,-4.9871,-2.52595,-1.89675,29.47375,84.0541,375.892,0.3955,-5.1183,101.0075,22.795
1,13.5,0.0889,-2.76675,0.80175,-0.56,-0.56,16.6239,5.2785,-3.522875,-1.661,-1.34275,27.635,83.9615,375.43,0.5135,42.2045,104.855,26.035
1,14.5,0.0822,-2.49825,0.7345,-0.4134,-0.4134,8.31085,3.9972,-3.051,-1.048,-0.9525,26.1295,83.974975,375.75175,0.549,-39.2451,99.96,23.745
1,15.5,0.065925,-2.301,0.639,-0.353825,-0.353825,-3.0231,2.224825,-2.471,-0.576,-0.69975,25.363,83.9837,375.494,0.30475,-16.815175,79.715,15.105
1,16.5,0.077275,-3.459,0.5735,-0.21605,-0.21605,-14.11095,-0.233475,-2.9188,-0.194075,-0.5805,28.341,83.98505,376.1095,0.34425,-58.2805,28.49,6.235
1,17.5,0.045275,-5.62475,0.56725,-0.13065,-0.13065,-28.8055,-2.15625,-4.70085,0.133275,-0.573,34.642,84.0442,376.9635,0.13625,-84.2729,1.145,0.2
1,18.5,0.051275,-7.383,0.509,-0.166,-0.166,-45.163425,-4.435,-9.8553,0.1376,-0.62825,35.168,84.0918,377.968,0.0559999999999999,-72.544975,0,-0.2
1,19.5,0.068825,-8.87175,0.6345,-0.16225,-0.16225,-45.9433,-4.556,-11.9382,0.1273,-0.7465,35.76525,84.1241,377.695,0.04725,-66.551925,0,-0.2
1,20.5,0.0686,-8.50625,0.4615,-0.19535,-0.19535,-50.6184,-4.5822,-13.0622,-0.2789,-1.10025,34.726,84.176275,376.34,-0.1455,-72.284275,0,-0.2
1,21.5,0.0591,-9.11125,0.46175,-0.1918,-0.1918,-45.7607,-2.35175,-13.1062,-0.84075,-1.46975,36.017,84.191,376.5,-0.11275,-84.23355,-0.0550000000000001,-0.2
1,22.5,0.0642,-9.30325,0.49,-0.296,-0.296,-47.0837,-3.18725,-13.7365,-1.455625,-1.853,36.58,84.2326,378.02675,-0.1955,-79.82985,-0.2,-0.2
1,23.5,0.066375,-9.89275,0.4435,-0.2325,-0.2325,-49.9203,-3.63865,-14.325,-2.146375,-2.22075,41.679,84.22275,377.958,-0.13,-72.9326,0,-0.2
2,0.5,0.062875,-7.4365,0.3855,-0.161925,-0.161925,-45.028025,-2.82725,-23.884925,-0.049875,-0.17,28.693,84.1225,376.06125,-0.128,-71.624,-0.2,-0.2
