DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,423.2275,3.5685,421.06525,3.56375,1984.724,423.29,3.611,421.3065,3.646,1984.2035,422.132,3.3875,420.20725,3.54575,1985.5455,423.692,3.65075,421.0495,3.729,1988.3155,14.9055,-5.9555,0.44825,417.8485,3.6375,0.3945,0.0245,0.51,20.752,0.4205,0.9865,-33.9935,0.247,2.20375,15.175,12.725,7.46,-6.11375,-7.0105,-6.7125,-6.32825,-8.053,66.33225,81.685,1.9965,-7.445,-7.3,-2.33,1.4,-0.975,3.4,-0.6725,0.1,245.05,275.725,-20.005,299.175,299.75,0.27,0.12,0.19,0.02,0.2975,0.06,0.11,0.31,-6.4255,-5.57075,-4.931,-4.21375,-3.58725,-1.8965,-0.56175,0.915,0.7565,-2.771,-2.32175,-1.761,-1.13775,-0.5795,0.067,0.21675,1.0375,1.53325,-1.42375,-1.304,-0.998,-0.602,-0.25575,0.42775,0.623,1.2565,1.5535,-5.08,-4.439,-3.33525,-2.92275,-2.6845,-0.207,0.25,0.84,0.943,-4.24375,-3.8815,-3.01,-2.528,-2.224,-0.85675,-0.258,0.953,1.67375,-1.7935,-1.8465,-1.92
1,0.75,423.67225,3.66375,421.2025,3.4815,1983.07275,423.757,3.633,421.46175,3.506,1987.808,422.01,3.30175,420.346,3.52,1986.89,423.8115,3.72425,421.0325,3.61125,1987.25475,15.014,-5.911,0.432,417.9635,3.602,0.45225,0.02375,0.479,17.0415,0.31125,1.011,-22.2845,0.5715,2.284,15.47,12.9575,7.8375,-6.405,-7.17275,-6.79275,-6.31275,-8.2745,66.31,81.505,1.78,-7.5975,-7.5025,-2.32,1.3,-1.02,3.4,-0.67,0.09,244.6,275.3,-22.655,299,299.8,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.4315,-5.5645,-4.95725,-4.22125,-3.5875,-1.9015,-0.584,0.9175,0.7565,-2.8,-2.32375,-1.7635,-1.136,-0.57725,0.0635,0.216,1.0375,1.53175,-1.42275,-1.304,-0.999,-0.5915,-0.2565,0.42525,0.62325,1.256,1.5535,-5.08,-4.432,-3.35075,-2.925,-2.698,-0.208,0.2495,0.84,0.943,-4.2595,-3.88925,-3.01075,-2.52625,-2.225,-0.85675,-0.259,0.952,1.67275,-1.826,-1.8815,-1.977
1,1.25,423.344,3.634,421.249,3.4765,1985.524,423.54,3.582,421.74675,3.48,1987.50725,422.116,3.2985,420.645,3.494,1987.438,423.73375,3.717,421.0935,3.5495,1985.854,15.225,-6.092,0.445,417.764,3.6415,0.47425,0.0165,0.5315,24.0115,0.448,1.013,-26.5275,0.716,2.251,15.56,12.99,7.955,-5.9455,-7.283,-6.62875,-6.578,-8.334,66.31525,81.49,1.831,-7.54,-7.45,-2.31,1.3,-0.97,3.4,-0.6625,0.1,245.9,275.2,-20.1,298.9,299.8,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.43875,-5.58,-4.98075,-4.23975,-3.5865,-1.90825,-0.586,0.914,0.7555,-2.819,-2.32175,-1.769,-1.13575,-0.5755,0.06675,0.21425,1.03675,1.5315,-1.4265,-1.30525,-1,-0.589,-0.257,0.424,0.6205,1.249,1.553,-5.084,-4.445,-3.37675,-2.92925,-2.704,-0.232,0.2485,0.839,0.942,-4.28225,-3.8865,-3.01,-2.52525,-2.226,-0.85775,-0.26075,0.952,1.675,-1.798,-1.85675,-2.0005
1,1.75,423.029,3.59575,421.0165,3.4365,1985,423.123,3.606,421.635,3.51025,1986.8335,422.052,3.413,420.63,3.48725,1984.127,423.163,3.67125,421.19725,3.596,1990.792,15.373,-5.964,0.471,417.81525,3.58,0.4235,0.02,0.4965,16.999,0.18625,1.007,-23.571,0.851,2.225,15.745,13.285,8.41,-6.59875,-7.3275,-6.96,-6.55175,-8.38475,66.3275,81.355,1.69325,-7.615,-7.4925,-2.3175,1.3,-0.975,3.375,-0.6325,0.1,245.3,274.95,-18.535,298.875,299.725,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.4825,-5.60475,-4.9965,-4.2535,-3.58675,-1.91175,-0.588,0.9155,0.754,-2.825,-2.32275,-1.7715,-1.1355,-0.576,0.0635,0.21525,1.0365,1.533,-1.4265,-1.30675,-1.001,-0.589,-0.25475,0.423,0.6195,1.248,1.551,-5.104,-4.473,-3.4135,-2.9365,-2.71075,-0.3,0.2485,0.839,0.942,-4.30575,-3.8835,-3.0075,-2.526,-2.224,-0.85775,-0.264,0.952,1.67025,-1.866,-1.856,-2.032
1,2.25,423.048,3.72175,420.90325,3.411,1985.8425,423.3,3.753,421.076,3.68775,1984.4525,421.9435,3.52,420.3735,3.5475,1985.89,423.328,3.7735,420.7755,3.606,1990,15.603,-5.688,0.456,417.66,3.59475,0.562,0.021,0.5715,16.73,0.1925,1.0055,-26.71775,0.66875,2.268,15.7725,13.47,8.1,-6.097,-7.23925,-6.323,-6.4505,-8.607,66.351,81.38,1.72325,-7.6,-7.4725,-2.31,1.4,-0.9075,3.375,-0.6525,0.1,243.775,275.6,-17.985,298.75,299.5,0.27,0.12,0.19,0.01,0.29,0.06,0.11,0.32,-6.4965,-5.63,-5.02575,-4.26325,-3.59975,-1.91675,-0.56225,0.905,0.753,-2.8265,-2.3265,-1.77025,-1.1345,-0.574,0.0675,0.215,1.036,1.532,-1.42725,-1.309,-1.003,-0.59275,-0.256,0.423,0.6195,1.248,1.552,-5.126,-4.491,-3.43375,-2.939,-2.70525,-0.303,0.2485,0.838,0.942,-4.32175,-3.88025,-3.02275,-2.529,-2.221,-0.8565,-0.26425,0.95175,1.682,-1.9345,-1.805,-2.039
1,2.75,422.8665,3.772,420.912,3.3955,1984.3585,422.975,3.832,421.423,3.545,1986.20625,422.08,3.56425,420.1835,3.3785,1987.3175,423.449,3.8185,420.8175,3.566,1987.5665,15.876,-5.58,0.436,417.63225,3.607,0.45675,0.0155,0.44175,17.6265,0.2505,1.013,-27.31425,0.585,2.284,16.32,13.78,8.315,-6.62,-7.26175,-6.421,-6.7285,-8.7745,66.37125,81.5575,1.53,-7.72,-7.5275,-2.34,1.3,-1,3.4,-0.66,0.07,241.775,275.125,-18.305,298.875,299.725,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.51025,-5.649,-5.04075,-4.27675,-3.613,-1.923,-0.5635,0.9065,0.753,-2.83975,-2.3385,-1.77425,-1.13425,-0.574,0.0645,0.2165,1.036,1.531,-1.42775,-1.3095,-1.007,-0.587,-0.256,0.423,0.619,1.2475,1.5515,-5.143,-4.498,-3.44675,-2.96225,-2.698,-0.2375,0.248,0.838,0.941,-4.33025,-3.8795,-3.0265,-2.5295,-2.219,-0.858,-0.266,0.95075,1.6725,-1.8745,-1.826,-2.032
1,3.25,422.9605,3.74825,421.254,3.66,1986.741,423.11475,3.835,422.185,3.429,1987.062,422.0485,3.67175,421.021,3.641,1986.6485,423.4395,3.7705,420.976,3.77325,1985.828,15.982,-5.672,0.469,417.718,3.8055,0.49675,0.02525,0.57275,16.243,0.38,1.0425,-27.95,0.735,2.308,15.9825,13.725,8.435,-6.721,-7.05875,-6.622,-6.563,-8.9025,66.3475,81.4525,1.4445,-7.59,-7.5,-2.3375,1.3,-0.965,3.3,-0.7,0.09,239.65,274.5,-19.2725,298.875,299.5,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.3175,-6.52975,-5.71525,-5.054,-4.286,-3.6165,-1.923,-0.56375,0.90425,0.752,-2.84725,-2.3415,-1.77875,-1.13375,-0.574,0.064,0.2165,1.036,1.532,-1.42875,-1.31125,-1.024,-0.59625,-0.256,0.42275,0.6185,1.24775,1.5515,-5.132,-4.515,-3.45775,-2.965,-2.6945,-0.23875,0.2475,0.837,0.941,-4.33575,-3.893,-3.028,-2.5315,-2.216,-0.85825,-0.2655,0.95075,1.6715,-1.85025,-1.82525,-2.053
1,3.75,422.76,3.67975,421.2135,3.636,1987.952,423.125,3.81425,422.227,3.688,1987.9625,421.764,3.592,420.33025,3.76725,1986.95325,423.377,3.84975,421.423,3.698,1986.6775,16.16275,-5.8095,0.431,417.85425,3.6535,0.501,0.018,0.523,20.246,0.44075,1.03975,-28.71,0.502,2.27075,15.925,13.42,8.47,-6.6885,-6.94775,-6.542,-6.7545,-8.56775,66.32075,81.28,1.51575,-7.645,-7.3575,-2.3375,1.375,-0.9275,3.4,-0.695,0.11,240.925,274.775,-20.365,298.8,299.775,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.58075,-5.72925,-5.0725,-4.292,-3.61675,-1.9325,-0.565,0.9135,0.752,-2.84625,-2.3515,-1.79,-1.134,-0.57475,0.0635,0.2155,1.036,1.531,-1.4305,-1.3135,-1.026,-0.607,-0.256,0.424,0.622,1.248,1.549,-5.171,-4.51,-3.442,-2.965,-2.7025,-0.24075,0.247,0.837,0.941,-4.33975,-3.90825,-3.02875,-2.531,-2.215,-0.85825,-0.26725,0.94975,1.67275,-1.972,-1.856,-2.08975
1,4.25,423.328,3.82,421.1385,3.6555,1987.8895,423.06675,3.81325,422.158,3.685,1987.531,422.023,3.6285,420.912,3.868,1988.529,423.634,3.945,421.17,3.639,1988.0625,16.444,-6.02575,0.46225,417.77475,3.79575,0.47025,0.016,0.58525,22.819,0.2,1.051,-25.277,0.93475,2.41725,16.09,13.865,8.485,-6.44575,-6.9055,-6.451,-6.6,-8.486,66.3065,81.345,1.52225,-7.6475,-7.4325,-2.3325,1.3,-0.9925,3.4,-0.6925,0.1,238.875,274.8,-19.5025,298.675,299.75,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.61325,-5.75,-5.10275,-4.306,-3.6145,-1.9335,-0.56625,0.91625,0.75175,-2.85625,-2.361,-1.8,-1.13325,-0.57575,0.063,0.2155,1.035,1.531,-1.42975,-1.311,-1.028,-0.62475,-0.256,0.423,0.6195,1.24675,1.549,-5.149,-4.538,-3.44,-2.9645,-2.706,-0.242,0.2465,0.837,0.94,-4.34775,-3.90875,-3.0265,-2.53175,-2.221,-0.85625,-0.269,0.9495,1.6705,-1.9335,-1.83375,-2.064
1,4.75,423.26,3.586,421.06075,3.68725,1984.34,422.948,3.673,422.0575,3.569,1987.89275,421.822,3.587,420.401,3.8265,1989.923,423.606,3.76625,421.109,3.8735,1990.4985,16.04875,-5.9575,0.4525,417.78575,3.92175,0.497,0.0235,0.47225,20.7685,0.3285,1.055,-28.116,0.701,2.37475,16.12,13.86,8.4825,-6.858,-6.87475,-6.34925,-6.434,-8.277,66.313,80.8625,1.5105,-7.56,-7.3975,-2.3225,1.3,-0.9325,3.4,-0.6925,0.1175,240.25,275.2,-19.395,298.5,299.675,0.27,0.12,0.19,0.02,0.29,0.06,0.11,0.31,-6.61975,-5.759,-5.11125,-4.3125,-3.6125,-1.9205,-0.56825,0.9075,0.75175,-2.88225,-2.378,-1.8015,-1.1325,-0.576,0.062,0.215,1.035,1.527,-1.43025,-1.31175,-1.03,-0.616,-0.26125,0.423,0.618,1.2465,1.549,-5.215,-4.513,-3.44125,-2.96625,-2.71975,-0.244,0.2465,0.836,0.94,-4.378,-3.9145,-3.02925,-2.534,-2.221,-0.85475,-0.26925,0.95,1.67,-1.92,-1.837,-2.03725
