DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,0.25,2.626,13.077975,187.670675,-0.508400000000002,1.0722,3.3301,481.82425,566.64,3.5138,0,0,3.01400000000006,9.71375,100,4.1214,4.595975,4.65215,4.8226,6.013525,7.84775,5.152125,4.116975,4.7896,6.899775,7.654,6.227725,8.0795,4.1837,5.67005,100.7596
1,0.75,2.784925,6.299,155.564925,5.779875,0.984,4.27205000000001,507.83875,566.545625,5.09360000000001,0,0,3.05800000000006,10.081,100,3.776625,4.620725,4.57735,4.62705,6.198875,7.8525,5.01435,4.06404999999999,4.6047,7.0439,7.724,6.162,8.233,4.0718,5.335825,100.741125
1,1.25,3.5195,4.7432,138.070025,30.5961,0.972125,4.36079999999999,479.134725,566.515,4.47315000000001,0,0,3.05525000000006,10.3465,100,3.764875,4.5112,3.9526,4.694975,6.3301,8.04825,5.0283,4.0599,4.8364,6.885,7.786,6.535875,8.069,3.927075,5.09225,100.73425
1,1.75,2.912725,5.50299999999999,151.87195,5.25189999999997,0.9655,6.76609999999999,498.072375,566.68725,5.7109,0,0,3.03875000000006,10.345,100,3.86425,4.535375,4.68644999999998,4.8213,6.123325,7.98675,5.159625,4.1409,4.86525,6.884,7.88,6.56155,8.044,3.8922,4.947025,100.736875
1,2.25,2.5846,17.96,135.23355,7.69365,1.053375,2.8747,471.91425,566.50325,6.2124,0,0,3.00850000000006,10.28975,100,3.78725,4.553825,4.73752500000001,5.069675,5.7879,7.8835,5.107575,4.0791,4.928,6.91355,7.772,6.730025,8.069,4.259675,4.692925,100.75425
1,2.75,3.072725,17.17815,140.713175,42.6735,0.934875,4.7638,485.5316,566.8302,7.55195000000001,0,0,2.98375000000006,10.54,100,3.786375,4.5756,4.96655,4.84525,5.9508,7.83925,4.96475,3.9727,4.887125,7.08905,7.736,6.721275,8.10575,4.35902500000001,4.709675,100.76175
1,3.25,3.70105,25.14375,134.05225,1.796875,1.019125,5.25515,489.42715,566.6876,7.4533,0,0,10.4965,10.46425,100,3.95115,4.651625,5.01,5.107925,5.9322,7.8905,4.97175,3.86239999999999,4.8597,6.64665,7.688,7.25025,8.09825,4.02435000000001,4.76220000000001,100.75525
1,3.75,3.4547,3.7162,115.9742,11.4849,0.9975,12.896225,563.825,566.648,6.89005000000001,0,0,10.657,10.21575,100,3.822875,4.7761,4.950675,5.1084,5.5738,7.89,5.126725,4.018175,4.789075,6.9159,7.664,7.23475,8.0265,3.89255000000001,5.03425000000001,100.748125
1,4.25,2.8982,9.6955,103.274425,13.208525,1.08975,7.26392499999999,547.613,566.6718,4.05067500000001,0,0,11.13825,9.62225,100,3.907875,4.7199,4.5006,4.870775,5.4768,7.83775,5.14225,4.141425,4.722975,6.603175,7.704,7.115,7.909,3.84845000000001,5.10405000000002,100.74125
1,4.75,3.13585,12.7402,128.4575,13.492575,1.01965,3.71415,464.70635,566.6188,7.4336,0,0,11.14,9.20125,100,3.696625,4.82352500000001,4.594975,4.6933,5.50005,7.775,5.077425,3.93985,4.7275,6.6974,7.74,6.787975,7.96925,3.75535000000001,4.96180000000001,100.741125
1,5.25,3.1133,16.648,173.59175,25.9229,1.468375,6.031475,503.59075,566.6812,8.22787500000002,0,0,11.141,9.6435,100,3.4548,4.79095,4.25795,4.776775,5.66535,7.766,5.158525,4.09355,4.4395,6.67015,7.796,6.927,7.96575,3.66635,5.23455,100.743625
1,5.75,2.4631,12.85575,160.469599999999,26.6422,0.8903,2.0781,485.174,566.6404,6.17979999999999,0,0,11.14375,9.89975,100,3.4209,4.945875,4.965025,5.0547,5.652975,7.71225,5.045875,3.98835,4.70967499999999,6.4513,7.836,6.740525,8.149,3.30615,4.422875,100.761
1,6.25,3.225,7.581,128.130375,20.5128999999999,1.96545,8.373925,494.6336,566.703,4.984625,0,0,11.10475,9.527,100,3.6377,4.8963,4.5745,5.001925,6.1086,7.687,5.127775,3.96535,4.615875,6.8648,8.878,6.925425,8.11875,3.393875,4.77090000000001,100.76425
1,6.75,3.2407,20.1485,102.6195,17.1425999999999,1.85675,6.00409999999999,579.17495,566.5426,6.126075,0,0,10.88,9.2385,100,3.712625,4.88875,4.53615,4.89185,6.319675,7.5915,4.9765,3.900625,4.751125,6.6474,8.33799999999999,6.76605,8.171,3.1453,4.615575,100.771375
1,7.25,2.9595,6.18179999999999,68.0544,2.06362499999999,1.031,2.78775,471.37945,566.6426,6.33375,0,0,10.7495,9.07,100,3.6117,4.784,4.465575,4.779825,5.935775,7.623,4.968675,3.990575,4.6934,6.773775,8.47799999999999,6.49655,8.0365,2.899875,4.152425,100.771875
1,7.75,3.1636,4.815,70.69845,0.311049999999999,0.94645,5.058,480.666325,566.5346,5.003675,24.111,8.65,12.70725,8.94275,100,3.45725,4.728625,4.467475,4.61595,5.88227500000001,7.6575,4.967575,3.98165,4.422925,6.85,8.58599999999999,6.5168,8.06,3.07005,4.33387500000001,100.774375
1,8.25,3.5615,5.93875,138.9275,19.1527,1.2005,2.5914,459.0941,566.3968,16.78375,123.24,16.34325,12.93175,9.081,100,4.009725,4.6128,4.569775,4.66419999999999,5.73554999999999,7.7045,4.951625,3.9581,4.35125,7.155675,8.76799999999999,6.4861,7.977,2.78495,3.099425,100.76175
1,8.75,2.59675,3.1993,190.6235,26.879975,1.0438,6.244075,469.2747,566.4718,58.5695,283.715,29.47475,13.132,9.23275,100,3.653375,4.563725,4.778175,4.69234999999999,6.13115,7.71825,4.9652,3.948875,4.6022,6.963675,7.784,6.52735,7.96325,2.326675,2.907025,100.7385
