DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-26.171275,-21.92035,0.4832115,2.27722,0.446971,0.14817425,382.13675,8.4012725,7.3493075,88.3668,5.3169975,91.71615,1.00353,0,0,5.70227,6.257,8.395,9.21,9.34,10.2225
1,0.75,-22.184825,-23.85075,0.7473855,0.9502725,0.399567,0.14306825,382.164,8.171405,6.958345,88.35865,5.267285,93.39425,0.960025,0,0,5.46154,6.032125,8.27375,9.1075,9.29,10.2525
1,1.25,-22.50235,-25.07635,0.44213625,0.396772,0.36256,0.149077,382.338,8.034035,6.64338,88.36805,4.769495,94.894925,0.9705805,0,0,5.395375,5.904,8.1375,9.05,9.3025,10.2
1,1.75,-23.25805,-25.70965,0.56967125,0.210616,0.513499,0.13894875,382.99675,7.90229,5.7382225,88.377225,4.2128775,95.276475,0.9095885,0,0,5.22586,5.836875,8.0775,9.0125,9.2675,10.1725
1,2.25,-20.94415,-25.30365,0.9583115,1.07966,0.282011,0.13587825,382.444,7.76009,5.5927375,88.38215,3.55988,95.868175,1.086815,0,0,5.02463,5.691625,7.89625,8.935,9.2675,10.165
1,2.75,-18.89015,-24.944825,0.80652675,-0.20363425,0.32169725,0.155605,383.4185,7.998185,5.76434,88.37475,3.5849425,95.867225,0.9929535,0,0,4.9357275,5.456,7.72625,8.89,9.285,10.185
1,3.25,-18.37475,-23.1362,1.212685,-0.498698,0.2486975,0.1455785,383.96575,8.0114375,5.6989225,88.3833,3.91328,96.3493,0.91925075,0,0,4.91125,5.42125,7.571375,8.8025,9.2875,10.1725
1,3.75,-16.072075,-23.227925,0.57350625,0.446383,0.2366985,0.1318385,383.219,7.96552,5.472105,88.3757,3.89292,96.429175,0.9136845,0,0,4.82473,5.335,7.472625,8.8125,9.315,10.18
1,4.25,-16.418475,-22.093375,1.32451,0.29166725,0.46151225,0.1347095,383.28025,7.6820975,5.532435,88.3674,2.9818575,96.96055,1.037945,0,0,4.8482775,5.205375,7.317375,8.69,9.3225,10.1575
1,4.75,-16.93955,-22.08345,0.750031,-0.662943,0.3357625,0.134756,382.60125,7.6749375,4.92536,88.36485,2.858865,96.712575,0.948852,0.000894185,0,4.31327,5.08775,7.153625,8.6325,9.2825,10.1525
1,5.25,-15.184175,-21.68265,0.51475825,-0.191556,0.418073,0.128207,383.0345,7.83189,4.677135,88.372175,2.417735,96.68345,0.960743,0.000927251,0,4.03812,4.862875,7.011625,8.5525,9.3125,10.17
1,5.75,-16.1181,-21.31195,0.483858,0.035639875,0.320325,0.131936,383.134,7.82024,4.5113,88.3967,2.11294,96.8917,0.9168525,0.00188762,0,4.173415,4.8145,6.896,8.48,9.3,10.195
1,6.25,-15.816425,-21.687525,1.0890655,0.56374425,0.232051,0.136638,383.90525,7.75619,3.871645,88.407675,1.88241,96.507775,0.916419,0,0,4.0142675,4.650625,6.80175,8.38,9.3075,10.22
1,6.75,-15.2728,-25.1497,0.8849985,1.97817,0.22170025,0.134196,384.2615,7.640375,3.41982,88.433625,1.4523,96.68685,0.8953685,0.0188747,0,3.90207,4.481,6.6615,8.305,9.31,10.2025
1,7.25,-11.452875,-22.7927,1.1837325,0.874009,0.4172065,0.1246815,383.973,7.534045,3.758945,88.442425,1.121595,97.31655,1.03366,4.28542,10.22325,3.681875,4.278625,6.6335,8.195,9.3125,10.2175
1,7.75,9.1828425,-19.4076,0.615269,0.99000575,0.304929,0.128198,386.11,7.57049,3.72829,88.4742,1.41313,98.044225,0.918774,53.431,86.85625,3.4163075,4.201875,6.57325,8.1,9.3675,10.2625
1,8.25,83.50715,-13.112975,4.271335,11.9488,0.33138225,0.1633315,387.7965,7.957675,4.7906725,88.4647,2.9449825,99.052625,0.864417,154.696,252.40775,3.2951125,4.050375,6.552375,8.065,9.41,10.2675
1,8.75,164.72425,2.279435,16.179325,46.5138,0.298212,0.2136885,388.7415,8.376855,6.13735,88.4933,5.242295,96.2125,1.21655,250.642,438.04,3.416885,4.082125,6.586125,8.22,9.6375,10.42
1,9.25,229.18375,35.217225,30.190325,82.0265,0.166905,0.2577225,389,8.671235,8.466855,88.49925,7.6371625,86.166725,1.47338,347.457,631.0685,3.7553975,4.248,6.575125,8.335,9.725,10.6
1,9.75,294.4025,69.8376,39.34605,134.913,-0.01410615,0.2847645,388.3035,8.787565,10.6137,88.52115,10.2042,73.0139,1.559785,437.379,822.4065,4.3481925,4.64725,6.687125,8.3425,9.8225,10.6475
1,10.25,346.712,90.145025,45.847475,171.6645,0.207395,0.3128455,386.70475,8.60254,12.20205,88.5954,13.296575,61.9156,1.678335,519.719,985.80625,5.0888475,5.063875,6.659375,8.39,9.9,10.7325
1,10.75,391.4005,101.487,55.38195,201.2215,0.4256805,0.36256725,385.483,8.36206,13.7119,88.593925,14.853,56.0463,1.987085,583.376,1115.6675,6.14395,5.749875,6.751,8.3625,9.9175,10.7725
1,11.25,426.87675,110.76525,55.04595,232.368,0.39372925,0.3755265,385.074,8.05215,14.92255,88.5573,16.761625,53.484275,2.0431,628.192,1216.0875,7.3535,6.632875,6.717375,8.2425,9.875,10.7125
1,11.75,451.81725,116.945,64.1784,254.234,0.306327,0.3929185,384.292,7.790335,16.073925,88.510175,18.0539,46.57235,2.059415,669.026,1283.9875,8.28669,7.358875,6.832625,8.1825,9.8475,10.765
1,12.25,461.95825,125.1815,63.3656,259.276,0.0922158,0.4525535,384.23675,7.751,17.09465,88.447525,19.1394,43.0846,2.4129525,682.653,1320.32,9.16787,8.05625,6.877625,7.9275,9.8025,10.615
1,12.75,455.433,125.738,62.4427,282.369,0.1770615,0.54160675,383.535,7.61899,17.953175,88.384875,19.9599,40.69875,2.6669475,688.841,1344.08,10.21305,9.09875,6.974875,7.7425,9.625,10.5475
1,13.25,437.33475,115.43225,57.161975,274.1165,0.29542975,0.5304485,383.3885,7.358605,18.529075,88.338875,20.480475,39.372375,2.9572,655.527,1311.48,11.077275,9.96875,7.188875,7.78,9.63,10.53
1,13.75,410.2995,104.801,53.1183,267.9325,0.41022925,0.55936475,382.99075,7.1539525,19.170475,88.31375,21.119025,36.01395,3.27421,641.27,1242.0625,11.990775,10.83375,7.33375,7.72,9.57,10.5275
1,14.25,374.989,96.0067,49.9495,242.8955,0.43262825,0.5791915,382.369,7.28755,19.376725,88.2886,21.45725,34.192975,3.3982425,594.379,1145.5175,12.516525,11.4675,7.545,7.7125,9.5125,10.4825
1,14.75,319.75025,73.674025,39.6995,221.155,0.611412,0.5974555,382.48325,7.1880325,19.53495,88.2722,21.2362,34.471775,3.414305,530.874,1002.695,12.8985,11.965,7.81625,7.765,9.52,10.4975
1,15.25,259.18725,50.549125,35.969875,186.485,0.620125,0.60990475,382.47725,7.3536625,19.50025,88.2606,21.20845,34.5366,3.390825,460.078,861.02925,13.02335,12.32375,8.22375,7.8225,9.3925,10.435
1,15.75,197.327,29.304125,32.3518,146.891,0.58698,0.55783,381.836,6.94529,19.488525,88.254525,20.967425,34.139225,3.30841,379.126,696.912,13.207975,12.52375,8.41875,7.9225,9.3625,10.415
1,16.25,125.8365,17.397075,25.8021,95.8012,0.67430775,0.55547075,381.649,6.96423,19.248025,88.25535,20.7003,35.97555,3.14088,282.916,504.0095,13.1708,12.34625,8.665,8.045,9.35,10.4075
1,16.75,62.437475,4.00373,19.758875,44.4227,0.8007435,0.53598975,381.59775,6.9762875,18.7597,88.264625,19.597425,36.301325,3.107835,187.085,314.424,12.6356,12.03375,8.89125,8.19,9.2675,10.3925
1,17.25,-8.43606,-7.07321,11.1874,-1.073715,0.702387,0.461825,381.175,7.1316825,18.0566,88.2509,17.7175,41.0884,2.81556,84.1066,119.727,11.879175,11.52375,8.89375,8.2,9.09,10.2625
1,17.75,-45.9903,-16.4201,4.6040925,-7.14997,0.5290185,0.378737,380.71275,7.333755,16.5614,88.266,15.5675,46.2531,2.25093,11.1077,15.9055,11.244725,11.05125,8.9925,8.25,9.0525,10.1625
1,18.25,-51.8827,-22.791,2.909965,-8.0718075,0.554412,0.314334,380.2905,7.6286075,15.0571,88.2791,13.0789,52.1256,2.02693,0.209581,0,10.41255,10.44,9.08625,8.3825,9.075,10.13
1,18.75,-47.2271,-28.0723,2.0066575,-3.29851,0.5281435,0.270113,379.93,8.07054,13.967,88.2829,11.4303,58.1859,1.914,0,0,9.8543475,9.89875,9.1725,8.6075,9.0575,10.145
1,19.25,-46.624125,-28.86795,2.892485,-4.795035,0.472923,0.29047375,380.593,8.240545,12.5439,88.28425,10.035925,63.1746,2.085175,0,0,9.16678,9.43625,9.17625,8.6875,9.0725,10.155
1,19.75,-41.835275,-30.13745,1.4648175,-2.530275,0.459237,0.21736175,380.896,8.275525,11.2798,88.3069,8.6845975,70.5488,1.53189,0,0,8.6356125,8.91875,9.08875,8.8775,9.0925,10.14
1,20.25,-40.0823,-30.1592,1.3049,-2.44982,0.446215,0.1833435,380.69825,8.0528675,10.245225,88.3193,7.8613925,73.16095,1.40549,0,0,8.1398375,8.54375,9.06125,8.9575,9.105,10.1325
1,20.75,-39.03885,-29.21475,0.7105805,-2.89626,0.3393725,0.181607,381.1155,8.23395,9.560665,88.32345,7.4664625,75.88325,1.3727,0,0,7.7306875,8.1275,8.98125,9.075,9.0925,10.1575
1,21.25,-39.38965,-30.644525,0.5905975,-0.65545425,0.270672,0.159151,381.459,8.266005,8.7121675,88.351875,6.465435,79.57745,1.185185,0,0,7.2694825,7.738,8.91875,9.1675,9.1375,10.1625
1,21.75,-35.3412,-29.1634,0.854524,-0.88383825,0.400609,0.1731135,382.02775,8.20553,8.27973,88.35015,5.947505,82.3231,1.231145,0,0,6.878015,7.2575,8.79875,9.2425,9.1075,10.1625
1,22.25,-35.072675,-29.6492,1.3262925,-0.9499135,0.27688225,0.169606,381.97725,8.30868,7.573415,88.36445,5.247865,86.973275,1.17974,0,0,6.5741175,7.03775,8.76625,9.1825,9.12,10.1725
1,22.75,-31.711225,-28.293225,0.57707075,-1.4890175,0.348572,0.161839,382.581,8.43372,7.28864,88.3652,4.6236,87.138275,1.08501,0,0,6.2816875,6.842375,8.68625,9.115,9.145,10.155
