DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
2,16.25,-2.518,-2.08425,-27.2819228525,3.53409505125,0.196338525,0.8759169567,0.833295851525,0.283761938025,-14.16592525,0.147981814425,-0.095575,58.165,-13.05,-0.78,-1.134,-0.452,-2.124,-11.035,70.35,58.0825,231.025,257.475,140.65,135.925
2,16.75,-2.519,-2.0825,-35.2495461025,3.38586857275,0.14802732475,0.8168927682,0.875203222325,0.237122399975,-13.9283737,0.18527444875,-0.11807401925,59.8175,-13.72,-0.78775,-1.124,-0.44075,-2.121,-21.1275,37.99,34.7875,222.475,257.225,84.425,79.29
2,17.25,-2.519,-2.1505,-37.37735153,2.984876165,0.15943315325,0.7439789191,0.7249628506,0.2408824364,-13.768829675,0.198143108275,-0.161482652,60.56,-13.9225,-0.79575,-1.12775,-0.42425,-2.11175,-37.05,13.7375,12.665,226.575,254.75,27.945,27.8875
2,17.75,-2.519,-2.16525,-41.0933666675,2.464622817,0.17217724725,0.692484696175,0.7025371022,0.2585922287,-13.346444525,0.19104043465,-0.19804037325,66.78,-14.42,-0.777,-1.1315,-0.42625,-2.108,-43.335,0.87075,1.325,222.675,252.975,2.76525,3.3155
2,18.25,-2.519,-2.16525,-44.30653863,2.538750088,0.16807242575,0.797199764925,0.696752362075,0.25589930785,-13.708782775,0.1929918971,-0.16088512525,68.3675,-14.99,-0.77275,-1.13125,-0.41975,-2.1015,-46.31,-2.074,0,224.9,250.4,0,0.043
2,18.75,-2.51925,-2.166,-44.1184461275,2.2663655835,0.15030514125,0.63333052935,0.622736604525,0.202654990675,-14.406844375,0.14558763295,-0.14082121375,66.645,-15.115,-0.77425,-1.12025,-0.41875,-2.1155,-42.7275,-2.67125,-0.107,222.45,250.975,0,0
2,19.25,-2.51925,-2.166,-46.7728349225,2.46892471,0.172267867,0.650112165275,0.606330714475,0.24370812635,-13.441028975,0.155820808025,-0.1558600555,67.0875,-14.985,-0.77475,-1.12175,-0.44975,-2.1165,-48.7925,-2.694,-0.06275,219.8,249.6,0,0
2,19.75,-2.51925,-2.166,-36.56733809,2.518943279,0.134372595,0.5124871969,0.5428189127,0.2244994432,-13.3143554,0.1754992877,-0.11362001,65.0025,-15.0425,-0.767,-1.1285,-0.449,-2.121,-50.0725,-3.019,-0.094,223.675,246.275,0,0
2,20.25,-2.51925,-2.166,-44.79075535,2.4159285325,0.1532844015,0.65288287585,0.67296344745,0.2416353157,-13.49583405,0.2371016253,-0.1480954885,62.94,-14.9825,-0.75975,-1.12025,-0.453,-2.111,-50.43,-3.18975,-0.05425,216.775,248.35,0,0
2,20.75,-2.51925,-2.166,-43.0961503,2.679905749,0.203123772,0.8328165512,0.6821186671,0.2690724809,-13.2504029,0.1685229955,-0.142050577,63.99,-14.9625,-0.78,-1.116,-0.44225,-2.09375,-51.5925,-3.156,-0.05025,210.575,249.575,0,0
2,21.25,-2.52,-2.166,-40.5817102,2.93834640025,0.13529586875,0.625817815325,0.5554779791,0.231809825075,-13.556159975,0.157446385,-0.13698291175,64.7375,-14.92,-0.7755,-1.11775,-0.45175,-2.0995,-45.5725,-2.75475,-0.113,218.775,246.175,0,0
2,21.75,-2.52,-2.16625,-38.4766320725,2.75963776925,0.14869957275,0.695801905825,0.6016077164,0.23090965855,-13.635806725,0.12941070405,-0.16115042475,64.6675,-15.2025,-0.755,-1.119,-0.43325,-2.097,-42.7975,-2.578,-0.081,218.625,245.95,0,0
2,22.25,-2.51925,-2.16625,-48.908031365,2.6521662145,0.163205226,0.6388801788,0.5985400815,0.22073519115,-13.7136647,0.13553110025,-0.1510932965,65.7875,-14.5925,-0.7555,-1.12175,-0.432,-2.117,-53.9325,-3.126,-0.06025,214.675,245.1,0,0
2,22.75,-2.51925,-2.16625,-52.395292215,2.7660852675,0.156621647,0.667766020225,0.6376874947,0.225331420075,-13.72765705,0.142809669575,-0.13265485625,65.6825,-14.06,-0.7805,-1.13475,-0.44375,-2.13875,-52.39,-3.0815,-0.04825,215.75,247.575,0,0
2,23.25,-2.519,-2.16625,-49.30500806,2.850639241,0.1788641,0.69960506,0.6678656774,0.2206807649,-13.1440319,0.155241747,-0.143127109,64.2775,-14.1175,-0.761,-1.11425,-0.459,-2.12,-49.38,-2.8145,-0.106,214.8,247.35,0,0
2,23.75,-2.519,-2.166,-40.04102435,2.918384522,0.181794537,0.6258779641,0.6050329041,0.1972308292,-14.1249136,0.1315294644,-0.141815902,65.49,-14.3325,-0.77075,-1.1,-0.43375,-2.1195,-53.89,-3.10125,-0.125,214.95,247.825,0,0
3,0.25,-1.36525,-1.3015,-41.56597621,1.70600676525,0.121359154,0.5289255329,0.5436854466,0.149914894725,-7.802146,0.2151186562,-0.085775,51.1,-6.37625,-0.645,-0.92225,-0.309,-1.58175,-61.0575,-3.653,-0.124,212.875,264.75,0,0
3,0.75,-1.376,-1.3015,-42.92116707,1.9229803715,0.106463689,0.5036937986,0.5419243903,0.1371493129,-7.6074719,0.2505413456,-0.0724,52.4975,-6.39675,-0.6295,-0.9105,-0.30075,-1.526,-60.4825,-3.54125,-0.066,212.825,264.45,0,0
3,1.25,-1.37525,-1.30175,-44.93424888,2.015691008,0.0874,0.4271514123,0.5124678829,0.1428285686,-7.6680639,0.1860107524,-0.0753,55.11,-6.82425,-0.64275,-0.9415,-0.31375,-1.53875,-57.3725,-3.6605,-0.145,214.65,264.6,0,0
3,1.75,-1.38125,-1.30175,-40.3968075825,2.1622937195,0.1462645935,0.471305695875,0.50317897475,0.18178411815,-8.1445502,0.217417486025,-0.07675,55.4925,-6.885,-0.608,-0.932,-0.31925,-1.55675,-56.235,-3.52075,-0.133,214.75,264.075,0,0
3,2.25,-1.37975,-1.30025,-41.6104629425,1.93721705725,0.112584784,0.5630561279,0.38908417735,0.144825694075,-8.0308472,0.18555370185,-0.08005,53.3525,-6.979,-0.62525,-0.91675,-0.2695,-1.54625,-56.7075,-3.52225,-0.145,216.675,263.65,0,0
3,2.75,-1.41,-1.32825,-38.1281622225,2.18313451075,0.08462853775,0.3894168171,0.424201497475,0.1358656593,-7.996054475,0.209516803525,-0.0704,55.89,-7.113,-0.63175,-0.92975,-0.3015,-1.56075,-56.3525,-3.786,-0.24,214.225,263.15,0,0
3,3.25,-1.4195,-1.3255,-36.488258345,2.1191088465,0.1167939685,0.44430831535,0.40709689295,0.1544336885,-8.5064795,0.19287231835,-0.07465,54.58,-7.071,-0.624,-0.92975,-0.3245,-1.55675,-59.21,-3.61325,-0.113,218.9,261.625,0,0
3,3.75,-1.43025,-1.30675,-28.0619254325,1.97760258475,0.08225,0.43449436495,0.38219471095,0.117026391675,-8.4716194,0.215523560825,-0.0587,52.255,-7.08725,-0.64,-0.92975,-0.28925,-1.57775,-56.21,-3.66625,-0.029,214.85,261.8,0,0
3,4.25,-1.446,-1.30325,-35.60833686,2.155289061,0.0938,0.4715908863,0.4691509427,0.124498996,-8.7345002,0.248997992,-0.067,55.57,-7.1765,-0.6375,-0.91375,-0.29725,-1.564,-54.395,-3.59475,-0.03,218.55,261.625,0,0
