DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_3,TA_1_1_2,TS_1_5_1,G,TA,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1
1,0.25,354.4285499125,-1.2534277657,-59.50175,-40.966,-53.607892107,0.85287910525,-12.12045856,160.77,230.275,-91.545,97.436909426,-1.0487,-0.4456,56.88378860975,-1.81109580755,-2.18579508515,-1.5647718492,-2.79775,-0.39435,-0.4512178652,-19.05425,-5.264975,-2.8102,-1.020125,-0.38205,4.081575,-5.01945,-2.7942,-0.92415,1.111025,3.081575,-19.66025,-18.049945698,0.047089320275,0.0397119602556771,0.06408080325,0.0206898588119181,0.64857195935,0.00659743877359751,-0.0374000000000001,-16.852744,-1.605525,-55.7072022355,-17.477045,-7.6852,-4.6312,-1.847325,-1.076525,-0.111175,0.940875,1.473,2.7921,4.064,-8.017125,-5.5793,-2.471575,-1.391575,-0.2504,0.65155,1.364125,2.3641,4.068
1,0.75,354.534676915,-1.753974,-60.07775,-41.93725,-52.79735985225,0.849077764825,-9.2033687205,160.8,228.88,-90.8875,97.4269252325,-1.079575,-0.4605,58.1498495575,-1.261185711875,-2.798311677875,-1.7933055899,-2.8353,-0.302,-0.524098541,-19.38025,-5.14625,-2.835325,-1.006,-0.2709,4.081575,-5.10655,-2.7999,-0.96865,1.10765,3.081575,-19.91725,-18.13459530125,0.05539022505,0.00126341086069331,0.0588305105,0.00121583186188221,0.61929865375,0.00150049400656932,-0.1896,-16.9892785,-1.69065,-53.01016492775,-17.604309,-7.3022,-4.72285,-1.894375,-1.101225,-0.120675,0.96615,1.424275,2.77605,4.125775,-8.183,-5.708525,-2.568525,-1.403025,-0.24945,0.64205,1.3676,2.36605,4.0685
1,1.25,354.052167095,-2.099755428,-58.9765,-48.1043195,-54.88227171,0.8078850554,-8.191841998,160.285,227.54,-91.75,97.418546594,-1.103025,-0.45315,57.0310994445,-0.8092225578,-2.1558100508,-1.330576694625,-2.849325,-0.284,-0.5352724392,-19.71275,-5.13425,-2.864775,-1.026375,-0.36685,4.0725,-5.131075,-2.808725,-1,1.115075,3.060175,-20.68225,-18.4366930075,0.05418505175,0.00133549413575322,0.0640591896,0.0012571938658424,0.767110697375,0.00143870178196444,-0.2808,-17.12268075,-1.758025,-49.82921750675,-17.909186,-7.32215,-4.79785,-1.96895,-1.101225,-0.101675,0.947625,1.447775,2.77605,4.126775,-8.318,-5.823225,-2.68295,-1.432475,-0.2535,0.64205,1.3676,2.356075,4.0685
1,1.75,355.1123048375,-1.2705083348,-59.049028,-48.24565325,-60.134931455,0.729756291975,-8.8460268765,160.555,226.18,-92.0375,97.40910494375,-1.126,-0.48255,55.275073706,-1.162392822175,-2.45335174285,-1.414118779825,-2.914425,-0.2938,-0.42197952145,-20.104,-5.03325,-2.880175,-1.03685,-0.384825,4.0725,-5.14815,-2.817275,-1,1.111025,3.077175,-20.85925,-18.7379216075,0.053205173025,0.0011784958003866,0.03356251905,0.00132166364388611,0.7261152592,0.00147065040622557,-0.3628,-17.21930325,-1.81855,-49.9788677895,-17.820501,-7.29475,-4.886625,-2.025475,-1.10645,-0.101675,0.947625,1.443275,2.77605,4.064725,-8.4795,-5.949475,-2.79595,-1.451475,-0.239,0.6335,1.3676,2.3565,4.0685
1,2.25,357.59936542,-1.8142449642,-58.967154,-48.3128485,-62.17754547,0.7205435483,-12.97386173875,159.845,225.64,-92.14,97.44243296075,-1.115975,-0.5112,53.080792898,-1.1494283729,-1.725988836875,-0.9274089955,-2.76735,-0.2358,-0.411283923525,-20.555,-5.012,-2.9382,-1.055225,-0.38505,4.073225,-5.2026,-2.7954,-0.983875,1.107425,3.0725,-20.90175,-19.326170764,0.055452344,0.00128264897010073,0.048025983,0.00125607650586144,0.7605622338,0.00144934950316825,-0.4848,-17.30036925,-1.8575,-51.12975865025,-17.5657435,-7.1269,-4.942625,-2.081,-1.120225,-0.101675,0.947625,1.434725,2.77605,4.092,-8.3292,-6.08285,-2.9004,-1.4852,-0.25295,0.64205,1.35365,2.346575,4.0685
1,2.75,357.7318632275,-1.593938325275,-59.22511275,-48.21632075,-50.696102884,0.7298955315,-16.250930575,159.7,225.22,-90.5875,97.43757449075,-1.099975,-0.4572,54.207448782,-0.793838957325,-1.73989884355,-0.7860728755,-2.810925,-0.273,-0.462456938,-20.44775,-5.05825,-2.964175,-1.06265,-0.3517,4.0841,-5.504325,-2.78685,-0.985925,1.103825,3.0725,-20.58325,-19.48080551375,0.056208349125,0.0011507183487081,0.04288425,0.00119327085879269,0.67361815,0.00124493049180922,-0.6564,-17.48311225,-1.9016,-52.178308807,-17.5566565,-7.124625,-5.002225,-2.10095,-1.1739,-0.112125,0.947625,1.4675,2.77605,4.064,-8.40305,-6.22615,-3.0048,-1.499925,-0.253725,0.64295,1.3676,2.356025,4.0685
1,3.25,357.8256607,-2.5862338175,-58.53737475,-48.68320225,-52.5264376145,0.7398138695,-19.64988134,161.26,224.3,-90.685,97.4147678545,-1.095475,-0.4272,54.340083788,-1.275640641325,-2.3233655406,-1.14810142215,-2.7822,-0.2926,-0.40723946515,-20.51125,-5.212425,-3,-1.0605,-0.401225,4.077175,-5.693,-2.760025,-0.970325,1.111475,3.0725,-21.0605,-19.9405818435,0.05462466985,0.00126412427825891,0.0340796601,0.00124481487945404,0.625737647275,0.00130345717599168,-0.824,-17.6573615,-1.9541,-48.384097875,-17.21310775,-7.2019,-4.927875,-2.13895,-1.179125,-0.096725,0.9291,1.4675,2.77605,4.064,-8.48795,-6.359525,-3.090775,-1.522975,-0.267675,0.633025,1.3676,2.346575,4.064
1,3.75,355.4509936925,-2.576663693275,-57.7206735,-53.4145455,-54.710735354,0.697147693925,-11.36404884775,160.7,224.1,-90.335,97.49045504975,-1.026375,-0.338,55.420931668,-1.2458141963,-2.06154919125,-0.9107291818,-2.76835,-0.3126,-0.3787828959,-20.13325,-5.4475,-3,-0.9898,-0.4014,4.0725,-5.677625,-2.74625,-0.9879,1.1064,3.077175,-21.51825,-19.90199397075,0.0570424329,0.00105917007053311,0.0418967853,0.00121349974733524,0.567905612,0.00145865878978071,-0.9056,-17.80717425,-1.9625,-53.47733067825,-17.28788475,-7.2721,-4.834525,-2.177425,-1.18245,-0.096725,0.9291,1.4485,2.77605,4.064,-8.5074,-6.483875,-3.186625,-1.52725,-0.264175,0.633025,1.363325,2.34605,4.064
1,4.25,356.272285765,-1.867931304,-56.513103,-51.11332125,-46.580370909,0.698246866,-8.1393651178,161.05,223.7875,-90.56,97.46048422475,-1.041275,-0.4077,55.794,-0.6407715234,-2.001290425525,-0.81649513,-2.783525,-0.372,-0.3915268496,-20.05625,-5.79075,-3.056525,-0.98515,-0.46645,4.0725,-5.7594,-2.7609,-1.0025,1.11125,3.0725,-21.36175,-19.42941939275,0.04711746315,0.00115341510148724,0.0397661921,0.00122428081565425,0.73348889325,0.00132321709540843,-1.0748,-18.005619,-1.997675,-54.50484500925,-17.61045025,-7.361775,-4.731,-2.251475,-1.2119,-0.101675,0.9291,1.434725,2.75705,4.077775,-8.510125,-6.581725,-3.25375,-1.517575,-0.282175,0.642475,1.34915,2.34605,4.064
1,4.75,362.677429855,-2.721374730125,-56.41899825,-49.013805,-45.6109971085,0.7154037452,-12.679291994,161.6,224.92,-90.36,97.343307405,-1.000775,-0.3764,54.288771818,-0.376606198775,-2.3753067132,-1.06400984475,-2.875475,-0.309,-0.40077586185,-20.41125,-6.161,-3.12945,-1,-0.42005,4.077175,-5.9183,-2.82035,-1.0025,1.10405,3.077175,-21.06425,-19.4582186575,0.04718676775,0.00126378916944336,0.0228110488,0.00112839270372247,0.702298515075,0.00146522614784677,-1.2374,-18.0650865,-2.0549,-54.4361941075,-17.28607,-7.42105,-4.776825,-2.327,-1.22235,-0.091225,0.9291,1.453,2.775575,4.077775,-8.5715,-6.657675,-3.26895,-1.521075,-0.283175,0.643,1.348375,2.34605,4.064
