DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0.0185,-0.593455174,-43.672,0,-29.36,-8.85,62.6075,0.086615,89.1,0,-47.135,0,0.183603,-7.914,0.647,-9.5375,-7.0955,-8.37,-10.02,-8.91,-5.608,386.55
1,0.75,0,-0.768657447,-40.4411625125,0,-28.9,-8.86,62.53,0.080125,89.15,0,-46.58,0,0,-7.934,0.60375,-9.409,-7.05,-8.38,-9.92,-8.85,-5.566,386.55
1,1.25,0,-0.374033,-43.958975,0,-29.2475,-8.88,62.26,0.079425,89.2,0,-47.1,0,0,-8.04,0.5775,-9.40575,-7.036125,-8.39,-10.07,-8.94,-5.566,386.75
1,1.75,0.02265,-0.33371382575,-43.4468,0,-28.9425,-8.88,62.5175,0.07885,89.2,0,-47.18,0,0,-8.015,0.604,-9.52125,-7.041,-8.46,-10.125,-9,-5.58725,386.6
1,2.25,0.02135,-0.72701,-45.396,0,-28.9925,-8.8325,63.49,0.076415,89.1,0,-45.7425,0,0,-8.004,0.5785,-9.539,-7.05225,-8.4825,-10.155,-8.985,-5.572,386.25
1,2.75,0.0017275,-0.702875,-39.8719,0,-28.7825,-8.8725,63.2725,0.0803,89.1,0,-43.89,0,0,-7.9945,0.5575,-9.56625,-7.057375,-8.4575,-10.16,-8.9725,-5.56075,386.5
1,3.25,0.0223,-0.5867811885,-40.1230733,0,-29,-8.8475,62.695,0.080815,89.1,0,-46.0175,0,0,-8.03,0.583,-9.577375,-7.04475,-8.445,-10.2,-8.9925,-5.5885,386.1
1,3.75,0.0239,-0.45825582,-42.3892,0,-29.4325,-8.8725,63.175,0.073385,89.1,0,-44.6775,0,0,-8.045,0.6055,-9.618125,-7.052625,-8.45,-10.2025,-9.0125,-5.58775,386.1
1,4.25,0,-0.494714899,-44.0004309075,0,-29.2425,-8.865,63.415,0.077,89.1,0,-44.56,0,0,-8.035,0.508,-9.609375,-7.055375,-8.4375,-10.235,-9.02,-5.578,386.4
1,4.75,0.0097325,-0.27715125,-38.719753555,0,-29.2975,-8.95,62.805,0.0753,89.1,0,-45.5175,0,0,-8.06,0.465,-9.644375,-7.02675,-8.4575,-10.23,-8.91,-5.55925,385.8
1,5.25,0.01765,-0.527511027,-41.75387512,0,-29.2075,-8.905,63.62,0.0840325,89.1,0,-43.965,0,0,-8.075,0.485,-9.621875,-7.025625,-8.4775,-10.2,-8.915,-5.54,386.025
1,5.75,0.02,-0.564265352,-39.551375,0,-28.9125,-8.885,63.7875,0.0741,89.1,0,-45.405,0,0,-8.04,0.553,-9.618125,-7.051125,-8.465,-10.17,-8.935,-5.5285,385.85
1,6.25,0.02,-0.52092325,-40.91508993,0,-28.92,-8.9225,63.565,0.07915,89.1,0,-45.7525,0,0,-8.025,0.58225,-9.6975,-7.0415,-8.45,-10.1475,-8.9425,-5.5275,385.375
1,6.75,0.03185,-0.96648,-41.97498678,0,-29,-8.89,63.155,0.076095,89.1,0,-44.92,0,0,-8.01375,0.58025,-9.69625,-7.02125,-8.4525,-10.16,-8.945,-5.546,385.725
1,7.25,0.04055,-0.632664237,-42.457725,0,-28.9375,-8.88,63.1525,0.0816,89.1,0,-45.74,0,0,-8.02,0.578,-9.766,-7.038,-8.465,-10.205,-8.94,-5.547,385.8
1,7.75,0,-0.68810625,-43.95315,0,-28.925,-8.87,62.325,0.08245,89.15,0,-46.82,0,0,-8.01,0.507,-9.82125,-7.043875,-8.4675,-10.235,-8.97,-5.5605,385.8
1,8.25,0.0401,-0.9373,-43.93425,0,-28.91,-8.865,62.91,0.0861,89.1,0,-46.86,0,0,-7.98975,0.547,-9.779,-7.03875,-8.465,-10.235,-8.95,-5.5795,386.1
1,8.75,0.0422,-0.974618041,-42.621461065,0,-28.905,-8.86,63.195,0.082095,89.1,0,-45.05,0,0,-7.992,0.461,-9.818,-7.03825,-8.465,-10.22,-8.955,-5.5815,386.3
1,9.25,0.03435,-0.5743625,-43.35928743,0,-29.065,-8.855,62.395,0.077821,89.1,0,-46.43,0,0,-7.97475,0.581,-9.79,-7.04225,-8.48,-10.215,-8.925,-5.592,386.9
1,9.75,0.02585,-0.81957075,-38.5077995475,0,-29.18,-8.8625,63.475,0.08163,89.1,0,-47.965,0,0.021205,-7.9715,0.524,-9.8025,-7.03975,-8.525,-10.23,-8.935,-5.6025,387.2
1,10.25,0,-0.705831,-41.1553553675,0,-29.295,-8.835,63.105,0.083,89.1,0.0285,-47.8925,0.0149211,0.122585,-7.96275,0.501,-9.785,-7.0705,-8.545,-10.24,-8.95,-5.6515,386.825
1,10.75,0.03,-0.755972,-39.198,0,-29.165,-8.845,62.7075,0.07625,89.1,0.334,-48.55,0.48932925,0.6635325,-8.01,0.514,-9.805,-7.07825,-8.58,-10.255,-8.9825,-5.657,387.05
1,11.25,0.01965,-0.6837,-44.6932,0.13125,-29.0225,-8.885,63.4475,0.0782235,89.1,1.0395,-47.1675,1.998485,2.2044925,-7.97675,0.492,-9.76625,-7.1025,-8.56,-10.275,-8.97,-5.6455,387.1
1,11.75,0.01,-0.66824575,-40.1432,1.372,-28.625,-8.855,63.4625,0.0760475,89.1,2.219,-45.06,4.5004025,5.03683,-8.0075,0.5125,-9.76375,-7.12525,-8.525,-10.275,-8.975,-5.63575,386.3
1,12.25,0,-0.84811014,-43.13578023,2.35625,-28.8675,-8.845,63.0925,0.08211975,89.1,3.382,-44.82,7.1884475,8.0932625,-8.014,0.57025,-9.7945,-7.141,-8.48,-10.29,-8.975,-5.6265,386.4
1,12.75,0.04725,-0.45012,-42.5637464125,2.916,-28.9525,-8.84,62.9125,0.07795,89.15,4.065,-45.69,8.69385,9.84194,-8.12,0.56625,-9.762625,-7.124875,-8.49,-10.3,-8.97,-5.63,386.6
1,13.25,0.02,-0.62358775,-40.227,3.075,-29.14,-8.82,62.5525,0.079232,89.1,3.994,-47.45,9.023825,10.15765,-8.0725,0.516,-9.779125,-7.1345,-8.49,-10.3075,-8.95,-5.638,386.975
1,13.75,0,-0.518095,-42.24137593,2.527,-29.06,-8.79,62.8075,0.07685,89.2,3.408,-47.9,7.49779,8.44706,-8.08,0.53,-9.724875,-7.135,-8.4875,-10.3175,-8.9625,-5.6415,387.15
1,14.25,0.03545,-0.69966,-43.844,1.3345,-29.0025,-8.76,63.2,0.07882025,89.2,2.309,-47.21,4.86673,5.79275,-8.0825,0.629,-9.7025,-7.14,-8.49,-10.3275,-8.98,-5.64175,386.7
1,14.75,0.04,-0.892591,-45.6134032,0.2255,-29.1025,-8.77,62.91,0.08105,89.1,1.182,-48.675,2.229825,2.77778,-8.04,0.535,-9.78625,-7.15425,-8.5175,-10.3025,-8.99,-5.627,386.25
